"fiscal_year","company_sponsor","contribution"
"2013-01-01T00:00:00.000","CoA Office of Sustainability","1000"
"2013-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2013-01-01T00:00:00.000","Travis County Medical Alliance","500"
"2014-01-01T00:00:00.000","Intel","25000"
"2014-01-01T00:00:00.000","Synopsys","15000"
"2014-01-01T00:00:00.000","ARM ","10000"
"2014-01-01T00:00:00.000","Oransi","10000"
"2014-01-01T00:00:00.000","Compass Learning","5000"
"2014-01-01T00:00:00.000","Austin Water","2500"
"2014-01-01T00:00:00.000","Tokyo Electron","1500"
"2014-01-01T00:00:00.000","CoA Office of Sustainability","1000"
"2014-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2014-01-01T00:00:00.000","Travis County Medical Alliance","500"
"2015-01-01T00:00:00.000","Intel","25000"
"2015-01-01T00:00:00.000","ARM","20000"
"2015-01-01T00:00:00.000","Synpsys","15000"
"2015-01-01T00:00:00.000","Austin Community Foundation","12500"
"2015-01-01T00:00:00.000","Recurrent Energy","10000"
"2015-01-01T00:00:00.000","Oransi","7000"
"2015-01-01T00:00:00.000","3M","5000"
"2015-01-01T00:00:00.000","Tyrex Group","5000"
"2015-01-01T00:00:00.000","Applied Materials","2500"
"2015-01-01T00:00:00.000","Austin Water","2500"
"2015-01-01T00:00:00.000","Broadcom Foundation","2500"
"2015-01-01T00:00:00.000","Tokyo Electron","2500"
"2015-01-01T00:00:00.000","Endeavor Real Estate","2000"
"2015-01-01T00:00:00.000","CoA Watershed Protection","2000"
"2015-01-01T00:00:00.000","Advantest","1000"
"2015-01-01T00:00:00.000","Lower Colorado River Authority","1000"
"2015-01-01T00:00:00.000","CoA Office of Sustainability","1000"
"2015-01-01T00:00:00.000","Paul Tovar","1000"
"2015-01-01T00:00:00.000","Tolteq","500"
"2015-01-01T00:00:00.000","Travis County Medical Alliance","500"
"2016-01-01T00:00:00.000","Intel","25000"
"2016-01-01T00:00:00.000","Google","20000"
"2016-01-01T00:00:00.000","Synopsys","15000"
"2016-01-01T00:00:00.000","3M","10000"
"2016-01-01T00:00:00.000","BAE","10000"
"2016-01-01T00:00:00.000","Duke Energy","5000"
"2016-01-01T00:00:00.000","Oransi","5000"
"2016-01-01T00:00:00.000","Recurrent Energy","5000"
"2016-01-01T00:00:00.000","ThermoFisher","5000"
"2016-01-01T00:00:00.000","Tyrex Group","5000"
"2016-01-01T00:00:00.000","VRM","5000"
"2016-01-01T00:00:00.000","Applied Materials","2500"
"2016-01-01T00:00:00.000","Broadcom Foundation","2500"
"2016-01-01T00:00:00.000","Tokyo Electron ","2500"
"2016-01-01T00:00:00.000","CoA Watershed Protection Dept","2000"
"2016-01-01T00:00:00.000","CoA Office of Sustainability ","1000"
"2016-01-01T00:00:00.000","LCRA ","1000"
"2016-01-01T00:00:00.000","iFly","600"
"2016-01-01T00:00:00.000","Travis County Medical Alliance","500"
