"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","endwall","invert","sump","depth_to_creek","dissipator","globalid","edit_status","support_material","outfall","header_type","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","conduit_material","width","height","struc_shape","dryweatherflow","gps_pdop","gps_satqual","gps_date","gps_time","unit","dem_calculated_sump","dem_calculated_invert","dry_weather_screen_outfall","maximo_asset_number","maximo_site_id"
"POINT (-97.771417615983 30.192124157152)","5763010","0","1","509288","668052","178",,,,"NO_SOURCE","1997","APRUITT","2013-06-17T11:37:37.000Z","APRUITT","2013-07-09T14:11:56.000Z","SBURZYNSKI","WMS","G16","644X","3190324","CITY","CITY","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,"654.47998047","N","0",,,,"NODATA","81aa26b8-e17d-43f9-80f3-ca8ad2efb9cc","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:43.000Z","REMOVED","0","N",,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.688501480247 30.220369021484)","5783779","0","1","2090880","2043090","327",,"2011-04-25T00:00:00.000Z","2011","APPLANEL",,"JAMARTINEZ","2020-10-23T14:59:42.000Z","JAMARTINEZ","2020-10-23T15:21:15.000Z","GDELANO","CAR","L18","646F","3079260","OTHER","TXDOT","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","bf5c23c1-6d91-4edf-b489-aef0f009e5a9","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.863465814242 30.18626569084)","5754043","0","1","637499","1848530","203",,"1999-12-02T00:00:00.000Z","1999","ASBLTEL",,"AJURADO","2014-04-23T11:37:51.000Z","CGORE","2018-01-25T08:16:24.000Z",,"SLA","C15","672B","1122828","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"774.83001709","N","0","772.2800293",,,"NONNATURAL","0eca4a04-6e57-4695-a950-66c60791976a","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.761317573167 30.50686277515)","5756507","0","1","1725835","1720851","220",,,,"NO_SOURCE",,"MMARKOWSKI","2018-02-12T13:28:17.000Z","MMARKOWSKI","2018-02-12T14:07:06.000Z",,"SBR","H42","404C","3070201","CITY","CITY","NO_SOURCE","NO_SOURCE","FLD_INVSTG",,,"NOGPS","NOGPS",,"833.52001953","N","0",,,,"NODATA","f5dff824-bbf8-4c1f-9c4d-773cb749c34b","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"HDPE","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.73318186875 30.202851501219)","5773281","0","1","797376","931410","247","Rip Rap","2012-10-26T00:00:00.000Z","2012","APPLANEL",,"AJURADO","2014-08-22T16:22:50.000Z","AJURADO","2014-09-04T17:15:51.000Z","SJOHNSON","WMS","J16","645T","3071107","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"566.80999756","N","0","556.52001953",,,"NODATA","0a5db92d-9cc3-4499-a93c-71500d88f449","ENTERED","CONCRETE","F","CULVERT_UP","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"NODATA","120","96","BOX",,,,,,,,,,,
"POINT (-97.698275762782 30.253937903692)","5781538","0","1","1065793","2143571","303",,,,"NO_SOURCE",,"GDELANO","2016-02-03T18:31:50.000Z","DWARDEN","2020-01-24T11:57:21.000Z","GDELANO","BOG","L21","616E","214436","CITY","CITY","NO_SOURCE","SUPP_INFO","GPS_AERIAL",,,"NOGPS","NOGPS",,"453.51000977","N","0","452.33999634",,,"NODATA","4613702a-312b-4202-8425-64bbd132c79a","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:44.000Z","ACTIVE","0","N",,,,,"CGMP","21","21","CIRCULAR",,,,,,,,,,,
"POINT (-97.792503566324 30.458716612078)","5800747","0","1","1523405","1665810","156","no field evidence","1990-11-16T00:00:00.000Z","1990","APPLANEL",,"MAMARAL","2017-01-27T13:42:01.000Z","SJOHNSON","2017-06-30T11:00:22.000Z","SJOHNSON","LKC","F38","433M","208680","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","bfa94ce9-71ec-4794-9e59-603ef23f528a","ENTERED","CONCRETE","F","CULVERT_DN","2022-02-08T14:52:46.000Z","REMOVED","0",,,,,,"NODATA","54","54","CIRCULAR",,,,,,,,,,,
"POINT (-97.722795072778 30.322920978795)","5785244","0","1","87400",,,,,,"NO_SOURCE",,"DLEWIS","2008-10-20T00:00:00.000Z","WPDR_ADMIN","2021-07-22T12:07:04.000Z","DDAVIS","WLR","K27","555G","203532","OTHER","OTHER","PHYS_INSP","DEM","GPS","3120163.612","10090847.137","DIG07","SUB-M",,"647.40002441","N","2","645.90002441","645.90002441","0","NOTPRESENT","6b8d8061-655e-46e7-af0d-1d9d61956309","ENTERED","CONCRETE","T","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","2","N",,,,"09072007_3_023.jpg","CONCRETE",,"18","CIRCULAR",,,,,,,,,,"1109855","WPD"
"POINT (-97.738776302247 30.325660098053)","5770799","0","1","29477","797677","117",,"1958-02-08T00:00:00.000Z","1958","APPLANEL","2005","SJOHNSON","2009-01-29T00:00:00.000Z","PCAMPMAN","2014-03-07T09:00:30.000Z","SBURZYNSKI","SHL","J27","555F","271364","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"639.25","N","0",,,,"NODATA","9c323f0a-a242-4336-b261-12ee36308308","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:41.000Z","REMOVED","0","N",,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.864261702638 30.255860620994)","5773528","0","1","797966","1660388","125","Rock Rip Rap",,,"NO_SOURCE",,"MLEACH","2014-08-26T11:21:05.000Z","SJOHNSON","2017-04-11T13:27:01.000Z","SJOHNSON","BAR","C21","612F","5099691","CITY","CITY","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,"937.95001221","N","0",,,,"NODATA","94c742f8-ac9b-473e-a132-ad416cbc0842","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.801155363843 30.44255430435)","5780225","0","1","215009","1098452","217","RipRaP,","1995-08-24T00:00:00.000Z","1995","APPLANEL",,"REVANS","2015-04-13T16:20:39.000Z","GDELANO","2019-05-15T12:11:00.000Z","DDAVIS","BUL","F37","433Z","382400","CITY","CITY","PHYS_INSP","APPLANEL","GPS_AERIAL","3094455.8667","10133771.1372","DIG09","SUB-M",,"952.28997803","N","3","952.25",,"0","NOTPRESENT","d78c85bc-4947-4f81-b9fb-f508e42a63c5","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:44.000Z","ACTIVE","2",,"MARCUS ALLEN","2009-09-01T00:00:00.000Z","MICHAEL CHISUM","09012009_1_003.jpg","RCP","54","53","CIRCULAR","F","3.2","2","2009-09-01T00:00:00.000Z","11:16","1",,,,"1113825","WPD"
"POINT (-97.732180396328 30.250985692724)","5758478","0","1","362583","171769","293",,"1977-08-16T00:00:00.000Z","1977","SUPP_INFO",,"SBURZYNSKI","2011-03-15T09:22:18.000Z","SBURZYNSKI","2011-03-15T09:29:49.000Z","DDAVIS","TWN","J21","615F","162223","CITY","CITY","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,"450.19000244","N","0",,,,"NODATA","ce00388b-2330-46b2-be84-3950e763761b","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:41.000Z","ACTIVE","0","N",,,,,"PVC","6","6","CIRCULAR",,,,,,,,,,,
"POINT (-97.853687480853 30.249708637366)","5769984","0","1","115748","634152","176","Filled w silt; Difficult to measure","1988-03-21T00:00:00.000Z","1988","APPLANEL",,"TBARRINGTON","2013-06-05T15:14:43.000Z","TBARRINGTON","2013-06-06T09:03:31.000Z","SBURZYNSKI","BAR","D20","612L","3178822","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3079462.6369","10063279.3688","DIG08","SUB-M",,"859.7199707","N","0","857.04998779",,,"NODATA","6edb82e7-9f89-4fa1-9cd1-dd16a93f1898","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","4","N","HEATHER DAVIS","2017-06-08T15:06:09.000Z",,"02022009_5_044.jpg","CGMP","18","18","CIRCULAR",,,,,,,,,,"401479146","WPD"
"POINT (-97.84162702068 30.181456994638)","5794458","0","1","148545","1344850","336",,"2004-06-11T00:00:00.000Z","2004","APPLANEL",,"AMIRANDA","2016-05-02T12:00:00.000Z","CHILL","2016-05-11T16:08:12.000Z","SJOHNSON","SLA","D15","672H","3111932","OTHER","OTHER","PHYS_INSP","DEM","GPS","3083830.9988","10038547.7363","DIG08","SUB-M",,"752.2800293","N","4","750.7800293","750.7800293","0","NONNATURAL","9fadb6c0-86d5-42a7-a38f-04a545448873","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","2",,"GEETHA GANESAN",,,"01212009_4_041.jpg","CONCRETE","18","18","CIRCULAR","F",,,,,,,,,"1111316","WPD"
"POINT (-97.706091907358 30.418363027963)","5774554","0","1","1087679","1322133","125",,,,"NO_SOURCE",,"DREYESLARRIVA","2016-04-18T14:03:52.000Z","DREYESLARRIVA","2016-04-18T14:16:03.000Z",,"WLN","L35","466N","3098231","CITY","CITY","NO_SOURCE","SUPP_INFO","GPS_AERIAL",,,"NOGPS","NOGPS",,"705.0300293","N","0","702.25",,,"NODATA","d2d4b231-648c-4643-ba84-20cbdcf5f3b0","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.747492604131 30.157734056733)","5768824","0","1","622836","838000","330",,"2008-03-14T00:00:00.000Z","2008","APPLANEL",,"CGORE","2014-03-21T07:54:42.000Z","CGORE","2014-03-21T08:28:35.000Z","RODAVILA","ONI","J13","675W","3349659","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"562.44000244","N","0","561.09997559",,,"NODATA","f1884f1c-9518-4680-880f-fa82c6a76ef7","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"RCP","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.665128808637 30.259992497033)","5761421","0","1","375279","1849490","135",,"2008-11-12T00:00:00.000Z","2008","ASBLTEL",,"APRUITT","2014-01-21T15:05:04.000Z","CGORE","2018-01-12T15:28:07.000Z","GDELANO","COL","N21","617A","3367430","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3138899.5594","10068395.4763","DIG11","SUB-M",,"413.42001343","N","4","412.54000854",,"0","NONNATURAL","6f74275c-f6cd-479f-a109-1371101190fe","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","2","N","DANIEL WHEAT","2011-01-20T00:00:00.000Z","MARCUS ALLEN","01202011_4_024.jpg","RCP","18","18","CIRCULAR","F","5.9","1","2011-01-20T00:00:00.000Z","14:15","4",,,,"401192262","WPD"
"POINT (-97.928878795592 30.334849272843)","5806870","0","1","1765297","1960243","160",,,,"NO_SOURCE",,"MMARKOWSKI","2018-06-07T08:44:09.000Z","MMARKOWSKI","2018-06-07T08:48:15.000Z","SJOHNSON","LKA","WZ28","520Y","3524130","OTHER","OTHER","SUPP_INFO","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","4efb9318-f52d-4a9d-bc8c-a662e9b94484","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.728970025301 30.24600862509)","5791641","0","1","427083","415901","292",,"2008-07-23T00:00:00.000Z","2008","APPLANEL",,"CARMIJO","2012-08-07T13:51:36.000Z","CARMIJO","2012-08-07T16:48:58.000Z","RODAVILA","LBL","K20","615L","247027","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","c21286aa-ce3d-4c5c-82f2-5b82f84d14bd","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","30","30","CIRCULAR",,,,,,,,,,,
"POINT (-97.864595249095 30.237706524182)","5788604","0","1","797643","921811","170",,"1990-11-19T00:00:00.000Z","1990","APPLANEL",,"BRASMITH","2014-08-25T13:46:01.000Z","BRASMITH","2014-08-25T14:21:55.000Z","SJOHNSON","WMS","C19","612T","503680","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","7392c468-1901-4efd-9c6e-0f903d6a5b8d","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
