"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","curb_op","height","depressed","depression_a","width","inlet_loc","manhole","inlet_type","marked","edit_status","outfall","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","maximo_asset_number","maximo_site_id","globalid"
"POINT (-97.774390655919 30.431833995233)","118223","0","1","106481","1716709","153",,"1980-07-15T00:00:00.000Z","1980","ASBLTEL",,"APRUITT","2013-08-08T11:28:39.000Z","MMARKOWSKI","2017-06-26T08:25:07.000Z","SJOHNSON","RAT","G36","464F","441237","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3102975.8656","10130065.2869","DIG08","SUB-M","941.35998535","941.90002441","N","CONCRETE","97","5","T","4","16","SAG","NOTPRESENT","S1","MARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","CURT BURDORF",,,,,,,"0",,,,"40261","WPD","5d17f552-8921-4208-8f58-35684c37f825"
"POINT (-97.827543949642 30.241724179447)","118473","0","1","106580","94002","16",,"1973-11-07T00:00:00.000Z","1973","APPLANEL",,"NPULLIAS","2010-07-07T00:00:00.000Z","NPULLIAS","2010-07-08T00:00:00.000Z","HCHOU","BAR","E20","613N","917978","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3087786.0481","10060560.775","DIG08","SUB-M","717.32000732","715.92999268","N","CONCRETE","78","5","T","4","17","SAG","NOTPRESENT","S1","GOOD","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DAVID PRITCHARD",,,,,,"2012-05-15T00:00:00.000Z","0",,,,"40379","WPD","d977b4f8-070d-46b6-b85b-d8370f02cfdd"
"POINT (-97.760295977883 30.297147622741)","118344","0","1","596505","1878610","161",,"1940-10-23T00:00:00.000Z","1940","PLANNOEL",,"GDELANO","2018-03-19T10:53:06.000Z","GDELANO","2018-03-19T10:53:30.000Z",,"JOH","H25","554Z","5413155","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3108551.0787","10081200.2214","FIELD","SUB-M",,"555.79998779","N","CONCRETE","122","5","T","1","17","SAG","NOTPRESENT","S1","GOOD","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","SJOHNSON","2014-01-23T13:13:08.000Z","DDAVIS","1232014_111713_5_274.jpg","3.8","1",,"0","2014-01-23T13:13:09.000Z","1:13:09 PM","5","401312917","WPD","ddcf37ec-32da-4753-bd17-b375cd0cde0a"
"POINT (-97.809354222138 30.21766542862)","118316","0","1","515617","479646","235","drains directly into culvert, Converted FCurbInlet to FBridgeInlet","1981-06-29T00:00:00.000Z","1981","ASBLTEL",,"APRUITT","2012-11-15T09:44:33.000Z","APRUITT","2012-11-15T10:17:46.000Z",,"WMS","F18","643G","151898","CITY","CITY","PHYS_INSP","ASBLTEL","GPS","3093726.9644","10051942.925","DIG11","SUB-M","672.04998779","672.11999512","N","CONCRETE","120","6","T","5","17","GRADE","NOTPRESENT","G1","MARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","MARCUS ALLEN","2013-06-28T11:08:04.000Z","MICHAEL CHISUM","01282011_4_060.jpg","2","1",,"0","2011-01-28T00:00:00.000Z","14:16","4","401312424","WPD","0dcbf468-372f-4eec-a22c-426b20ffba3b"
"POINT (-97.707454105411 30.365342373662)","118272","0","1","73959","1821651","305","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"ACOLEMAN","2017-12-27T16:08:53.000Z","ACOLEMAN","2017-12-27T16:11:06.000Z",,"LWA","L30","526A","396722","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3124634.6014","10106383.108","DIG07","SUB-M",,"678.4699707","N","CONCRETE","164","6","T","5","18","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"DLEWIS","2008-10-09T00:00:00.000Z",,,,,,"0",,,,"40140","WPD","74d86ace-eb2d-48c1-b924-aa21fa319ad0"
"POINT (-97.711661875662 30.366671508321)","118525","0","1","74808","1878323","201","BRIDGE INLET - diverts to creek","1975-06-20T00:00:00.000Z","1975","APPLANEL",,"ACORTEZ","2018-01-26T10:22:49.000Z","GDELANO","2018-02-27T14:02:35.000Z",,"LWA","K30","525D","436880","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3123297.4082","10106836.261","DIG07","SUB-M",,"693.61999512","N","CONCRETE","98","6","T","4","18","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"DLEWIS","2008-10-21T00:00:00.000Z",,,,,,"0",,,,"40058","WPD","1dc3e658-b6cf-4dab-b63d-02bc05e9f2c3"
"POINT (-97.756665380373 30.423983788676)","118531","0","1","106517","2021651","240",,,,"NO_SOURCE",,"MAMARAL","2018-10-17T17:04:23.000Z","MAMARAL","2018-10-17T17:05:25.000Z","DWARDEN","WLN","H35","464M","3042142","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3108626.6937","10127339.9694","DIG08","SUB-M",,"898.90997314","N","CONCRETE","122","6","T","5","35","GRADE","NOTPRESENT","G1R","MARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"MARCUS ALLEN",,,,,,,"0",,,,"40161","WPD","3f885c85-d049-4213-9a42-845431f759a6"
"POINT (-97.660491044919 30.287328963323)","118453","0","1","106516","98814","299",,"1968-05-07T00:00:00.000Z","1968","APPLANEL",,"DLEWIS","2009-10-12T00:00:00.000Z","DLEWIS","2010-08-02T00:00:00.000Z","DLEWIS","WLN","N24","587E","234290","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3140124.495","10078369.7425","DIG08","SUB-M",,"494.1499939","N","CONCRETE","99","5","T","5","17","SAG","NOTPRESENT","S1","GOOD","ENTERED","T","2022-02-08T14:52:07.000Z","ACTIVE","2","N","EZIO AMBROSETTI",,,,,,,"0",,,,"40160","WPD","fef8a42e-eef2-4419-989b-c44da6297862"
"POINT (-97.793781339268 30.221451130696)","118401","0","1","106665","150935","108",,"1968-03-15T00:00:00.000Z","1968","APPLANEL",,"SBURZYNSKI","2010-12-15T00:00:00.000Z","SBURZYNSKI","2010-12-15T00:00:00.000Z","EDUBIN","WMS","F18","643D","246636","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3098613.0219","10053431.33","DIG08","SUB-M",,"621.53997803","N","CONCRETE","122","5","F","0","16","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","CARRIE STEFANELLI",,,,,,,"0",,,,"40298","WPD","de90017f-0f5a-4e88-8650-0c42d70cc2ea"
"POINT (-97.767768519988 30.214776423988)","118366","0","1","375422","1829010","210",,,,"NO_SOURCE",,"PSTARKEL","2017-11-16T11:14:26.000Z","PSTARKEL","2017-11-16T11:40:56.000Z",,"WMS","H17","644L","321615","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3106884.1539","10051191.2027","DIG11","SUB-M",,"637.69000244","N","CONCRETE","128","6","T","7","17","SAG","PRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"MICHAEL CHISUM","2011-01-31T00:00:00.000Z","MARCUS ALLEN","01312011_4_032.jpg","1.9","1",,"0","2011-01-31T00:00:00.000Z","14:02","4","401192856","WPD","473a901d-6a62-4aa7-a0ce-5792c2b497e4"
"POINT (-97.746198137579 30.326264232624)","118221","0","1","78645","757650","205","partially seperated by a 9"" block under curb,  BRIDGE INLET - diverts to creek","1960-06-01T00:00:00.000Z","1960","APPLANEL",,"NPULLIAS","2011-04-12T15:11:09.000Z","DDAVIS","2013-11-20T10:38:17.000Z","RODAVILA","SHL","J27","555E","845888","CITY","CITY","PHYS_INSP","SUPP_INFO","GPS","3112749.2362","10091884.866","DIG07","SUB-M","624.9699707","610.9699707","N","CONCRETE","102","7","T","6","18","GRADE","PRESENT","G1","MARKED","ENTERED","T","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DDAVIS","2008-10-16T00:00:00.000Z",,,,,,"0",,,,"40228","WPD","7282ee11-2458-40a3-94d6-5a9e9d84754b"
"POINT (-97.708579869486 30.354985013413)","118485","0","1","73819",,"225","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"JAMARTINEZ","2018-05-08T17:23:54.000Z","JAMARTINEZ","2018-05-08T17:24:21.000Z",,"LWA","L29","526J","246557","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3124370.1492","10102607.267","DIG07","SUB-M",,"700.98999023","N","CONCRETE","193","6","T","4","18","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","SJOHNSON","2008-11-03T00:00:00.000Z",,,,,,"0",,,,"40122","WPD","274f7bf7-795d-4170-8e3e-054a2bd72977"
"POINT (-97.773407611545 30.487638100072)","118598","0","1","106625",,,,,,"NO_SOURCE",,"ERIN ATKINSON",,"WPDR_ADMIN","2018-06-29T10:12:13.000Z","J.T. STEWART","LKC","G41","404P","3268027","OTHER","OTHER","PHYS_INSP","DEM","GPS","3102818.5931","10150362.2681","DIG08","SUB-M",,"907.04998779","N","CONCRETE","297","11","T","14","0","SAG","PRESENT","S1","NOTMARKED","ENTERED","N","2022-02-08T14:52:07.000Z","ACTIVE","2","N",,,,,,,,"0",,,,"40316","WPD","519a9d47-e41a-4574-8246-fc1b15aca567"
"POINT (-97.795321910781 30.218894998362)","118014","0","1","106631","1870290","118",,"1965-10-01T00:00:00.000Z","1965","APPLANEL",,"SBURZYNSKI","2011-05-03T17:10:50.000Z","PSTARKEL","2018-01-17T14:04:19.000Z","DWARDEN","WMS","F18","643H","115382","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3098157.13","10052486.7275","DIG08","SUB-M","652.82000732","651.7800293","N","CONCRETE","193","5","T","3","17","SAG","NOTPRESENT","S1","GOOD","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","EZIO AMBROSETTI",,,,,,"2018-05-15T00:00:00.000Z","0",,,,"40423","WPD","f6a67596-7205-46fc-a802-3c8f5fd9e410"
"POINT (-97.723020472037 30.321448229896)","118432","0","1","76659","1755426","202","BRIDGE INLET - diverts to creek","1958-11-10T00:00:00.000Z","1958","PLANNOEL",,"JHOLDER","2010-09-07T00:00:00.000Z","GDELANO","2017-10-13T10:25:54.000Z","DDAVIS","WLR","K27","555G","887360","CITY","CITY","PHYS_INSP","DTM","GPS","3120099.674","10090303.164","DIG07","SUB-M",,"641.88000488","N","CONCRETE","92","5","T","4","18","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","T","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DLEWIS","2008-10-20T00:00:00.000Z",,,,,,"0",,,,"40152","WPD","5a1b5748-e9d1-4995-b385-967cdeece029"
"POINT (-97.70359448109 30.340537219196)","118237","0","1","75001","158948","137","BRIDGE INLET - diverts to creek","1969-05-01T00:00:00.000Z","1969","APPLANEL",,"NPULLIAS","2011-01-12T00:00:00.000Z","NPULLIAS","2011-01-12T00:00:00.000Z","EDUBIN","BMK","L28","526S","236696","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3126065.5942","10097393.091","DIG07","SUB-M",,"689.63000488","N","CONCRETE","112","4","T","1","17","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DLEWIS","2008-10-08T00:00:00.000Z",,,,,,"0",,,,"40145","WPD","4064b37a-0aec-4117-8e7b-332b3ff980da"
"POINT (-97.660607742097 30.28736685142)","118222","0","1","106514","1717010","118",,"1968-05-07T00:00:00.000Z","1968","APPLANEL",,"DLEWIS","2009-10-12T00:00:00.000Z","CGORE","2017-08-17T09:02:36.000Z","DLEWIS","WLN","N24","587E","234302","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3140087.46","10078382.8419","DIG08","SUB-M",,"496.97000122","N","CONCRETE","96","6","T","5","18","SAG","NOTPRESENT","S1","GOOD","ENTERED","T","2022-02-08T14:52:07.000Z","ACTIVE","2","N","EZIO AMBROSETTI",,,,,,,"0",,,,"40158","WPD","23398252-770c-45ff-97c6-1f880f15b21b"
"POINT (-97.766791556896 30.249923844495)","118418","0","1","211181","595410","136",,"1960-02-12T00:00:00.000Z","1960","APPLANEL",,"DDAVIS","2013-05-17T15:30:53.000Z","DDAVIS","2013-05-20T10:09:56.000Z",,"WBO","H20","614L","373275","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3106896.3853","10063979.4577","DIG09","SUB-M",,"539.77001953","N","CONCRETE","92","5","T","4","16","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","MICHAEL CHISUM","2009-07-30T00:00:00.000Z","DANIEL WHEAT",,"1.9","2",,"0","2009-07-30T00:00:00.000Z","09:58","1","40308","WPD","34a78f9a-bdd1-4e37-b571-326906978216"
"POINT (-97.656619125578 30.215407006001)","118610","0","1","106660",,,,,,"NO_SOURCE",,"GEETHA GANESAN",,"WPDR_ADMIN","2018-06-29T10:12:04.000Z","J.T. STEWART","COL","N18","647E","3364480","OTHER","OTHER","PHYS_INSP","DEM","GPS","3141975.5656","10052249.3863","DIG08","SUB-M",,"492.10998535","N","CONCRETE","108","7","T","5","0","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","N","2022-02-08T14:52:07.000Z","ACTIVE","3","N",,,,,,,,"0",,,,"40294","WPD","733fc85f-75d4-4b0b-a55b-08925808397c"
"POINT (-97.797269685438 30.282613419186)","118605","0","1","80588",,,"BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"RMOELLMER","2008-11-04T00:00:00.000Z","WPDR_ADMIN","2018-06-29T10:12:03.000Z","DDAVIS","TWN","F23","583M","686896","OTHER","OTHER","PHYS_INSP","DEM","GPS","3097003.7593","10075647.184","DIG07","SUB-M",,"627.22998047","N","CONCRETE","176","6","T","6","21","GRADE","PRESENT","G1","NOTMARKED","ENTERED","N","2022-02-08T14:52:07.000Z","ACTIVE","2","N",,,,,,,,"0",,,,"40050","WPD","ed88d474-b999-46f4-b9c8-a2d19fcaf6a6"
"POINT (-97.751909423314 30.419066355734)","118474","0","1","106520","1720532","225",,,,"NO_SOURCE",,"PSTARKEL","2017-07-04T08:00:49.000Z","PSTARKEL","2017-07-04T08:02:15.000Z",,"WLN","H35","464R","472034","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3110166.7694","10125586.7931","DIG08","SUB-M",,"881.33001709","N","CONCRETE","182","7","T","5","35","GRADE","NOTPRESENT","G1R","MARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"MARCUS ALLEN",,,,,,,"0",,,,"40164","WPD","967571b5-c596-45b8-9c39-5a6979109b2a"
"POINT (-97.704104005821 30.426721827465)","118572","0","1","106509","710932","203",,"1972-12-05T00:00:00.000Z","1972","APPLANEL",,"MLEACH","2013-09-11T10:56:56.000Z","MLEACH","2013-09-11T11:37:56.000Z","SBURZYNSKI","WLN","L36","466E","221277","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3125164.9019","10128723.0825","DIG08","SUB-M",,"724.90002441","N","CONCRETE","288","5","T","2","17","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","JULIA PRESAS",,,,,,,"0",,,,"40345","WPD","3260631a-4dff-4266-b05b-e7714127efe2"
"POINT (-97.701844847995 30.28723340718)","118380","0","1","76209","1813330","157","BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"VVINCENT","2017-10-25T15:44:49.000Z","VVINCENT","2017-10-25T15:48:05.000Z",,"TAN","L24","586E","177764","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3127077.6292","10078028.028","DIG07","SUB-M",,"545.38000488","N","CONCRETE","143","5","T","5","11","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"DLEWIS","2008-10-07T00:00:00.000Z",,,,,,"0",,,,"40133","WPD","245399b4-a9e7-431a-8ab6-b9d567b66cbd"
"POINT (-97.73512947929 30.268912643457)","118581","0","1","96639","29125",,"BRIDGE INLET drops into creek",,,,,"LKAUFFMAN","2009-06-23T00:00:00.000Z","WPDR_ADMIN","2018-06-29T10:12:08.000Z","DLEWIS","WLR","J22","585T","3502186","CITY","CITY","PHYS_INSP","DEM","GPS","3116729.6902","10071115.652","DIG06","SUB-M",,"456.82998657","N","CONCRETE","121","6","F","0","0","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","N","2022-02-08T14:52:07.000Z","ACTIVE","2","N",,,"MICHAEL CHISUM",,,,,"0","2009-08-06T00:00:00.000Z","09:39","1","40248","WPD","5a2780cf-bd11-4e96-8805-eec25a4bdc35"
"POINT (-97.746676703334 30.36127580079)","118596","0","1","82023",,,"BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"DLEWIS","2008-10-27T00:00:00.000Z","WPDR_ADMIN","2018-06-29T10:12:04.000Z","DDAVIS","SHL","J30","525E","996056","OTHER","OTHER","PHYS_INSP","DEM","GPS","3112304.338","10104613.089","DIG07","SUB-M",,"724.52001953","N","CONCRETE","140","6","F","0","0","GRADE","NOTPRESENT","G1","NOTMARKED","ENTERED","N","2022-02-08T14:52:07.000Z","ACTIVE","2","N",,,,,,,,"0",,,,"40044","WPD","1cd7aa5e-d3d5-4df3-a5df-9f8634910be4"
"POINT (-97.760830759716 30.183244960973)","118487","0","1","106576","757030","296",,"1973-01-30T00:00:00.000Z","1973","APPLANEL",,"EDUBIN","2010-12-06T00:00:00.000Z","PWOODWORTH","2013-11-15T13:52:08.000Z","RODAVILA","WMS","H15","674G","123169","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3109339.6894","10039781.3381","DIG08","SUB-M","619.7199707","616.51000977","N","CONCRETE","325","6","T","5","19","SAG","NOTPRESENT","S1","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","CARRIE STEFANELLI",,,,,,,"0",,,,"40375","WPD","ca43e337-4850-4226-b1f4-fb2271f4e6ab"
"POINT (-97.735792813106 30.244001108889)","118601","0","1","82253","2014933",,"BRIDGE INLET - diverts to creek",,,"NO_SOURCE",,"MAMARAL","2018-10-15T15:41:37.000Z","GDELANO","2019-01-10T14:50:18.000Z","DWARDEN","HRP","J20","615P","161557","OTHER","TXDOT","PHYS_INSP","DEM","GPS_AERIAL","3116751.4204","10062052.482","DIG07","SUB-M",,"478.25","N","CONCRETE","97","6","T","2","16","SAG","PRESENT","S1","NODATA","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2","N","DDAVIS","2008-10-27T00:00:00.000Z",,,,,,"0",,,,"40396","WPD","9e527eb6-76b7-4444-8020-5ff354cc01db"
"POINT (-97.840989637599 30.172502826103)","118234","0","1","106642","1859459","10","Curb cut,","2003-04-12T00:00:00.000Z","2003","ASBLTEL",,"SBURZYNSKI","2017-03-28T08:27:12.000Z","GDELANO","2018-03-08T10:44:45.000Z",,"SLA","D14","672R","3082872","CITY","CITY","PHYS_INSP","NO_SOURCE","GPS","3084105.3006","10035296.5013","DIG08","SUB-M",,"710.29998779","N","CONCRETE","87","8","T","8","58","SAG","NOTPRESENT","S1R","NOTMARKED","ENTERED","F","2022-02-08T14:52:07.000Z","ACTIVE","2",,"JENNIFER WOERTZ",,,,,,,"0",,,,"40276","WPD","ecffe3fe-fa45-4e04-9b3b-f6b4c5c31fc2"
