"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"77775","THE PIZZA PLACE","1731 E MAIN ST","RICHMOND","VA","23223-6981","Richmond City","Restaurant","Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Voluntary  Surrendered","2004-01-05T00:00:00.000","2004-08-31T00:00:00.000","1998-09-25T00:00:00.000"
"78028","SATELLITE RESTAURANT & CLUB","4000 JEFFERSON DAVIS HWY","RICHMOND","VA","23234-2636","Richmond City","Restaurant","Wine & Beer On Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","1998-02-01T00:00:00.000"
"78181","UNIV OF RICHMOND - DINING SERVICES","DINING SVS C/O HEILMAN DINING SVS","RICHMOND","VA","23173-0001","Richmond City","Caterers Establishment","Annual Caterers License","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"1998-05-01T00:00:00.000"
"78352","CLAY ST MARKET","501 N 30TH STREET","RICHMOND","VA","23223","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000",,,,"2011-11-08T00:00:00.000"
"78397","UPTOWN MARKET & DELI","2400 W MAIN ST","RICHMOND","VA","23220","Richmond City","Delicatessen","Wine and Beer Off Premises & Keg Permit & Delivery Permit","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2012-08-13T00:00:00.000"
"78468","TIO PABLO","1703 E FRANKLIN ST","RICHMOND","VA","23223-8006","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000","Active","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000","2012-02-06T00:00:00.000"
"78478","ON THE ROX","119 N 18TH ST","RICHMOND","VA","23223-6903","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","2011-12-29T00:00:00.000"
"78519","OVATIONS FOOD SERVICES VCU","1200 W BROAD ST","RICHMOND","VA","23284-9023","Richmond City","Caterers Establishment","Annual Caterers License","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"2012-03-09T00:00:00.000"
"78660","7 ELEVEN STORE 2515 11069 B","4700 WALMSLEY BLVD","RICHMOND","VA","23234-2349","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000",,,,"2012-03-01T00:00:00.000"
"78708","THE LOCAL EATERY & PUB","1106 1108 W MAIN ST","RICHMOND","VA","23220-4810","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000","2011-12-01T00:00:00.000"
"78944","OVATIONS FOOD SERVICES VCU","1200 W BROAD ST","RICHMOND","VA","23284-9023","Richmond City","Food Concession - Stadium","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"2012-03-09T00:00:00.000"
"78978","THE CONTINENTAL WESTHAMPTON","5704 GROVE AVE","RICHMOND","VA","23226-2346","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2012-03-02T00:00:00.000"
"79048","CHIMBO SUPERMARKET","515 CHIMBORAZO BLVD","RICHMOND","VA","23223-7528","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2012-08-27T00:00:00.000"
