"category","facility","age_group","day","times"
"Badminton","North Potomac Community Center","17 & Under","Thursday","3:00pm - 6:00pm"
"Badminton","North Potomac Community Center","18 & Up","Thursday","6:15pm - 8:45pm"
"Badminton","North Potomac Community Center","All Ages","Sunday","12:00pm - 4:00pm"
"Basketball","North Potomac Community Center","55 & Up","Wednesday","9:00am - 12:00pm"
"Basketball","North Potomac Community Center","17 & Under","Mon., Wed., Thurs., & Fri.","3:00pm - 6:00pm"
"Basketball","North Potomac Community Center","18 & Up","Wednesday & Thursday","6:15pm - 8:45pm"
"Basketball","North Potomac Community Center","All Ages","Sunday","12:00pm - 3:45pm"
"Basketball","North Potomac Community Center","All Ages","Saturday","9:00am - 3:00pm"
"Pickleball","North Potomac Community Center","55 & Up","Monday","9:00am - 12:00pm"
"Pickleball","North Potomac Community Center","17 & Under","Monday","3:00pm - 6:00pm"
"Pickleball","North Potomac Community Center","18 & Up","Monday","6:15pm - 8:45pm"
"Table Tennis","North Potomac Community Center","18 & Up","Tuesday","6:15pm - 8:45pm"
"Table Tennis","North Potomac Community Center","All Ages","Wednesday","9:30am - 12:00pm"
"Tiny Tots","North Potomac Community Center","5 & Under w/Parent","Thursday","10:00am - 12:00pm"
"Tiny Tots","North Potomac Community Center","5 & Under w/Parent","Friday","10:30am - 12:30pm"
"Volleyball","North Potomac Community Center","55 & Up","Tuesday","9:00am - 12:00pm"
"Volleyball","North Potomac Community Center","17 & Under","Tuesday","3:00pm - 6:00pm"
"Volleyball","North Potomac Community Center","18 & Up","Tuesday","6:15pm - 8:45pm"
"Volleyball","North Potomac Community Center","All Ages","Wednesday","6:00pm - 8:30pm"
"Badminton","Plum Gar Community Center","18 & Up","Monday","6:15pm - 8:50pm"
"Badminton","Plum Gar Community Center","18 & Up","Tuesday","12:30pm - 1:30pm"
"Badminton","Plum Gar Community Center","All Ages","Saturday","10:15am - 12:00pm"
"Basketball","Plum Gar Community Center","18 & Up","Monday","1:15pm - 2:30pm"
"Basketball","Plum Gar Community Center","18 & Up","Tuesday","1:30pm - 2:30pm"
"Basketball","Plum Gar Community Center","17 & Under","Monday - Thursday","2:30pm - 4:30pm"
"Basketball","Plum Gar Community Center","18 & Up","Thursday","7:15pm - 8:50pm"
"Basketball","Plum Gar Community Center","All Ages","Saturday","2:30pm - 4:00pm"
"Pickleball","Plum Gar Community Center","18 & Up","Wednesday","6:30pm - 8:55pm"
"Table Tennis","Plum Gar Community Center","18 & Up","Friday","10:00am - 12:00pm"
"Volleyball","Plum Gar Community Center","18 & Up","Tuesday","6:15pm - 8:50pm"
"Volleyball","Plum Gar Community Center","All Ages","Saturday","12:15pm - 2:15pm"
"Badminton","Potomac Community Center","12 & Up","Saturday","2:00pm - 4:45pm"
"Basketball","Potomac Community Center","All Ages","Monday","3:30pm - 5:50pm"
"Basketball","Potomac Community Center","All Ages","Monday","8:00pm - 8:50pm"
"Basketball","Potomac Community Center","All Ages","Wednesday","12:30pm - 5:45pm"
"Basketball","Potomac Community Center","All Ages","Tuesday & Thursday","2:30pm - 6:45pm"
"Basketball","Potomac Community Center","All Ages","Tuesday & Thursday","8:00pm - 8:45pm"
"Basketball","Potomac Community Center","All Ages","Friday","2:30pm - 4:45pm"
"Basketball","Potomac Community Center","All Ages","Sunday","11:45am - 4:45pm"
"Pickleball","Potomac Community Center","55 & Up","Monday","6:00pm - 7:50pm"
"Pickleball","Potomac Community Center","55 & Up","Tuesday & Friday","11:30am - 2:00pm"
"Volleyball","Potomac Community Center","12 & Up","Sunday","9:30am - 11:30am"
"Badminton","Praisner Community Center","18 & Up","Tuesday","6:30pm - 8:30pm"
"Basketball","Praisner Community Center","18 & Up","Monday & Wednesday","6:30pm - 8:45pm"
"Basketball","Praisner Community Center","18 & Up","Tuesday, Wednesday & Friday","12:00pm - 2:30pm"
"Basketball","Praisner Community Center","17 & Under","Monday - Thursday","2:30pm - 6:30pm"
"Basketball","Praisner Community Center","17 & Under","Friday","2:30pm - 5:30pm"
"Basketball","Praisner Community Center","All Ages","Saturday","10:00am - 2:45pm"
"Tiny Tots","Praisner Community Center","5 & Under w/Parent","Monday, Thursday & Friday","10:30am - 12:00pm"
"Volleyball","Praisner Community Center","18 & Up","Thursday","7:00pm - 9:30pm"
"Basketball","Ross Boddy Community Center","Gr. K - 12th","Monday - Friday","2:30pm - 6:00pm"
"Basketball","Ross Boddy Community Center","18 & Up","Monday & Wednesday","6:00pm - 8:30pm"
"Basketball","Ross Boddy Community Center","13 & Up","Wednesday","6:00pm - 7:00pm"
"Basketball","Ross Boddy Community Center","All Ages","Saturday","10:00am - 1:00pm"
"Basketball","Ross Boddy Community Center","18 & Up","Saturday","1:00pm - 2:30pm"
"Pickleball","Ross Boddy Community Center","18 & Up","Tuesday","6:00pm - 8:30pm"
"Pickleball","Ross Boddy Community Center","18 & Up","Monday & Wednesday","12:30pm - 2:30pm"
"Tiny Tots","Ross Boddy Community Center","5 & Under w/Parent","Monday & Wednesday","10:00am - 12:00pm"
"Volleyball","Ross Boddy Community Center","18 & Up","Thursday","6:00pm - 8:30pm"
"Basketball","Scotland Community Center","17 & Under","Monday - Friday","2:00pm - 6:00pm"
"Basketball","Scotland Community Center","18 & Up","Monday - Thursday","6:00pm - 8:00pm"
"Basketball","Scotland Community Center","All Ages","Saturday","10:00am - 3:00pm"
"Badminton","Upper County Community Center","18 & Up","Tuesday","6:00pm - 9:30pm"
"Badminton","Upper County Community Center","18 & Up","Saturday","9:00am - 11:00am"
"Basketball","Upper County Community Center","18 & Up","Monday - Thursday","12:00pm - 2:30pm"
"Basketball","Upper County Community Center","17 & Under","Monday - Thursday","2:30pm - 4:00pm"
"Basketball","Upper County Community Center","17 & Under","Friday","2:30pm - 3:30pm"
"Basketball","Upper County Community Center","17 & Under","Monday & Wednesday","6:00pm - 8:00pm"
"Basketball","Upper County Community Center","18 & Up","Monday & Wednesday","8:00pm - 10:00pm"
"Basketball","Upper County Community Center","All Ages","Saturday","11:00am - 5:00pm"
"Volleyball","Upper County Community Center","All Ages","Thursday","6:00pm - 9:30pm"
"Badminton","White Oak Community Center","18 & Up","Wednesday","6:00pm - 8:45pm"
"Basketball","White Oak Community Center","18 & Up","Tuesday - Friday","10:00am - 2:00pm"
"Basketball","White Oak Community Center","Ages 11-17","Monday - Friday","3:00pm - 6:00pm"
"Basketball","White Oak Community Center","18 & Up","Monday & Thursday","6:00pm - 8:45pm"
"Basketball","White Oak Community Center","All Ages","Saturday","9:00am - 2:45pm"
"Basketball","White Oak Community Center","All Ages","Sunday","12:00pm - 3:45pm"
"Pickleball","White Oak Community Center","55 & Up","Thursday","10:00am - 2:00pm"
"Pickleball","White Oak Community Center","55 & Up","Tuesday","6:00pm - 8:45pm"
"Tiny Tots","White Oak Community Center","5 & Under w/Parent","Monday & Wednesday","10:00am - 2:00pm"
"Ultimate Frisbee","White Oak Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Volleyball","White Oak Community Center","55 & Up","Monday","10:00am - 2:00pm"
"Volleyball","White Oak Community Center","18 & Up","Sunday","12:00pm - 3:45pm"
"Badminton","Wisconsin Place Community Center","18 & Up","Monday","5:00pm - 9:00pm"
"Badminton","Wisconsin Place Community Center","18 & Up","Saturday","9:30am - 12:00pm"
"Basketball","Wisconsin Place Community Center","All Ages","Monday - Friday","12:00pm - 3:00pm"
"Basketball","Wisconsin Place Community Center","17 & Under","Monday - Thursday","3:00pm - 5:00pm"
"Basketball","Wisconsin Place Community Center","17 & Under","Friday","3:00pm - 4:30pm"
"Basketball","Wisconsin Place Community Center","18 & Up","Wednesday","5:00pm - 9:00pm"
"Basketball","Wisconsin Place Community Center","17 & Under","Thursday","5:00pm - 9:00pm"
"Basketball","Wisconsin Place Community Center","All Ages","Saturday","12:00pm - 3:00pm"
"Basketball","Wisconsin Place Community Center","18 & Up","Saturday","3:00pm - 5:00pm"
"Basketball","Wisconsin Place Community Center","All Ages","Sunday","1:00pm - 3:00pm"
"Basketball","Wisconsin Place Community Center","18 & Up","Sunday","3:00pm - 5:00pm"
"Tiny Tots","Wisconsin Place Community Center","5 & Under w/Parent","Monday & Wednesday","9:30am - 12:00pm"
"Volleyball","Wisconsin Place Community Center","18 & Up","Tuesday","5:00pm - 9:00pm"
