"address_no_complete","st_prefix_dir","st_prefix_type","st_name","st_suffix_type","st_suffix_dir","st_ext","full_address","city","zip","district_num","council_person","lot_location"
"600-800","N",,"10TH","ST",,,"600-800 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"121","S",,"10TH","ST",,,"121 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 645","S",,"10TH","ST",,,"T 645 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"338","S",,"10TH","ST",,,"338 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 159","S",,"10TH","ST",,,"T 159 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"625","S",,"10TH","ST",,,"625 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1228","S",,"10TH","ST",,,"1228 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"618","S",,"10TH","ST",,,"618 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"111","S",,"10TH","ST",,,"111 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"731","S",,"10TH","ST",,,"731 S 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"408","N",,"10TH","ST",,,"408 N 10TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"659","N",,"11TH","ST",,,"659 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"161","S",,"11TH","ST",,,"161 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"715","N",,"11TH","ST",,,"715 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"225","S",,"11TH","ST",,,"225 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"336","S",,"11TH","ST",,,"336 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"827","N",,"11TH","ST",,,"827 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"819","N",,"11TH","ST",,,"819 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"729","N",,"11TH","ST",,,"729 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"460","N",,"11TH","ST",,,"460 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"927","S",,"11TH","ST",,,"927 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"347","S",,"11TH","ST",,,"347 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"224","N",,"11TH","ST",,,"224 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"BILLBD 935","S",,"11TH","ST",,,"BILLBD 935 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"236","S",,"11TH","ST",,,"236 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"220","S",,"11TH","ST",,,"220 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"302","S",,"11TH","ST",,,"302 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"137","S",,"11TH","ST",,,"137 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"128","S",,"11TH","ST",,,"128 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"335","S",,"11TH","ST",,,"335 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"719","N",,"11TH","ST",,,"719 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"627","N",,"11TH","ST",,,"627 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"307","S",,"11TH","ST",,,"307 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"709","N",,"11TH","ST",,,"709 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"326","S",,"11TH","ST",,,"326 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"308","S",,"11TH","ST",,,"308 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"149","S",,"11TH","ST",,,"149 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"BILLBD 336","S",,"11TH","ST",,,"BILLBD 336 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"130","S",,"11TH","ST",,,"130 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"301","S",,"11TH","ST",,,"301 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"158","S",,"11TH","ST",,,"158 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"138","N",,"11TH","ST",,,"138 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"385","S",,"11TH","ST",,,"385 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"629","N",,"11TH","ST",,,"629 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"744","N",,"11TH","ST",,,"744 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"727","N",,"11TH","ST",,,"727 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"338","S",,"11TH","ST",,,"338 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"665","N",,"11TH","ST",,,"665 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"221","S",,"11TH","ST",,,"221 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"448","N",,"11TH","ST",,,"448 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"621","N",,"11TH","ST",,,"621 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"917","S",,"11TH","ST",,,"917 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"635","N",,"11TH","ST",,,"635 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"363","S",,"11TH","ST",,,"363 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"219","S",,"11TH","ST",,,"219 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 624","N",,"11TH","ST",,,"T 624 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"144","N",,"11TH","ST",,,"144 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"449","N",,"11TH","ST",,,"449 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"439","N",,"11TH","ST",,,"439 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"124","N",,"11TH","ST",,,"124 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"645","N",,"11TH","ST",,,"645 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"125","S",,"11TH","ST",,,"125 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"514","N",,"11TH","ST",,,"514 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"226","S",,"11TH","ST",,,"226 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"923","S",,"11TH","ST",,,"923 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"236","N",,"11TH","ST",,,"236 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"615","N",,"11TH","ST",,,"615 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"325","S",,"11TH","ST",,,"325 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"314","S",,"11TH","ST",,,"314 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"156","S",,"11TH","ST",,,"156 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"300-500","S",,"11TH","ST",,,"300-500 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"170","S",,"11TH","ST",,,"170 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"935","S",,"11TH","ST",,,"935 S 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"833","N",,"11TH","ST",,,"833 N 11TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"819","S",,"12TH","ST",,,"819 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"317","S",,"12TH","ST",,,"317 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"832","S",,"12TH","ST",,,"832 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1150","S",,"12TH","ST",,,"1150 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"857","S",,"12TH","ST",,,"857 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"358","S",,"12TH","ST",,,"358 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"932","S",,"12TH","ST",,,"932 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"946","S",,"12TH","ST",,,"946 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"951","S",,"12TH","ST",,,"951 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"858","S",,"12TH","ST",,,"858 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 352","N",,"12TH","ST",,,"T 352 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"950","S",,"12TH","ST",,,"950 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"215","N",,"12TH","ST",,,"215 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"968","S",,"12TH","ST",,,"968 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"702","S",,"12TH","ST",,,"702 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"801","S",,"12TH","ST",,,"801 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"846","S",,"12TH","ST",,,"846 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"810","S",,"12TH","ST",,,"810 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"915","S",,"12TH","ST",,,"915 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"962","S",,"12TH","ST",,,"962 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"365","S",,"12TH","ST",,,"365 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"917","S",,"12TH","ST",,,"917 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"546","N",,"12TH","ST",,,"546 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"445","N",,"12TH","ST",,,"445 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1129","S",,"12TH","ST",,,"1129 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"211","N",,"12TH","ST",,,"211 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"804","S",,"12TH","ST",,,"804 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"213","S",,"12TH","ST",,,"213 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"325","S",,"12TH","ST",,,"325 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"349","S",,"12TH","ST",,,"349 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"911","S",,"12TH","ST",,,"911 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"721","S",,"12TH","ST",,,"721 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"135","N",,"12TH","ST",,,"135 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"173","S",,"12TH","ST",,,"173 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"344","S",,"12TH","ST",,,"344 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"763","S",,"12TH","ST",,,"763 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"222","S",,"12TH","ST",,,"222 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"247","S",,"12TH","ST",,,"247 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"811","S",,"12TH","ST",,,"811 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"214","N",,"12TH","ST",,,"214 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"230","S",,"12TH","ST",,,"230 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"166","S",,"12TH","ST",,,"166 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"709","S",,"12TH","ST",,,"709 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"338","S",,"12TH","ST",,,"338 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"236","S",,"12TH","ST",,,"236 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"156","S",,"12TH","ST",,,"156 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"353","N",,"12TH","ST",,,"353 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"345","S",,"12TH","ST",,,"345 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"12TH","ST",,,"700-900 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"12TH","ST",,,"700-900 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"12TH","ST",,,"700-900 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"12TH","ST",,,"700-900 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"12TH","ST",,,"700-900 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1245","S",,"12TH","ST",,,"1245 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"729","S",,"12TH","ST",,,"729 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 344","N",,"12TH","ST",,,"T 344 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"320","S",,"12TH","ST",,,"320 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"171","S",,"12TH","ST",,,"171 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1226","S",,"12TH","ST",,,"1226 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"229","S",,"12TH","ST",,,"229 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"446","N",,"12TH","ST",,,"446 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"823","S",,"12TH","ST",,,"823 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1232","S",,"12TH","ST",,,"1232 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"100-200","S",,"12TH","ST",,,"100-200 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"722","S",,"12TH","ST",,,"722 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"954","S",,"12TH","ST",,,"954 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"839","S",,"12TH","ST",,,"839 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"840","S",,"12TH","ST",,,"840 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"714","S",,"12TH","ST",,,"714 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"220","S",,"12TH","ST",,,"220 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"224","N",,"12TH","ST",,,"224 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"158","S",,"12TH","ST",,,"158 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"242","S",,"12TH","ST",,,"242 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 148","S",,"12TH","ST",,,"T 148 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"703","S",,"12TH","ST",,,"703 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"818","S",,"12TH","ST",,,"818 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"305","S",,"12TH","ST",,,"305 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"216","N",,"12TH","ST",,,"216 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1239","S",,"12TH","ST",,,"1239 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 336","N",,"12TH","ST",,,"T 336 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"945","S",,"12TH","ST",,,"945 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"130","N",,"12TH","ST",,,"130 N 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"744","S",,"12TH","ST",,,"744 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"824","S",,"12TH","ST",,,"824 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"142","S",,"12TH","ST",,,"142 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"339","S",,"12TH","ST",,,"339 S 12TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"329","N",,"13TH","ST",,,"329 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"334","N",,"13TH","ST",,,"334 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"123","N",,"13TH","ST",,,"123 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"124","N",,"13TH","ST",,,"124 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"125","N",,"13TH","ST",,,"125 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"427","N",,"13TH","ST",,,"427 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"600-700","N",,"13TH","ST",,,"600-700 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 426","N",,"13TH","ST",,,"T 426 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"227","N",,"13TH","ST",,,"227 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"T 436","N",,"13TH","ST",,,"T 436 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"122","N",,"13TH","ST",,,"122 N 13TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1242","S",,"14TH","ST",,,"1242 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"645","S",,"14TH","ST",,,"645 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"1230","S",,"14TH","ST",,,"1230 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"753","S",,"14TH","ST",,,"753 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"214","S",,"14TH","ST",,,"214 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"628","S",,"14TH","ST",,,"628 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"125","S",,"14TH","ST",,,"125 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"340","S",,"14TH","ST",,,"340 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"14TH","ST",,,"700-900 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
"700-900","S",,"14TH","ST",,,"700-900 S 14TH ST","BATON ROUGE","70802","10","Carolyn Coleman","BATON ROUGE"
