"the_geom","id","business_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.151948919614 30.501878675906)","112","BUMBLEBEEZ DAYCARE","5676 PLANK RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.127175460735 30.478809072454)","124","FOSTER'S CHILD CARE AND LEARNING","3233 MICHELLI DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.008818560326 30.452159785986)","33","KINDER CARE LEARNING CENTERS LLC","1188 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.154427738645 30.45188801228)","93","EMERALD FOREST LEARNING CENTER","420 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.021086215034 30.378471803948)","107","ANIMAL CRACKER LEARNING CENTER","15025 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.037868516157 30.406339468836)","57","A LIL ONE'S LEARNING CENTR INC","4952 STUMBERG LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.092012590086 30.376892947813)","36","THE LEARNING CENTER LLC","10689 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.146504396212 30.448720644835)","111","KIDDOSCOPE","4183 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.041792450772 30.49720808052)","49","DOT'S LEARNING CENTER","5224 N FLANNERY RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.073183679576 30.4899543661)","109","MCKANSTRY PREPARATORY SCHOOL OF MUSIC AND PERFORMING ARTS","10022 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.00662588919 30.42715651127)","52","ABUNDANT BLESSINGS DAYCARE","2863 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.024142048126 30.429472544718)","104","KUMON LEARNING CENTER","14506 S HARRELL'S FERRY RD, STE A-C","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.151493817996 30.457873368383)","72","S & M KIDZ DAYCARE","1055 N 39TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.105432058831 30.479551415889)","70","TNT CHRISTIAN DAYCARE","3250 LONE OAK DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.117884576259 30.480698018779)","45","WESTMINSTER ACADEMY #1","3393 VICTORIA DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.008486481885 30.434513900236)","118","FUNDAMENTALS LEARNING CENTER","16013 N FIREWOOD AVE","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.131224884958 30.444053309447)","40","KIDS COUNT","525 RAPIDES ST","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.159122716811 30.481537087704)","74","4 KIDS DAYCARE & LEARNING CTR","3634 PLANK RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.060993005798 30.489302805331)","128","LIL PEOPLE LEARNING ACADEMY LLC","4157 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.063767946186 30.36534830479)","62","LAD'S & LASSIE'S ACADEMY","13833 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.124297853633 30.359242905218)","17","KIDS WORLD CHILD CARE","1183 GARDERE LN","BATON ROUGE","LOUISIANA","70820",,
"POINT (-91.140061250027 30.473109439985)","75","JACKSON'S PRE-SCHOOL & CHILD DEVELOPMENT CENTER","2710 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.008784999901 30.454873652111)","91","STEPPING STONES INC, THE","940 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.154427738645 30.45188801228)","92","MARY LEES DAY CARE","420 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.140820727752 30.505015863341)","66","MAISON ACADEMY DAYCARE","6012 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.081540953158 30.453395945938)","5","BROADMOOR DAY CARE CENTER","220 CORA DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.119828138888 30.526479120632)","135","TRINITYS CHILDREN ACADEMY","7136 HOOPER RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.170640139988 30.586017781227)","137","CREATIVE TEACHING TOOLS","2944 RAY WEILAND DR","BAKER","LOUISIANA","70714",,
"POINT (-91.140094370863 30.501782348224)","103","IFA DAYCARE","5675 LANCASTER AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.138121322063 30.479185429593)","86","NEIGHBORHOOD DAY CARE LEARNING CENTER #2","5245 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.180052404528 30.43595352714)","116","KIDZ KORNER DAYCARE #2","1306 THOMAS H DELPIT DR","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.138712093317 30.511059393396)","105","MINI MIRACLES CHILDCARE","5212 GLEN OAKS DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.032226630514 30.372465558339)","125","BEST OF CARE","13636 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.175475877976 30.516449578888)","73","EVAN DAYCARE","1637 75TH AVE","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.159564397906 30.492407336573)","80","COURTNEY'S CHRISTIAN CHILD CARE CENTER","3054 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.005241481815 30.361037563322)","123","A TOTAL LEARNING CENTER","20440 HIGHLAND RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.172623948608 30.558320766364)","131","LITTLE JEWELS AND GEMS LEARNING ACADEMY","2024 THOMAS RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.119798041694 30.510342867833)","96","YWCA GLEN OAKS EARLY HEAD START CENTER","7055 GLEN OAKS DR","BATON ROUGE","LOUISIANA","70812",,
"POINT (-91.056959278009 30.494575512646)","106","KINDERCARE LEARNING CENTER #952","11349 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.16185240586 30.396418758922)","130","HEAVENLY HANDS LLC","5151 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.11723989414 30.450559313415)","25","KIDZ KORNER DAYCARE & LEARNING CENTER","148 CROYDON AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.046312026854 30.4112734192)","51","KIDS COVE DAYCARE AND LEARNING CENTER","12006 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.157898141956 30.485331524633)","85","TRAINING FOR TOMORROW  ACADEMY #2","3936 PLANK RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.111274155684 30.513917132124)","61","TREASURES FROM HEAVEN CHILDCARE AND LEARNING CENTER","7760 MICKENS RD","BATON ROUGE","LOUISIANA","70812",,
"POINT (-91.125600047811 30.459868983559)","122","OCCUPANCY-CHILD CARE CENTER","1075 EXECUTIVE PARK AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.114742766972 30.46441492916)","100","SUNSET, THE","7295 EXCHANGE PL","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.017001547349 30.455250568128)","6","BEST CHILD CARE INC THE","15134 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.073310140333 30.479315539726)","132","ALWAYS LEARNING DAYCARE & LEARNING CENTER","3321 JO ANNE DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.114454980304 30.464282016864)","22","EDEN OF EDEN CHRISTIAN ACADEMY","7315 EXCHANGE PL","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.124071541838 30.522754207755)","119","NEVAEH'S DAYCARE & LEARNING CENTER","6437 MICKENS RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.175112086004 30.428930202129)","21","CLAY'S DAY CARE","2009 GEORGIA ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.179687092336 30.521805604524)","71","ABLE COMMUNITY SERVICES LLC","8152 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.087195620914 30.483840132662)","64","LITTLE LAND LEARNING CENTER","9212 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.113822409976 30.401655546661)","3","KINDERCARE LEARNING CENTER #301464","7315 PICARDY AVE","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.135588006086 30.554877958331)","4","CHILDREN'S UNIVERSE","5646 BROWNFIELDS DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.111313898082 30.468053427742)","77","YES WE CAN CHILD DEVELOPMENT CENTER","1956 DALLAS DR, STE 1","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.141298149396 30.492898435069)","114","NEXT TO PARENTS DAYCARE INC","4946 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.073261617306 30.40907616867)","127","KINDERCARE LEARNING CENTER #306","4435 FLOYNELL DR","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.143816390092 30.479171276694)","82","YWCA ISTROUMA EARLY HEAD START CENTER","4643 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.114781750245 30.356586933243)","34","WESTMINSTER ACADEMY #3","10079 BURBANK DR","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.017001547349 30.455250568128)","7","BEST CHILD CARE","15134 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.150264690047 30.406013469943)","98","LITTLE BO-PEEP DAY CARE & LEARNING CENTER","1227 LEE DR","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.014487608247 30.419933891498)","89","NURSERY RHYME, THE","3590 JONES CREEK RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.052985579953 30.407864547561)","126","COLOR WHEEL LEARNING CENTER","11637 SHERWOOD FOREST CT","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.135589369393 30.502050830934)","117","LUCY'S DAYCARE","5488 GREENWELL ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.050926644998 30.495086148689)","13","LONDON BRIDGE EARLY LEARNING CENTER","4844 MONTICELLO BLVD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.020796945239 30.453979840896)","39","KUDDLES AND KISSES DAY CARE CENTER","14861 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70819",,
"POINT (-91.148739580881 30.586620326394)","47","FIRST STEPS ACADEMY #1","4742 GROOM RD","BAKER","LOUISIANA","70714",,
"POINT (-91.007878557012 30.383988542298)","12","ZOES WINDOW LEARNING ACADEMY","7450 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.077325008323 30.488896162581)","69","BLESSED ONES EARLY LEARNING ACADEMY","9783 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.142400912002 30.462413117603)","67","COMMUNITY ASSOCIATION FOR WELFARE OF THE CHILD","4771 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.162702827057 30.473146261368)","83","RENAISSANCE COMMUNITY CENTER & PRESCHOOL","2783 PLANK RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.166372765412 30.514294323095)","87","LADY T ENTERPRISE DAYCARE","2560 72ND AVE","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.136628343894 30.487310550949)","88","YWCA PRESCOTT EARLY HEAD START CENTER","5262 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.155810794453 30.468100726806)","79","GREATER NEW GUIDE LEARNING ACADEMY","3328 ADAMS AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.125592661125 30.503849869798)","65","LUCY'S DAYCARE","5811 SILVERLEAF AVE","BATON ROUGE","LOUISIANA","70812",,
"POINT (-90.99850041274 30.44102428178)","38","COUNTRY MANOR DAY SCHOOL","17080 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.057758145917 30.468693975925)","20","KID'S COLLEGE, LLC","2208 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.162086089178 30.587998691457)","37","BUSY TOTS AND TODDLERS","3615 GROOM RD","BAKER","LOUISIANA","70714",,
"POINT (-91.034387766743 30.447476521755)","101","RICHARDSON'S DAY CARE","1215 S FLANNERY RD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.062128544945 30.364423286811)","58","A LIL' ONE'S LEARNING CENTER","13943 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.152662660714 30.492553167089)","134","TRACYS CHILD CARE MS","4635 MAPLE DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.137842009953 30.478786040955)","35","YOLANDAS WORLD OF LEARNING CTR","5270 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,
