"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2015-0001-I78-2851000-05P","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05P - Previously Enacted Appropriation","-398940","-398940","0"
"2015-0001-I78-2852000-05A","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","250137","250137","1743336"
"2015-0001-I78-2852000-05P","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05P - Previously Enacted Appropriation","1539602","1539602","0"
"2015-0001-I78-2853000-05A","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","91076","91076","857343"
"2015-0001-I78-2853000-05P","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05P - Previously Enacted Appropriation","820725","820725","0"
"2015-0001-I78-2854000-05A","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","0","397000","966201"
"2015-0001-I78-2854000-05P","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05P - Previously Enacted Appropriation","884736","884736","0"
"2015-0001-I78-2856000-05A","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","0","0","877843"
"2015-0001-I78-2856000-05K","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05K - DAS Distribution","7537","7537","0"
"2015-0001-I78-2856000-05P","2015","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05P - Previously Enacted Appropriation","875425","875425","0"
"2015-0943-11I-2851115-05A","2015","Education","Iowa Public Television","0943 - Technology Reinvestment Fund","11I - IPTV Equipment Replacement","2851115","IPTV Equipment Replacement","05A - Appropriation","0","0","1000000"
"2015-0943-11I-28511I0-05A","2015","Education","Iowa Public Television","0943 - Technology Reinvestment Fund","11I - IPTV Equipment Replacement","28511I0","IPTV Equipment Replacement","05A - Appropriation","1000000","1285000","0"
"2016-0001-I78-2851000-05A","2016","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2851000","Engineering and Information Technology","05A - Appropriation","3347123","3532123","3289655"
"2016-0001-I78-2852000-05A","2016","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2852000","Programming, Operations and Production","05A - Appropriation","2025336","2075336","2077862"
"2016-0001-I78-2853000-05A","2016","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2853000","Communications and Community Engagement","05A - Appropriation","857343","878403","868686"
"2016-0001-I78-2854000-05A","2016","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2854000","Educational Services","05A - Appropriation","966201","1080571","935776"
"2016-0001-I78-2856000-05A","2016","Education","Iowa Public Television","0001 - General Fund","I78 - Iowa Public Television","2856000","Administration","05A - Appropriation","877843","877843","901867"
"2016-0017-13I-2851116-05A","2016","Education","Iowa Public Television","0017 - Rebuild Iowa Infrastructure Fund","13I - IPTV Equipment Replacement","2851116","IPTV Equipment Replacement","05A - Appropriation","0","0","1256200"
"2016-0943-11I-28511I0-05A","2016","Education","Iowa Public Television","0943 - Technology Reinvestment Fund","11I - IPTV Equipment Replacement","28511I0","IPTV Equipment Replacement","05A - Appropriation","1256200","564200","0"
