"invoice_line_no","date","store","name","address","city","zipcode","store_location","county_number","county","category","category_name","vendor_no","vendor_name","itemno","im_desc","pack","bottle_volume_ml","state_bottle_cost","state_bottle_retail","sale_bottles","sale_dollars","sale_liters","sale_gallons"
"S16636400002","2014-01-02T00:00:00.000","4684","Indy 66 #928 / Indianola","1201 N JEFFERSON","INDIANOLA","50125",,"91","Warren","1031100","100 PROOF VODKA","300","Mccormick Distilling Company","36886","Mccormick Vodka","12","750","3.31","4.97","12","59.64","9.00","2.38"
"S16625500105","2014-01-02T00:00:00.000","2545","Hy-Vee Drugstore / Iowa City","310 N 1ST ST","IOWA CITY","52245","POINT (-91.528105 42.207428)","52","Johnson","1081900","MISC. AMERICAN CORDIALS & LIQUEURS","125","Cedar Ridge Vineyards,LLC","72953","Cedar Ridge Lamponcella","12","375","8.00","12.00","2","24.00","0.75","0.20"
"S16628800021","2014-01-02T00:00:00.000","2106","Hillstreet News and Tobacco","2217 COLLEGE","CEDAR FALLS","50613","POINT (-92.455796 42.517182)","07","Black Hawk","1031080","VODKA 80 PROOF","55","Sazerac North America","35317","Barton Vodka","12","1000","3.97","5.95","72","428.40","72.00","19.02"
"S16641500010","2014-01-02T00:00:00.000","4126","Sam's Mainstreet Market / Solon","123 E MAIN ST","SOLON","52333","POINT (-91.494611 41.807199)","52","Johnson","1031080","VODKA 80 PROOF","297","Laird And Company","35926","Five O'clock PET Vodka","12","750","3.37","5.06","12","60.72","9.00","2.38"
"S16638100082","2014-01-02T00:00:00.000","2627","Hy-Vee Wine and Spirits #1","3424 MARTIN LUTHER KING JR PKW","DES MOINES","50310","POINT (-93.65129 41.626668)","77","Polk","1062300","FLAVORED RUM","35","Bacardi U.S.A., Inc.","43136","Bacardi Limon","12","750","8.33","12.49","1","12.49","0.75","0.20"
"S16640300013","2014-01-02T00:00:00.000","4344","Spirits / Grimes","109 EAST 1ST ST STE B","GRIMES","50111","POINT (-93.793827 41.68840000000001)","77","Polk","1012200","SCOTCH WHISKIES","55","Sazerac North America","8825","Lauder's Scotch Traveler","12","750","5.13","7.69","1","7.69","0.75","0.20"
"S16640200011","2014-01-02T00:00:00.000","2528","Hy-Vee Food Store #3 / Des Moines","3221 SE 14TH ST","DES MOINES","50315",,"77","Polk","1011100","BLENDED WHISKIES","300","Mccormick Distilling Company","24728","Mccormick Blend Whiskey, Pet","6","1750","7.67","11.51","6","69.06","10.50","2.77"
"S16624500032","2014-01-02T00:00:00.000","2622","Hy-Vee Food Store / Iowa City","1125 N DODGE ST","IOWA CITY","52240","POINT (-91.518868 41.676095)","52","Johnson","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands","27544","Red Stag By Jim Beam","12","750","11.03","16.55","3","49.65","2.25","0.59"
"S16635100017","2014-01-02T00:00:00.000","2595","Hy-Vee Wine and Spirits / Denison","1620  4TH AVE, SOUTH","DENISON","51442","POINT (-95.348601 42.012395)","24","Crawford","1012100","CANADIAN WHISKIES","115","Constellation Wine Company, Inc.","10548","Black Velvet Toasted Caramel","6","1750","12.99","19.49","6","116.94","10.50","2.77"
"S16621300027","2014-01-02T00:00:00.000","4864","CLINTON LIQUOR & CONVENIENCE STORE","1641 S BLUFF BLVD","CLINTON","52733","POINT (-90.225022 41.833351)","23","Clinton","1051110","BLACKBERRY BRANDIES","434","Luxco-St Louis","54646","Arrow Blackberry Flav Brandy","12","750","5.38","8.06","12","96.72","9.00","2.38"
"S16628100007","2014-01-02T00:00:00.000","4706","Walgreens #05144 / Clinton","1905 N  2ND ST","CLINTON","52732","POINT (-90.182002 41.866652)","23","Clinton","1011100","BLENDED WHISKIES","260","Diageo Americas","25608","Seagrams 7 Crown Bl Whiskey","6","1750","11.96","17.93","6","107.58","10.50","2.77"
"S16627900080","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1071100","AMERICAN COCKTAILS","395","Proximo","58875","Jose Cuervo Golden Margarita","6","1750","10.50","15.74","3","47.22","5.25","1.39"
"S16633300099","2014-01-02T00:00:00.000","3773","Benz Distributing","501 7TH AVE SE","CEDAR RAPIDS","52401","POINT (-91.659875 41.97574)","57","Linn","1081900","MISC. AMERICAN CORDIALS & LIQUEURS","206","Panther Distillery","86919","Spiked Apple Spirits","6","750","14.00","21.00","3","63.00","2.25","0.59"
"S16617800015","2014-01-02T00:00:00.000","4745","Walgreens #05042 / Cedar Rapids","3325 16TH AVE SW","CEDAR RAPIDS","52404","POINT (-91.715363 41.963477)","57","Linn","1062310","SPICED RUM","260","Diageo Americas","43338","Captain Morgan Spiced Rum","6","1750","16.75","25.62","6","153.72","10.50","2.77"
"S16628800066","2014-01-02T00:00:00.000","2106","Hillstreet News and Tobacco","2217 COLLEGE","CEDAR FALLS","50613","POINT (-92.455796 42.517182)","07","Black Hawk","1022100","TEQUILA","434","Luxco-St Louis","89387","Juarez Tequila Gold","12","1000","6.67","10.00","12","120.00","12.00","3.17"
"S16626200054","2014-01-02T00:00:00.000","2616","Hy-Vee Food and Drug / Clinton","901 SOUTH 4TH ST","CLINTON","52732","POINT (-90.193204 41.836268000000004)","23","Clinton","1062300","FLAVORED RUM","65","Jim Beam Brands","44476","Cruzan Coconut Rum","12","750","6.83","10.25","12","123.00","9.00","2.38"
"S16622700020","2014-01-02T00:00:00.000","2512","Hy-Vee Wine and Spirits / Iowa City","1720 WATERFRONT DR","IOWA CITY","52240","POINT (-91.53046300000001 41.642764)","52","Johnson","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","35","Bacardi U.S.A., Inc.","43036","Bacardi Gold Rum","12","750","7.54","11.31","12","135.72","9.00","2.38"
"S16617900008","2014-01-02T00:00:00.000","2846","CVS Pharmacy #8443 / Cedar Rapids","3419 16th AVE SW","CEDAR RAPIDS","52404","POINT (-91.716615 41.963516)","57","Linn","1011200","STRAIGHT BOURBON WHISKIES","55","Sazerac North America","21598","Ten High","6","1750","9.24","13.86","6","83.16","10.50","2.77"
"S16617900036","2014-01-02T00:00:00.000","2846","CVS Pharmacy #8443 / Cedar Rapids","3419 16th AVE SW","CEDAR RAPIDS","52404","POINT (-91.716615 41.963516)","57","Linn","1031200","VODKA FLAVORED","260","Diageo Americas","41806","Smirnoff Vanilla Vodka","12","750","8.25","12.37","3","37.11","2.25","0.59"
"S16640200008","2014-01-02T00:00:00.000","2528","Hy-Vee Food Store #3 / Des Moines","3221 SE 14TH ST","DES MOINES","50315",,"77","Polk","1081700","DISTILLED SPIRITS SPECIALTY","384","Piedmont Distillers","76042","Midnight Moon Blackberry","6","750","10.42","15.63","6","93.78","4.50","1.19"
"S16632000136","2014-01-02T00:00:00.000","2587","Hy-Vee Food Store / Johnston","5750 MERLE HAY ROAD","JOHNSTON","50131","POINT (-93.697731 41.665172)","77","Polk","1012200","SCOTCH WHISKIES","370","Pernod Ricard USA/Austin Nichols","9428","Passport Scotch","6","1750","14.00","20.99","1","20.99","1.75","0.46"
"S16625500101","2014-01-02T00:00:00.000","2545","Hy-Vee Drugstore / Iowa City","310 N 1ST ST","IOWA CITY","52245","POINT (-91.528105 42.207428)","52","Johnson","1022100","TEQUILA","259","Heaven Hill Brands","89946","Two Fingers Gold Tequila","12","750","8.33","12.49","2","24.98","1.50","0.40"
"S16633600028","2014-01-02T00:00:00.000","4320","Fareway Stores #470 / Perry","1315 WILLIS AVE","PERRY","50220","POINT (-94.103123 41.838522)","08","Boone","1081400","TRIPLE SEC","434","Luxco-St Louis","86506","Paramount Triple Sec","12","750","3.33","4.99","1","4.99","0.75","0.20"
"S16638800156","2014-01-02T00:00:00.000","2599","Hy-Vee Wine and Spirits / Coralville","1914 8TH STREET","CORALVILLE","52241","POINT (-91.590715 41.682013)","52","Johnson","1031080","VODKA 80 PROOF","434","Luxco-St Louis","36308","Hawkeye Vodka","6","1750","7.17","10.76","6","64.56","10.50","2.77"
"S16639700072","2014-01-02T00:00:00.000","3925","Johncy's Liquor Store Inc","585 HWY 965 S  STE E","NORTH LIBERTY","52317","POINT (-91.60761 41.738129)","48","Iowa","1012200","SCOTCH WHISKIES","370","Pernod Ricard USA/Austin Nichols","4717","Chivas Regal 12 Yr","12","1000","24.99","37.49","3","112.47","3.00","0.79"
"S16626200167","2014-01-02T00:00:00.000","2616","Hy-Vee Food and Drug / Clinton","901 SOUTH 4TH ST","CLINTON","52732","POINT (-90.193204 41.836268000000004)","23","Clinton","1051100","APRICOT BRANDIES","259","Heaven Hill Brands","52314","Christian Bros Brandy","24","375","3.23","4.85","8","38.80","3.00","0.79"
"S16628500010","2014-01-02T00:00:00.000","4204","Fareway Stores #025 / Clinton","1350 11TH ST NW","CLINTON","52733","POINT (-90.211315 41.860978)","23","Clinton","1081390","IMPORTED SCHNAPPS","421","Sazerac Co., Inc.","69636","Dr. Mcgillicuddy's Cherry Schnapps","12","750","8.67","13.01","12","156.12","9.00","2.38"
"S16612400045","2014-01-02T00:00:00.000","2633","Hy-Vee #3 / BDI / Des Moines","3221 SE 14TH ST","DES MOINES","50320","POINT (-93.596754 41.554101)","77","Polk","1031200","VODKA FLAVORED","461","Campari(skyy)","40821","Skyy Infusions Pineapple","12","750","10.01","15.01","1","15.01","0.75","0.20"
"S16637600090","2014-01-02T00:00:00.000","2549","Hy-Vee Food Store / Indianola","910 N JEFFERSON","INDIANOLA","50125",,"91","Warren","1081200","CREAM LIQUEURS","305","MHW Ltd","73051","Rumchata Mini","12","500","8.87","13.31","1","13.31","0.50","0.13"
"S16622700201","2014-01-02T00:00:00.000","2512","Hy-Vee Wine and Spirits / Iowa City","1720 WATERFRONT DR","IOWA CITY","52240","POINT (-91.53046300000001 41.642764)","52","Johnson","1081315","CINNAMON SCHNAPPS","65","Jim Beam Brands","82881","Dekuyper Hot Damn! 100 Proof","12","750","6.77","10.15","3","30.45","2.25","0.59"
"S16629100052","2014-01-02T00:00:00.000","2130","Sycamore Convenience","617 SYCAMORE","WATERLOO","50703","POINT (-92.335358 42.497854)","07","Black Hawk","1032200","IMPORTED VODKA - MISC","260","Diageo Americas","64716","Ciroc Peach","12","750","18.75","28.12","12","337.44","9.00","2.38"
"S16619000020","2014-01-02T00:00:00.000","2956","Dahl's / Fleur Dr","4121 FLEUR DRIVE","DES MOINES","50300","POINT (-93.64492 41.546838)","77","Polk","1031100","100 PROOF VODKA","300","Mccormick Distilling Company","36908","Mccormick Vodka Pet","6","1750","7.47","11.21","12","134.52","21.00","5.55"
"S16627900130","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1081390","IMPORTED SCHNAPPS","260","Diageo Americas","69946","Rumple Minze Peppermint Schnapps Liqueur","12","750","12.75","19.13","3","57.39","2.25","0.59"
"S16623100006","2014-01-02T00:00:00.000","2666","Hy-Vee #2 / Ankeny","2510 SW STATE ST","ANKENY","50023","POINT (-93.621824 41.705188)","77","Polk","1062310","SPICED RUM","35","Bacardi U.S.A., Inc.","43205","Bacardi Oakheart","12","750","7.74","11.61","12","139.32","9.00","2.38"
"S16622600017","2014-01-02T00:00:00.000","4935","Ali's Liquor","1117 E 4TH ST","WATERLOO","50703","POINT (-92.332774 42.507683)","07","Black Hawk","1041100","AMERICAN DRY GINS","370","Pernod Ricard USA/Austin Nichols","32231","Seagrams Extra Dry Gin Mini","12","500","5.87","8.81","2","17.62","1.00","0.26"
"S16626000007","2014-01-02T00:00:00.000","4900","Kwik Stop 4 / Waterloo","515 BROADWAY ST","WATERLOO","50703","POINT (-92.345106 42.510792)","07","Black Hawk","1032080","IMPORTED VODKA","35","Bacardi U.S.A., Inc.","34359","Grey Goose Vodka","12","200","4.86","7.29","12","87.48","2.40","0.63"
"S16625500067","2014-01-02T00:00:00.000","2545","Hy-Vee Drugstore / Iowa City","310 N 1ST ST","IOWA CITY","52245","POINT (-91.528105 42.207428)","52","Johnson","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands","19030","Jim Beam Jacob's Ghost Mini","12","500","4.74","7.11","1","7.11","0.50","0.13"
"S16638800075","2014-01-02T00:00:00.000","2599","Hy-Vee Wine and Spirits / Coralville","1914 8TH STREET","CORALVILLE","52241","POINT (-91.590715 41.682013)","52","Johnson","1022100","TEQUILA","395","Proximo","89230","1800 Anejo Tequila","6","750","19.50","29.24","2","58.48","1.50","0.40"
"S16630500226","2014-01-02T00:00:00.000","2593","Hy-Vee Food Store / Carroll","905 US HIGHWAY 30 WEST","CARROLL","51401","POINT (-94.853591 42.064155)","14","Carroll","1052010","IMPORTED GRAPE BRANDIES","389","REMY COINTREAU USA         .","49189","Remy Martin Vsop Cognac","24","200","5.42","8.13","3","24.39","0.60","0.16"
"S16638500118","2014-01-02T00:00:00.000","2663","Hy-Vee / Urbandale","8701 DOUGLAS","URBANDALE","50322","POINT (-93.739105 41.629364)","77","Polk","1012300","IRISH WHISKIES","240","WILLIAM GRANT AND SONS, INC.","15940","Tullamore Dew Irish Whisky","12","750","13.60","20.39","4","81.56","3.00","0.79"
"S16628800016","2014-01-02T00:00:00.000","2106","Hillstreet News and Tobacco","2217 COLLEGE","CEDAR FALLS","50613","POINT (-92.455796 42.517182)","07","Black Hawk","1041100","AMERICAN DRY GINS","434","Luxco-St Louis","30527","Hawkeye Gin","12","1000","4.00","6.00","12","72.00","12.00","3.17"
"S16624500033","2014-01-02T00:00:00.000","2622","Hy-Vee Food Store / Iowa City","1125 N DODGE ST","IOWA CITY","52240","POINT (-91.518868 41.676095)","52","Johnson","1042100","IMPORTED DRY GINS","370","Pernod Ricard USA/Austin Nichols","28086","Beefeater Gin","12","750","10.74","16.11","3","48.33","2.25","0.59"
"S16629100064","2014-01-02T00:00:00.000","2130","Sycamore Convenience","617 SYCAMORE","WATERLOO","50703","POINT (-92.335358 42.497854)","07","Black Hawk","1081317","GRAPE SCHNAPPS","65","Jim Beam Brands","82637","Dekuyper Grape Pucker","12","1000","7.62","11.43","12","137.16","12.00","3.17"
"S16617200043","2014-01-02T00:00:00.000","2285","John's Grocery","401 EAST MARKET ST","IOWA CITY","52240","POINT (-91.529854 41.663541)","52","Johnson","1011200","STRAIGHT BOURBON WHISKIES","461","Campari(skyy)","22156","Wild Turkey 101","12","750","12.99","19.49","12","233.88","9.00","2.38"
"S16617600026","2014-01-02T00:00:00.000","2955","Dahl's / Beaver","1819 BEAVER","DES MOINES","50310","POINT (-93.672695 41.610525)","77","Polk","1011200","STRAIGHT BOURBON WHISKIES","55","Sazerac North America","21598","Ten High","6","1750","9.24","13.86","6","83.16","10.50","2.77"
"S16637200030","2014-01-02T00:00:00.000","3791","Pit Stop Liquor and Tobacco","111 E HARRISON ST","JEFFERSON","50129","POINT (-94.374156 42.014308)","37","Greene","1081600","WHISKEY LIQUEUR","421","Sazerac Co., Inc.","64867","Fireball Cinnamon Whiskey","12","1000","11.34","17.01","7","119.07","7.00","1.85"
"S16632600062","2014-01-02T00:00:00.000","2527","Hy-Vee Food Store #5 / Des Moines","1107 SE ARMY POST RD","DES MOINES","50315","POINT (-93.602372 41.526289)","77","Polk","1071100","AMERICAN COCKTAILS","55","Sazerac North America","57125","Chi-Chi's Gold Margarita","6","1750","6.00","9.25","6","55.50","10.50","2.77"
"S16626200154","2014-01-02T00:00:00.000","2616","Hy-Vee Food and Drug / Clinton","901 SOUTH 4TH ST","CLINTON","52732","POINT (-90.193204 41.836268000000004)","23","Clinton","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands","19064","Jim Beam","24","375","4.76","7.14","12","85.68","4.50","1.19"
"S16638900021","2014-01-02T00:00:00.000","3440","Hawkeye Pantry","501 LOCUST ST","DES MOINES","50309","POINT (-93.62410400000002 41.586991)","77","Polk","1012100","CANADIAN WHISKIES","260","Diageo Americas","11296","Crown Royal","12","750","14.75","22.13","2","44.26","1.50","0.40"
"S16636900006","2014-01-02T00:00:00.000","4896","Barrys Mini Mart","403, CHESTNUT ST","HARPERS FERRY","52146","POINT (-91.38553 43.050183)","03","Allamakee","1081200","CREAM LIQUEURS","305","MHW Ltd","73053","Rumchata","6","1000","16.34","24.51","2","49.02","2.00","0.53"
"S16627300041","2014-01-02T00:00:00.000","3829","Gary's Foods / Mt Vernon","715  1ST AVE S","MOUNT VERNON","52314","POINT (-91.422487 41.916708)","57","Linn","1031080","VODKA 80 PROOF","255","Wilson Daniels Ltd.","37886","Seagrams Vodka","12","750","5.38","8.07","4","32.28","3.00","0.79"
"S16627900050","2014-01-02T00:00:00.000","2551","Hy-Vee Food Store / Chariton","2001 WEST COURT","CHARITON","50049",,"59","Lucas","1032080","IMPORTED VODKA","370","Pernod Ricard USA/Austin Nichols","34006","Absolut Swedish Vodka 80 Prf","12","750","11.49","17.24","4","68.96","3.00","0.79"
"S16619000006","2014-01-02T00:00:00.000","2956","Dahl's / Fleur Dr","4121 FLEUR DRIVE","DES MOINES","50300","POINT (-93.64492 41.546838)","77","Polk","1082900","MISC. IMPORTED CORDIALS & LIQUEURS","192","Sidney Frank Importing Co.","65256","Jagermeister Liqueur","12","750","12.05","18.08","12","216.96","9.00","2.38"
"S16622200027","2014-01-02T00:00:00.000","4502","Neighborhood Mart / Waterloo","2100, LAFAYETTE ST","WATERLOO","50703","POINT (-92.31397200000002 42.489914)","07","Black Hawk","1022100","TEQUILA","410","The Patron Spirits Company","88294","Patron Silver Tequila","12","375","14.00","21.00","2","42.00","0.75","0.20"
"S16622700097","2014-01-02T00:00:00.000","2512","Hy-Vee Wine and Spirits / Iowa City","1720 WATERFRONT DR","IOWA CITY","52240","POINT (-91.53046300000001 41.642764)","52","Johnson","1012200","SCOTCH WHISKIES","260","Diageo Americas","4616","Buchanan Special Reserve 18YR","6","750","39.07","58.61","6","351.66","4.50","1.19"
"S16625200040","2014-01-02T00:00:00.000","3692","Wilkie Liquors","724  1ST ST E","MT VERNON","52314","POINT (-91.960918 41.994458)","57","Linn","1031080","VODKA 80 PROOF","380","Phillips Beverage Company","37347","Phillips Vodka","12","1000","4.29","6.44","12","77.28","12.00","3.17"
"S16636800156","2014-01-02T00:00:00.000","4829","Central City 2","1501 MICHIGAN AVE","DES MOINES","50314","POINT (-93.613739 41.60572)","77","Polk","1062300","FLAVORED RUM","260","Diageo Americas","43237","Captain Morgan Parrot Bay Strawberry","12","750","7.49","11.24","2","22.48","1.50","0.40"
"S16617200002","2014-01-02T00:00:00.000","2285","John's Grocery","401 EAST MARKET ST","IOWA CITY","52240","POINT (-91.529854 41.663541)","52","Johnson","1031080","VODKA 80 PROOF","297","Laird And Company","35916","Five O'clock Vodka","12","750","3.37","5.06","12","60.72","9.00","2.38"
"S16627300039","2014-01-02T00:00:00.000","3829","Gary's Foods / Mt Vernon","715  1ST AVE S","MOUNT VERNON","52314","POINT (-91.422487 41.916708)","57","Linn","1031080","VODKA 80 PROOF","380","Phillips Beverage Company","37336","Uv Vodka","12","750","6.50","9.74","3","29.22","2.25","0.59"
"S16640900156","2014-01-02T00:00:00.000","2633","Hy-Vee #3 / BDI / Des Moines","3221 SE 14TH ST","DES MOINES","50320","POINT (-93.596754 41.554101)","77","Polk","1081230","WHITE CREME DE CACAO","434","Luxco-St Louis","78616","Arrow Creme de Cacao White","12","750","4.50","6.75","12","81.00","9.00","2.38"
"S16640900113","2014-01-02T00:00:00.000","2633","Hy-Vee #3 / BDI / Des Moines","3221 SE 14TH ST","DES MOINES","50320","POINT (-93.596754 41.554101)","77","Polk","1052010","IMPORTED GRAPE BRANDIES","420","Moet Hennessy USA, Inc.","48106","Hennessy Vs Cognac","12","750","17.99","26.99","24","647.76","18.00","4.76"
"S16626100001","2014-01-02T00:00:00.000","4902","Broadway Liquor","821 BROADWAY ST","WATERLOO","50703","POINT (-92.345144 42.513772)","07","Black Hawk","1052010","IMPORTED GRAPE BRANDIES","389","REMY COINTREAU USA         .","966293","Remy Martin V","12","375","10.07","15.11","24","362.64","9.00","2.38"
"S16629300025","2014-01-02T00:00:00.000","2571","Hy-Vee Food Store #2 / Waterloo","2181 LOGAN AVE","WATERLOO","50703","POINT (-92.337583 42.530476)","07","Black Hawk","1081600","WHISKEY LIQUEUR","85","Brown-Forman Corporation","86887","Southern Comfort","12","1000","12.48","18.72","12","224.64","12.00","3.17"
"S16636400017","2014-01-02T00:00:00.000","4684","Indy 66 #928 / Indianola","1201 N JEFFERSON","INDIANOLA","50125",,"91","Warren","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation","26822","Jack Daniels Black Label","48","100","1.52","2.28","8","18.24","0.80","0.21"
"S16623000018","2014-01-02T00:00:00.000","4642","Liquor and Tobacco Outlet / Univ Ave","2844 UNIVERSITY AVE","WATERLOO","50701","POINT (-92.382928 42.498321)","07","Black Hawk","1081200","CREAM LIQUEURS","305","MHW Ltd","73050","Rumchata","6","750","12.50","18.75","6","112.50","4.50","1.19"
"S16640300065","2014-01-02T00:00:00.000","4344","Spirits / Grimes","109 EAST 1ST ST STE B","GRIMES","50111","POINT (-93.793827 41.68840000000001)","77","Polk","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","434","Luxco-St Louis","46351","Hawkeye Light Rum","12","1000","4.34","6.51","1","6.51","1.00","0.26"
"S16626300031","2014-01-02T00:00:00.000","2487","Anamosa Family Foods","402 EAST MAIN","ANAMOSA","52205","POINT (-91.281344 42.108275)","53","Jones","1012100","CANADIAN WHISKIES","115","Constellation Wine Company, Inc.","11774","Black Velvet","24","375","3.07","4.60","24","110.40","9.00","2.38"
"S16628700062","2014-01-02T00:00:00.000","2513","Hy-Vee Food Store #2 / Iowa City","812  S 1ST AVE","IOWA CITY","52240",,"52","Johnson","1071100","AMERICAN COCKTAILS","65","Jim Beam Brands","63355","Skinnygirl Margarita","12","750","6.29","9.44","12","113.28","9.00","2.38"
"S16616800008","2014-01-02T00:00:00.000","3995","Barmuda Distribution","6027 University Ave STE 100","CEDAR FALLS","50613","POINT (-92.430437 42.512768)","07","Black Hawk","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","434","Luxco-St Louis","46351","Hawkeye Light Rum","12","1000","4.34","6.51","12","78.12","12.00","3.17"
"S16636800035","2014-01-02T00:00:00.000","4829","Central City 2","1501 MICHIGAN AVE","DES MOINES","50314","POINT (-93.613739 41.60572)","77","Polk","1032200","IMPORTED VODKA - MISC","370","Pernod Ricard USA/Austin Nichols","34078","Absolut Vanilia","12","1000","15.00","22.49","12","269.88","12.00","3.17"
"S16623700005","2014-01-02T00:00:00.000","3769","Wal-Mart 0753 / Cedar Fall","525 BRANDILYNN BLVD","CEDAR FALLS","50613","POINT (-92.440394 42.485042)","07","Black Hawk","1071100","AMERICAN COCKTAILS","55","Sazerac North America","57148","Chi-Chi's Margarita W/tequila","6","1750","6.00","9.25","6","55.50","10.50","2.77"
"S16635800054","2014-01-02T00:00:00.000","4349","Southside Food Mart","1101 ARMY POST RD","DES MOINES","50315","POINT (-93.628783 41.526511)","77","Polk","1041150","FLAVORED GINS","370","Pernod Ricard USA/Austin Nichols","33286","Seagrams Peach Twisted Gin","12","750","5.99","8.99","1","8.99","0.75","0.20"
"S16626700023","2014-01-02T00:00:00.000","4186","H and A Mini Mart / Phillips 66","5901 FLEUR DR","DES MOINES","50321","POINT (-93.644946 41.531145)","77","Polk","1031100","100 PROOF VODKA","434","Luxco-St Louis","36301","Hawkeye Vodka 80 Prf Mini","12","500","3.73","5.59","3","16.77","1.50","0.40"
"S16636800018","2014-01-02T00:00:00.000","4829","Central City 2","1501 MICHIGAN AVE","DES MOINES","50314","POINT (-93.613739 41.60572)","77","Polk","1011200","STRAIGHT BOURBON WHISKIES","461","Campari(skyy)","22156","Wild Turkey 101","12","750","12.99","19.49","12","233.88","9.00","2.38"
"S16625800009","2014-01-02T00:00:00.000","4686","Sunny's Mart / Clinton","630 N 3rd ST","CLINTON","52732","POINT (-90.189909 41.850694000000004)","23","Clinton","1011100","BLENDED WHISKIES","65","Jim Beam Brands","22786","Beam's 8 Star Bl Whiskey","12","750","3.46","5.19","12","62.28","9.00","2.38"
"S16631700014","2014-01-02T00:00:00.000","4958","Five Corners Liquor & Wine","809 E 18TH ST","CEDAR FALLS","50613","POINT (-92.436845 42.5214)","07","Black Hawk","1031200","VODKA FLAVORED","380","Phillips Beverage Company","41698","Uv Ivory (vanilla) Vodka","12","750","6.50","9.74","3","29.22","2.25","0.59"
