"fiscal_year","state_name","county","membership_group","refunds_paid","location_1"
"2017","MICHIGAN",,"REGULAR","172358.50",
"2016","IOWA","JASPER","REGULAR","1242664.85","POINT (-93.053765 41.6860394)"
"2016","IOWA","DUBUQUE","SPECIAL SERVICE","48450.43","POINT (-90.8824564 42.468832)"
"2018","NEW JERSEY",,"REGULAR","46947.74",
"2017","IOWA","PLYMOUTH","SPECIAL SERVICE","8329.17",
"2017","IOWA","MAHASKA","SPECIAL SERVICE","22362.18",
"2016","IOWA","WASHINGTON","SPECIAL SERVICE","4325.39","POINT (-91.7178676 41.335591)"
"2018","PENNSYLVANIA",,"REGULAR","65304.16",
"2015","IOWA","PLYMOUTH","SPECIAL SERVICE","45606.79","POINT (-96.2140431 42.7378346)"
"2017","UTAH",,"REGULAR","28838.81",
"2015","IOWA","CERRO GORDO","REGULAR","240523.43","POINT (-93.2608184 43.081557700000005)"
"2016","IOWA","WINNEBAGO","SPECIAL SERVICE","1881.38","POINT (-93.7341955 43.37756780000001)"
"2016","IOWA","MARION","REGULAR","436710.19","POINT (-93.0994367 41.3344515)"
"2017","KANSAS",,"REGULAR","438685.54",
"2015","MARYLAND",,"REGULAR","41166.11",
"2017","IOWA","CARROLL","REGULAR","205577.12",
"2017","DISTRICT OF COLUMBIA",,"REGULAR","8972.06",
"2016","IOWA","TAYLOR","SPECIAL SERVICE","78287.10","POINT (-94.6964148 40.73743240000001)"
"2015","IOWA","CALHOUN","SPECIAL SERVICE","7354.85","POINT (-94.6404136 42.385184800000005)"
"2015","IOWA","GUTHRIE","SPECIAL SERVICE","569.11","POINT (-94.501055 41.6837548)"
"2015","IOWA","GRUNDY","SPECIAL SERVICE","176308.37","POINT (-92.7914177 42.4018651)"
"2016","HAWAII",,"REGULAR","18577.11",
"2015","IOWA","JACKSON","SPECIAL SERVICE","72884.75","POINT (-90.5742294 42.1717426)"
"2018","RHODE ISLAND",,"REGULAR","1640.3",
"2017","IOWA","WARREN","SPECIAL SERVICE","69685.47",
"2017","CALIFORNIA",,"SPECIAL SERVICE","9447.67",
"2017","IOWA","CERRO GORDO","REGULAR","347726.37",
"2017","IOWA","CLAY","REGULAR","333458.12",
"2017","IOWA","HANCOCK","SPECIAL SERVICE","37460.05",
"2016","IOWA","CLARKE","SPECIAL SERVICE","3424.85","POINT (-93.78515790000002 41.0290323)"
"2017","IOWA","SHELBY","SPECIAL SERVICE","559.00",
"2017","TENNESSEE",,"REGULAR","91647.62",
"2015","IOWA","CLARKE","SPECIAL SERVICE","32746.68","POINT (-93.78515790000002 41.0290323)"
"2016","MAINE",,"SPECIAL SERVICE","16.75",
"2015","IOWA","CHICKASAW","SPECIAL SERVICE","3103.36","POINT (-92.3176637 43.06004140000001)"
"2015","IOWA","DAVIS","REGULAR","105838.88","POINT (-92.4097173 40.7476891)"
"2015","OHIO",,"SPECIAL SERVICE","298.66",
"2017","CONNECTICUT",,"REGULAR","3978.46",
"2017","IOWA","ADAIR","REGULAR","224842.43",
"2017","CALIFORNIA",,"REGULAR","177328.09",
"2017","IOWA","WINNESHIEK","SPECIAL SERVICE","6153.33",
"2015","IOWA","IDA","REGULAR","11765.98","POINT (-95.5134962 42.3868747)"
"2015","OKLAHOMA",,"REGULAR","21759.11",
"2016","ILLINOIS",,"REGULAR","704461.48",
"2017","IOWA","PAGE","SPECIAL SERVICE","358696.29",
"2016","IOWA","WINNESHIEK","SPECIAL SERVICE","454.99","POINT (-91.8437074 43.2906746)"
"2015","OREGON",,"REGULAR","103380.85",
"2015","IOWA","WEBSTER","REGULAR","382984.06","POINT (-94.18178810000002 42.4279662)"
"2015","IOWA","CLARKE","REGULAR","82789.13","POINT (-93.78515790000002 41.0290323)"
"2017","NEW MEXICO",,"REGULAR","27846.30",
"2017","GUAM",,"REGULAR","8267.18",
"2017","IOWA","JASPER","REGULAR","616922.41",
"2017","OHIO",,"REGULAR","81712.96",
"2016","MISSISSIPPI",,"REGULAR","1005.39",
"2017","IOWA","BOONE","SPECIAL SERVICE","136079.86",
"2017","ILLINOIS",,"SPECIAL SERVICE","180955.98",
"2015","ARIZONA",,"REGULAR","276915.15",
"2015","IOWA","MILLS","REGULAR","467684.24","POINT (-95.62132670000001 41.0334523)"
"2016","IOWA","POCAHONTAS","SPECIAL SERVICE","27920.01","POINT (-94.67874660000001 42.73413510000001)"
"2016","NEW MEXICO",,"REGULAR","26365.03",
"2016","IOWA","GRUNDY","SPECIAL SERVICE","2017.30","POINT (-92.7914177 42.4018651)"
"2015","RHODE ISLAND",,"REGULAR","32171.70",
"2017","IOWA","FREMONT","REGULAR","125084.97",
"2016","ARIZONA",,"SPECIAL SERVICE","13946.79",
"2017","ARKANSAS",,"REGULAR","22250.03",
"2017","IOWA","IDA","REGULAR","29080.42",
"2015","NEBRASKA",,"REGULAR","788264.88",
"2017","IOWA","UNION","SPECIAL SERVICE","9838.87",
"2016","IOWA","CLARKE","REGULAR","290524.88","POINT (-93.78515790000002 41.0290323)"
"2016","RHODE ISLAND",,"REGULAR","230.41",
"2016","IOWA","POTTAWATTAMIE","REGULAR","1130406.90","POINT (-95.5423935 41.3366123)"
"2015","WISCONSIN",,"SPECIAL SERVICE","8893.32",
"2015","NEW YORK",,"REGULAR","104996.59",
"2017","MICHIGAN",,"SPECIAL SERVICE","19619.64",
"2016","IOWA","POLK","REGULAR","5863026.60","POINT (-93.5735335 41.6855048)"
"2015","IOWA","CHICKASAW","REGULAR","110626.91","POINT (-92.3176637 43.06004140000001)"
"2016","IOWA","OSCEOLA","SPECIAL SERVICE","392.59","POINT (-95.6236852 43.3785704)"
"2015","MISSOURI",,"REGULAR","601228.39",
"2016","IOWA","PALO ALTO","REGULAR","112695.63","POINT (-94.6781371 43.0820643)"
"2015","IOWA","IOWA","SPECIAL SERVICE","71731.80","POINT (-92.065524 41.6863229)"
"2017","SOUTH CAROLINA",,"SPECIAL SERVICE","41094.88",
"2016","IOWA","BUCHANAN","REGULAR","446450.38","POINT (-91.8378392 42.4707777)"
"2016","IOWA","LYON","REGULAR","42112.99","POINT (-96.2102924 43.380497)"
"2016","IOWA","CLAYTON","SPECIAL SERVICE","25049.69","POINT (-91.34143280000002 42.8447493)"
"2015","MARYLAND",,"SPECIAL SERVICE","131.03",
"2015","IOWA","WORTH","REGULAR","78680.94","POINT (-93.2608476 43.3773984)"
"2016","IOWA","MARSHALL","REGULAR","956176.72","POINT (-92.9987706 42.0358499)"
"2015","IOWA","STORY","SPECIAL SERVICE","89148.00","POINT (-93.4650448 42.0362415)"
"2017","IOWA","MUSCATINE","SPECIAL SERVICE","24133.31",
"2016","IOWA","BENTON","SPECIAL SERVICE","46257.78","POINT (-92.0656912 42.0801864)"
"2017","IOWA","DECATUR","REGULAR","89267.58",
"2015","IOWA","FAYETTE","SPECIAL SERVICE","54345.58","POINT (-91.8443207 42.8625919)"
"2017","VIRGINIA",,"SPECIAL SERVICE","2862.46",
"2017","IOWA","CALHOUN","REGULAR","56762.71",
"2017","IOWA","FAYETTE","REGULAR","126707.12",
"2016","IOWA","DES MOINES","SPECIAL SERVICE","101276.08","POINT (-91.1814707 40.9231829)"
"2015","IOWA","LUCAS","REGULAR","94798.87","POINT (-93.3277207 41.0293738)"
"2016","DISTRICT OF COLUMBIA",,"REGULAR","11222.95",
"2017","IOWA","WASHINGTON","SPECIAL SERVICE","75313.16",
"2015","IOWA","POLK","REGULAR","5207341.36","POINT (-93.5735335 41.6855048)"
"2017","IOWA","WARREN","REGULAR","783752.66",
"2017","IOWA","POLK","SPECIAL SERVICE","269296.62",
"2015","MICHIGAN",,"SPECIAL SERVICE","17006.45",
"2016","IOWA","HUMBOLDT","REGULAR","157867.16","POINT (-94.2071868 42.7764686)"
"2015","KANSAS",,"REGULAR","257868.09",
"2016","IOWA","CRAWFORD","REGULAR","227494.11","POINT (-95.3819678 42.0372125)"
"2017","IOWA","POCAHONTAS","SPECIAL SERVICE","4997.50",
"2016","IOWA","WAYNE","REGULAR","147624.63","POINT (-93.3273639 40.73947020000001)"
"2016","IOWA","POWESHIEK","SPECIAL SERVICE","89939.35","POINT (-92.53146840000001 41.6864422)"
"2016","COLORADO",,"REGULAR","210848.93",
"2017","IOWA","LINN","REGULAR","2331032.72",
"2016","ALASKA",,"REGULAR","1745.05",
"2015","WYOMING",,"REGULAR","75447.82",
"2015","IOWA","LOUISA","SPECIAL SERVICE","14681.34","POINT (-91.2596184 41.2185073)"
"2015","IOWA","CHEROKEE","REGULAR","80671.15","POINT (-95.6238055 42.7356226)"
"2017","IOWA","CLAY","SPECIAL SERVICE","84617.63",
"2016","IOWA","STORY","SPECIAL SERVICE","161235.53","POINT (-93.4650448 42.0362415)"
"2016","NEW YORK",,"REGULAR","36175.52",
"2015","MISSOURI",,"SPECIAL SERVICE","31684.01",
"2018","MISSOURI",,"SPECIAL SERVICE","100486.51",
"2015","IOWA","BUCHANAN","SPECIAL SERVICE","777.38","POINT (-91.8378392 42.4707777)"
"2015","LOUISIANA",,"SPECIAL SERVICE","32.03",
"2016","IOWA","UNION","SPECIAL SERVICE","17770.91","POINT (-94.2423792 41.0277304)"
"2016","IOWA","IOWA","REGULAR","360432.31","POINT (-92.065524 41.6863229)"
"2015","IOWA","HAMILTON","REGULAR","222826.96","POINT (-93.7068085 42.3837722)"
"2015","IOWA","FRANKLIN","SPECIAL SERVICE","3248.90","POINT (-93.262473 42.7325458)"
"2015","IOWA","DUBUQUE","SPECIAL SERVICE","116607.10","POINT (-90.8824564 42.468832)"
"2015","IDAHO",,"REGULAR","79458.49",
"2017","MINNESOTA",,"SPECIAL SERVICE","60186.09",
"2016","IOWA","CHICKASAW","REGULAR","80559.22","POINT (-92.3176637 43.06004140000001)"
"2016","IOWA","WORTH","REGULAR","17642.90","POINT (-93.2608476 43.3773984)"
"2015","IOWA","WEBSTER","SPECIAL SERVICE","118051.86","POINT (-94.18178810000002 42.4279662)"
"2017","IDAHO",,"SPECIAL SERVICE","99.32",
"2015","IOWA","MARION","REGULAR","454722.79","POINT (-93.0994367 41.3344515)"
"2017","IOWA","JEFFERSON","SPECIAL SERVICE","43767.10",
"2016","GEORGIA",,"REGULAR","146493.58",
"2017","IOWA","WRIGHT","SPECIAL SERVICE","446.30",
"2015","IOWA","HANCOCK","SPECIAL SERVICE","1398.42","POINT (-93.7342723 43.0818861)"
"2015","IOWA","FREMONT","REGULAR","202928.08","POINT (-95.6046765 40.7455892)"
"2018","NEVADA",,"REGULAR","93066.75",
"2015","IOWA","SAC","REGULAR","34468.06","POINT (-95.1053946 42.3862604)"
"2016","IOWA","JACKSON","SPECIAL SERVICE","4588.07","POINT (-90.5742294 42.1717426)"
"2018","ARKANSAS",,"REGULAR","100055.48",
"2015","IOWA","CARROLL","REGULAR","126734.19","POINT (-94.8605593 42.0362382)"
"2016","NORTH CAROLINA",,"REGULAR","282480.89",
"2017","IOWA","IOWA","SPECIAL SERVICE","9731.30",
"2016","CALIFORNIA",,"SPECIAL SERVICE","846.49",
"2015","IOWA","OSCEOLA","REGULAR","84241.67","POINT (-95.6236852 43.3785704)"
"2017","SOUTH DAKOTA",,"REGULAR","222116.20",
"2017","IOWA","PAGE","REGULAR","380521.53",
"2016","IOWA","EMMET","REGULAR","26510.09","POINT (-94.6784803 43.37802250000001)"
"2016","IOWA","MONTGOMERY","SPECIAL SERVICE","9201.60","POINT (-95.1563758 41.03014)"
"2017","WEST VIRGINIA",,"REGULAR","2795.00",
"2017","IOWA","HUMBOLDT","SPECIAL SERVICE","3277.39",
"2016","IOWA","MUSCATINE","SPECIAL SERVICE","58949.11","POINT (-91.1127562 41.4839221)"
"2017","IOWA","WAYNE","REGULAR","144040.99",
"2016","IOWA","EMMET","SPECIAL SERVICE","5978.77","POINT (-94.6784803 43.37802250000001)"
"2015","IOWA","HARRISON","SPECIAL SERVICE","25168.71","POINT (-95.8169209 41.6828528)"
"2016","IOWA","MONONA","SPECIAL SERVICE","311.11","POINT (-95.9599235 42.0516663)"
"2015","IOWA","EMMET","REGULAR","33706.67","POINT (-94.6784803 43.37802250000001)"
"2016","TEXAS",,"REGULAR","669464.17",
"2015","IOWA","MONONA","SPECIAL SERVICE","5516.35","POINT (-95.9599235 42.0516663)"
"2017","IOWA","TAMA","REGULAR","211841.52",
"2015","IOWA","BUENA VISTA","REGULAR","89038.43","POINT (-95.15114900000002 42.7354936)"
"2017","IOWA","JOHNSON","REGULAR","1449673.24",
"2015","IOWA","BENTON","REGULAR","125191.24","POINT (-92.0656912 42.0801864)"
"2017","WISCONSIN",,"SPECIAL SERVICE","45460.44",
"2015","IOWA","VAN BUREN","SPECIAL SERVICE","4314.02","POINT (-91.9499871 40.7532294)"
"2015","NEW JERSEY",,"REGULAR","45965.96",
"2015","IOWA","WARREN","REGULAR","611795.22","POINT (-93.5613594 41.3343735)"
"2015","IOWA","MUSCATINE","SPECIAL SERVICE","205907.35","POINT (-91.1127562 41.4839221)"
"2017","IOWA","CHICKASAW","REGULAR","134559.39",
"2015","TENNESSEE",,"SPECIAL SERVICE","326.42",
"2016","IOWA","DUBUQUE","REGULAR","734865.06","POINT (-90.8824564 42.468832)"
"2015","IOWA","LYON","REGULAR","112446.76","POINT (-96.2102924 43.380497)"
"2016","IOWA","MILLS","REGULAR","448872.01","POINT (-95.62132670000001 41.0334523)"
"2018","SOUTH CAROLINA",,"REGULAR","43203.51",
"2016","IOWA","CLAY","SPECIAL SERVICE","13688.97","POINT (-95.1509194 43.0825804)"
"2018","MARYLAND",,"REGULAR","53734.15",
"2016","IOWA","DELAWARE","REGULAR","110220.55","POINT (-91.3673502 42.471211)"
"2016","MICHIGAN",,"REGULAR","132072.64",
"2018","COLORADO",,"SPECIAL SERVICE","8605.6",
"2015","IOWA","EMMET","SPECIAL SERVICE","11405.31","POINT (-94.6784803 43.37802250000001)"
"2015","IOWA","OBRIEN","REGULAR","95060.00","POINT (-95.6248784 43.0837527)"
"2016","IOWA","POWESHIEK","REGULAR","109983.87","POINT (-92.53146840000001 41.6864422)"
"2016","IOWA","HUMBOLDT","SPECIAL SERVICE","84919.92","POINT (-94.2071868 42.7764686)"
"2015","IOWA","PAGE","REGULAR","525288.03","POINT (-95.1501747 40.7391444)"
"2017","MONTANA",,"REGULAR","27811.47",
"2018","NEBRASKA",,"SPECIAL SERVICE","30151.32",
"2016","OHIO",,"SPECIAL SERVICE","1796.22",
"2017","ALABAMA",,"REGULAR","11945.05",
"2017","IOWA","POCAHONTAS","REGULAR","35110.14",
"2015","IOWA","BUCHANAN","REGULAR","223868.67","POINT (-91.8378392 42.4707777)"
"2017","IOWA","POTTAWATTAMIE","REGULAR","851912.19",
"2016","NEBRASKA",,"SPECIAL SERVICE","249953.54",
"2017","IOWA","SCOTT","SPECIAL SERVICE","53408.24",
"2015","IOWA","ALLAMAKEE","REGULAR","67009.12","POINT (-91.3780923 43.2842838)"
"2015","IOWA","JONES","REGULAR","120396.34","POINT (-91.1314352 42.1212397)"
"2018","MICHIGAN",,"REGULAR","216118.7",
"2017","IOWA","HUMBOLDT","REGULAR","350964.18",
"2015","IOWA","TAMA","SPECIAL SERVICE","6527.55","POINT (-92.5325425 42.07981170000001)"
"2017","WYOMING",,"REGULAR","2931.95",
"2016","IOWA","BREMER","REGULAR","267068.28","POINT (-92.31805480000001 42.7745873)"
"2015","CALIFORNIA",,"SPECIAL SERVICE","73250.40",
"2016","IOWA","GUTHRIE","REGULAR","137864.57","POINT (-94.501055 41.6837548)"
"2017","IOWA","BENTON","SPECIAL SERVICE","25989.42",
"2016","MONTANA",,"REGULAR","21354.45",
"2018","TENNESSEE",,"SPECIAL SERVICE","17766.46",
