"levyauthority","levyauthorityname","fiscal_year","ur_number","countoftd_number","starting_balance","sumofrevenue","sumofrevenue_interest","sumofproperty_tax_replacement","sumofsales_repayments","rebates_amount_sum_sumofamount","expenditure_amount_sum","sumofreturned","ending_balance","primary_lat_dec","primary_long_dec","geocoded_column"
"97G931","HORNICK","2021","97028","2","40666","56969","0","0","0","23107","12920","0","61608","-96.097517","42.2305463","POINT (42.2305463 -96.097517)"
"99G948","BELMOND","2021","99027","6","28784","63498","0","0","0","22387","0","0","69895","-93.6140991","42.84608","POINT (42.84608 -93.6140991)"
"98G944","JOICE","2021","98013","6","442","163628","0","0","0","85324","56883","0","21863","-93.4538203","43.362733","POINT (43.362733 -93.4538203)"
"70G653","MUSCATINE","2021","70024","0","0","0","0","0","0","0","0","0","0","-91.0432051","41.424473","POINT (41.424473 -91.0432051)"
"92G887","WASHINGTON","2021","92014","5","96823","150754","0","0","0","0","48600","0","198977","-91.6929449","41.2991837","POINT (41.2991837 -91.6929449)"
"09G066","JANESVILLE","2021","09015","2","0","0","0","0","0","0","0","0","0","-92.4629637","42.6460934","POINT (42.6460934 -92.4629637)"
"82G786","WALCOTT","2021","82050","1","44943","0","0","0","0","0","0","0","44943","-90.7720884","41.5847516","POINT (41.5847516 -90.7720884)"
"70G653","MUSCATINE","2021","70006","25","654256","1654151","2199","0","0","536156","974434","0","800016","-91.0432051","41.424473","POINT (41.424473 -91.0432051)"
"43G409","WOODBINE","2021","43014","3","0","67087","0","0","0","27595","0","0","39492","-95.7027843","41.7383218","POINT (41.7383218 -95.7027843)"
"18G154","CHEROKEE","2021","18014","1","0","0","0","0","0","0","0","0","0","-95.551674","42.7494277","POINT (42.7494277 -95.551674)"
"78G731","CARTER LAKE","2021","78044","5","2238274","0","0","83697","0","438707","0","0","1883264","-95.9180689","41.2905534","POINT (41.2905534 -95.9180689)"
"14G122","LIDDERDALE","2021","14026","2","379","46721","0","0","0","0","38894","0","8206","-94.7830386","42.124429","POINT (42.124429 -94.7830386)"
"56G530","FORT MADISON","2021","56134","4","23514","79548","615","0","0","0","24150","0","79527","-91.3151506","40.6297632","POINT (40.6297632 -91.3151506)"
"41G383","GARNER","2021","41009","10","3957","730712","0","53773","0","105149","275520","0","407773","-93.6018782","43.1024603","POINT (43.1024603 -93.6018782)"
"84G804","HULL","2021","84070","7","0","40537","0","0","0","0","0","0","40537","-96.1336329","43.1885919","POINT (43.1885919 -96.1336329)"
"96G920","DECORAH","2021","96008","3","0","1282622","0","1978","0","116602","0","0","1167998","-91.7857092","43.3033056","POINT (43.3033056 -91.7857092)"
"40G378","WEBSTER CITY","2021","40020","2","0","0","0","0","0","0","0","0","0","-93.816054","42.4694184","POINT (42.4694184 -93.816054)"
"70G653","MUSCATINE","2021","70005","6","13397","41425","49","0","0","39825","0","0","15046","-91.0432051","41.424473","POINT (41.424473 -91.0432051)"
"30G274","MILFORD","2021","30032","4","12040","28230","0","0","0","40270","0","0","0","-95.149996","43.3246863","POINT (43.3246863 -95.149996)"
"92G887","WASHINGTON","2021","92018","9","0","243162","0","0","0","7060","114521","0","121581","-91.6929449","41.2991837","POINT (41.2991837 -91.6929449)"
"57G539","CEDAR RAPIDS","2021","57936","4","297192","272675","0","0","0","286739","340222","0","-57094","-91.6440683","42.0083328","POINT (42.0083328 -91.6440683)"
"54G512","SIGOURNEY","2021","54001","2","15690","26750","0","0","0","20829","5300","0","16311","-92.2046255","41.3333445","POINT (41.3333445 -92.2046255)"
"30G277","SPIRIT LAKE","2021","30006","2","4457","74692","0","0","0","71797","0","0","7352","-95.1022169","43.4221843","POINT (43.4221843 -95.1022169)"
"01G004","GREENFIELD","2021","01002","7","287809","209655","0","0","0","0","13872","0","483592","-94.4613543","41.3052657","POINT (41.3052657 -94.4613543)"
"79","POWESHIEK","2021","79015","3","0","0","0","0","0","0","0","0","0","-92.5314684","41.6864422","POINT (41.6864422 -92.5314684)"
"60G575","ROCK RAPIDS","2021","60117","4","0","54042","0","3968","0","57303","5698","0","-4991","-96.1758598","43.4271945","POINT (43.4271945 -96.1758598)"
"74G687","GRAETTINGER","2021","74004","3","0","0","0","0","0","0","0","0","0","-94.7513713","43.2377381","POINT (43.2377381 -94.7513713)"
"12G102","SHELL ROCK","2021","12010","17","173282","517658","0","0","856","35456","57884","0","598456","-92.5829664","42.7102579","POINT (42.7102579 -92.5829664)"
"56G530","FORT MADISON","2021","56149","2","-94424","56094","0","0","0","44874","0","0","-83204","-91.3151506","40.6297632","POINT (40.6297632 -91.3151506)"
"42G391","ELDORA","2021","42003","4","131751","0","0","0","0","4401","40428","0","86922","-93.0996464","42.360816","POINT (42.360816 -93.0996464)"
"49G457","PRESTON","2021","49019","3","67991","0","268","60317","0","0","50000","0","78576","-90.4140201","42.0503013","POINT (42.0503013 -90.4140201)"
"23G205","CLINTON","2021","23010","5","70513","783952","617","0","0","804408","0","0","50674","-90.1887379","41.8444735","POINT (41.8444735 -90.1887379)"
"57G539","CEDAR RAPIDS","2021","57943","6","-42759","1334193","0","28407","0","0","45891","0","1273950","-91.6440683","42.0083328","POINT (42.0083328 -91.6440683)"
"62G590","OSKALOOSA","2021","62001","8","9402","4823448","314","0","0","28960","305590","0","4498614","-92.6443593","41.296395","POINT (41.296395 -92.6443593)"
"78G732","COUNCIL BLUFFS","2021","78046","4","2871","1011555","0","0","0","833552","180874","0","0","-95.8608333","41.2619444","POINT (41.2619444 -95.8608333)"
"15G128","ATLANTIC","2021","15009","2","941","0","0","0","0","0","0","0","941","-95.0138776","41.4036007","POINT (41.4036007 -95.0138776)"
"46G704","GILMORE CITY","2021","76006","4","6070","13110","0","0","0","0","0","0","19180","-94.4477507","42.7294176","POINT (42.7294176 -94.4477507)"
"77G727","WEST DES MOINES","2021","77097","3","-14897","85662","0","0","0","71780","2076","0","-3091","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
"33G322","WEST UNION","2021","33002","19","0","66001","0","0","0","27354","6100","0","32547","-91.8082167","42.9627564","POINT (42.9627564 -91.8082167)"
"37G349","JEFFERSON","2021","37002","4","0","15881","0","0","0","12694","0","0","3187","-94.3774684","42.0152609","POINT (42.0152609 -94.3774684)"
"77G727","WEST DES MOINES","2021","77110","1","0","0","0","0","0","0","0","0","0","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
"1","ADAIR COUNTY","2021","01009","16","3219003","3380269","7632","0","0","0","2320120","0","4286784","-94.4613543","41.3052657","POINT (41.3052657 -94.4613543)"
"87G843","LENOX","2021","87008","10","0","87681","0","0","300000","37923","285476","0","64282","-94.5619095","40.8816547","POINT (40.8816547 -94.5619095)"
"52G488","SOLON","2021","52022","10","-3209","2266511","237","0","0","18586","678002","0","1566951","-91.4940604","41.8072344","POINT (41.8072344 -91.4940604)"
"16G136","CLARENCE","2021","16001","4","29485","38113","0","0","0","25078","0","0","42520","-91.0565423","41.888907","POINT (41.888907 -91.0565423)"
"30G274","MILFORD","2021","30029","2","0","250500","0","0","0","163185","44190","0","43125","-95.149996","43.3246863","POINT (43.3246863 -95.149996)"
"45","HOWARD","2021","45014","6","0","24000","0","0","0","24000","0","0","0","-92.3171989","43.3567673","POINT (43.3567673 -92.3171989)"
"88G848","CRESTON","2021","88007","2","56","91775","0","0","0","0","91425","0","406","-94.3613475","41.0586002","POINT (41.0586002 -94.3613475)"
"52G485","NORTH LIBERTY","2021","52001","30","1681769","5990727","0","0","0","1062680","4064406","0","2545410","-91.5979498","41.7491805","POINT (41.7491805 -91.5979498)"
"72G671","SIBLEY","2021","72001","1","-14206","0","0","0","262785","0","260743","0","-12164","-95.7519604","43.399136","POINT (43.399136 -95.7519604)"
"57G547","MARION","2021","57071","5","338","25452","10","0","0","0","24806","0","994","-91.5976773","42.0341658","POINT (42.0341658 -91.5976773)"
"66","MITCHELL","2021","66011","2","0","97780","0","0","0","38655","0","0","59125","-92.7890315","43.3564124","POINT (43.3564124 -92.7890315)"
"31G288","DUBUQUE","2021","31051","6","-1948","19105","0","0","0","0","0","0","17157","-90.6645718","42.5005583","POINT (42.5005583 -90.6645718)"
"75G700","REMSEN","2021","75022","4","177950","120554","1101","0","0","0","50201","0","249404","-95.9733511","42.8147111","POINT (42.8147111 -95.9733511)"
"25G232","DE SOTO","2021","25035","5","0","548940","19","0","0","49461","205029","0","294469","-94.0096743","41.5316555","POINT (41.5316555 -94.0096743)"
"64G611","MARSHALLTOWN","2021","64011","2","343733","265573","5966","0","0","0","342650","0","272622","-92.9079774","42.0494323","POINT (42.0494323 -92.9079774)"
"85G811","AMES","2021","85026","1","-2534","0","0","383197","0","381846","0","0","-1183","-93.6199402","42.0347081","POINT (42.0347081 -93.6199402)"
"03G013","POSTVILLE","2021","03002","4","-116606","125112","0","0","0","0","124700","0","-116194","-91.5682015","43.084702","POINT (43.084702 -91.5682015)"
"46G429","HUMBOLDT","2021","46010","2","14276","0","0","0","0","0","3556","14276","-3556","-94.2152402","42.7208047","POINT (42.7208047 -94.2152402)"
"46G429","HUMBOLDT","2021","46009","13","573519","216954","0","0","0","0","357286","0","433187","-94.2152402","42.7208047","POINT (42.7208047 -94.2152402)"
"08G057","BOONE","2021","08005","3","72838","31377","0","0","0","0","31372","0","72843","-93.8802273","42.0597047","POINT (42.0597047 -93.8802273)"
"57G539","CEDAR RAPIDS","2021","57955","0","-567","0","0","0","0","0","0","0","-567","-91.6440683","42.0083328","POINT (42.0083328 -91.6440683)"
"60","LYON","2021","60012","5","0","66133","0","0","0","39307","0","0","26826","-96.2102924","43.380497","POINT (43.380497 -96.2102924)"
"18G154","CHEROKEE","2021","18019","1","0","0","0","0","0","0","0","0","0","-95.551674","42.7494277","POINT (42.7494277 -95.551674)"
"57G549","PALO","2021","57051","3","263929","181217","669","0","0","0","164200","0","281615","-91.7954582","42.066108","POINT (42.066108 -91.7954582)"
"82G770","BETTENDORF","2021","82019","3","4421","1334106","0","0","0","1317109","0","0","21418","-90.51569","41.5244777","POINT (41.5244777 -90.51569)"
"77G720","JOHNSTON","2021","77074","3","2777409","1092769","1351","0","0","0","595890","0","3275639","-93.697721","41.673044","POINT (41.673044 -93.697721)"
"55G518","BANCROFT","2021","55004","3","308146","0","0","0","0","0","0","0","308146","-94.2180192","43.2927386","POINT (43.2927386 -94.2180192)"
"82G770","BETTENDORF","2021","82056","2","525","5976","0","0","0","5491","0","0","1010","-90.51569","41.5244777","POINT (41.5244777 -90.51569)"
"83G795","SHELBY","2021","78015","6","0","111986","0","0","0","0","111986","0","0","-95.45028","41.5161017","POINT (41.5161017 -95.45028)"
"97G938","SIOUX CITY","2021","97001","5","895679","690457","0","0","52314","0","517878","0","1120572","-96.4003069","42.4999942","POINT (42.4999942 -96.4003069)"
"40","HAMILTON","2021","40031","2","337795","134437","0","1877","0","0","455380","0","18729","-93.7068085","42.3837722","POINT (42.3837722 -93.7068085)"
"58G555","COLUMBUS JUNCTION","2021","58005","7","6040","94417","0","0","0","0","27616","0","72841","-91.360711","41.2800253","POINT (41.2800253 -91.360711)"
"21G180","SPENCER","2021","21010","3","5031","25713","300","0","0","0","25713","0","5331","-95.1444393","43.1413578","POINT (43.1413578 -95.1444393)"
"74G686","EMMETSBURG","2021","74010","3","106","0","0","0","0","0","106","0","0","-94.6830357","43.1127427","POINT (43.1127427 -94.6830357)"
"84G808","ORANGE CITY","2021","84048","7","-128798","864510","0","2404","223627","0","874742","0","87001","-96.0583523","43.0072087","POINT (43.0072087 -96.0583523)"
"23G205","CLINTON","2021","23022","2","36617","220083","617","0","0","0","0","0","257317","-90.1887379","41.8444735","POINT (41.8444735 -90.1887379)"
"49G455","MILES","2021","49002","1","0","0","0","0","0","0","0","0","0","-90.3156857","42.0483573","POINT (42.0483573 -90.3156857)"
"94G904","FORT DODGE","2021","94008","92","4246580","2749031","5757","0","8917000","375057","9240624","0","6302687","-94.1680158","42.4974694","POINT (42.4974694 -94.1680158)"
"25G238","REDFIELD","2021","25007","1","0","0","0","0","0","0","0","0","0","-94.19607","41.5894322","POINT (41.5894322 -94.19607)"
"07G053","RAYMOND","2021","07037","0","204473","0","1347","0","0","0","9875","0","195945","-92.2196264","42.4688769","POINT (42.4688769 -92.2196264)"
"80Z001","SUNVALLEY RIZ","2021","80004","3","4285948","9957607","4235","0","0","0","783621","0","13464169","0","0","POINT (0 0)"
"77G717","DES MOINES","2021","77067","3","2376","146553","26","0","0","128514","0","0","20441","-93.6091064","41.6005448","POINT (41.6005448 -93.6091064)"
"84G798","ALTON","2021","84065","3","50689","933526","133","0","0","32988","33955","0","917405","-96.0105735","42.9874869","POINT (42.9874869 -96.0105735)"
"50G469","NEWTON","2021","50009","4","67418","1005057","2415","4541","0","144840","814176","0","120415","-93.0479756","41.6997129","POINT (41.6997129 -93.0479756)"
"06G042","URBANA","2021","06009","11","121511","585779","0","0","0","0","240027","0","467263","-91.8743444","42.2241596","POINT (42.2241596 -91.8743444)"
"91G878","NORWALK","2021","91005","40","1405376","16450698","16693","102173","96102","1036731","2680016","3541","14350754","-93.6788304","41.475546","POINT (41.475546 -93.6788304)"
"34G323","CHARLES CITY","2021","34004","5","27860","202300","248","0","0","28244","187548","0","14616","-92.6724112","43.0663613","POINT (43.0663613 -92.6724112)"
"35","FRANKLIN","2021","35015","33","3017653","4375434","0","0","0","0","2434463","0","4958624","-93.262473","42.7325458","POINT (42.7325458 -93.262473)"
"39Z001","PANORAMA LAKE RURAL IMPROV ZONE","2021","39006","14","10119394","15031687","614867","0","641122","0","5881675","0","20525395","0","0","POINT (0 0)"
"61G583","WINTERSET","2021","61009","27","7963","531759","0","0","0","69603","41584","0","428535","-94.0138393","41.3308237","POINT (41.3308237 -94.0138393)"
"51G476","FAIRFIELD","2021","51011","2","111746","105983","1","0","0","54049","0","0","163681","-91.9626727","41.0086312","POINT (41.0086312 -91.9626727)"
"07G049","EVANSDALE","2021","07018","2","29341","327831","675","0","20951","0","336612","0","42186","-92.281017","42.4691543","POINT (42.4691543 -92.281017)"
"06G043","VAN HORNE","2021","06010","4","0","53060","0","0","0","0","54823","0","-1763","-92.091016","42.0086088","POINT (42.0086088 -92.091016)"
"71G662","PAULLINA","2021","71005","2","0","0","164","53019","0","23844","29339","0","0","-95.6880657","42.9791479","POINT (42.9791479 -95.6880657)"
"31G288","DUBUQUE","2021","31033","31","3534057","7919129","135779","212611","393052","1293590","6757983","0","4143055","-90.6645718","42.5005583","POINT (42.5005583 -90.6645718)"
"46G429","HUMBOLDT","2021","46014","3","-30779","31500","0","0","0","36232","0","0","-35511","-94.2152402","42.7208047","POINT (42.7208047 -94.2152402)"
"07G051","HUDSON","2021","07049","2","1266","28983","229","0","0","0","0","0","30478","-92.4554671","42.406653","POINT (42.406653 -92.4554671)"
"77G720","JOHNSTON","2021","77088","8","2063","1244109","27","45381","48067","739466","220000","0","380181","-93.697721","41.673044","POINT (41.673044 -93.697721)"
"04Z001","SUNDOWN LAKE RIZ","2021","04002","10","293024","416164","0","0","0","0","245297","0","463891","0","0","POINT (0 0)"
"61G583","WINTERSET","2021","61014","11","1","22987","0","0","0","18991","0","0","3997","-94.0138393","41.3308237","POINT (41.3308237 -94.0138393)"
"25G233","DEXTER","2021","25006","3","391590","0","0","0","0","0","145638","0","245952","-94.2263482","41.5183216","POINT (41.5183216 -94.2263482)"
"77G727","WEST DES MOINES","2021","77082","2","-119","26","0","0","0","0","1278","0","-1371","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
"80G758","MOUNT AYR","2021","80901","0","0","0","0","0","0","0","0","0","0","-94.235232","40.7147147","POINT (40.7147147 -94.235232)"
"44G412","MOUNT PLEASANT","2021","44012","7","37378","25653","0","0","0","0","0","0","63031","-91.5579383","40.9636403","POINT (40.9636403 -91.5579383)"
"57G547","MARION","2021","57059","7","230","51946","5","0","0","0","25358","0","26823","-91.5976773","42.0341658","POINT (42.0341658 -91.5976773)"
"15G130","GRISWOLD","2021","15004","1","47275","0","2","0","0","0","44177","0","3100","-95.1374929","41.234991","POINT (41.234991 -95.1374929)"
"63G600","PELLA","2021","63019","17","539762","694248","1414","0","0","0","1032228","0","203196","-92.9163091","41.4080534","POINT (41.4080534 -92.9163091)"
"67G631","BLENCOE","2021","67004","3","48238","58579","0","0","0","0","70493","0","36324","-96.0808475","41.9302657","POINT (41.9302657 -96.0808475)"
"84G804","HULL","2021","84062","2","1801","47727","0","0","0","50000","0","0","-472","-96.1336329","43.1885919","POINT (43.1885919 -96.1336329)"
"97G938","SIOUX CITY","2021","97005","5","3503293","1041791","0","0","0","105119","2061305","0","2378660","-96.4003069","42.4999942","POINT (42.4999942 -96.4003069)"
"77G727","WEST DES MOINES","2021","77058","1","0","0","0","0","0","0","0","0","0","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
"78G730","CARSON","2021","78020","2","306685","0","0","0","18609","0","42925","0","282369","-95.4180561","41.2366607","POINT (41.2366607 -95.4180561)"
"82G781","NEW LIBERTY","2021","82037","2","0","0","0","0","0","0","0","0","0","-90.8790371","41.7178039","POINT (41.7178039 -90.8790371)"
"16G138","LOWDEN","2021","16008","1","51571","0","0","0","0","0","0","0","51571","-90.9282043","41.8575217","POINT (41.8575217 -90.9282043)"
"95G912","FOREST CITY","2021","41003","0","0","0","0","0","0","0","0","0","0","-93.6371591","43.2624559","POINT (43.2624559 -93.6371591)"
"42G396","RADCLIFFE","2021","42019","5","7838","38732","0","0","0","0","41450","0","5120","-93.4343757","42.3152613","POINT (42.3152613 -93.4343757)"
"77G727","WEST DES MOINES","2021","25027","2","1034866","2960","2358","0","0","365412","0","0","674772","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
"60G572","LARCHWOOD","2021","60002","8","539093","86096","1733","0","0","0","195959","0","430963","-96.434205","43.4535862","POINT (43.4535862 -96.434205)"
"53G492","ANAMOSA","2021","53004","2","2690","0","0","0","0","0","0","0","2690","-91.2851594","42.1083371","POINT (42.1083371 -91.2851594)"
"22G199","STRAWBERRY POINT","2021","22009","4","94396","34225","0","0","0","0","126938","0","1683","-91.5340348","42.6835956","POINT (42.6835956 -91.5340348)"
"83G790","HARLAN","2021","83001","8","106855","237914","0","0","0","0","223196","0","121573","-95.3255541","41.653044","POINT (41.653044 -95.3255541)"
"95G911","BUFFALO CENTER","2021","95001","2","0","0","0","0","0","0","0","0","0","-93.9466193","43.3857909","POINT (43.3857909 -93.9466193)"
"60G575","ROCK RAPIDS","2021","60121","2","75591","39745","0","0","0","0","34770","0","80566","-96.1758598","43.4271945","POINT (43.4271945 -96.1758598)"
"70","MUSCATINE","2021","70017","2","0","23795","0","0","0","23795","0","0","0","-91.1127562","41.4839221","POINT (41.4839221 -91.1127562)"
"85G822","SLATER","2021","85017","0","329828","0","0","0","0","8639","0","0","321189","-93.6785538","41.8777646","POINT (41.8777646 -93.6785538)"
"77G716","CLIVE","2021","25016","5","-323446","879551","0","0","0","23296","408975","0","123834","-93.7241104","41.6030446","POINT (41.6030446 -93.7241104)"
"06G033","BELLE PLAINE","2021","06003","12","545","145710","0","0","0","0","82000","0","64255","-92.2782405","41.8969417","POINT (41.8969417 -92.2782405)"
"50","JASPER","2021","50015","9","1499","354284","0","6922","0","0","38352","0","324353","-93.053765","41.6860394","POINT (41.6860394 -93.053765)"
"86","TAMA","2021","86992","8","120044","960256","0","58020","0","0","459600","0","678720","-92.5325425","42.0798117","POINT (42.0798117 -92.5325425)"
"07G046","CEDAR FALLS","2021","07043","15","0","5477884","0","0","0","27350","3152301","0","2298233","-92.4454654","42.5277622","POINT (42.5277622 -92.4454654)"
"14G116","CARROLL","2021","14004","13","133181","1506637","1154","19660","1000","20082","1057380","0","584170","-94.8669304","42.0658184","POINT (42.0658184 -94.8669304)"
"66G627","OSAGE","2021","66001","22","155443","1829212","1086","0","0","137652","756231","0","1091858","-92.8110279","43.2841383","POINT (43.2841383 -92.8110279)"
"33","FAYETTE","2021","33016","2","0","33098","0","0","0","33098","0","0","0","-91.8443207","42.8625919","POINT (42.8625919 -91.8443207)"
"78G732","COUNCIL BLUFFS","2021","78054","3","33318","288506","0","0","0","235457","2070","0","84297","-95.8608333","41.2619444","POINT (41.2619444 -95.8608333)"
"90G868","OTTUMWA","2021","90002","11","-44827","388423","0","0","0","0","246377","0","97219","-92.4112963","41.0200145","POINT (41.0200145 -92.4112963)"
"50G473","SULLY","2021","50008","13","-96017","206640","50","0","0","60428","37090","0","13155","-92.8449164","41.5783288","POINT (41.5783288 -92.8449164)"
"39G363","BAYARD","2021","39018","2","86876","25500","0","0","0","0","0","0","112376","-94.5583076","41.85193","POINT (41.85193 -94.5583076)"
"21G180","SPENCER","2021","21007","2","2875","34","0","0","0","0","0","0","2909","-95.1444393","43.1413578","POINT (43.1413578 -95.1444393)"
"29G267","BURLINGTON","2021","29025","2","0","3174","0","0","0","1733","0","0","1441","-91.1129233","40.8075391","POINT (40.8075391 -91.1129233)"
"34G327","NORA SPRINGS","2021","34005","4","156244","0","189332","0","0","0","89860","0","255716","-93.0043669","43.1427467","POINT (43.1427467 -93.0043669)"
"52G483","IOWA CITY","2021","52021","3","0","35","0","0","0","0","35","0","0","-91.5301683","41.6611277","POINT (41.6611277 -91.5301683)"
"08G057","BOONE","2021","08006","3","172505","379824","0","0","0","0","423000","0","129329","-93.8802273","42.0597047","POINT (42.0597047 -93.8802273)"
"38","GRUNDY","2021","38017","0","0","0","0","0","0","0","0","0","0","-92.7914177","42.4018651","POINT (42.4018651 -92.7914177)"
"11G091","STORM LAKE","2021","11008","14","66346","360095","0","11232","0","34063","216700","0","186910","-95.2097179","42.6410915","POINT (42.6410915 -95.2097179)"
"31","DUBUQUE","2021","31040","4","64984","250200","0","4879","0","0","194963","0","125100","-90.8824564","42.468832","POINT (42.468832 -90.8824564)"
"07G049","EVANSDALE","2021","07003","5","25464","2118","125","0","0","0","0","0","27707","-92.281017","42.4691543","POINT (42.4691543 -92.281017)"
"28G258","DELHI","2021","28003","7","-1440","63296","0","0","0","9815","19604","0","32437","-91.3309789","42.4297143","POINT (42.4297143 -91.3309789)"
"55G527","WESLEY","2021","55008","3","-50000","206237","0","0","0","100000","0","0","56237","-93.9902312","43.0882981","POINT (43.0882981 -93.9902312)"
"97G932","LAWTON","2021","97024","0","85765","0","21","0","0","0","85788","0","-2","-96.1839121","42.4786037","POINT (42.4786037 -96.1839121)"
"57G546","LISBON","2021","57037","16","201629","146477","414","0","0","23514","91036","0","233970","-91.3854466","41.9211198","POINT (41.9211198 -91.3854466)"
"22G195","MONONA","2021","22034","1","1606","0","28505","0","0","12542","15963","0","1606","-91.3893041","43.0516494","POINT (43.0516494 -91.3893041)"
"78G730","CARSON","2021","78035","3","92526","51696","0","0","0","0","0","0","144222","-95.4180561","41.2366607","POINT (41.2366607 -95.4180561)"
"81G769","WALL LAKE","2021","81006","2","0","39435","0","0","0","0","17980","0","21455","-95.093047","42.2710952","POINT (42.2710952 -95.093047)"
"24G220","DENISON","2021","24001","7","17776","305885","158","0","0","0","185107","0","138712","-95.3552757","42.0177658","POINT (42.0177658 -95.3552757)"
"63G597","KNOXVILLE","2021","63026","2","34627","41580","0","0","0","76207","0","0","0","-93.1093708","41.3208297","POINT (41.3208297 -93.1093708)"
"52G481","CORALVILLE","2021","52007","14","113365","3725773","574","85549","776684","353877","2518814","0","1829254","-91.5804475","41.6764044","POINT (41.6764044 -91.5804475)"
"39G364","CASEY","2021","39008","6","0","4201","0","0","0","0","0","0","4201","-94.5194149","41.5049873","POINT (41.5049873 -94.5194149)"
"45G421","CRESCO","2021","45010","24","0","0","0","0","0","0","0","0","0","-92.1140547","43.3813568","POINT (43.3813568 -92.1140547)"
"69G647","RED OAK","2021","69005","5","11322","22610","0","0","0","22569","0","0","11363","-95.2255466","41.0097151","POINT (41.0097151 -95.2255466)"
"77G727","WEST DES MOINES","2021","25047","0","0","0","0","0","0","0","3816","0","-3816","-93.711332","41.5772115","POINT (41.5772115 -93.711332)"
