"fiscal_year","service_ordered","applicant","tax_dollars_approved","tax_percentage_approved"
"2022","Data Transmission and/or Internet Access","SPENCER COMM SCHOOL DISTRICT","8522.50","70.0"
"2022","Data Transmission and/or Internet Access","IKM MANNING CSD","8173.62","70.0"
"2022","Data Transmission and/or Internet Access","IOWA VALLEY COMM SCHOOL DIST","5725.44","70.0"
"2022","Data Transmission and/or Internet Access","SPRINGVILLE COMM SCHOOL DIST","6946.56","60.0"
"2022","Data Transmission and/or Internet Access","TIPTON COMMUNITY SCHOOL DIST","16293.60","60.0"
"2022","Data Transmission and/or Internet Access","MOULTON-UDELL COMM SCH DIST","7409.66","80.0"
"2022","Data Transmission and/or Internet Access","LENOX COMMUNITY SCHOOL DIST","10584.00","70.0"
"2022","Data Transmission and/or Internet Access","MORAVIA COMM SCHOOL DISTRICT","9422.08","80.0"
"2022","Data Transmission and/or Internet Access","JOHNSTON COMM SCHOOL DISTRICT","8466.00","50.0"
"2022","Data Transmission and/or Internet Access","SOUTH HAMILTON COMMUNTIY  SCHOOL DISTRICT","8294.40","60.0"
"2022","Data Transmission and/or Internet Access","WESTERN DUBUQUE COMM SCH DIST","9408.00","50.0"
"2022","Data Transmission and/or Internet Access","MESKWAKI SETTLEMENT SCHOOL","11059.20","80.0"
"2022","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","3000.00","60.0"
"2022","Data Transmission and/or Internet Access","FORT MADISON COMM SCHOOL DIST","11219.20","80.0"
"2022","Data Transmission and/or Internet Access","WHITING COMMUNITY SCHOOL DIST","5234.69","80.0"
"2022","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","2160.00","60.0"
"2022","Data Transmission and/or Internet Access","WOODWARD-GRANGER COMM SCH DIST","13752.00","60.0"
"2022","Data Transmission and/or Internet Access","CHARLES CITY COMM SCHOOL DIST","13824.00","80.0"
"2022","Data Transmission and/or Internet Access","VAN BUREN COUNTY CSD","11059.20","80.0"
"2022","Data Transmission and/or Internet Access","SOUTH TAMA COUNTY CSD","13824.00","80.0"
"2022","Data Transmission and/or Internet Access","IOWA DEPARTMENT OF EDUCATION","1993799.02","67.00"
"2022","Data Transmission and/or Internet Access","ENGLISH VALLEYS COMM SCH DIST","8104.32","70.0"
"2022","Data Transmission and/or Internet Access","NEWELL-FONDA COMM SCHOOL DIST","11772.16","80.0"
"2022","Data Transmission and/or Internet Access","POSTVILLE COMM SCHOOL DISTRICT","19231.20","90.0"
"2022","Data Transmission and/or Internet Access","IOWA SCHOOL FOR THE DEAF/COUNCIL BLUFFS","15295.50","90.0"
"2022","Data Transmission and/or Internet Access","BELMOND-KLEMME COMM SCH DIST","18208.00","80.0"
"2022","Data Transmission and/or Internet Access","SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT","3363.84","80.0"
"2022","Data Transmission and/or Internet Access","WACO COMMUNITY SCHOOL DISTRICT","4580.35","70.0"
"2022","Data Transmission and/or Internet Access","BEDFORD COMMUNITY SCHOOL DISTRICT","6955.20","70.0"
"2022","Data Transmission and/or Internet Access","ALBIA COMMUNITY SCHOOL DIST","12096.00","70.0"
"2022","Data Transmission and/or Internet Access","TRIPOLI COMMUNITY SCHOOL DIST","5557.25","60.0"
"2022","Data Transmission and/or Internet Access","EAST BUCHANAN COMM SCHOOL DIST","4720.35","70.0"
"2022","Data Transmission and/or Internet Access","WEST CENTRAL COMM SCHOOL DIST","6585.60","70.0"
"2022","Data Transmission and/or Internet Access","BENTON COMMUNITY SCHOOL DIST","8294.40","60.0"
"2022","Data Transmission and/or Internet Access","WEST DELAWARE CO COMM SCH DIST","9676.80","70.0"
"2022","Data Transmission and/or Internet Access","BOSCO SYSTEM","4962.00","50.0"
"2022","Data Transmission and/or Internet Access","Mississippi Bend Area Education Agency","22680.00","70.0"
"2022","Data Transmission and/or Internet Access","SOUTHEAST  WARREN  COMMUNITY SCHOOL DISTRICT","8354.40","60.0"
"2022","Data Transmission and/or Internet Access","BURLINGTON COMM SCHOOL DIST","45447.81","80.0"
"2022","Data Transmission and/or Internet Access","STARMONT COMMUNITY SCHOOL DIST","11524.80","70.0"
"2022","Data Transmission and/or Internet Access","WEBSTER CITY COMM SCHOOL DIST","9676.80","70.0"
"2022","Data Transmission and/or Internet Access","CARLISLE COMM SCHOOL DISTRICT","3986.02","60.0"
"2022","Data Transmission and/or Internet Access","UNITED COMMUNITY SCHOOL DIST","7027.30","60.0"
"2022","Data Transmission and/or Internet Access","HOWARD-WINNESHIEK COMM SCH DIC","16052.40","70.0"
"2022","Data Transmission and/or Internet Access","TRI-CENTER COMMUNITY SCH DIST","4907.52","60.0"
"2022","Data Transmission and/or Internet Access","CLARKSVILLE COMM SCHOOL DIST","8128.51","70.0"
"2022","Data Transmission and/or Internet Access","POCAHONTAS AREA COMM SCH DIST","10828.80","80.0"
"2022","Data Transmission and/or Internet Access","SEYMOUR COMM SCHOOL DISTRICT","8386.56","80.0"
"2022","Data Transmission and/or Internet Access","GREEN HILLS AEA","17411.52","70.0"
"2022","Data Transmission and/or Internet Access","Central Rivers AEA","10231.20","60.0"
"2022","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","53098.97","70.0"
"2022","Data Transmission and/or Internet Access","Great Prairie AEA Consortium","49067.42","63.00"
"2022","Data Transmission and/or Internet Access","WINTERSET COMM SCHOOL DISTRICT","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","OLIN CONS SCHOOL DISTRICT","3373.70","90.0"
"2022","Data Transmission and/or Internet Access","BOONE COMMUNITY SCHOOL DIST","12096.00","70.0"
"2022","Data Transmission and/or Internet Access","ST JOSEPH COMM CATHOLIC SCHOOL/NEW HAMPTON","3024.00","70.0"
"2022","Data Transmission and/or Internet Access","MUSCATINE COMM SCHOOL DISTRICT","27753.60","80.0"
"2022","Data Transmission and/or Internet Access","MOUNT PLEASANT COMM SCH DIST","25427.20","80.0"
"2022","Managed Internal Broadband Services","HAMPTON-DUMONT COMM SCH DIST","2025.60","80.0"
"2022","Data Transmission and/or Internet Access","ORIENT-MACKSBURG COMM SCH DIST","10920.00","80.0"
"2022","Data Transmission and/or Internet Access","SPENCER COMM SCHOOL DISTRICT","12390.00","70.0"
"2022","Data Transmission and/or Internet Access","TURKEY VALLEY COMM SCHOOL DIST","11664.80","70.0"
"2022","Data Transmission and/or Internet Access","HAMBURG COMM SCHOOL DISTRICT","11059.20","80.0"
"2022","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","7296.00","60.0"
"2022","Data Transmission and/or Internet Access","HUDSON COMMUNITY SCHOOL DIST","8640.00","50.0"
"2022","Data Transmission and/or Internet Access","CHARTER OAK-UTE COMM SCH DIST","10908.80","80.0"
"2022","Data Transmission and/or Internet Access","EAGLE GROVE COMMUNITY SCH DIST","18432.00","80.0"
"2022","Data Transmission and/or Internet Access","WEST BURLINGTON INDEP SCH DIST","4907.52","60.0"
"2022","Data Transmission and/or Internet Access","VAN BUREN COUNTY CSD","9422.08","80.0"
"2022","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","720.00","60.0"
"2022","Data Transmission and/or Internet Access","C A L COMM SCHOOL DISTRICT","3456.00","80.0"
"2022","Data Transmission and/or Internet Access","GMG COMMUNITY SCHOOL DISTRICT","6773.76","70.0"
"2022","Data Transmission and/or Internet Access","LUVERNE COMMUNITY SCHOOL DIST","6543.36","80.0"
"2022","Data Transmission and/or Internet Access","MELCHER-DALLAS COMM SCH DIST","16410.80","70.0"
"2022","Data Transmission and/or Internet Access","MURRAY COMMUNITY SCHOOL DIST","8104.32","70.0"
"2022","Data Transmission and/or Internet Access","Hillcrest Academy (Formerly Iowa Mennonite SchoolK","3924.00","60.0"
"2022","Data Transmission and/or Internet Access","WEST FORK COMMUNITY SCHOOL DISTRICT","13968.00","60.0"
"2022","Data Transmission and/or Internet Access","GALVA-HOLSTEIN COMM SCH DIST","4415.04","70.0"
"2022","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","6955.20","70.0"
"2022","Data Transmission and/or Internet Access","TREYNOR COMM SCHOOL DISTRICT","8640.00","50.0"
"2022","Data Transmission and/or Internet Access","CENTRAL LEE COMM SCHOOL DIST","23382.80","70.0"
"2022","Data Transmission and/or Internet Access","WEST LYON COMM SCHOOL DISTRICT","6349.92","60.0"
"2022","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","9878.40","70.0"
"2022","Data Transmission and/or Internet Access","LONE TREE COMM SCHOOL DISTRICT","8414.40","60.0"
"2022","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","9878.40","70.0"
"2022","Data Transmission and/or Internet Access","ANKENY CHRISTIAN ACADEMY","921.60","40.0"
"2022","Data Transmission and/or Internet Access","URBANDALE COMM SCHOOL DISTRICT","8640.00","50.0"
"2022","Managed Internal Broadband Services","AUDUBON COMMUNITY SCHOOL DIST","924.00","70.0"
"2022","Data Transmission and/or Internet Access","ATLANTIC COMM SCHOOL DISTRICT","14905.60","80.0"
"2022","Data Transmission and/or Internet Access","CENTRAL COMM SCH DIST","8587.20","60.0"
"2022","Data Transmission and/or Internet Access","CORNING COMMUNITY SCHOOL DIST","6483.46","70.0"
"2022","Data Transmission and/or Internet Access","WEST CENTRAL VALLEY COMMUNITY SCHOOL DISTRICT","8198.51","70.0"
"2022","Data Transmission and/or Internet Access","SOLON COMMUNITY SCHOOL DIST","4681.04","50.0"
"2022","Data Transmission and/or Internet Access","WINFIELD-MOUNT UNION COMM S D","11139.20","80.0"
"2022","Data Transmission and/or Internet Access","RIVERSIDE COMMUNITY SCH DIST","9676.80","70.0"
"2022","Data Transmission and/or Internet Access","LISBON COMMUNITY SCHOOL DIST","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","11664.80","70.0"
"2022","Data Transmission and/or Internet Access","ANAMOSA COMMUNITY SCHOOL DIST","20714.40","70.0"
"2022","Data Transmission and/or Internet Access","WILLIAMSBURG COMM SCHOOL DIST","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","NORTH UNION COMMUNITY SCHOOL DISTRICT","5234.69","80.0"
"2022","Data Transmission and/or Internet Access","PEKIN COMMUNITY SCHOOL DIST","9746.80","70.0"
"2022","Data Transmission and/or Internet Access","SOUTHEAST POLK COMM SCH DIST","2592.00","60.0"
"2022","Data Transmission and/or Internet Access","HOLY TRINITY CATHOLIC SCHOOLS","19128.00","50.0"
"2022","Data Transmission and/or Internet Access","MORMON TRAIL COMM SCHOOL DIST","16640.00","80.0"
"2022","Data Transmission and/or Internet Access","SIDNEY COMMUNITY SCHOOL DIST","6955.20","70.0"
"2022","Data Transmission and/or Internet Access","ROCKWELL CITY PUBLIC LIBRARY","1935.36","70.0"
"2022","Managed Internal Broadband Services","DIKE-NEW HARTFORD SCHOOL DIST","1555.20","60.0"
"2022","Data Transmission and/or Internet Access","DENISON COMMUNITY SCHOOL DIST","11139.20","80.0"
"2022","Data Transmission and/or Internet Access","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL DIST","14196.00","70.0"
"2022","Data Transmission and/or Internet Access","GRUNDY CENTER COMM SCHOOL DIST","10368.00","60.0"
"2022","Data Transmission and/or Internet Access","SAYDEL COMMUNITY SCHOOL DISTRICT","15552.00","90.0"
"2021","Data Transmission and/or Internet Access","KEOTA COMMUNITY SCHOOL DIST","7095.20","70.0"
"2021","Data Transmission and/or Internet Access","Keystone AEA1 Internet Access Consortium","20400.00","68.00"
"2021","Data Transmission and/or Internet Access","Keystone AEA1 Internet Access Consortium","44472.00","68.00"
"2021","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","9055.20","70.0"
"2021","Managed Internal Broadband Services","MADRID COMMUNITY SCHOOL DIST","1555.20","60.0"
"2021","Data Transmission and/or Internet Access","CLARKSVILLE COMM SCHOOL DIST","2961.00","70.0"
"2021","Data Transmission and/or Internet Access","SAYDEL COMMUNITY SCHOOL DISTRICT","15552.00","90.0"
"2021","Data Transmission and/or Internet Access","MURRAY COMMUNITY SCHOOL DIST","9422.08","80.0"
"2021","Data Transmission and/or Internet Access","Central Rivers AEA","7761.60","60.0"
"2021","Data Transmission and/or Internet Access","LOUISA-MUSCATINE SCHOOL DIST","3164.00","70.0"
"2021","Data Transmission and/or Internet Access","MUSCATINE COMM SCHOOL DISTRICT","27753.60","80.0"
"2021","Data Transmission and/or Internet Access","MISSOURI VALLEY COMM SCH DIST","7402.50","70.0"
"2021","Data Transmission and/or Internet Access","IOWA VALLEY COMM SCHOOL DIST","5865.44","70.0"
"2021","Data Transmission and/or Internet Access","FREMONT-MILLS COMM SCHOOL DIST","10518.20","70.0"
"2021","Data Transmission and/or Internet Access","HARRIS-LAKE PARK COMM SCH DIST","4441.54","60.0"
"2021","Data Transmission and/or Internet Access","MFL MarMac Community School District","13517.00","70.0"
"2021","Data Transmission and/or Internet Access","MFL MarMac Community School District","1920.80","12.00"
"2021","Data Transmission and/or Internet Access","NEW HAMPTON COMM SCHOOL DIST","8467.20","60.0"
"2021","Data Transmission and/or Internet Access","NEWELL-FONDA COMM SCHOOL DIST","11772.16","80.0"
"2021","Data Transmission and/or Internet Access","MADRID COMMUNITY SCHOOL DIST","12002.40","60.0"
"2021","Data Transmission and/or Internet Access","MELCHER-DALLAS COMM SCH DIST","16410.80","70.0"
"2021","Data Transmission and/or Internet Access","CLARINDA COMM SCHOOL DISTRICT","11121.60","70.0"
"2021","Data Transmission and/or Internet Access","MOUNT PLEASANT COMM SCH DIST","18950.40","80.0"
"2021","Data Transmission and/or Internet Access","NORTH CEDAR COMM SCH DIST","5725.44","70.0"
"2021","Data Transmission and/or Internet Access","NORTH TAMA CO COMM SCHOOL DIST","7095.20","70.0"
"2021","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","21724.80","80.0"
"2021","Managed Internal Broadband Services","DIKE-NEW HARTFORD SCHOOL DIST","1555.20","60.0"
"2021","Data Transmission and/or Internet Access","NORTH UNION COMMUNITY SCHOOL DISTRICT","3384.00","80.0"
"2021","Data Transmission and/or Internet Access","LENOX COMMUNITY SCHOOL DIST","1480.50","18.00"
"2021","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","3060.00","60.0"
"2021","Managed Internal Broadband Services","CENTRAL LEE COMM SCHOOL DIST","1814.40","70.0"
"2021","Data Transmission and/or Internet Access","NODAWAY VALLEY CSD","13994.40","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","19560.00","60.0"
"2021","Data Transmission and/or Internet Access","PELLA CHRISTIAN HIGH SCHOOL","4230.00","50.0"
"2021","Data Transmission and/or Internet Access","HUBBARD-RADCLIFFE COMM SCHS","8244.32","70.0"
"2021","Data Transmission and/or Internet Access","IOWA DEPARTMENT OF EDUCATION","2102648.78","67.00"
"2021","Data Transmission and/or Internet Access","IOWA STATE LIBRARY","3888.00","90.0"
"2021","Data Transmission and/or Internet Access","ALDEN COMMUNITY SCHOOL DIST","2592.00","60.0"
"2021","Data Transmission and/or Internet Access","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL DIST","14476.00","70.0"
"2021","Data Transmission and/or Internet Access","Hillcrest Academy (Formerly Iowa Mennonite SchoolK","844.80","20.0"
"2021","Data Transmission and/or Internet Access","REGINA SCHOOL SYSTEM/IOWA CITY","7056.00","40.0"
"2021","Data Transmission and/or Internet Access","ALLAMAKEE COMM SCHOOL DIST","20714.40","81.00"
"2021","Data Transmission and/or Internet Access","ALBERT CITY-TRUESDALE CSD","3150.00","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","10828.85","60.0"
"2021","Data Transmission and/or Internet Access","BECKMAN HIGH SCHOOL/DYERSVILLE","6468.00","50.0"
"2021","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","2160.00","60.0"
"2021","Data Transmission and/or Internet Access","BENTON COMMUNITY SCHOOL DIST","7610.40","60.0"
"2021","Data Transmission and/or Internet Access","BOONE COMMUNITY SCHOOL DIST","12096.00","70.0"
"2021","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","4311.26","60.0"
"2021","Data Transmission and/or Internet Access","HOWARD-WINNESHIEK COMM SCH DIC","16192.40","70.0"
"2021","Data Transmission and/or Internet Access","MOULTON-UDELL COMM SCH DIST","3384.00","80.0"
"2021","Data Transmission and/or Internet Access","CENTRAL LEE COMM SCHOOL DIST","23256.80","70.0"
"2021","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","720.00","60.0"
"2021","Data Transmission and/or Internet Access","CHEROKEE COMM SCHOOL DISTRICT","12236.00","70.0"
"2021","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","3505.32","60.0"
"2021","Data Transmission and/or Internet Access","CHARTER OAK-UTE COMM SCH DIST","8460.00","80.0"
"2021","Data Transmission and/or Internet Access","MARTENSDALE-ST MARYS COMM S D","10488.00","60.0"
"2021","Data Transmission and/or Internet Access","LONE TREE COMM SCHOOL DISTRICT","7610.40","60.0"
"2021","Data Transmission and/or Internet Access","MANSON-NW WEBSTER COMM SCHOOLS","10368.00","60.0"
"2021","Data Transmission and/or Internet Access","CENTERVILLE COMM SCHOOL DIST","29328.00","80.0"
"2021","Data Transmission and/or Internet Access","MAQUOKETA VALLEY COMMUNITY SCHOOL DIST.","7610.40","60.0"
"2021","Data Transmission and/or Internet Access","CLARKE COMMUNITY SCHOOL DIST","10960.00","80.0"
"2021","Data Transmission and/or Internet Access","HAMPTON-DUMONT COMM SCH DIST","21704.80","80.0"
"2021","Data Transmission and/or Internet Access","LUVERNE COMMUNITY SCHOOL DIST","6543.36","80.0"
"2021","Data Transmission and/or Internet Access","LOGAN-MAGNOLIA COMM SCH DIST","6946.56","60.0"
"2021","Data Transmission and/or Internet Access","CHARITON COMM SCHOOL DISTRICT","13984.00","80.0"
"2021","Data Transmission and/or Internet Access","SOUTHEAST POLK COMM SCH DIST","2592.00","60.0"
"2021","Data Transmission and/or Internet Access","GMG COMMUNITY SCHOOL DISTRICT","10160.64","70.0"
"2021","Data Transmission and/or Internet Access","NORTHWEST AREA EDUCATION  AGENCY/SIOUX CITY","720.00","60.0"
"2021","Data Transmission and/or Internet Access","SOLON COMMUNITY SCHOOL DIST","5287.50","50.0"
"2021","Data Transmission and/or Internet Access","NORTH LINN COMM SCHOOL DIST","2538.00","20.0"
"2021","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","5922.00","70.0"
"2021","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","1377.60","70.0"
"2021","Data Transmission and/or Internet Access","SPENCER COMM SCHOOL DISTRICT","952.00","23.00"
"2021","Data Transmission and/or Internet Access","GREEN HILLS AEA","11044.32","70.0"
"2021","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","1488.00","80.0"
"2021","Internal Connections","CLARINDA COMM SCHOOL DISTRICT","1220.60","70.0"
"2021","Data Transmission and/or Internet Access","DENVER COMMUNITY SCHOOL DIST","5287.50","50.0"
"2021","Data Transmission and/or Internet Access","CLEAR CREEK AMANA COMM S D","10512.00","60.0"
"2021","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","9055.20","70.0"
"2021","Data Transmission and/or Internet Access","CLARINDA COMM SCHOOL DISTRICT","5308.80","23.00"
"2021","Data Transmission and/or Internet Access","SEYMOUR COMM SCHOOL DISTRICT","5788.00","80.0"
"2021","Internal Connections","DIAGONAL COMM SCHOOL DISTRICT","1098.34","80.0"
"2021","Data Transmission and/or Internet Access","EAGLE GROVE COMMUNITY SCH DIST","18432.00","80.0"
"2021","Data Transmission and/or Internet Access","EASTERN ALLAMAKEE SCHOOL DIST","10841.60","70.0"
"2021","Data Transmission and/or Internet Access","FORT DODGE PUBLIC LIBRARY","8460.00","80.0"
"2021","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","11936.40","70.0"
"2021","Data Transmission and/or Internet Access","DOWLING CATHOLIC HIGH SCHOOL/WDM","7896.00","40.0"
"2021","Data Transmission and/or Internet Access","CORNING COMMUNITY SCHOOL DIST","8878.80","70.0"
