"recno","sex","veteransstatus","releasestatus","countyofadmission","currentage","war"
"17920","Male","Veteran","Present","LINN","85+ years old","WWII"
"18537","Male","Veteran","Present","MONTGOMERY","65-74 years old","Vietnam"
"12831","Male","Veteran","Present","LINN","55-64 years old","Peace Time"
"18534","Male","Veteran","Present","CLAYTON","55-64 years old","Peace Time"
"18332","Male","Veteran","Present","POTTAWATTAMIE","65-74 years old","Vietnam"
"18150","Male","Veteran","Present","BUENA VISTA","65-74 years old","Vietnam"
"18077","Male","Veteran","Present","WAPELLO","85+ years old","WWII"
"18383","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18142","Male","Veteran","Present","BLACK HAWK","55-64 years old","Vietnam"
"14157","Male","Veteran","Present","MILLS","55-64 years old","Vietnam"
"17744","Male","Veteran","Present","DES MOINES","75-84 years old","Peace Time"
"14057","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18095","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"18408","Male","Veteran","Present","DICKINSON","65-74 years old","Vietnam"
"18639","Male","Veteran","Present","FAYETTE","65-74 years old","Vietnam"
"18661","Male","Veteran","Present","WARREN","75-84 years old","Peace Time"
"17948","Male","Veteran","Present","TAMA","85+ years old","WWII"
"18602","Male","Veteran","Present","WAPELLO","65-74 years old","Vietnam"
"13724","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18365","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"13581","Male","Veteran","Present","JOHNSON","85+ years old","WWII"
"18106","Male","Veteran","Present","BLACK HAWK","85+ years old","Korean"
"18678","Male","Veteran","Present","DES MOINES","85+ years old","WWII"
"18418","Male","Veteran","Present","MARSHALL","85+ years old","Korean"
"14186","Male","Veteran","Present","PALO ALTO","55-64 years old","Peace Time"
"18330","Male","Veteran","Present","BLACK HAWK","85+ years old","Korean"
"17898","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"13554","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"18640","Male","Veteran","Present","SCOTT","65-74 years old","Vietnam"
"12134","Male","Veteran","Present","LUCAS","65-74 years old","Vietnam"
"18588","Male","Veteran","Present","HAMILTON","85+ years old","Korean"
"18673","Male","Veteran","Present","POLK","85+ years old","WWII"
"18305","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"13475","Male","Veteran","Present","SCOTT","85+ years old","WWII"
"13958","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"17605","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18554","Male","Veteran","Present","LEE","55-64 years old","Peace Time"
"18539","Male","Veteran","Present","WAYNE","85+ years old","WWII"
"14010","Male","Veteran","Present","MARION","75-84 years old","Korean"
"18020","Male","Veteran","Present","WEBSTER","75-84 years old","Korean"
"18474","Male","Veteran","Present","POLK","75-84 years old","Korean"
"12009","Male","Veteran","Present","CLAY","75-84 years old","Peace Time"
"17775","Male","Veteran","Present","MARION","55-64 years old","Vietnam"
"18677","Male","Veteran","Present","LINN","75-84 years old","Korean"
"17877","Male","Veteran","Present","DUBUQUE","75-84 years old","Peace Time"
"17842","Male","Veteran","Present","BLACK HAWK","55-64 years old","Vietnam"
"14262","Male","Veteran","Present","JASPER","65-74 years old","Vietnam"
"13683","Male","Veteran","Present","MARSHALL","55-64 years old","Vietnam"
"17813","Male","Veteran","Present","JASPER","65-74 years old","Vietnam"
"18483","Male","Veteran","Present","DALLAS","65-74 years old","Vietnam"
"18568","Male","Veteran","Present","POLK","85+ years old","Korean"
"12927","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18190","Male","Veteran","Present","FLOYD","85+ years old","WWII"
"2861","Female","Veteran","Present","TAMA","65-74 years old","Vietnam"
"17607","Male","Veteran","Present","MITCHELL","65-74 years old","Vietnam"
"17551","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18141","Male","Veteran","Present","SCOTT","85+ years old","Korean"
"18570","Male","Veteran","Present","MAHASKA","55-64 years old","Peace Time"
"13577","Male","Veteran","Present","HAMILTON","25-54 years old","Peace Time"
"14104","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"12394","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"18597","Male","Veteran","Present","STORY","65-74 years old","Peace Time"
"17751","Male","Veteran","Present","SCOTT","55-64 years old","Vietnam"
"18484","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"12944","Male","Veteran","Present","LUCAS","55-64 years old","Peace Time"
"10982","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18626","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"18039","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18011","Female","Veteran","Present","LINN","75-84 years old","Korean"
"13472","Male","Veteran","Present","DAVIS","55-64 years old","Vietnam"
"13586","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"13691","Male","Veteran","Present","CHEROKEE","65-74 years old","Vietnam"
"14011","Male","Veteran","Present","OSCEOLA","75-84 years old","Vietnam"
"11177","Male","Veteran","Present","SCOTT","65-74 years old","Vietnam"
"18452","Male","Veteran","Present","BLACK HAWK","85+ years old","Korean"
"18559","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"17689","Male","Veteran","Present","BOONE","65-74 years old","Vietnam"
"10259","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18648","Male","Veteran","Present","JOHNSON","75-84 years old","Korean"
"17958","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"18511","Male","Veteran","Present","KEOKUK","65-74 years old","Vietnam"
"13394","Male","Veteran","Present","POLK","55-64 years old","Peace Time"
"18079","Male","Veteran","Present","BOONE","85+ years old","WWII"
"18674","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"13932","Male","Veteran","Present","JOHNSON","75-84 years old","Korean"
"18509","Male","Veteran","Present","STORY","85+ years old","WWII"
"17779","Male","Veteran","Present","POLK","85+ years old","Korean"
"13446","Male","Veteran","Present","JOHNSON","55-64 years old","Peace Time"
"18480","Male","Veteran","Present","WAYNE","55-64 years old","Vietnam"
"13740","Male","Veteran","Present","WINNESHIEK","65-74 years old","Vietnam"
"17643","Male","Veteran","Present","FAYETTE","55-64 years old","Peace Time"
"14067","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18642","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18051","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"17927","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"13664","Male","Veteran","Present","JOHNSON","65-74 years old","Vietnam"
"18683","Male","Veteran","Present","ADAIR","75-84 years old","Korean"
"13898","Male","Veteran","Present","DALLAS","75-84 years old","Korean"
"18417","Female","Veteran","Present","POLK","75-84 years old","Korean"
"18575","Male","Veteran","Present","UNION","85+ years old","WWII"
"13698","Male","Veteran","Present","WEBSTER","65-74 years old","Vietnam"
"17863","Male","Veteran","Present","SCOTT","75-84 years old","Korean"
"18495","Male","Veteran","Present","POLK","25-54 years old","Peace Time"
"17720","Male","Veteran","Present","GREENE","75-84 years old","Peace Time"
"12673","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"17774","Male","Veteran","Present","CALHOUN","75-84 years old","Korean"
"18569","Male","Veteran","Present","CEDAR","65-74 years old","Vietnam"
"13851","Male","Veteran","Present","POLK","55-64 years old","Peace Time"
"13930","Male","Veteran","Present","LUCAS","55-64 years old","Peace Time"
"18340","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18583","Male","Veteran","Present","HANCOCK","65-74 years old","Vietnam"
"11689","Male","Veteran","Present","MARION","55-64 years old","Peace Time"
"14190","Male","Veteran","Present","LINN","75-84 years old","Korean"
"14191","Male","Veteran","Present","GRUNDY","55-64 years old","Gulf"
"18337","Male","Veteran","Present","BLACK HAWK","65-74 years old","Vietnam"
"18283","Male","Veteran","Present","CLAYTON","75-84 years old","Korean"
"18521","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18412","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"13099","Male","Veteran","Present","WEBSTER","55-64 years old","Peace Time"
"12793","Male","Veteran","Present","POLK","85+ years old","WWII"
"17795","Male","Veteran","Present","GRUNDY","55-64 years old","Peace Time"
"12514","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18664","Male","Veteran","Present","POLK","85+ years old","WWII"
"14078","Male","Veteran","Present","SAC","65-74 years old","Vietnam"
"18691","Male","Veteran","Present","FAYETTE","65-74 years old","Vietnam"
"17789","Male","Veteran","Present","CLINTON","85+ years old","Korean"
"18497","Male","Veteran","Present","POLK","75-84 years old","Vietnam"
"18209","Male","Veteran","Present","MITCHELL","65-74 years old","Vietnam"
"17945","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18360","Male","Veteran","Present","POLK","75-84 years old","Korean"
"18536","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18621","Male","Veteran","Present","MARSHALL","55-64 years old","Peace Time"
"18649","Male","Veteran","Present","APPANOOSE","65-74 years old","Peace Time"
"18196","Male","Veteran","Present","POLK","85+ years old","Korean"
"18512","Female","Veteran","Present","BLACK HAWK","75-84 years old","Peace Time"
"13730","Male","Veteran","Present","POLK","85+ years old","WWII"
"18156","Male","Veteran","Present","BLACK HAWK","75-84 years old","Vietnam"
"18519","Male","Veteran","Present","DALLAS","85+ years old","WWII"
"18292","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18434","Male","Veteran","Present","WAYNE","75-84 years old","Peace Time"
"18043","Male","Veteran","Present","CLINTON","75-84 years old","Peace Time"
"18306","Male","Veteran","Present","DALLAS","65-74 years old","Vietnam"
"18635","Male","Veteran","Present","HARDIN","55-64 years old","Peace Time"
"18339","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"17889","Male","Veteran","Present","LEE","65-74 years old","Vietnam"
"18428","Male","Veteran","Present","POLK","25-54 years old","Gulf"
