"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2020-0943-2DR-5962DR1-05A","2020","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2DR - DPS Trunking Radio Equipment for Communications - 0943.","5962DR1","DPS Trunking Radio Equipment for Communications - 0943","05A - Appropriation","0","250000",
"2020-0943-2MR-5962MR1-05A","2020","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2MR - Post 16 Technology Upgrade - TRF","5962MR1","Post 16 Technology Upgrade - TRF","05A - Appropriation",,,"250000"
"2021-0017-2GR-5962GR1-05A","2021","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2GR - DPS - ISP Aircrafts - 0017","5962GR1","DPS Aircraft - 0017","05A - Appropriation","3426340","3426340","1713170"
"2021-0017-2HR-5962HR1-05A","2021","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2HR - DPS - Investigation Tools - 0017","5962HR1","DPS - Investigation Tools - 0017","05A - Appropriation","0","257819",
"2021-0017-2IR-5962IR1-05A","2021","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2IR - DPS - ISP Emergency Rescue Vehicles - 0017","5962IR1","DPS - ISP Emergency Rescue Vehicles - 0017","05A - Appropriation","0","1158092",
"2021-0017-2KR-5962KR1-05A","2021","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2KR - DPS ISP Patrol Post 9 Replacement Cedar Falls - 0017","5962KR1","DPS ISP Patrol Post 9 Replacement Cedar Falls - 0017","05A - Appropriation","0","8500000",
"2021-0943-2ER-5962ER1-05A","2021","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2ER - DPS Firewall Hardware Repl. for All Wide-Area Network - 0943","5962ER1","DPS Firewall Hardware Repl. for All Area-Wide Network - 0943","05A - Appropriation","0","125000",
"2021-0943-2FR-5962FR1-05A","2021","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","2FR - ISP & Investigations Digital Photo Evidence Storage Sys-0943","5962FR1","ISP & Investigations Digital Photo Evidence Storage Sys-0943","05A - Appropriation","0","300000",
"2022-0017-2HR-5962HR1-05A","2022","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2HR - DPS - Investigation Tools - 0017","5962HR1","DPS - Investigation Tools - 0017","05A - Appropriation","212000",,
"2022-0017-2IR-5962IR1-05A","2022","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","2IR - DPS - ISP Emergency Rescue Vehicles - 0017","5962IR1","DPS - ISP Emergency Rescue Vehicles - 0017","05A - Appropriation","232500",,
"2022-0943-3AR-5963AR1-05A","2022","Capital","Public Safety Capital","0943 - Technology Reinvestment Fund","3AR - Human Trafficking Hotel/Motel Training System (Fd-0943-TRF)","5963AR1","Human Trafficking Hotel/Motel Training System (Fd-0943-TRF)","05A - Appropriation","98000","98000","98000"
"2023-0017-32R-59632R1-05A","2023","Capital","Public Safety Capital","0017 - Rebuild Iowa Infrastructure Fund","32R - DPS-Fire Fighter Training Facility-0017 RIIF","59632R1","DPS-Fire Fighter Training Facility-0017 RIIF","05A - Appropriation",,,"2100000"
