"fiscal_year","county","srf_construction_loan_program","srf_construction_loan_program_1","srf_planning_design_loan","srf_planning_design_loan_1","local_water_protection_program","local_water_protection_program_1","livestock_water_quality","livestock_water_quality_1","on_site_wastewater_assistance","on_site_wastewater_assistance_1","general_non_point_source","general_non_point_source_1","total_by_county","total_of_projects_by_county"
"2018","Hardin","777000","1","155000","1",,,,,"67582","5",,,"999582","7"
"2018","Harrison",,,,,,,,,,,,,"0","0"
"2018","Henry","5100000","2","310000","1","38232","2",,,"34550","3","66000","1","5548782","9"
"2018","Howard",,,,,"8040","1",,,"16153","2",,,"24192","3"
"2018","Humboldt","250000","1","140000","1",,,,,,,"1755000","1","2145000","3"
"2018","Ida",,,,,,,"75000","1",,,,,"75000","1"
"2018","Iowa","5400000","1","1235000","2",,,,,,,,,"6635000","3"
"2018","Jackson","1743000","3","154000","1","6005","1","536941","2",,,,,"2439947","7"
"2018","Jasper",,,,,,,,,,,,,"0","0"
"2018","Jefferson",,,,,"300998","6",,,"24257","2",,,"325255","8"
"2018","Johnson","7699000","2","526000","2",,,,,"72439","5","223000","1","8520439","10"
"2018","Jones","1801000","1",,,,,,,,,,,"1801000","1"
"2018","Keokuk","3549000","2",,,"77747","6",,,"56764","5",,,"3683511","13"
"2018","Kossuth","2914000","2",,,,,,,,,,,"2914000","2"
"2018","Lee","2668000","1",,,"100705","4",,,"31300","3",,,"2800005","8"
"2018","Linn","956000","1",,,,,,,"51302","4",,,"1007302","5"
"2018","Louisa",,,,,,,,,"14925","1",,,"14925","1"
"2018","Lucas",,,,,"43183","3",,,"5954","1",,,"49137","4"
"2018","Lyon",,,,,,,,,"10775","1",,,"10775","1"
"2018","Madison",,,,,"36157","2",,,,,,,"36157","2"
"2018","Mahaska","3822000","1",,,,,"165923","1","9000","1",,,"3996923","3"
"2018","Marion","4544000","1","36400","1",,,,,,,"412000","1","4992400","3"
"2018","Marshall",,,,,,,,,,,,,"0","0"
"2018","Mills",,,,,"52420","1",,,"6500","1",,,"58920","2"
"2018","Mitchell",,,,,,,,,"7437","1",,,"7437","1"
"2018","Monona",,,,,,,,,,,,,"0","0"
"2018","Monroe",,,,,"126560","9",,,,,,,"126560","9"
"2018","Montgomery",,,,,"224244","8","72029","1","8453","1",,,"304726","10"
"2018","Muscatine","6211000","1",,,,,,,"20447","2",,,"6231447","3"
"2018","O'Brien",,,,,,,,,"20012","2",,,"20012","2"
"2018","Osceola","3719000","1",,,,,"278010","1","12142","1",,,"4009152","3"
"2018","Page","833000","1","920000","1","154528","9","102906","1","2700","1",,,"2013134","13"
"2018","Palo Alto",,,,,,,,,,,,,"0","0"
"2018","Plymouth","1300000","1",,,,,"494750","1",,,,,"1794750","2"
"2018","Pocahontas",,,,,,,,,,,,,"0","0"
"2018","Polk","24599000","2","4509000","3",,,,,"44145","3","4349200","2","33501345","10"
"2018","Pottawattamie",,,,,"10000","1",,,"8500","1",,,"18500","2"
"2018","Poweshiek","14300000","1",,,,,,,,,,,"14300000","1"
"2018","Ringgold",,,,,,,,,"10000","1",,,"10000","1"
"2018","Sac",,,"195000","1",,,"133000","1",,,"715000","1","1043000","3"
"2018","Scott",,,,,,,,,,,,,"0","0"
"2018","Shelby",,,,,,,,,,,,,"0","0"
"2018","Sioux","27190000","2",,,,,"94592","1","7365","1",,,"27291957","4"
"2018","Story","1651000","2","662000","1",,,,,,,"190000","2","2503000","5"
"2018","Tama",,,"100000","1",,,,,"8000","1",,,"108000","2"
"2018","Taylor","2558000","1",,,"113276","6",,,"38302","4",,,"2709579","11"
"2018","Union",,,,,"101327","5",,,,,"578500","1","679827","6"
"2018","Van Buren",,,,,"22439","2",,,"70044","6",,,"92484","8"
"2018","Wapello",,,"200000","1","88304","4",,,"18800","2",,,"307104","7"
"2018","Warren","24367000","2","2185000","2",,,,,,,,,"26552000","4"
"2018","Washington","4378000","1",,,"26575","2",,,"40239","3",,,"4444814","6"
"2018","Wayne",,,,,"46317","1",,,"24500","3",,,"70817","4"
"2018","Webster","14313000","2","1900000","1",,,,,,,,,"16213000","3"
"2018","Winnebago",,,,,,,,,"10000","1",,,"10000","1"
"2018","Winneshiek","2977000","1",,,,,,,"7716","1",,,"2984716","2"
"2018","Woodbury","856000","1",,,"24000","1",,,"6800","1",,,"886800","3"
"2018","Worth",,,,,,,,,"20564","2",,,"20564","2"
"2018","Wright","32176000","1","210000","1",,,,,"8220","1",,,"32394220","3"
"2017","Adair",,,,,"32726","2","217898","1",,,,,"250624","3"
"2017","Adams",,,,,"145514","8",,,,,,,"145514","8"
"2017","Allamakee","5693000","1",,,,,"531848","3",,,,,"6224848","4"
"2017","Appanoose",,,,,"15483","2",,,"10421","1",,,"25904","3"
"2017","Audubon",,,,,,,,,"9047","1",,,"9047","1"
"2017","Benton","8253000","2",,,,,,,,,,,"8253000","2"
"2017","Black Hawk",,,,,,,,,,,,,"0","0"
"2017","Boone",,,"428900","1",,,,,"12500","1",,,"441400","2"
"2017","Bremer","2630000","1",,,,,,,,,,,"2630000","1"
"2017","Buchanan","325000","1","200000","1",,,,,"6547","1",,,"531547","3"
"2017","Buena Vista","6022000","4",,,,,,,,,,,"6022000","4"
"2017","Butler",,,,,,,,,,,,,"0","0"
"2017","Calhoun","94000","1",,,,,,,,,,,"94000","1"
"2017","Carroll","550000","2","190000","1",,,,,,,,,"740000","3"
"2017","Cass",,,,,"56745","6",,,"4500","1",,,"61245","7"
"2017","Cedar","1431000","1","385000","1",,,,,"8838","1",,,"1824838","3"
"2017","Cerro Gordo",,,"750000","1",,,,,"15454","1",,,"765454","2"
"2017","Cherokee",,,"200000","1","16844","1",,,,,,,"216844","2"
"2017","Chickasaw",,,,,,,,,,,,,"0","0"
"2017","Clarke",,,"70000","1",,,,,"11810","1","1975000","1","2056810","3"
"2017","Clay","5105000","2","750000","1",,,,,"17381","2","370000","1","6242381","6"
"2017","Clayton",,,,,,,,,"6000","1",,,"6000","1"
"2017","Clinton","1969000","1",,,,,,,,,,,"1969000","1"
"2017","Crawford","2164000","2","140000","1",,,,,,,,,"2304000","3"
"2017","Dallas","750000","1","200000","1",,,,,"19797","1",,,"969797","3"
"2017","Davis",,,,,"38935","4",,,,,,,"38935","4"
"2017","Decatur",,,,,"6960","1",,,,,,,"6960","1"
"2017","Delaware",,,"289500","1",,,"30000","1","47728","6",,,"367228","8"
"2017","Des Moines",,,"608957","3","40846","4",,,"11590","1",,,"661393","8"
"2017","Dickinson","3421000","2","97500","1",,,,,,,"450000","1","3968500","4"
"2017","Dubuque","2962000","4","200000","1",,,,,,,,,"3162000","5"
"2017","Emmet",,,,,,,,,,,,,"0","0"
"2017","Fayette","1005000","1",,,,,,,"14938","2",,,"1019938","3"
"2017","Floyd","160000","1",,,,,,,"24232","2",,,"184232","3"
"2017","Franklin",,,"101600","1",,,,,"22109","2",,,"123709","3"
"2017","Fremont",,,"120000","1","10444","1",,,,,,,"130444","2"
"2017","Greene",,,,,,,,,,,,,"0","0"
"2017","Grundy","5689000","2",,,,,,,"5500","1",,,"5694500","3"
"2017","Guthrie",,,"180000","1","6251","1",,,,,,,"186251","2"
"2017","Hamilton",,,,,,,,,"12700","2",,,"12700","2"
"2017","Hancock",,,,,,,,,,,,,"0","0"
"2017","Hardin","938000","1",,,"12983","1",,,"20166","2",,,"971149","4"
"2017","Harrison",,,,,,,,,,,,,"0","0"
"2017","Henry","834000","1",,,"22703","1",,,,,,,"856703","2"
"2017","Howard",,,,,,,,,"12599","1",,,"12599","1"
"2017","Humboldt",,,,,,,,,,,,,"0","0"
"2017","Ida",,,"238000","1",,,,,,,,,"238000","1"
"2017","Iowa",,,,,,,,,"7114","1",,,"7114","1"
"2017","Jackson",,,"57300","1","3816","1","507568","2",,,,,"568683","4"
"2017","Jasper","150000","1","202500","2",,,,,"9200","1",,,"361700","4"
"2017","Jefferson",,,,,"65585","5","21780","1","63041","6",,,"150406","12"
"2017","Johnson","35665000","7","300000","2","17540","1",,,"58679","4",,,"36041219","14"
"2017","Jones",,,,,,,"258921","1","5860","1",,,"264781","2"
"2017","Keokuk",,,,,"116597","5",,,"22320","2",,,"138917","7"
"2017","Kossuth",,,"109000","1",,,,,,,,,"109000","1"
"2017","Lee","21079000","4",,,"44803","4",,,,,,,"21123803","8"
"2017","Linn",,,"368200","1",,,,,"11000","1",,,"379200","2"
"2017","Louisa",,,,,"7154","1",,,"10539","1",,,"17693","2"
"2017","Lucas","600000","1",,,"57136","5","16579","1","17800","2",,,"691515","9"
"2017","Lyon",,,,,,,,,,,,,"0","0"
"2017","Madison","208000","1",,,"29018","2",,,"13500","1","1975000","1","2225518","5"
"2017","Mahaska",,,,,,,,,,,"546000","1","546000","1"
"2017","Marion",,,,,,,,,"46070","4",,,"46070","4"
"2017","Marshall","8344000","1","78300","2",,,,,,,,,"8422300","3"
"2017","Mills",,,"270000","1",,,,,,,,,"270000","1"
"2017","Mitchell",,,,,,,,,,,,,"0","0"
"2017","Monona",,,,,,,,,,,,,"0","0"
"2017","Monroe",,,,,"92742","8",,,"31000","3",,,"123742","11"
"2017","Montgomery",,,,,"42954","2",,,,,,,"42954","2"
"2017","Muscatine","558000","1",,,,,,,"31783","4",,,"589783","5"
"2017","O'Brien",,,"132500","1",,,,,"10800","1",,,"143300","2"
"2017","Osceola","339000","1",,,,,,,,,,,"339000","1"
"2017","Page","2000000","1",,,"264174","9",,,,,,,"2264174","10"
"2017","Palo Alto","569000","1","251000","1",,,,,"7854","1","920000","1","1747854","4"
"2017","Plymouth",,,"49600","1",,,,,,,,,"49600","1"
"2017","Pocahontas","155000","1","324500","1",,,,,"8555","1",,,"488055","3"
"2017","Polk","59852000","11","508000","2","21985","1",,,,,,,"60381985","14"
"2017","Pottawattamie",,,,,,,,,,,,,"0","0"
"2017","Poweshiek","4757000","2",,,,,,,,,,,"4757000","2"
"2017","Ringgold",,,"275000","1",,,,,"10800","1",,,"285800","2"
"2017","Sac",,,"140000","1",,,,,"13500","1",,,"153500","2"
"2017","Scott",,,,,,,,,"11016","1",,,"11016","1"
"2017","Shelby",,,,,,,,,,,,,"0","0"
"2017","Sioux","1579000","3","5500000","1",,,,,,,,,"7079000","4"
"2017","Story","2960000","3","649000","2",,,,,,,"611000","1","4220000","6"
"2017","Tama",,,"140000","1",,,,,"6150","1",,,"146150","2"
"2017","Taylor","350000","1",,,"26268","2",,,"10290","1",,,"386558","4"
"2017","Union",,,,,"273064","7",,,,,,,"273064","7"
"2017","Van Buren",,,,,"52276","2",,,"21497","2",,,"73773","4"
"2017","Wapello","28000","1",,,"160272","7",,,"48574","5",,,"236847","13"
"2017","Warren","415000","1","669000","1",,,,,,,,,"1084000","2"
"2017","Washington","439000","1","507000","1","39534","3","21289","1","55014","5",,,"1061837","11"
"2017","Wayne",,,"410000","1","18623","1",,,"36500","4",,,"465123","6"
"2017","Webster","426000","3",,,,,,,,,,,"426000","3"
"2017","Winnebago",,,,,,,,,,,"1958400","1","1958400","1"
"2017","Winneshiek",,,"225000","1",,,"200000","1","6500","1",,,"431500","3"
"2017","Woodbury","39465000","4","419500","2",,,,,,,,,"39884500","6"
"2017","Worth","9393000","2",,,,,,,,,,,"9393000","2"
"2017","Wright",,,"2000000","1",,,,,,,,,"2000000","1"
