Location,Date Reported,Time Reported,Year Reported,Status,X,Y,Coordinates,Last Updated,DC Wards
@RANDOLPH ST @SOUTH DAKOTA AVE NE,2018/02/01,12:38:52 AM,2018,COMP,-76.97888053721296,38.93830779133088,"(38.93830779133088, -76.97888053721296)",2019/12/01,6
@27TH ST @I ST NW,2018/01/05,03:35:11 AM,2018,COMP,-77.05610826509658,38.900695471569335,"(38.900695471569335, -77.05610826509658)",2019/12/01,4
"@1ST ST @HAMILTON ST, NEW HAMPSHIRE AVE NW",2018/12/22,08:26:27 AM,2018,COMP,-77.01164065739394,38.95337997486222,"(38.95337997486222, -77.01164065739394)",2019/12/01,8
1817 TULIP ST NW,2018/11/03,03:17:57 PM,2018,COMP,-77.04164829812109,38.993477790961826,"(38.993477790961826, -77.04164829812109)",2019/12/01,8
1701 NORTH CAPITOL ST NE,2018/12/13,09:14:07 PM,2018,COMP,-77.0087399315548,38.91274377072849,"(38.91274377072849, -77.0087399315548)",2019/12/01,6
@1ST PL @RIGGS RD NE,2018/10/30,03:25:38 PM,2018,COMP,-77.00468410764032,38.95575864285635,"(38.95575864285635, -77.00468410764032)",2019/12/01,6
535 51ST ST NE,2018/01/08,02:47:12 AM,2018,COMP,-76.92699557781776,38.89645220400599,"(38.89645220400599, -76.92699557781776)",2019/12/01,3
7053 WESTERN AVE NW,2018/07/30,12:33:51 PM,2018,COMP,-77.05921855630854,38.98118301882946,"(38.98118301882946, -77.05921855630854)",2019/12/01,8
1324 D ST SE,2018/12/01,11:34:23 AM,2018,COMP,-76.98743703878844,38.884277001918626,"(38.884277001918626, -76.98743703878844)",2019/12/01,2
@45TH ST @EDSON PL NE,2018/12/03,05:55:44 PM,2018,COMP,-76.9377505692284,38.8967737229721,"(38.8967737229721, -76.9377505692284)",2019/12/01,3
@4TH ST @L ST NE,2018/01/11,07:33:39 PM,2018,COMP,-77.0005764397569,38.903726742757804,"(38.903726742757804, -77.0005764397569)",2019/12/01,2
4313 F ST SE,2018/01/08,07:58:36 AM,2018,COMP,-76.94260432306619,38.88169618476062,"(38.88169618476062, -76.94260432306619)",2019/12/01,3
@33RD PL @WOODLEY RD NW,2018/01/06,11:04:59 PM,2018,COMP,-77.06526660491726,38.93121095159946,"(38.93121095159946, -77.06526660491726)",2019/12/01,7
2507 1ST ST NW,2018/10/09,11:30:41 PM,2018,COMP,-77.01086289173124,38.923105328669095,"(38.923105328669095, -77.01086289173124)",2019/12/01,6
@6TH ST @MISSOURI AVE (N) NW,2018/02/07,12:04:37 PM,2018,COMP,-77.02117179313409,38.95916194257758,"(38.95916194257758, -77.02117179313409)",2019/12/01,8
@3RD ST @PENNSYLVANIA AVE SE,2018/07/04,10:12:17 PM,2018,COMP,-77.0020401203514,38.887070257949304,"(38.887070257949304, -77.0020401203514)",2019/12/01,2
1319 DEXTER TER SE,2018/10/23,06:34:24 PM,2018,COMP,-76.99054055402844,38.8607833827861,"(38.8607833827861, -76.99054055402844)",2019/12/01,1
@BRANCH AVE @N ST SE,2018/02/15,11:41:59 PM,2018,COMP,-76.96103704944368,38.87460517420405,"(38.87460517420405, -76.96103704944368)",2019/12/01,3
@12TH ST @I ST NW,2018/01/12,12:33:58 AM,2018,COMP,-77.02807167226308,38.90132714930154,"(38.90132714930154, -77.02807167226308)",2019/12/01,4
@3RD ST @L ST NE,2018/01/14,02:26:51 AM,2018,COMP,-77.00204059673909,38.903726726358975,"(38.903726726358975, -77.00204059673909)",2019/12/01,2
@10TH ST @PENNSYLVANIA AVE NW,2018/03/04,02:36:39 PM,2018,COMP,-77.02600557836473,38.894445238743444,"(38.894445238743444, -77.02600557836473)",2019/12/01,4
632 RIGGS RD NE,2018/05/11,03:50:51 PM,2018,COMP,-76.9980962047631,38.961578056553215,"(38.961578056553215, -76.9980962047631)",2019/12/01,8
@5TH ST @W ST NE,2018/12/12,01:48:27 PM,2018,COMP,-76.99951568570813,38.91917604589987,"(38.91917604589987, -76.99951568570813)",2019/12/01,6
@18TH ST @RANDOLPH ST NE,2018/05/04,02:23:11 PM,2018,COMP,-76.98002244149873,38.938307992074634,"(38.938307992074634, -76.98002244149873)",2019/12/01,6
2424 K ST NW,2018/07/13,09:01:18 AM,2018,COMP,-77.05239731600703,38.90228266583727,"(38.90228266583727, -77.05239731600703)",2019/12/01,4
1385 NICHOLSON ST NW,2018/01/06,12:57:01 PM,2018,COMP,-77.03312547045499,38.96035726528373,"(38.96035726528373, -77.03312547045499)",2019/12/01,8
1221 M ST NW,2018/09/21,06:17:13 AM,2018,COMP,-77.02882284593392,38.90584915964804,"(38.90584915964804, -77.02882284593392)",2019/12/01,4
1300 RHODE ISLAND AVE NW,2018/01/04,07:48:49 PM,2018,COMP,-77.030542068327,38.90907371103966,"(38.90907371103966, -77.030542068327)",2019/12/01,4
2847 GAINESVILLE ST SE,2018/01/15,07:13:01 AM,2018,COMP,-76.96671610322458,38.85487850378349,"(38.85487850378349, -76.96671610322458)",2019/12/01,1
1326 DEXTER TER SE,2018/09/06,02:34:36 PM,2018,COMP,-76.99010271590714,38.86083739701068,"(38.86083739701068, -76.99010271590714)",2019/12/01,1
3216 18TH ST NE,2018/06/11,12:26:08 PM,2018,COMP,-76.97967854360088,38.93082203443446,"(38.93082203443446, -76.97967854360088)",2019/12/01,6
3301 MACOMB ST NW,2018/07/10,11:09:07 AM,2018,COMP,-77.06525733891985,38.93368824118876,"(38.93368824118876, -77.06525733891985)",2019/12/01,7
4000 7TH ST NE,2018/12/11,03:41:22 PM,2018,COMP,-76.99557072923879,38.93937259402481,"(38.93937259402481, -76.99557072923879)",2019/12/01,6
1615 Q ST NW,2018/03/01,12:44:24 PM,2018,COMP,-77.03749564101942,38.911332780433135,"(38.911332780433135, -77.03749564101942)",2019/12/01,4
1309 R ST NW,2018/11/29,01:24:22 PM,2018,COMP,-77.03011187191757,38.91273188665612,"(38.91273188665612, -77.03011187191757)",2019/12/01,4
6320 29TH PL NW,2018/01/09,01:12:18 PM,2018,COMP,-77.05571554732728,38.973527746969175,"(38.973527746969175, -77.05571554732728)",2019/12/01,8
980 MOUNT OLIVET RD NE,2018/11/03,05:09:01 PM,2018,COMP,-76.98934609899129,38.91239228670583,"(38.91239228670583, -76.98934609899129)",2019/12/01,6
3901 ALTON PL NW,2018/09/04,10:55:17 AM,2018,COMP,-77.0772670509889,38.94727443462274,"(38.94727443462274, -77.0772670509889)",2019/12/01,7
@BOWEN RD @SHERIDAN RD SE,2018/04/06,10:25:27 AM,2018,COMP,-76.99337509848088,38.85898189382449,"(38.85898189382449, -76.99337509848088)",2019/12/01,1
@1ST ST @C ST SE,2018/01/02,12:42:00 PM,2018,COMP,-77.00588975419825,38.886043171959614,"(38.886043171959614, -77.00588975419825)",2019/12/01,2
301 NEW YORK AVE NW,2018/01/07,11:48:17 PM,2018,COMP,-77.0154739673949,38.905406302113114,"(38.905406302113114, -77.0154739673949)",2019/12/01,2
1440 ASPEN ST NW,2018/10/27,12:14:36 PM,2018,COMP,-77.03558891125608,38.97208527806566,"(38.97208527806566, -77.03558891125608)",2019/12/01,8
"@13TH ST @BRENTWOOD RD (N), RHODE ISLAND AVE NE",2018/01/23,09:19:50 AM,2018,COMP,-76.98800667549375,38.92381471790486,"(38.92381471790486, -76.98800667549375)",2019/12/01,6
@6TH ST @FLORIDA AVE NW,2018/12/14,12:00:01 PM,2018,COMP,-77.01997115670096,38.91545389989714,"(38.91545389989714, -77.01997115670096)",2019/12/01,2
@GLENBROOK RD @MILLWOOD LN NW,2018/01/05,08:59:59 PM,2018,COMP,-77.1023965678491,38.93431020283652,"(38.93431020283652, -77.1023965678491)",2019/12/01,7
3852 HALLEY TER SE,2018/10/22,02:38:08 PM,2018,COMP,-77.00684135651629,38.83337088279099,"(38.83337088279099, -77.00684135651629)",2019/12/01,1
2700 KNOX TER SE,2018/01/10,11:32:48 AM,2018,COMP,-76.96880762443354,38.85409339221547,"(38.85409339221547, -76.96880762443354)",2019/12/01,1
@5TH ST @K ST SE,2018/01/19,09:23:00 PM,2018,COMP,-76.99951596243767,38.87840420752948,"(38.87840420752948, -76.99951596243767)",2019/12/01,2
@3RD ST @I ST NW,2018/11/16,12:46:39 PM,2018,COMP,-77.01517138460883,38.90132953681566,"(38.90132953681566, -77.01517138460883)",2019/12/01,2
"@13TH ST @BRENTWOOD RD (N), RHODE ISLAND AVE NE",2018/03/23,10:36:03 AM,2018,COMP,-76.98800667549375,38.92381471790486,"(38.92381471790486, -76.98800667549375)",2019/12/01,6
604 HARVARD ST NW,2018/01/11,04:53:47 PM,2018,COMP,-77.02187734060652,38.927254462509026,"(38.927254462509026, -77.02187734060652)",2019/12/01,5
@2ND ST @MALCOLM X AVE SE,2018/10/18,08:05:15 AM,2018,COMP,-77.00329452724245,38.84509103211266,"(38.84509103211266, -77.00329452724245)",2019/12/01,1
4320 D ST SE,2018/01/05,05:59:59 AM,2018,COMP,-76.94317787302478,38.88510163535091,"(38.88510163535091, -76.94317787302478)",2019/12/01,3
1320 T ST NW,2018/01/05,02:18:54 AM,2018,COMP,-77.030660079426,38.91538852579025,"(38.91538852579025, -77.030660079426)",2019/12/01,5
@5TH ST @SEWARD SQ (N) SE,2018/05/20,05:03:14 PM,2018,COMP,-76.99951590731266,38.88652977199165,"(38.88652977199165, -76.99951590731266)",2019/12/01,2
1427 MORRIS RD SE,2018/09/27,01:44:26 AM,2018,COMP,-76.98721097257544,38.85946783613662,"(38.85946783613662, -76.98721097257544)",2019/12/01,1
3326 CLAY PL NE,2018/05/16,08:24:17 AM,2018,COMP,-76.95865165585529,38.894332715096105,"(38.894332715096105, -76.95865165585529)",2019/12/01,3
@V ST @VERMONT AVE NW,2018/10/24,06:39:40 PM,2018,COMP,-77.02464200452465,38.918110465974,"(38.918110465974, -77.02464200452465)",2019/12/01,5
1419 GIRARD ST NE,2018/01/06,04:15:07 AM,2018,COMP,-76.98492703746456,38.926570906296185,"(38.926570906296185, -76.98492703746456)",2019/12/01,6
2429 HAMLIN ST NE,2018/01/25,03:51:30 AM,2018,COMP,-76.97183727223918,38.92755939955993,"(38.92755939955993, -76.97183727223918)",2019/12/01,6
1325 DEXTER TER SE,2018/09/29,10:07:46 AM,2018,COMP,-76.9904483924207,38.86068428266582,"(38.86068428266582, -76.9904483924207)",2019/12/01,1
725 17TH ST NW #L0812,2018/01/23,11:14:11 AM,2018,COMP,-77.03823877533404,38.899549617245206,"(38.899549617245206, -77.03823877533404)",2019/12/01,4
841 OGLETHORPE ST NE,2018/11/24,10:41:49 AM,2018,COMP,-76.99345821290233,38.95781243750908,"(38.95781243750908, -76.99345821290233)",2019/12/01,8
@15TH ST @U ST NW,2018/11/24,07:11:55 AM,2018,COMP,-77.03453516854665,38.91699993629106,"(38.91699993629106, -77.03453516854665)",2019/12/01,4
@3RD ST @ATLANTIC ST SE,2018/01/04,10:27:40 PM,2018,COMP,-77.00202700006339,38.83095679798993,"(38.83095679798993, -77.00202700006339)",2019/12/01,1
@49TH ST @NASH ST NE,2018/05/03,09:38:37 AM,2018,COMP,-76.93166549556207,38.90720200020697,"(38.90720200020697, -76.93166549556207)",2019/12/01,3
@CALIFORNIA ST @CONNECTICUT AVE NW,2018/01/13,06:02:47 PM,2018,COMP,-77.04673475477979,38.91677048562118,"(38.91677048562118, -77.04673475477979)",2019/12/01,5
@DENVER ST @NAYLOR RD SE,2018/02/17,01:34:38 PM,2018,COMP,-76.96792441379846,38.8579597239468,"(38.8579597239468, -76.96792441379846)",2019/12/01,1
@BURNS ST @RIDGE RD SE,2018/01/03,11:06:32 AM,2018,COMP,-76.93881834547892,38.874901933143875,"(38.874901933143875, -76.93881834547892)",2019/12/01,3
2846 DAVENPORT ST NW,2018/10/21,05:56:39 PM,2018,COMP,-77.0576944707779,38.95189797046287,"(38.95189797046287, -77.0576944707779)",2019/12/01,7
107 WAYNE PL SE,2018/09/12,06:13:56 PM,2018,COMP,-77.00520601536792,38.835217701197706,"(38.835217701197706, -77.00520601536792)",2019/12/01,1
1678 IRVING ST NW,2018/02/01,03:24:49 PM,2018,COMP,-77.03903857149817,38.92857421205647,"(38.92857421205647, -77.03903857149817)",2019/12/01,5
@LOGAN CIR @P ST (E) NW,2018/06/23,03:46:08 PM,2018,COMP,-77.02890508676714,38.909641653137186,"(38.909641653137186, -77.02890508676714)",2019/12/01,4
"@14TH ST @CEDAR ST, HIGH ST SE",2018/07/05,06:01:44 AM,2018,COMP,-76.98633471001921,38.862692750967774,"(38.862692750967774, -76.98633471001921)",2019/12/01,1
@23RD ST @HARTFORD ST SE,2018/07/07,07:53:41 AM,2018,COMP,-76.97320267036461,38.854087431045144,"(38.854087431045144, -76.97320267036461)",2019/12/01,1
1021 DECATUR ST NE,2018/11/26,06:39:29 PM,2018,COMP,-76.99152107368258,38.94799329954509,"(38.94799329954509, -76.99152107368258)",2019/12/01,6
4521 CLARK PL NW,2018/07/02,07:27:16 PM,2018,COMP,-77.08731280972307,38.90800011038864,"(38.90800011038864, -77.08731280972307)",2019/12/01,7
1724 FRANKFORD ST SE,2018/09/20,09:27:20 PM,2018,COMP,-76.97990711121955,38.8564039434516,"(38.8564039434516, -76.97990711121955)",2019/12/01,1
140 WILMINGTON PL SE,2018/01/15,12:58:29 PM,2018,COMP,-77.00377787461477,38.836316787846954,"(38.836316787846954, -77.00377787461477)",2019/12/01,1
3610 HORNER PL SE,2018/10/06,06:02:49 AM,2018,COMP,-77.00415814298437,38.83936163218847,"(38.83936163218847, -77.00415814298437)",2019/12/01,1
@3RD ST @NICHOLSON ST NW,2018/01/10,03:19:11 PM,2018,COMP,-77.01616463135365,38.960162658616795,"(38.960162658616795, -77.01616463135365)",2019/12/01,8
1333 GREEN CT NW,2018/01/09,09:22:31 PM,2018,COMP,-77.03074761000195,38.90445237460671,"(38.90445237460671, -77.03074761000195)",2019/12/01,4
301 LIVINGSTON TER SE,2018/12/08,07:08:00 PM,2018,COMP,-77.0017619935279,38.826317441986966,"(38.826317441986966, -77.0017619935279)",2019/12/01,1
@18TH ST @LAWRENCE ST NE,2018/01/20,06:43:49 AM,2018,COMP,-76.9795397706814,38.93212821467254,"(38.93212821467254, -76.9795397706814)",2019/12/01,6
@ELY PL @RIDGE RD (N) SE,2018/01/11,09:15:55 PM,2018,COMP,-76.94725899264593,38.883761300164394,"(38.883761300164394, -76.94725899264593)",2019/12/01,3
178 UHLAND TER NE,2018/01/15,08:18:41 AM,2018,COMP,-77.0037706560149,38.91772564522258,"(38.91772564522258, -77.0037706560149)",2019/12/01,6
1607 38TH ST SE,2018/01/06,10:36:27 AM,2018,COMP,-76.9508068817181,38.86992595153935,"(38.86992595153935, -76.9508068817181)",2019/12/01,3
1408 CONSTITUTION AVE NE,2018/09/21,09:14:36 PM,2018,COMP,-76.98504956203733,38.89223111790669,"(38.89223111790669, -76.98504956203733)",2019/12/01,2
1785 FLORIDA AVE NW,2018/11/11,02:24:39 AM,2018,COMP,-77.04125780537449,38.91716891435894,"(38.91716891435894, -77.04125780537449)",2019/12/01,5
@7TH ST @H ST NE,2018/05/15,07:04:09 AM,2018,COMP,-76.99617262900918,38.900204414567476,"(38.900204414567476, -76.99617262900918)",2019/12/01,2
2235 14TH ST SE,2018/09/26,01:09:52 AM,2018,COMP,-76.98635762865402,38.86335036804125,"(38.86335036804125, -76.98635762865402)",2019/12/01,1
1300 MARYLAND AVE NE,2018/12/03,02:26:58 PM,2018,COMP,-76.98812621080624,38.89850129388745,"(38.89850129388745, -76.98812621080624)",2019/12/01,2
1401 S ST NW,2018/04/26,02:05:57 PM,2018,COMP,-77.03233901497802,38.91424503171168,"(38.91424503171168, -77.03233901497802)",2019/12/01,4
228 50TH ST NE,2018/01/06,06:59:22 PM,2018,COMP,-76.93021500799803,38.89315710838496,"(38.89315710838496, -76.93021500799803)",2019/12/01,3
@KANSAS AVE @MISSOURI AVE NW,2018/01/01,09:12:51 PM,2018,COMP,-77.01494088630976,38.95670364970124,"(38.95670364970124, -77.01494088630976)",2019/12/01,8
1528 CONNECTICUT AVE NW,2018/12/12,10:53:54 AM,2018,COMP,-77.04443635019739,38.91074480476281,"(38.91074480476281, -77.04443635019739)",2019/12/01,4
@11TH ST @FLORIDA AVE NE,2018/01/04,03:54:01 AM,2018,COMP,-76.99152638375375,38.903321061010665,"(38.903321061010665, -76.99152638375375)",2019/12/01,2
3336 AMES ST NE,2018/01/05,12:57:43 PM,2018,COMP,-76.95906868452148,38.89076554692585,"(38.89076554692585, -76.95906868452148)",2019/12/01,3
@24TH ST @SAVANNAH ST SE,2018/01/14,03:09:01 PM,2018,COMP,-76.97008302406775,38.848159123390786,"(38.848159123390786, -76.97008302406775)",2019/12/01,1
420 KENTUCKY AVE SE,2018/09/10,03:49:32 PM,2018,COMP,-76.9847747476676,38.88364609832829,"(38.88364609832829, -76.9847747476676)",2019/12/01,2
2218 6TH ST NW,2018/10/16,09:32:47 AM,2018,COMP,-77.02102198695657,38.92066953812621,"(38.92066953812621, -77.02102198695657)",2019/12/01,5
@10TH ST @F ST NW,2018/04/03,10:27:35 PM,2018,COMP,-77.0259835802672,38.89734593730596,"(38.89734593730596, -77.0259835802672)",2019/12/01,4
745 HILLTOP TER SE,2018/11/16,12:38:46 PM,2018,COMP,-76.94175311774542,38.87965986699548,"(38.87965986699548, -76.94175311774542)",2019/12/01,3
@FLORIDA AVE @P ST NE,2018/08/07,08:40:31 AM,2018,COMP,-77.00637595272853,38.90964505459243,"(38.90964505459243, -77.00637595272853)",2019/12/01,6
@22ND ST @G ST NW,2018/01/25,08:47:41 AM,2018,COMP,-77.0488322836728,38.89832954065046,"(38.89832954065046, -77.0488322836728)",2019/12/01,4
@5TH ST @M ST SE,2018/09/22,01:27:41 PM,2018,COMP,-76.99951597545318,38.87648541957439,"(38.87648541957439, -76.99951597545318)",2019/12/01,2
2063 PARK RD NW,2018/01/07,03:07:51 PM,2018,COMP,-77.04501670787832,38.93513010961225,"(38.93513010961225, -77.04501670787832)",2019/12/01,5
1005 3RD ST NE,2018/06/11,02:40:07 PM,2018,COMP,-77.00162720740181,38.9035673444628,"(38.9035673444628, -77.00162720740181)",2019/12/01,2
424 LONGFELLOW ST NW,2018/01/11,02:29:41 PM,2018,COMP,-77.01889837400985,38.95735167187627,"(38.95735167187627, -77.01889837400985)",2019/12/01,8
@DAVIS ST @OBSERVATORY CIR NW,2018/01/12,08:59:35 AM,2018,COMP,-77.0694918661705,38.923578472204966,"(38.923578472204966, -77.0694918661705)",2019/12/01,7
@3RD ST @K ST SW,2018/07/12,10:28:33 PM,2018,COMP,-77.01521261088149,38.87841222614133,"(38.87841222614133, -77.01521261088149)",2019/12/01,2
@12TH ST @EMERSON ST NE,2018/09/12,12:35:20 PM,2018,COMP,-76.9905517526614,38.95026331075764,"(38.95026331075764, -76.9905517526614)",2019/12/01,6
3106 15TH ST NE,2018/01/17,07:44:26 PM,2018,COMP,-76.98440746878931,38.92934539835355,"(38.92934539835355, -76.98440746878931)",2019/12/01,6
1204 I ST NE,2018/07/14,07:18:55 AM,2018,COMP,-76.98985497934193,38.901483223482515,"(38.901483223482515, -76.98985497934193)",2019/12/01,2
107 WAYNE PL SE,2018/09/12,07:44:12 PM,2018,COMP,-77.00520601536792,38.835217701197706,"(38.835217701197706, -77.00520601536792)",2019/12/01,1
@8TH ST @F ST NE,2018/10/16,11:23:12 AM,2018,COMP,-76.99496236823242,38.89733070166059,"(38.89733070166059, -76.99496236823242)",2019/12/01,2
514 FOXHALL PL SE,2018/12/09,04:09:22 PM,2018,COMP,-76.9985718365896,38.83344314224036,"(38.83344314224036, -76.9985718365896)",2019/12/01,1
@16TH ST @T ST SE,2018/01/03,03:23:05 PM,2018,COMP,-76.98222015650383,38.86726847095599,"(38.86726847095599, -76.98222015650383)",2019/12/01,1
