"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"1022 W CATALPA AVE","1022","W","CATALPA","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1022%20and%20direction=%27W%27%20and%20street_name=%27CATALPA%27%20and%20street_type=%27AVE%27)",,,"41.98197193908904","-87.65615569287563","POINT (-87.65615569287563 41.98197193908904)"
"1028 W DIVERSEY AVE","1028","W","DIVERSEY","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1028%20and%20direction=%27W%27%20and%20street_name=%27DIVERSEY%27%20and%20street_type=%27AVE%27)",,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1028%20and%20direction=%27W%27%20and%20street_name=%27DIVERSEY%27%20and%20street_type=%27AVE%27)",,,,"41.93272677149699","-87.65504177558735","POINT (-87.65504177558735 41.93272677149699)"
"10270 S CHARLES ST","10270","S","CHARLES","ST",,,,,,,"Y (https://data.cityofchicago.org/resource/6gqn-e2ij.csv?$where=street_number_from=10270%20and%20street_direction=%27S%27%20and%20street_name=%27CHARLES%27%20and%20street_type=%27ST%27)","41.70698308505148","-87.65889162450429","POINT (-87.65889162450429 41.70698308505148)"
"1034 W WELLINGTON AVE","1034","W","WELLINGTON","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1034%20and%20direction=%27W%27%20and%20street_name=%27WELLINGTON%27%20and%20street_type=%27AVE%27)",,,,,,"41.936359641934374","-87.65534753029984","POINT (-87.65534753029984 41.936359641934374)"
"1034 N WINCHESTER AVE","1034","N","WINCHESTER","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1034%20and%20direction=%27N%27%20and%20street_name=%27WINCHESTER%27%20and%20street_type=%27AVE%27)",,,,,,"41.90062030605377","-87.67610817865148","POINT (-87.67610817865148 41.90062030605377)"
"1036 W 47TH PL","1036","W","47TH","PL","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1036%20and%20direction=%27W%27%20and%20street_name=%2747TH%27%20and%20street_type=%27PL%27)",,,,,,,"41.807971012741525","-87.65184431418962","POINT (-87.65184431418962 41.807971012741525)"
"1053 S YATES AVE","1053","S","YATES","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1053%20and%20direction=%27S%27%20and%20street_name=%27YATES%27%20and%20street_type=%27AVE%27)",,,,,
"10541 S HOYNE AVE","10541","S","HOYNE","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=10541%20and%20direction=%27S%27%20and%20street_name=%27HOYNE%27%20and%20street_type=%27AVE%27)",,,,"41.70161048972839","-87.67407703857688","POINT (-87.67407703857688 41.70161048972839)"
"10545 S CLAREMONT AVE","10545","S","CLAREMONT","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=10545%20and%20direction=%27S%27%20and%20street_name=%27CLAREMONT%27%20and%20street_type=%27AVE%27)",,"41.701400667528404","-87.68008611998495","POINT (-87.68008611998495 41.701400667528404)"
"1060 W ADAMS ST","1060","W","ADAMS","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1060%20and%20direction=%27W%27%20and%20street_name=%27ADAMS%27%20and%20street_type=%27ST%27)",,"41.879213118849975","-87.65433333077544","POINT (-87.65433333077544 41.879213118849975)"
"1072 S BENSLEY AVE","1072","S","BENSLEY","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1072%20and%20direction=%27S%27%20and%20street_name=%27BENSLEY%27%20and%20street_type=%27AVE%27)",,,,,
"1074 S YATES AVE","1074","S","YATES","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1074%20and%20direction=%27S%27%20and%20street_name=%27YATES%27%20and%20street_type=%27AVE%27)",,,,,
"10813 S EDBROOKE AVE","10813","S","EDBROOKE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=10813%20and%20direction=%27S%27%20and%20street_name=%27EDBROOKE%27%20and%20street_type=%27AVE%27)",,,,,,"41.69766958992941","-87.61946988857333","POINT (-87.61946988857333 41.69766958992941)"
"1115 E MARQUETTE RD","1115","E","MARQUETTE","RD",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1115%20and%20direction=%27E%27%20and%20street_name=%27MARQUETTE%27%20and%20street_type=%27RD%27)",,,,,,"41.77493309297215","-87.59793030155129","POINT (-87.59793030155129 41.77493309297215)"
"11221 S EDBROOKE AVE","11221","S","EDBROOKE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=11221%20and%20direction=%27S%27%20and%20street_name=%27EDBROOKE%27%20and%20street_type=%27AVE%27)",,,,,,"41.69016208449118","-87.61941890305997","POINT (-87.61941890305997 41.69016208449118)"
"1133 W BERWYN AVE","1133","W","BERWYN","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1133%20and%20direction=%27W%27%20and%20street_name=%27BERWYN%27%20and%20street_type=%27AVE%27)",,,,"41.97804442855774","-87.65924930263739","POINT (-87.65924930263739 41.97804442855774)"
"114 S ABERDEEN ST","114","S","ABERDEEN","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=114%20and%20direction=%27S%27%20and%20street_name=%27ABERDEEN%27%20and%20street_type=%27ST%27)",,,,"41.87988058183406","-87.65478753511321","POINT (-87.65478753511321 41.87988058183406)"
"1140 E 46TH ST","1140","E","46TH","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1140%20and%20direction=%27E%27%20and%20street_name=%2746TH%27%20and%20street_type=%27ST%27)",,,,,,"41.81156315955747","-87.59767357982936","POINT (-87.59767357982936 41.81156315955747)"
"11418 S YALE AVE","11418","S","YALE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=11418%20and%20direction=%27S%27%20and%20street_name=%27YALE%27%20and%20street_type=%27AVE%27)",,,,,,"41.686464587688484","-87.6290722279981","POINT (-87.6290722279981 41.686464587688484)"
"1149 S INDEPENDENCE ","1149","S","INDEPENDENCE",,,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1149%20and%20direction=%27S%27%20and%20street_name=%27INDEPENDENCE%27%20and%20street_type%20IS%20NULL)",,"41.86659067747976","-87.71939040315219","POINT (-87.71939040315219 41.86659067747976)"
"11528 S COTTAGE GROVE AVE","11528","S","COTTAGE GROVE","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=11528%20and%20direction=%27S%27%20and%20street_name=%27COTTAGE%20GROVE%27%20and%20street_type=%27AVE%27)",,,"41.68464219801553","-87.61150582871633","POINT (-87.61150582871633 41.68464219801553)"
"11800 S OGLESBY AVE","11800","S","OGLESBY","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=11800%20and%20direction=%27S%27%20and%20street_name=%27OGLESBY%27%20and%20street_type=%27AVE%27)",,,,,,
"1200 W ERIE ST","1200","W","ERIE","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1200%20and%20direction=%27W%27%20and%20street_name=%27ERIE%27%20and%20street_type=%27ST%27)",,,,"41.893605716252814","-87.65755185281644","POINT (-87.65755185281644 41.893605716252814)"
"1209 W 109TH ST","1209","W","109TH","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1209%20and%20direction=%27W%27%20and%20street_name=%27109TH%27%20and%20street_type=%27ST%27)",,,,,,"41.69576346697321","-87.65263694480308","POINT (-87.65263694480308 41.69576346697321)"
"1210 W GRANVILLE AVE","1210","W","GRANVILLE","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1210%20and%20direction=%27W%27%20and%20street_name=%27GRANVILLE%27%20and%20street_type=%27AVE%27)",,,,,,,"41.99465804747477","-87.66088516214597","POINT (-87.66088516214597 41.99465804747477)"
"1215 W FULTON MARKET ","1215","W","FULTON MARKET",,,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1215%20and%20direction=%27W%27%20and%20street_name=%27FULTON%20MARKET%27%20and%20street_type%20IS%20NULL)",,,,"41.88655854349736","-87.6574765340751","POINT (-87.6574765340751 41.88655854349736)"
"1226 W WASHBURNE AVE","1226","W","WASHBURNE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1226%20and%20direction=%27W%27%20and%20street_name=%27WASHBURNE%27%20and%20street_type=%27AVE%27)",,,,,,"41.86624176168228","-87.6573674790648","POINT (-87.6573674790648 41.86624176168228)"
"1233 S MILLER ST","1233","S","MILLER","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1233%20and%20direction=%27S%27%20and%20street_name=%27MILLER%27%20and%20street_type=%27ST%27)",,,,
"1248 W THORNDALE AVE","1248","W","THORNDALE","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1248%20and%20direction=%27W%27%20and%20street_name=%27THORNDALE%27%20and%20street_type=%27AVE%27)",,,,,,,"41.99007859811004","-87.66224114836967","POINT (-87.66224114836967 41.99007859811004)"
"1310 W 18TH PL","1310","W","18TH","PL",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1310%20and%20direction=%27W%27%20and%20street_name=%2718TH%27%20and%20street_type=%27PL%27)",,,,,,"41.85710727422867","-87.65935258469746","POINT (-87.65935258469746 41.85710727422867)"
"1321 W CONCORD PL","1321","W","CONCORD","PL",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1321%20and%20direction=%27W%27%20and%20street_name=%27CONCORD%27%20and%20street_type=%27PL%27)",,,,"41.91227087045051","-87.66124752100431","POINT (-87.66124752100431 41.91227087045051)"
"13300 S CORLISS AVE","13300","S","CORLISS","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=13300%20and%20direction=%27S%27%20and%20street_name=%27CORLISS%27%20and%20street_type=%27AVE%27)",,,,"41.65442077799039","-87.60239001684505","POINT (-87.60239001684505 41.65442077799039)"
"1351 W ROSCOE ST","1351","W","ROSCOE","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1351%20and%20direction=%27W%27%20and%20street_name=%27ROSCOE%27%20and%20street_type=%27ST%27)",,,,"41.94331504171997","-87.66349233791384","POINT (-87.66349233791384 41.94331504171997)"
"1367 S MILLER ST","1367","S","MILLER","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1367%20and%20direction=%27S%27%20and%20street_name=%27MILLER%27%20and%20street_type=%27ST%27)",,,,
"1400 S  LYNN WHITE ","1400","S"," LYNN WHITE",,,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1400%20and%20direction=%27S%27%20and%20street_name=%27%20LYNN%20WHITE%27%20and%20street_type%20IS%20NULL)",,,"41.86380079774921","-87.60937166448174","POINT (-87.60937166448174 41.86380079774921)"
"1441 W FARWELL AVE","1441","W","FARWELL","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1441%20and%20direction=%27W%27%20and%20street_name=%27FARWELL%27%20and%20street_type=%27AVE%27)",,,,"42.006550130148106","-87.66749241205598","POINT (-87.66749241205598 42.006550130148106)"
"1442 W 43RD ST","1442","W","43RD","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1442%20and%20direction=%27W%27%20and%20street_name=%2743RD%27%20and%20street_type=%27ST%27)",,,,"41.815894953759695","-87.66191515624107","POINT (-87.66191515624107 41.815894953759695)"
"1470 E 56TH ST","1470","E","56TH","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1470%20and%20direction=%27E%27%20and%20street_name=%2756TH%27%20and%20street_type=%27ST%27)",,,"41.793460030652405","-87.58945026717238","POINT (-87.58945026717238 41.793460030652405)"
"1506 N KEATING AVE","1506","N","KEATING","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1506%20and%20direction=%27N%27%20and%20street_name=%27KEATING%27%20and%20street_type=%27AVE%27)",,,,,,"41.90808943429176","-87.74495847933379","POINT (-87.74495847933379 41.90808943429176)"
"1510 S NEWBERRY AVE","1510","S","NEWBERRY","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1510%20and%20direction=%27S%27%20and%20street_name=%27NEWBERRY%27%20and%20street_type=%27AVE%27)",,,,,,,,
"1530 W SUPERIOR ST","1530","W","SUPERIOR","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1530%20and%20direction=%27W%27%20and%20street_name=%27SUPERIOR%27%20and%20street_type=%27ST%27)",,,"41.8952712261211","-87.66694219708522","POINT (-87.66694219708522 41.8952712261211)"
"16 E CHICAGO AVE","16","E","CHICAGO","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=16%20and%20direction=%27E%27%20and%20street_name=%27CHICAGO%27%20and%20street_type=%27AVE%27)",,,,,,,"41.8967959204647","-87.62752659756836","POINT (-87.62752659756836 41.8967959204647)"
"160 W 79TH ST","160","W","79TH","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=160%20and%20direction=%27W%27%20and%20street_name=%2779TH%27%20and%20street_type=%27ST%27)",,,"41.75097456241203","-87.62948837135059","POINT (-87.62948837135059 41.75097456241203)"
"1600 W POLK ST","1600","W","POLK","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1600%20and%20direction=%27W%27%20and%20street_name=%27POLK%27%20and%20street_type=%27ST%27)",,,,"41.871736456795446","-87.66659906204097","POINT (-87.66659906204097 41.871736456795446)"
"1620 W PETERSON AVE","1620","W","PETERSON","AVE",,,,,,,"Y (https://data.cityofchicago.org/resource/6gqn-e2ij.csv?$where=street_number_from=1620%20and%20street_direction=%27W%27%20and%20street_name=%27PETERSON%27%20and%20street_type=%27AVE%27)","41.99089356110425","-87.67090415814152","POINT (-87.67090415814152 41.99089356110425)"
"1633 W FULLERTON AVE","1633","W","FULLERTON","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1633%20and%20direction=%27W%27%20and%20street_name=%27FULLERTON%27%20and%20street_type=%27AVE%27)",,"41.925024382312216","-87.66945178029445","POINT (-87.66945178029445 41.925024382312216)"
"1637 S KILBOURN AVE","1637","S","KILBOURN","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1637%20and%20direction=%27S%27%20and%20street_name=%27KILBOURN%27%20and%20street_type=%27AVE%27)",,"41.857774278111194","-87.73700135504554","POINT (-87.73700135504554 41.857774278111194)"
"164 E 111TH ST","164","E","111TH","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=164%20and%20direction=%27E%27%20and%20street_name=%27111TH%27%20and%20street_type=%27ST%27)",,,"41.69275790238973","-87.6185573910612","POINT (-87.6185573910612 41.69275790238973)"
"1651 S BLUE ISLAND AVE","1651","S","BLUE ISLAND","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1651%20and%20direction=%27S%27%20and%20street_name=%27BLUE%20ISLAND%27%20and%20street_type=%27AVE%27)",,"41.85841408870473","-87.66051174658087","POINT (-87.66051174658087 41.85841408870473)"
"1700 W POLK ST","1700","W","POLK","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1700%20and%20direction=%27W%27%20and%20street_name=%27POLK%27%20and%20street_type=%27ST%27)",,,,"41.87169751493725","-87.669066310341","POINT (-87.669066310341 41.87169751493725)"
"1705 N KEDZIE AVE","1705","N","KEDZIE","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1705%20and%20direction=%27N%27%20and%20street_name=%27KEDZIE%27%20and%20street_type=%27AVE%27)",,,,"41.912142867942045","-87.70665890662478","POINT (-87.70665890662478 41.912142867942045)"
"1712 N DAMEN AVE","1712","N","DAMEN","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1712%20and%20direction=%27N%27%20and%20street_name=%27DAMEN%27%20and%20street_type=%27AVE%27)",,,"41.91272097038942","-87.67766164732578","POINT (-87.67766164732578 41.91272097038942)"
"1722 N NEWLAND AVE","1722","N","NEWLAND","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1722%20and%20direction=%27N%27%20and%20street_name=%27NEWLAND%27%20and%20street_type=%27AVE%27)",,,,,,,"41.911505972224006","-87.79867663157067","POINT (-87.79867663157067 41.911505972224006)"
"1767 W ARMITAGE AVE","1767","W","ARMITAGE","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1767%20and%20direction=%27W%27%20and%20street_name=%27ARMITAGE%27%20and%20street_type=%27AVE%27)",,,,"41.91774127853058","-87.6726970280181","POINT (-87.6726970280181 41.91774127853058)"
"18 E MONROE ST","18","E","MONROE","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=18%20and%20direction=%27E%27%20and%20street_name=%27MONROE%27%20and%20street_type=%27ST%27)",,,,"41.880884052857795","-87.62709608745446","POINT (-87.62709608745446 41.880884052857795)"
"1804 W 59TH ST","1804","W","59TH","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1804%20and%20direction=%27W%27%20and%20street_name=%2759TH%27%20and%20street_type=%27ST%27)",,"41.786795074483045","-87.66946458736695","POINT (-87.66946458736695 41.786795074483045)"
"1809 W CHICAGO AVE","1809","W","CHICAGO","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1809%20and%20direction=%27W%27%20and%20street_name=%27CHICAGO%27%20and%20street_type=%27AVE%27)","Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1809%20and%20direction=%27W%27%20and%20street_name=%27CHICAGO%27%20and%20street_type=%27AVE%27)",,,"41.89587443321107","-87.67259440229158","POINT (-87.67259440229158 41.89587443321107)"
"1815 W SCHOOL ST","1815","W","SCHOOL","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1815%20and%20direction=%27W%27%20and%20street_name=%27SCHOOL%27%20and%20street_type=%27ST%27)",,,,,,"41.94133185699541","-87.67457395099792","POINT (-87.67457395099792 41.94133185699541)"
"1827 N MOHAWK ST","1827","N","MOHAWK","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1827%20and%20direction=%27N%27%20and%20street_name=%27MOHAWK%27%20and%20street_type=%27ST%27)",,,,,,"41.91546904930871","-87.64221566574145","POINT (-87.64221566574145 41.91546904930871)"
"1831 N HARLEM AVE","1831","N","HARLEM","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1831%20and%20direction=%27N%27%20and%20street_name=%27HARLEM%27%20and%20street_type=%27AVE%27)",,,,,,,"41.91347791266497","-87.80577343877577","POINT (-87.80577343877577 41.91347791266497)"
"1835 N LOWELL AVE","1835","N","LOWELL","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1835%20and%20direction=%27N%27%20and%20street_name=%27LOWELL%27%20and%20street_type=%27AVE%27)",,,,"41.914569891226215","-87.73487437409104","POINT (-87.73487437409104 41.914569891226215)"
"1840 W 103RD ST","1840","W","103RD","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1840%20and%20direction=%27W%27%20and%20street_name=%27103RD%27%20and%20street_type=%27ST%27)",,,,"41.706699832937204","-87.6688305898041","POINT (-87.6688305898041 41.706699832937204)"
"1901 S SACRAMENTO AVE","1901","S","SACRAMENTO","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1901%20and%20direction=%27S%27%20and%20street_name=%27SACRAMENTO%27%20and%20street_type=%27AVE%27)",,,,,,
"1912 W 63RD ST","1912","W","63RD","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1912%20and%20direction=%27W%27%20and%20street_name=%2763RD%27%20and%20street_type=%27ST%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1912%20and%20direction=%27W%27%20and%20street_name=%2763RD%27%20and%20street_type=%27ST%27)",,,,"41.7794512434642","-87.6720978643573","POINT (-87.6720978643573 41.7794512434642)"
"1926 S CHRISTIANA AVE","1926","S","CHRISTIANA","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1926%20and%20direction=%27S%27%20and%20street_name=%27CHRISTIANA%27%20and%20street_type=%27AVE%27)",,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1926%20and%20direction=%27S%27%20and%20street_name=%27CHRISTIANA%27%20and%20street_type=%27AVE%27)",,,,"41.85455651341698","-87.70913629588811","POINT (-87.70913629588811 41.85455651341698)"
"1936 W CHICAGO AVE","1936","W","CHICAGO","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1936%20and%20direction=%27W%27%20and%20street_name=%27CHICAGO%27%20and%20street_type=%27AVE%27)",,,"41.89603792760617","-87.67606493977472","POINT (-87.67606493977472 41.89603792760617)"
"1939 W OAKDALE AVE","1939","W","OAKDALE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1939%20and%20direction=%27W%27%20and%20street_name=%27OAKDALE%27%20and%20street_type=%27AVE%27)",,,,,,"41.93491868173343","-87.67732778831005","POINT (-87.67732778831005 41.93491868173343)"
"1949 N HOYNE AVE","1949","N","HOYNE","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1949%20and%20direction=%27N%27%20and%20street_name=%27HOYNE%27%20and%20street_type=%27AVE%27)",,,,,,,"41.9176714320879","-87.67994770879857","POINT (-87.67994770879857 41.9176714320879)"
"1957 S HAMLIN AVE","1957","S","HAMLIN","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1957%20and%20direction=%27S%27%20and%20street_name=%27HAMLIN%27%20and%20street_type=%27AVE%27)",,,,,,,"41.85336186315626","-87.71974820291436","POINT (-87.71974820291436 41.85336186315626)"
"1984 N MILWAUKEE AVE","1984","N","MILWAUKEE","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1984%20and%20direction=%27N%27%20and%20street_name=%27MILWAUKEE%27%20and%20street_type=%27AVE%27)",,,,"41.91740549062094","-87.6885695596811","POINT (-87.6885695596811 41.91740549062094)"
"20 E ILLINOIS ST","20","E","ILLINOIS","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=20%20and%20direction=%27E%27%20and%20street_name=%27ILLINOIS%27%20and%20street_type=%27ST%27)",,"41.89098735356069","-87.62721893842877","POINT (-87.62721893842877 41.89098735356069)"
"2 E ELM ST","2","E","ELM","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2%20and%20direction=%27E%27%20and%20street_name=%27ELM%27%20and%20street_type=%27ST%27)",,,"41.90329435736615","-87.62843960056608","POINT (-87.62843960056608 41.90329435736615)"
