"dna_test_id","dna_sample_timestamp","beach","dna_sample_1_reading","dna_sample_2_reading","dna_reading_mean","culture_test_id","culture_sample_1_timestamp","culture_sample_1_reading","culture_sample_2_reading","culture_reading_mean","culture_note","culture_sample_interval","culture_sample_2_timestamp","latitude","longitude","location"
"19339","2022-08-24T11:42:00.000","12th Street","24",,"24",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19337","2022-08-24T11:42:00.000","57th Street","6",,"6",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19338","2022-08-24T11:42:00.000","Margaret T Burroughs (31st)","14",,"14",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19341","2022-08-24T11:42:00.000","Oak Street","2",,"2",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19353","2022-08-24T11:42:00.000","Oakwood","6",,"6",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19340","2022-08-24T11:42:00.000","Ohio Street","42",,"42",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19336","2022-08-24T11:41:00.000","63rd Street","216",,"216",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19334","2022-08-24T11:41:00.000","Rainbow","12",,"12",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19335","2022-08-24T11:41:00.000","South Shore","315",,"315",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19333","2022-08-24T11:29:00.000","Calumet","63",,"63",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19296","2022-08-23T11:35:00.000","Foster","69",,"69",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19292","2022-08-23T11:35:00.000","Hartigan (Albion)","161",,"161",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19297","2022-08-23T11:35:00.000","Leone","868",,"868",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19313","2022-08-23T11:35:00.000","Marion Mahony Griffin (Jarvis)","331",,"331",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19291","2022-08-23T11:35:00.000","Osterman","433",,"433",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19288","2022-08-23T11:34:00.000","12th Street","708",,"708",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19287","2022-08-23T11:34:00.000","Margaret T Burroughs (31st)","101",,"101",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19290","2022-08-23T11:34:00.000","Montrose","173",,"173",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19289","2022-08-23T11:34:00.000","Oak Street","371",,"371",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19295","2022-08-23T11:34:00.000","Ohio Street","264",,"264",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19286","2022-08-23T11:33:00.000","57th Street","55",,"55",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19285","2022-08-23T11:33:00.000","63rd Street","31",,"31",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19294","2022-08-23T11:33:00.000","Oakwood","34",,"34",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19284","2022-08-23T11:33:00.000","Rainbow","107",,"107",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19293","2022-08-23T11:33:00.000","South Shore","286",,"286",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19283","2022-08-23T11:32:00.000","Calumet","13",,"13",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19282","2022-08-22T11:42:00.000","Marion Mahony Griffin (Jarvis)","118",,"118",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19243","2022-08-22T11:41:00.000","Foster","48",,"48",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19281","2022-08-22T11:41:00.000","Hartigan (Albion)","87",,"87",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19244","2022-08-22T11:41:00.000","Leone","515",,"515",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19279","2022-08-22T11:41:00.000","Montrose","14",,"14",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19278","2022-08-22T11:41:00.000","North Avenue","620",,"620",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19280","2022-08-22T11:41:00.000","Osterman","434",,"434",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19276","2022-08-22T11:40:00.000","12th Street","3",,"3",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19274","2022-08-22T11:40:00.000","57th Street","113",,"113",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19241","2022-08-22T11:40:00.000","Margaret T Burroughs (31st)","566",,"566",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19242","2022-08-22T11:40:00.000","Oak Street","185",,"185",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19275","2022-08-22T11:40:00.000","Oakwood","1457",,"1457",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19277","2022-08-22T11:40:00.000","Ohio Street","293",,"293",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19240","2022-08-22T11:39:00.000","63rd Street","257",,"257",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19253","2022-08-22T11:39:00.000","Rainbow","144",,"144",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19273","2022-08-22T11:39:00.000","South Shore","868",,"868",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19239","2022-08-22T11:23:00.000","Calumet","166",,"166",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19236","2022-08-21T11:22:00.000","Foster","70",,"70",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19237","2022-08-21T11:22:00.000","Hartigan (Albion)","123",,"123",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19238","2022-08-21T11:22:00.000","Leone","177",,"177",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19218","2022-08-21T11:22:00.000","Marion Mahony Griffin (Jarvis)","160",,"160",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19217","2022-08-21T11:22:00.000","Osterman","82",,"82",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19215","2022-08-21T11:21:00.000","12th Street","35",,"35",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19235","2022-08-21T11:21:00.000","Montrose","575",,"575",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19216","2022-08-21T11:21:00.000","North Avenue","43",,"43",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19234","2022-08-21T11:21:00.000","Oak Street","32",,"32",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19233","2022-08-21T11:21:00.000","Ohio Street","12",,"12",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19214","2022-08-21T11:20:00.000","57th Street","38",,"38",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19210","2022-08-21T11:20:00.000","63rd Street","882",,"882",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19212","2022-08-21T11:20:00.000","Margaret T Burroughs (31st)","418",,"418",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19211","2022-08-21T11:20:00.000","Oakwood","56",,"56",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19209","2022-08-21T11:20:00.000","South Shore","150",,"150",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19208","2022-08-21T11:19:00.000","Calumet","2223",,"2223",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19213","2022-08-21T11:19:00.000","Rainbow","438",,"438",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19207","2022-08-20T11:33:00.000","Marion Mahony Griffin (Jarvis)","71",,"71",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19189","2022-08-20T11:32:00.000","Foster","67",,"67",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19191","2022-08-20T11:32:00.000","Hartigan (Albion)","210",,"210",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19192","2022-08-20T11:32:00.000","Leone","21",,"21",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19206","2022-08-20T11:32:00.000","Montrose","44",,"44",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19190","2022-08-20T11:32:00.000","Osterman","322",,"322",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19186","2022-08-20T11:31:00.000","12th Street","8",,"8",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19185","2022-08-20T11:31:00.000","Margaret T Burroughs (31st)","19",,"19",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19188","2022-08-20T11:31:00.000","North Avenue","136",,"136",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19187","2022-08-20T11:31:00.000","Oak Street","1564",,"1564",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19204","2022-08-20T11:31:00.000","Oakwood","28",,"28",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19205","2022-08-20T11:31:00.000","Ohio Street","18",,"18",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19184","2022-08-20T11:30:00.000","57th Street","1066",,"1066",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19183","2022-08-20T11:30:00.000","63rd Street","897",,"897",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19182","2022-08-20T11:30:00.000","Rainbow","54",,"54",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19203","2022-08-20T11:30:00.000","South Shore","672",,"672",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19181","2022-08-20T11:29:00.000","Calumet","563",,"563",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19200","2022-08-19T11:11:00.000","Foster","65",,"65",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19201","2022-08-19T11:11:00.000","Hartigan (Albion)","193",,"193",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19202","2022-08-19T11:11:00.000","Leone","83",,"83",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19180","2022-08-19T11:11:00.000","Marion Mahony Griffin (Jarvis)","111",,"111",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19179","2022-08-19T11:11:00.000","Osterman","41",,"41",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19197","2022-08-19T11:10:00.000","12th Street","9",,"9",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19176","2022-08-19T11:10:00.000","Margaret T Burroughs (31st)","26",,"26",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19178","2022-08-19T11:10:00.000","Montrose","24",,"24",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19177","2022-08-19T11:10:00.000","North Avenue","133",,"133",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19199","2022-08-19T11:10:00.000","Oak Street","93",,"93",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19198","2022-08-19T11:10:00.000","Ohio Street","3584",,"3584",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19195","2022-08-19T11:09:00.000","57th Street","115",,"115",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19175","2022-08-19T11:09:00.000","63rd Street","596",,"596",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19196","2022-08-19T11:09:00.000","Oakwood","5",,"5",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19174","2022-08-19T11:09:00.000","Rainbow","149",,"149",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19194","2022-08-19T11:09:00.000","South Shore","159",,"159",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19193","2022-08-19T10:59:00.000","Calumet","365",,"365",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19129","2022-08-18T11:15:00.000","Foster","131",,"131",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19131","2022-08-18T11:15:00.000","Hartigan (Albion)","207",,"207",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19132","2022-08-18T11:15:00.000","Leone","139",,"139",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19173","2022-08-18T11:15:00.000","Marion Mahony Griffin (Jarvis)","441",,"441",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19128","2022-08-18T11:15:00.000","Montrose","32",,"32",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19130","2022-08-18T11:15:00.000","Osterman","78",,"78",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19124","2022-08-18T11:14:00.000","12th Street","8",,"8",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19123","2022-08-18T11:14:00.000","Margaret T Burroughs (31st)","61",,"61",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19127","2022-08-18T11:14:00.000","North Avenue","13",,"13",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19126","2022-08-18T11:14:00.000","Oak Street","48",,"48",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19122","2022-08-18T11:14:00.000","Oakwood","34",,"34",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19125","2022-08-18T11:14:00.000","Ohio Street","55",,"55",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19121","2022-08-18T11:13:00.000","57th Street","3",,"3",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19120","2022-08-18T11:13:00.000","63rd Street","195",,"195",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19117","2022-08-18T11:13:00.000","Calumet","16",,"16",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19118","2022-08-18T11:13:00.000","Rainbow","14",,"14",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19119","2022-08-18T11:13:00.000","South Shore","149",,"149",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19142","2022-08-17T14:01:00.000","Leone","517",,"517",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19143","2022-08-17T14:01:00.000","Marion Mahony Griffin (Jarvis)","347",,"347",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19157","2022-08-17T14:00:00.000","Hartigan (Albion)","79",,"79",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19141","2022-08-17T14:00:00.000","Osterman","100",,"100",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19140","2022-08-17T13:59:00.000","Foster","37",,"37",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19156","2022-08-17T13:59:00.000","Montrose","43",,"43",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19116","2022-08-17T13:59:00.000","North Avenue","75",,"75",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19139","2022-08-17T13:59:00.000","Oak Street","21",,"21",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19138","2022-08-17T13:58:00.000","12th Street","4",,"4",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19137","2022-08-17T13:58:00.000","Margaret T Burroughs (31st)","65",,"65",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19155","2022-08-17T13:58:00.000","Ohio Street","620",,"620",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19136","2022-08-17T13:57:00.000","57th Street","489",,"489",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19135","2022-08-17T13:57:00.000","63rd Street","188",,"188",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19154","2022-08-17T13:57:00.000","Oakwood","254",,"254",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19134","2022-08-17T13:56:00.000","Rainbow","393",,"393",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19153","2022-08-17T13:56:00.000","South Shore","186",,"186",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19133","2022-08-17T13:55:00.000","Calumet","537",,"537",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19114","2022-08-16T11:55:00.000","Hartigan (Albion)","267",,"267",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19115","2022-08-16T11:55:00.000","Leone","910",,"910",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19098","2022-08-16T11:55:00.000","Marion Mahony Griffin (Jarvis)","208",,"208",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19097","2022-08-16T11:55:00.000","Osterman","227",,"227",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19095","2022-08-16T11:54:00.000","12th Street","67",,"67",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19113","2022-08-16T11:54:00.000","Foster","238",,"238",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19069","2022-08-16T11:54:00.000","Margaret T Burroughs (31st)","365",,"365",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19072","2022-08-16T11:54:00.000","Montrose","46",,"46",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19096","2022-08-16T11:54:00.000","North Avenue","852",,"852",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19071","2022-08-16T11:54:00.000","Oak Street","1154",,"1154",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19070","2022-08-16T11:54:00.000","Ohio Street","245",,"245",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19094","2022-08-16T11:53:00.000","57th Street","56",,"56",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19067","2022-08-16T11:53:00.000","63rd Street","41",,"41",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19065","2022-08-16T11:53:00.000","Calumet","10",,"10",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19068","2022-08-16T11:53:00.000","Oakwood","12",,"12",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19093","2022-08-16T11:53:00.000","Rainbow","15",,"15",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19066","2022-08-16T11:53:00.000","South Shore","132",,"132",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19090","2022-08-15T11:25:00.000","Marion Mahony Griffin (Jarvis)","804",,"804",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19087","2022-08-15T11:24:00.000","Foster","122",,"122",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19012","2022-08-15T11:24:00.000","Hartigan (Albion)","161",,"161",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19089","2022-08-15T11:24:00.000","Leone","647",,"647",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19011","2022-08-15T11:24:00.000","Montrose","329",,"329",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19086","2022-08-15T11:24:00.000","North Avenue","106",,"106",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19085","2022-08-15T11:24:00.000","Oak Street","84",,"84",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
"19088","2022-08-15T11:24:00.000","Osterman","163",,"163",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19084","2022-08-15T11:23:00.000","12th Street","5",,"5",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19082","2022-08-15T11:23:00.000","57th Street","33",,"33",,,,,,,,,"41.7911","-87.5797","
,  
(41.7911, -87.5797)"
"19081","2022-08-15T11:23:00.000","63rd Street","11",,"11",,,,,,,,,"41.7827","-87.5748","
,  
(41.7827, -87.5748)"
"19083","2022-08-15T11:23:00.000","Margaret T Burroughs (31st)","754",,"754",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19009","2022-08-15T11:23:00.000","Oakwood","48",,"48",,,,,,,,,"41.8211","-87.5976","
,  
(41.8211, -87.5976)"
"19010","2022-08-15T11:23:00.000","Ohio Street","56",,"56",,,,,,,,,"41.8935","-87.6152","
,  
(41.8935, -87.6152)"
"19080","2022-08-15T11:23:00.000","South Shore","88",,"88",,,,,,,,,"41.7689","-87.5636","
,  
(41.7689, -87.5636)"
"19079","2022-08-15T11:22:00.000","Calumet","2761",,"2761",,,,,,,,,"41.7142","-87.5299","
,  
(41.7142, -87.5299)"
"19008","2022-08-15T11:22:00.000","Rainbow","5",,"5",,,,,,,,,"41.758","-87.551","
,  
(41.758, -87.551)"
"19062","2022-08-14T11:32:00.000","Foster","71",,"71",,,,,,,,,"41.9785","-87.6515","
,  
(41.9785, -87.6515)"
"19063","2022-08-14T11:32:00.000","Hartigan (Albion)","40",,"40",,,,,,,,,"42.0027","-87.6564","
,  
(42.0027, -87.6564)"
"19064","2022-08-14T11:32:00.000","Leone","54",,"54",,,,,,,,,"42.0131","-87.6635","
,  
(42.0131, -87.6635)"
"19078","2022-08-14T11:32:00.000","Marion Mahony Griffin (Jarvis)","127",,"127",,,,,,,,,"42.0161","-87.6647","
,  
(42.0161, -87.6647)"
"19077","2022-08-14T11:32:00.000","Osterman","24",,"24",,,,,,,,,"41.9877","-87.6545","
,  
(41.9877, -87.6545)"
"19075","2022-08-14T11:31:00.000","12th Street","127",,"127",,,,,,,,,"41.8638","-87.6083","
,  
(41.8638, -87.6083)"
"19058","2022-08-14T11:31:00.000","Margaret T Burroughs (31st)","72",,"72",,,,,,,,,"41.8393","-87.6072","
,  
(41.8393, -87.6072)"
"19061","2022-08-14T11:31:00.000","Montrose","38",,"38",,,,,,,,,"41.9655","-87.6385","
,  
(41.9655, -87.6385)"
"19076","2022-08-14T11:31:00.000","North Avenue","62",,"62",,,,,,,,,"41.9148","-87.6273","
,  
(41.9148, -87.6273)"
"19060","2022-08-14T11:31:00.000","Oak Street","73",,"73",,,,,,,,,"41.9032","-87.6235","
,  
(41.9032, -87.6235)"
