"activity","period_start","period_length","target_response_days","average_days_to_complete_activity","total_completed_requests","period"
"Wire Down","2017-12-18T00:00:00.000","Week","1","1.16","26","12/18/2017 - 12/24/2017"
"Wire Down","2017-12-11T00:00:00.000","Week","1","1.29","26","12/11/2017 - 12/17/2017"
"Wire Down","2017-12-04T00:00:00.000","Week","1","1.05","77","12/04/2017 - 12/10/2017"
"Wire Down","2017-11-27T00:00:00.000","Week","1","1.00","23","11/27/2017 - 12/03/2017"
"Wire Down","2017-11-20T00:00:00.000","Week","1","1.01","27","11/20/2017 - 11/26/2017"
"Wire Down","2017-11-13T00:00:00.000","Week","1","1.01","46","11/13/2017 - 11/19/2017"
"Wire Down","2017-11-06T00:00:00.000","Week","1","1.28","23","11/06/2017 - 11/12/2017"
"Wire Down","2017-10-30T00:00:00.000","Week","1","1.04","40","10/30/2017 - 11/05/2017"
"Wire Down","2017-10-23T00:00:00.000","Week","1","1.45","32","10/23/2017 - 10/29/2017"
"Wire Down","2017-10-16T00:00:00.000","Week","1","1.22","37","10/16/2017 - 10/22/2017"
"Wire Down","2017-10-09T00:00:00.000","Week","1","1.74","69","10/09/2017 - 10/15/2017"
"Wire Down","2017-10-02T00:00:00.000","Week","1","1.06","39","10/02/2017 - 10/08/2017"
"Wire Down","2017-09-25T00:00:00.000","Week","1","1.29","31","09/25/2017 - 10/01/2017"
"Wire Down","2017-09-18T00:00:00.000","Week","1","1.12","36","09/18/2017 - 09/24/2017"
"Wire Down","2017-09-11T00:00:00.000","Week","1","1.05","20","09/11/2017 - 09/17/2017"
"Wire Down","2017-09-04T00:00:00.000","Week","1","1.18","32","09/04/2017 - 09/10/2017"
"Wire Down","2017-08-28T00:00:00.000","Week","1","1.00","32","08/28/2017 - 09/03/2017"
"Wire Down","2017-08-21T00:00:00.000","Week","1","1.00","31","08/21/2017 - 08/27/2017"
"Wire Down","2017-08-14T00:00:00.000","Week","1","1.00","52","08/14/2017 - 08/20/2017"
"Wire Down","2017-08-07T00:00:00.000","Week","1","1.04","40","08/07/2017 - 08/13/2017"
"Wire Down","2017-07-31T00:00:00.000","Week","1","1.13","39","07/31/2017 - 08/06/2017"
"Wire Down","2017-07-24T00:00:00.000","Week","1","1.02","46","07/24/2017 - 07/30/2017"
"Wire Down","2017-07-17T00:00:00.000","Week","1","1.03","58","07/17/2017 - 07/23/2017"
"Wire Down","2017-07-10T00:00:00.000","Week","1","1.04","59","07/10/2017 - 07/16/2017"
"Wire Down","2017-07-03T00:00:00.000","Week","1","1.09","28","07/03/2017 - 07/09/2017"
"Wire Down","2017-06-26T00:00:00.000","Week","1","1.00","54","06/26/2017 - 07/02/2017"
"Wire Down","2017-06-19T00:00:00.000","Week","1","1.13","53","06/19/2017 - 06/25/2017"
"Wire Down","2017-06-12T00:00:00.000","Week","1","1.05","85","06/12/2017 - 06/18/2017"
"Wire Down","2017-06-05T00:00:00.000","Week","1","1.05","48","06/05/2017 - 06/11/2017"
"Wire Down","2017-05-29T00:00:00.000","Week","1","1.03","48","05/29/2017 - 06/04/2017"
"Wire Down","2017-05-22T00:00:00.000","Week","1","1.01","52","05/22/2017 - 05/28/2017"
"Wire Down","2017-05-15T00:00:00.000","Week","1","1.00","94","05/15/2017 - 05/21/2017"
"Wire Down","2017-05-08T00:00:00.000","Week","1","1.00","37","05/08/2017 - 05/14/2017"
"Wire Down","2017-05-01T00:00:00.000","Week","1","1.10","52","05/01/2017 - 05/07/2017"
"Wire Down","2017-04-24T00:00:00.000","Week","1","1.07","67","04/24/2017 - 04/30/2017"
"Wire Down","2017-04-17T00:00:00.000","Week","1","1.06","41","04/17/2017 - 04/23/2017"
"Wire Down","2017-04-10T00:00:00.000","Week","1","1.00","37","04/10/2017 - 04/16/2017"
"Wire Down","2017-04-03T00:00:00.000","Week","1","1.00","50","04/03/2017 - 04/09/2017"
"Wire Down","2017-03-27T00:00:00.000","Week","1","1.28","39","03/27/2017 - 04/02/2017"
"Wire Down","2017-03-20T00:00:00.000","Week","1","1.02","34","03/20/2017 - 03/26/2017"
"Wire Down","2017-03-13T00:00:00.000","Week","1","1.00","28","03/13/2017 - 03/19/2017"
"Wire Down","2017-03-06T00:00:00.000","Week","1","1.00","70","03/06/2017 - 03/12/2017"
"Wire Down","2017-02-27T00:00:00.000","Week","1","1.11","31","02/27/2017 - 03/05/2017"
"Wire Down","2017-02-20T00:00:00.000","Week","1","1.00","25","02/20/2017 - 02/26/2017"
"Wire Down","2017-02-13T00:00:00.000","Week","1","1.00","22","02/13/2017 - 02/19/2017"
"Wire Down","2017-02-06T00:00:00.000","Week","1","1.00","23","02/06/2017 - 02/12/2017"
"Wire Down","2017-01-30T00:00:00.000","Week","1","3.42","26","01/30/2017 - 02/05/2017"
"Wire Down","2017-01-23T00:00:00.000","Week","1","1.00","28","01/23/2017 - 01/29/2017"
"Wire Down","2017-01-16T00:00:00.000","Week","1","1.11","29","01/16/2017 - 01/22/2017"
"Wire Down","2017-01-09T00:00:00.000","Week","1","1.08","73","01/09/2017 - 01/15/2017"
"Wire Down","2017-01-02T00:00:00.000","Week","1","1.10","15","01/02/2017 - 01/08/2017"
"Wire Down","2016-12-26T00:00:00.000","Week","1","1.34","27","12/26/2016 - 01/01/2017"
"Wire Down","2016-12-19T00:00:00.000","Week","1","1.20","30","12/19/2016 - 12/25/2016"
"Wire Down","2016-12-12T00:00:00.000","Week","1","1.00","16","12/12/2016 - 12/18/2016"
"Wire Down","2016-12-05T00:00:00.000","Week","1","1.06","35","12/05/2016 - 12/11/2016"
"Wire Down","2016-11-28T00:00:00.000","Week","1","1.00","36","11/28/2016 - 12/04/2016"
"Wire Down","2016-11-21T00:00:00.000","Week","1","1.10","25","11/21/2016 - 11/27/2016"
"Wire Down","2016-11-14T00:00:00.000","Week","1","1.00","28","11/14/2016 - 11/20/2016"
"Wire Down","2016-11-07T00:00:00.000","Week","1","1.04","23","11/07/2016 - 11/13/2016"
"Wire Down","2016-10-31T00:00:00.000","Week","1","1.00","21","10/31/2016 - 11/06/2016"
"Wire Down","2016-10-24T00:00:00.000","Week","1","1.00","47","10/24/2016 - 10/30/2016"
"Wire Down","2016-10-17T00:00:00.000","Week","1","1.04","64","10/17/2016 - 10/23/2016"
"Wire Down","2016-10-10T00:00:00.000","Week","1","1.00","34","10/10/2016 - 10/16/2016"
"Wire Down","2016-10-03T00:00:00.000","Week","1","1.18","39","10/03/2016 - 10/09/2016"
"Wire Down","2016-09-26T00:00:00.000","Week","1","1.14","63","09/26/2016 - 10/02/2016"
"Wire Down","2016-09-19T00:00:00.000","Week","1","1.03","37","09/19/2016 - 09/25/2016"
"Wire Down","2016-09-12T00:00:00.000","Week","1","1.06","46","09/12/2016 - 09/18/2016"
"Wire Down","2016-09-05T00:00:00.000","Week","1","1.00","45","09/05/2016 - 09/11/2016"
"Wire Down","2016-08-29T00:00:00.000","Week","1","1.00","55","08/29/2016 - 09/04/2016"
"Wire Down","2016-08-22T00:00:00.000","Week","1","1.13","45","08/22/2016 - 08/28/2016"
"Wire Down","2016-08-15T00:00:00.000","Week","1","1.26","65","08/15/2016 - 08/21/2016"
"Wire Down","2016-08-08T00:00:00.000","Week","1","1.11","56","08/08/2016 - 08/14/2016"
"Wire Down","2016-08-01T00:00:00.000","Week","1","1.29","59","08/01/2016 - 08/07/2016"
"Wire Down","2016-07-25T00:00:00.000","Week","1","1.14","165","07/25/2016 - 07/31/2016"
"Wire Down","2016-07-18T00:00:00.000","Week","1","1.05","82","07/18/2016 - 07/24/2016"
"Wire Down","2016-07-11T00:00:00.000","Week","1","1.12","64","07/11/2016 - 07/17/2016"
"Wire Down","2016-07-04T00:00:00.000","Week","1","1.02","89","07/04/2016 - 07/10/2016"
"Wire Down","2016-06-27T00:00:00.000","Week","1","1.14","34","06/27/2016 - 07/03/2016"
"Wire Down","2016-06-20T00:00:00.000","Week","1","1.20","72","06/20/2016 - 06/26/2016"
"Wire Down","2016-06-13T00:00:00.000","Week","1","1.06","37","06/13/2016 - 06/19/2016"
"Wire Down","2016-06-06T00:00:00.000","Week","1","1.05","61","06/06/2016 - 06/12/2016"
"Wire Down","2016-05-30T00:00:00.000","Week","1","1.46","58","05/30/2016 - 06/05/2016"
"Wire Down","2016-05-23T00:00:00.000","Week","1","1.08","45","05/23/2016 - 05/29/2016"
"Wire Down","2016-05-16T00:00:00.000","Week","1","1.43","37","05/16/2016 - 05/22/2016"
"Wire Down","2016-05-09T00:00:00.000","Week","1","1.11","34","05/09/2016 - 05/15/2016"
"Wire Down","2016-05-02T00:00:00.000","Week","1","1.15","31","05/02/2016 - 05/08/2016"
"Wire Down","2016-04-25T00:00:00.000","Week","1","1.14","39","04/25/2016 - 05/01/2016"
"Wire Down","2016-04-18T00:00:00.000","Week","1","1.00","23","04/18/2016 - 04/24/2016"
"Wire Down","2016-04-11T00:00:00.000","Week","1","1.24","27","04/11/2016 - 04/17/2016"
"Wire Down","2016-04-04T00:00:00.000","Week","1","1.02","41","04/04/2016 - 04/10/2016"
"Wire Down","2016-03-28T00:00:00.000","Week","1","1.00","44","03/28/2016 - 04/03/2016"
"Wire Down","2016-03-21T00:00:00.000","Week","1","1.10","32","03/21/2016 - 03/27/2016"
"Wire Down","2016-03-14T00:00:00.000","Week","1","1.08","54","03/14/2016 - 03/20/2016"
"Wire Down","2016-03-07T00:00:00.000","Week","1","1.04","45","03/07/2016 - 03/13/2016"
"Wire Down","2016-02-29T00:00:00.000","Week","1","1.31","56","02/29/2016 - 03/06/2016"
"Wire Down","2016-02-22T00:00:00.000","Week","1","1.08","83","02/22/2016 - 02/28/2016"
"Wire Down","2016-02-15T00:00:00.000","Week","1","1.02","103","02/15/2016 - 02/21/2016"
"Wire Down","2016-02-08T00:00:00.000","Week","1","1.08","20","02/08/2016 - 02/14/2016"
"Wire Down","2016-02-01T00:00:00.000","Week","1","1.00","29","02/01/2016 - 02/07/2016"
"Wire Down","2016-01-25T00:00:00.000","Week","1","1.00","35","01/25/2016 - 01/31/2016"
"Wire Down","2016-01-18T00:00:00.000","Week","1","1.00","14","01/18/2016 - 01/24/2016"
"Wire Down","2016-01-11T00:00:00.000","Week","1","1.11","23","01/11/2016 - 01/17/2016"
"Wire Down","2016-01-04T00:00:00.000","Week","1","1.13","24","01/04/2016 - 01/10/2016"
"Wire Down","2015-12-28T00:00:00.000","Week","1","1.00","31","12/28/2015 - 01/03/2016"
"Wire Down","2015-12-21T00:00:00.000","Week","1","1.08","45","12/21/2015 - 12/27/2015"
"Wire Down","2015-12-14T00:00:00.000","Week","1","2.84","33","12/14/2015 - 12/20/2015"
"Wire Down","2015-12-07T00:00:00.000","Week","1","1.21","24","12/07/2015 - 12/13/2015"
"Wire Down","2015-11-30T00:00:00.000","Week","1","1.21","24","11/30/2015 - 12/06/2015"
"Wire Down","2015-11-23T00:00:00.000","Week","1","1.01","31","11/23/2015 - 11/29/2015"
"Wire Down","2015-11-16T00:00:00.000","Week","1","1.29","61","11/16/2015 - 11/22/2015"
"Wire Down","2015-11-09T00:00:00.000","Week","1","1.06","68","11/09/2015 - 11/15/2015"
"Wire Down","2015-11-02T00:00:00.000","Week","1","1.14","49","11/02/2015 - 11/08/2015"
"Wire Down","2015-10-26T00:00:00.000","Week","1","1.08","32","10/26/2015 - 11/01/2015"
"Wire Down","2015-10-19T00:00:00.000","Week","1","1.11","54","10/19/2015 - 10/25/2015"
"Wire Down","2015-10-12T00:00:00.000","Week","1","1.65","35","10/12/2015 - 10/18/2015"
"Wire Down","2015-10-05T00:00:00.000","Week","1","1.17","40","10/05/2015 - 10/11/2015"
"Wire Down","2015-09-28T00:00:00.000","Week","1","1.00","49","09/28/2015 - 10/04/2015"
"Wire Down","2015-09-21T00:00:00.000","Week","1","2.27","28","09/21/2015 - 09/27/2015"
"Wire Down","2015-09-14T00:00:00.000","Week","1","1.05","57","09/14/2015 - 09/20/2015"
"Wire Down","2015-09-07T00:00:00.000","Week","1","1.14","54","09/07/2015 - 09/13/2015"
"Wire Down","2015-08-31T00:00:00.000","Week","1","1.06","45","08/31/2015 - 09/06/2015"
"Wire Down","2015-08-24T00:00:00.000","Week","1","2.79","55","08/24/2015 - 08/30/2015"
"Wire Down","2015-08-17T00:00:00.000","Week","1","1.12","76","08/17/2015 - 08/23/2015"
"Wire Down","2015-08-10T00:00:00.000","Week","1","1.29","56","08/10/2015 - 08/16/2015"
"Wire Down","2015-08-03T00:00:00.000","Week","1","1.19","154","08/03/2015 - 08/09/2015"
"Wire Down","2015-07-27T00:00:00.000","Week","1","1.05","45","07/27/2015 - 08/02/2015"
"Wire Down","2015-07-20T00:00:00.000","Week","1","1.12","63","07/20/2015 - 07/26/2015"
"Wire Down","2015-07-13T00:00:00.000","Week","1","1.09","55","07/13/2015 - 07/19/2015"
"Wire Down","2015-07-06T00:00:00.000","Week","1","1.29","53","07/06/2015 - 07/12/2015"
"Wire Down","2015-06-29T00:00:00.000","Week","1","1.19","35","06/29/2015 - 07/05/2015"
"Wire Down","2015-06-22T00:00:00.000","Week","1","1.07","49","06/22/2015 - 06/28/2015"
"Wire Down","2015-06-15T00:00:00.000","Week","1","1.13","42","06/15/2015 - 06/21/2015"
"Wire Down","2015-06-08T00:00:00.000","Week","1","1.21","53","06/08/2015 - 06/14/2015"
"Wire Down","2015-06-01T00:00:00.000","Week","1","1.34","47","06/01/2015 - 06/07/2015"
"Wire Down","2015-05-25T00:00:00.000","Week","1","1.02","60","05/25/2015 - 05/31/2015"
"Wire Down","2015-05-18T00:00:00.000","Week","1","1.09","34","05/18/2015 - 05/24/2015"
"Wire Down","2015-05-11T00:00:00.000","Week","1","1.04","37","05/11/2015 - 05/17/2015"
"Wire Down","2015-05-04T00:00:00.000","Week","1","1.07","36","05/04/2015 - 05/10/2015"
"Wire Down","2015-04-27T00:00:00.000","Week","1","1.04","33","04/27/2015 - 05/03/2015"
"Wire Down","2015-04-20T00:00:00.000","Week","1","1.08","39","04/20/2015 - 04/26/2015"
"Wire Down","2015-04-13T00:00:00.000","Week","1","1.12","40","04/13/2015 - 04/19/2015"
"Wire Down","2015-04-06T00:00:00.000","Week","1","1.07","30","04/06/2015 - 04/12/2015"
"Wire Down","2015-03-30T00:00:00.000","Week","1","1.03","51","03/30/2015 - 04/05/2015"
"Wire Down","2015-03-23T00:00:00.000","Week","1","1.13","36","03/23/2015 - 03/29/2015"
"Wire Down","2015-03-16T00:00:00.000","Week","1","1.00","33","03/16/2015 - 03/22/2015"
"Wire Down","2015-03-09T00:00:00.000","Week","1","1.00","34","03/09/2015 - 03/15/2015"
"Wire Down","2015-03-02T00:00:00.000","Week","1","1.33","21","03/02/2015 - 03/08/2015"
"Wire Down","2015-02-23T00:00:00.000","Week","1","1.08","12","02/23/2015 - 03/01/2015"
"Wire Down","2015-02-16T00:00:00.000","Week","1","1.09","21","02/16/2015 - 02/22/2015"
"Wire Down","2015-02-09T00:00:00.000","Week","1","1.17","28","02/09/2015 - 02/15/2015"
"Wire Down","2015-02-02T00:00:00.000","Week","1","1.35","26","02/02/2015 - 02/08/2015"
"Wire Down","2015-01-26T00:00:00.000","Week","1","1.22","43","01/26/2015 - 02/01/2015"
"Wire Down","2015-01-19T00:00:00.000","Week","1","1.04","34","01/19/2015 - 01/25/2015"
"Wire Down","2015-01-12T00:00:00.000","Week","1","1.40","32","01/12/2015 - 01/18/2015"
"Wire Down","2015-01-05T00:00:00.000","Week","1","16.33","20","01/05/2015 - 01/11/2015"
"Wire Down","2014-12-29T00:00:00.000","Week","1","1.00","11","12/29/2014 - 01/04/2015"
"Wire Down","2014-12-22T00:00:00.000","Week","1","1.29","21","12/22/2014 - 12/28/2014"
"Wire Down","2014-12-15T00:00:00.000","Week","1","1.07","20","12/15/2014 - 12/21/2014"
"Wire Down","2014-12-08T00:00:00.000","Week","1","1.80","23","12/08/2014 - 12/14/2014"
"Wire Down","2014-12-01T00:00:00.000","Week","1","1.34","19","12/01/2014 - 12/07/2014"
"Wire Down","2014-11-24T00:00:00.000","Week","1","1.00","41","11/24/2014 - 11/30/2014"
"Wire Down","2014-11-17T00:00:00.000","Week","1","1.20","27","11/17/2014 - 11/23/2014"
"Wire Down","2014-11-10T00:00:00.000","Week","1","1.00","28","11/10/2014 - 11/16/2014"
"Wire Down","2014-11-03T00:00:00.000","Week","1","1.25","41","11/03/2014 - 11/09/2014"
"Wire Down","2014-10-27T00:00:00.000","Week","1","1.00","73","10/27/2014 - 11/02/2014"
"Wire Down","2014-10-20T00:00:00.000","Week","1","1.00","31","10/20/2014 - 10/26/2014"
"Wire Down","2014-10-13T00:00:00.000","Week","1","1.13","50","10/13/2014 - 10/19/2014"
"Wire Down","2014-10-06T00:00:00.000","Week","1","1.00","31","10/06/2014 - 10/12/2014"
"Wire Down","2014-09-29T00:00:00.000","Week","1","1.06","44","09/29/2014 - 10/05/2014"
"Wire Down","2014-09-22T00:00:00.000","Week","1","1.05","38","09/22/2014 - 09/28/2014"
"Wire Down","2014-09-15T00:00:00.000","Week","1","1.48","27","09/15/2014 - 09/21/2014"
"Wire Down","2014-09-08T00:00:00.000","Week","1","1.09","50","09/08/2014 - 09/14/2014"
"Wire Down","2014-09-01T00:00:00.000","Week","1","1.34","48","09/01/2014 - 09/07/2014"
"Wire Down","2014-08-25T00:00:00.000","Week","1","1.09","64","08/25/2014 - 08/31/2014"
"Wire Down","2014-08-18T00:00:00.000","Week","1","1.16","57","08/18/2014 - 08/24/2014"
"Wire Down","2014-08-11T00:00:00.000","Week","1","1.38","38","08/11/2014 - 08/17/2014"
"Wire Down","2014-08-04T00:00:00.000","Week","1","1.01","53","08/04/2014 - 08/10/2014"
"Wire Down","2014-07-28T00:00:00.000","Week","1","1.05","47","07/28/2014 - 08/03/2014"
"Wire Down","2014-07-21T00:00:00.000","Week","1","1.02","46","07/21/2014 - 07/27/2014"
"Wire Down","2014-07-14T00:00:00.000","Week","1","1.22","46","07/14/2014 - 07/20/2014"
"Wire Down","2014-07-07T00:00:00.000","Week","1","1.39","62","07/07/2014 - 07/13/2014"
"Wire Down","2014-06-30T00:00:00.000","Week","1","1.00","125","06/30/2014 - 07/06/2014"
"Wire Down","2014-06-23T00:00:00.000","Week","1","1.00","47","06/23/2014 - 06/29/2014"
"Wire Down","2014-06-16T00:00:00.000","Week","1","1.09","61","06/16/2014 - 06/22/2014"
"Wire Down","2014-06-09T00:00:00.000","Week","1","1.02","53","06/09/2014 - 06/15/2014"
"Wire Down","2014-06-02T00:00:00.000","Week","1","1.02","56","06/02/2014 - 06/08/2014"
"Wire Down","2014-05-26T00:00:00.000","Week","1","1.00","50","05/26/2014 - 06/01/2014"
"Wire Down","2014-05-19T00:00:00.000","Week","1","1.03","44","05/19/2014 - 05/25/2014"
"Wire Down","2014-05-12T00:00:00.000","Week","1","1.04","55","05/12/2014 - 05/18/2014"
"Wire Down","2014-05-05T00:00:00.000","Week","1","1.02","37","05/05/2014 - 05/11/2014"
"Wire Down","2014-04-28T00:00:00.000","Week","1","1.04","33","04/28/2014 - 05/04/2014"
"Wire Down","2014-04-21T00:00:00.000","Week","1","1.00","32","04/21/2014 - 04/27/2014"
"Wire Down","2014-04-14T00:00:00.000","Week","1","1.27","28","04/14/2014 - 04/20/2014"
"Wire Down","2014-04-07T00:00:00.000","Week","1","1.14","22","04/07/2014 - 04/13/2014"
"Wire Down","2014-03-31T00:00:00.000","Week","1","1.00","40","03/31/2014 - 04/06/2014"
"Wire Down","2014-03-24T00:00:00.000","Week","1","1.08","27","03/24/2014 - 03/30/2014"
"Wire Down","2014-03-17T00:00:00.000","Week","1","1.00","40","03/17/2014 - 03/23/2014"
"Wire Down","2014-03-10T00:00:00.000","Week","1","1.04","112","03/10/2014 - 03/16/2014"
"Wire Down","2014-03-03T00:00:00.000","Week","1","1.16","24","03/03/2014 - 03/09/2014"
"Wire Down","2014-02-24T00:00:00.000","Week","1","1.11","33","02/24/2014 - 03/02/2014"
"Wire Down","2014-02-17T00:00:00.000","Week","1","1.03","49","02/17/2014 - 02/23/2014"
"Wire Down","2014-02-10T00:00:00.000","Week","1","1.13","15","02/10/2014 - 02/16/2014"
"Wire Down","2014-02-03T00:00:00.000","Week","1","1.48","22","02/03/2014 - 02/09/2014"
"Wire Down","2014-01-27T00:00:00.000","Week","1","1.32","28","01/27/2014 - 02/02/2014"
"Wire Down","2014-01-20T00:00:00.000","Week","1","1.25","27","01/20/2014 - 01/26/2014"
"Wire Down","2014-01-13T00:00:00.000","Week","1","1.08","44","01/13/2014 - 01/19/2014"
"Wire Down","2014-01-06T00:00:00.000","Week","1","1.00","25","01/06/2014 - 01/12/2014"
"Wire Down","2013-12-30T00:00:00.000","Week","1","1.08","19","12/30/2013 - 01/05/2014"
"Wire Down","2013-12-23T00:00:00.000","Week","1","1.14","22","12/23/2013 - 12/29/2013"
"Wire Down","2013-12-16T00:00:00.000","Week","1","1.02","40","12/16/2013 - 12/22/2013"
"Wire Down","2013-12-09T00:00:00.000","Week","1","1.59","19","12/09/2013 - 12/15/2013"
"Wire Down","2013-12-02T00:00:00.000","Week","1","1.00","27","12/02/2013 - 12/08/2013"
"Wire Down","2013-11-25T00:00:00.000","Week","1","1.27","21","11/25/2013 - 12/01/2013"
"Wire Down","2013-11-18T00:00:00.000","Week","1","1.04","80","11/18/2013 - 11/24/2013"
"Wire Down","2013-11-11T00:00:00.000","Week","1","1.24","51","11/11/2013 - 11/17/2013"
"Wire Down","2013-11-04T00:00:00.000","Week","1","1.08","46","11/04/2013 - 11/10/2013"
"Wire Down","2013-10-28T00:00:00.000","Week","1","1.02","35","10/28/2013 - 11/03/2013"
"Wire Down","2013-10-21T00:00:00.000","Week","1","1.13","22","10/21/2013 - 10/27/2013"
"Wire Down","2013-10-14T00:00:00.000","Week","1","1.01","32","10/14/2013 - 10/20/2013"
"Wire Down","2013-10-07T00:00:00.000","Week","1","1.30","36","10/07/2013 - 10/13/2013"
"Wire Down","2013-09-30T00:00:00.000","Week","1","2.13","49","09/30/2013 - 10/06/2013"
"Wire Down","2013-09-23T00:00:00.000","Week","1","1.16","50","09/23/2013 - 09/29/2013"
"Wire Down","2013-09-16T00:00:00.000","Week","1","1.11","80","09/16/2013 - 09/22/2013"
"Wire Down","2013-09-09T00:00:00.000","Week","1","1.13","54","09/09/2013 - 09/15/2013"
"Wire Down","2013-09-02T00:00:00.000","Week","1","1.19","98","09/02/2013 - 09/08/2013"
"Wire Down","2013-08-26T00:00:00.000","Week","1","1.04","166","08/26/2013 - 09/01/2013"
"Wire Down","2013-08-19T00:00:00.000","Week","1","1.16","44","08/19/2013 - 08/25/2013"
