"property_number","case_number","stolen_date","brand","model","color","status","stolen_from","recovery","agency"
"P16575","B16-16094","2016-04-28T00:00:00.000","FMJ","DERRINGER",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P16968","B16-17926","2016-05-11T00:00:00.000","SMITH & WESSON","M&P 9MM",,"STOLEN LOCALLY","DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","BPD"
"P17467","B16-20050","2016-05-26T00:00:00.000","HI POINT","C9 9MM","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P17535","B16-20472","2016-05-29T00:00:00.000","GLOCK",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P17657","B16-20946","2016-06-01T00:00:00.000","TAURUS","MILLENNIUM G2",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P17741","B16-21279","2016-06-04T00:00:00.000","MAGNUM 357","19",,"STOLEN LOCALLY","RESTAURANT","NOT RECOVERED","BPD"
"P18120","B16-22505","2016-06-13T00:00:00.000","RUGER LCR 357","05450","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P18148","B16-22505","2016-06-14T00:00:00.000","RUGER","MARK 1","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P18424","B16-23803","2016-06-22T00:00:00.000","SMITH & WESSON","MMP 45","BLK","STOLEN LOCALLY","PARKING LOT/GARAGE","NOT RECOVERED","BPD"
"P18477","B16-24331","2016-06-26T00:00:00.000","SMITH & WESSON","SHIELD","GRY","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P18510","B16-24457","2016-06-27T00:00:00.000","GLOCK","9MM 19","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P18537","B16-24622","2016-06-28T00:00:00.000","TAURUS","357","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P18570","B16-24680","2016-06-28T00:00:00.000","TITAN","TIGER","BLK","STOLEN LOCALLY","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","BPD"
"P18600","B16-24702","2016-06-29T00:00:00.000","N AMERICAN ARMS",,"SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P18656","B16-25136","2016-07-01T00:00:00.000","BERETTA",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P18684","B16-25258","2016-07-02T00:00:00.000","SMITH & WESSON","MP SHIELD","BLK","STOLEN LOCALLY","DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","BPD"
"P18689","B16-24702","2016-06-26T00:00:00.000","MARLIN","RIFLE","GRY","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P19120","B16-27568","2016-07-18T00:00:00.000","GLOCK","G30","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P19121","B16-27568","2016-07-18T00:00:00.000","TAURUS","PT92SS","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P19290","B16-28419","2016-07-24T00:00:00.000","BARETTA","PX4","BLK","STOLEN LOCALLY","HIGHWAY/ROAD/ALLEY","NOT RECOVERED","BPD"
"P19927","B16-31054","2016-08-11T00:00:00.000","KIMBER","CUSTOM II","RED","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P19979","B16-31331","2016-08-12T00:00:00.000","SMITH & WESSON",,"SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P20640","B16-34817","2016-09-01T00:00:00.000","MOSSBURG","500","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P20641","B16-34817","2016-09-01T00:00:00.000",".22 MARLIN","25",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P20993","B16-37042","2016-09-16T00:00:00.000","GLOCK","27 GEN 3  40 CA",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P21028","B16-37310","2016-09-17T00:00:00.000","SMITH & WESSON","M&P 9MM","BLK","STOLEN LOCALLY","RESTAURANT","RECOVERED OTHER","BPD"
"P22093","B16-42866","2016-10-25T00:00:00.000","SMITH AND WESSO","SD9VE",,"STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P22183","B16-43134","2016-10-27T00:00:00.000","TAURUS","PT111G2","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P22497","B16-44838","2016-11-07T00:00:00.000","SIG SAUER","P290",,"STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P22910","B16-46503","2016-11-18T00:00:00.000","TAURUS","85UL","SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P23536","B16-48692","2016-12-07T00:00:00.000","SMITH & WESSON",,,"STOLEN LOCALLY","DRUG STORE/DR OFFICE/HOSPITAL","NOT RECOVERED","BPD"
"P23657","B16-49060","2016-12-09T00:00:00.000","COBRA",".380","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P23882","B16-50132","2016-12-18T00:00:00.000",,"SHOTGUN","BRO","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P24567","B17-01302","2017-01-12T00:00:00.000",,"BOLT ACTIION SH",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P24806","B17-02589","2017-01-22T00:00:00.000","TAURUS",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P25118","B17-02584","2017-01-31T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P25119","B17-02584","2017-01-31T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P25236","B17-04349","2017-02-05T00:00:00.000","SPRINGFIELD","XDMWOE192","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P25370","B17-05250","2017-02-12T00:00:00.000","WALTHER PPKS",".380",,"STOLEN LOCALLY","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","BPD"
"P25797","B17-07756","2017-03-02T00:00:00.000","RUGER","SR 9MM","BLK","STOLEN LOCALLY","GOVERNMENT/PUBLIC BUILDING","RECOVERED OTHER","BPD"
"P25943","B17-09107","2017-03-11T00:00:00.000","SMITH & WESSON",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P25955","B17-09333","2017-03-13T00:00:00.000","GLOCK 19","GEN 4","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P26122","B17-10518","2017-03-21T00:00:00.000","TAURUS","PQ111","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P26318","B17-11696","2017-03-29T00:00:00.000","SCAR 17",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P26319","B17-11696","2017-03-29T00:00:00.000","AU 47",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P26320","B17-11696","2017-03-29T00:00:00.000","GLOCK","19","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P26322","B17-11696","2017-03-29T00:00:00.000","REMINGJTON","SHOT GUN","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P26325","B17-11696","2017-03-29T00:00:00.000","AERIAL PRECISIO","AR 15",,"STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P26462","B17-12720","2017-04-06T00:00:00.000","SMITH & WESSON","WALTHER 380","SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P26712","B17-14237","2017-04-16T00:00:00.000","REMINGTON","12 GAUGE SHOTGU","BLK","STOLEN LOCALLY","HOTEL/MOTEL","NOT RECOVERED","BPD"
"P26846","B17-15215","2017-04-22T00:00:00.000","SMITH & WESSON",,"BLK","STOLEN LOCALLY","BAR/NIGHTCLUB","NOT RECOVERED","BPD"
"P26872","B17-15571","2017-04-23T00:00:00.000","RUGER","03600",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P26888","B17-15666","2017-04-24T00:00:00.000","RUGER","9MM","SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P28043","B17-23266","2017-06-15T00:00:00.000","SCCY","9MM SEMI AUTO","BLK","STOLEN LOCALLY","RESTAURANT","NOT RECOVERED","BPD"
"P28347","B17-25031","2017-06-26T00:00:00.000","HIGHPOINT","380","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P28480","B97-04154","2017-06-29T00:00:00.000","SMITH & WESSON",,,"STOLEN LOCALLY",,"RECOVERED OTHER","BPD"
"P28607","B17-26528","2017-07-05T00:00:00.000","SMITH & WESSON","M&P SHIELD 9MM","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P28686","B17-27172","2017-07-09T00:00:00.000","FIRESTART","9MM",,"STOLEN LOCALLY","RENTAL STORAGE FACILITY","NOT RECOVERED","BPD"
"P28687","B17-27172","2017-07-09T00:00:00.000","WALTHER P22",,,"STOLEN LOCALLY","RENTAL STORAGE FACILITY","NOT RECOVERED","BPD"
"P28688","B17-27172","2017-07-09T00:00:00.000","WALTHER PK 380",,"BLK","STOLEN LOCALLY","RENTAL STORAGE FACILITY","NOT RECOVERED","BPD"
"P28964","B17-28388","2017-07-18T00:00:00.000","BERETTA","M9 9MM","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P29007","B17-28746","2017-07-19T00:00:00.000","SMITH & WESSON","38 AIRWEIGHT","BLK","STOLEN LOCALLY","DEPARTMENT/DISCOUNT STORE","NOT RECOVERED","BPD"
"P29028","B17-28891","2017-06-20T00:00:00.000","BERETTA","TOMCAT","BLK","STOLEN LOCALLY","COMMERCIAL/OFFICE BUILDING","NOT RECOVERED","BPD"
"P29426","B17-31618","2017-08-08T00:00:00.000","WELLS FARGO",,,"STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P30485","B17-36734","2017-09-08T00:00:00.000","WALTHER","P99 9MM","BLK","STOLEN LOCALLY","SPECIALITY STORE","RECOVERED OTHER","BPD"
"P30510","B17-36853","2017-09-09T00:00:00.000","RUGER","LCR .38 SPECIAL","BLK","STOLEN LOCALLY","HOTEL/MOTEL","NOT RECOVERED","BPD"
"P30535","B17-36931","2017-09-09T00:00:00.000","SAR","K2JP 9MM","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P30701","B17-37673","2017-09-14T00:00:00.000","COBRA",".380",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P30978","B17-38649","2017-09-20T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P31097","B17-39336","2017-09-24T00:00:00.000","RUGER","SAVAGE 22",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P31494","B17-41330","2017-10-09T00:00:00.000","TAURUS","PT809","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P32044","B17-44179","2017-10-27T00:00:00.000","KEL-TEC",,,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P32045","B17-44179","2017-10-27T00:00:00.000","RUGER","AR-15",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P32046","B17-44179","2017-10-27T00:00:00.000","RUGER",,,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P32055","B17-44179","2017-10-27T00:00:00.000","REMINGTON","870",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P32056","B17-44179","2017-10-27T00:00:00.000","RUGER",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P32114","B17-44587","2017-10-29T00:00:00.000","WALTHER","P99","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P32416","B17-44179","2017-10-27T00:00:00.000","RUGER",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P32850","B17-47925","2017-11-22T00:00:00.000","COLT","38 SPECIAL","BLU","STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P33202","B17-49208","2017-12-02T00:00:00.000","GLOCK","B19","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P33342","B17-50077","2017-12-08T00:00:00.000","TAURUS","P2111 9MM",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P33343","B17-50077","2017-12-08T00:00:00.000","GLOCK","23 .40 CALIBER",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P33345","B17-50077","2017-12-08T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P33478","B17-50452","2017-12-11T00:00:00.000","TAURUS","MILLENNIUM G2",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P33816","B17-51592","2017-12-19T00:00:00.000","HARRINGTON & RI","12 GA SHOTGUN",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P33992","B17-52393","2017-12-26T00:00:00.000","GLOCK 19","GENERATION 5 9M",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34113","B18-00331","2018-01-03T00:00:00.000","REMINGTON","870 EXPRESS",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34136","B18-00418","2018-01-04T00:00:00.000","SCCY","CPX 9MM","SIL","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34219","B18-01099","2018-01-09T00:00:00.000","WALTHER","CREED","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34553","B17-38649","2018-01-23T00:00:00.000","COLT","M4 5.56 CAL",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34554","B17-38649","2018-01-23T00:00:00.000","WINCHESTER","30-30",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34555","B17-38649","2018-01-23T00:00:00.000","MOSSBERG","715T",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34556","B17-38649","2018-01-23T00:00:00.000","RUGER",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34557","B17-38649","2018-01-23T00:00:00.000","SMITH & WESSON",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34558","B17-38649","2018-01-23T00:00:00.000","COLT","COMMANDR 1991A1",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34559","B17-38649","2018-01-23T00:00:00.000","TASCO","PRO POINT 3",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34560","B17-38649","2018-01-23T00:00:00.000","TASCO",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34561","B17-38649","2018-01-23T00:00:00.000","MAKAROV",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34562","B17-38649","2018-01-23T00:00:00.000","COLT","WOODSMAN",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34673","B18-03603","2018-01-27T00:00:00.000","GLOCK","GEN 4 40 .45ACP",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P34795","B18-04534","2018-02-03T00:00:00.000","TAURUS","PT840 840BC","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P35014","B18-06178","2018-02-15T00:00:00.000","WALTHER","PPK 380 CAL","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35182","B18-07562","2018-02-24T00:00:00.000","GLOCK","MODEL 23","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35363","B18-08271","2018-03-01T00:00:00.000","GLOCK","27","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35364","B18-08271","2018-03-01T00:00:00.000","SMITH AND WESSO","M&P SHIELD","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35391","B18-08309","2018-03-01T00:00:00.000","TAURUS","PJ 24/7 G2","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35885","B18-11630","2018-03-24T00:00:00.000","COBRA",".380","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35940","B18-11938","2018-03-26T00:00:00.000","EAA","EA 9MM","PNK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P35949","B18-11949","2018-03-26T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P36192","B18-13120","2018-04-03T00:00:00.000","MOSSBERG",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P37342","B18-19328","2018-05-12T00:00:00.000","SIG SAVER EQUIN","P238","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P38301","B18-25349","2018-06-25T00:00:00.000","BERETTA","PX4",,"STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P39234","B18-30448","2018-07-30T00:00:00.000","RUGER","EC9S","BLK","STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P39341","B18-30749","2018-08-01T00:00:00.000","COLT",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P40070","B18-33936","2018-08-21T00:00:00.000","WINCHESTER",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P40293","B18-35218","2018-08-29T00:00:00.000",,"PARATROOPER",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P40621","B18-37191","2018-09-11T00:00:00.000","RUGER","SR40","BLK","STOLEN LOCALLY","HOTEL/MOTEL","NOT RECOVERED","BPD"
"P41115","B18-39958","2018-09-28T00:00:00.000","WALTHER","PPX","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P41116","B18-39958","2018-09-28T00:00:00.000","NORNICO","MAC 91","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P41117","B18-39958","2018-09-28T00:00:00.000","SAIGA",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P41452","B18-41744","2018-10-10T00:00:00.000","CESKA ZBROJOVKA",".32ACP","BLU","STOLEN LOCALLY","PARKING LOT/GARAGE","NOT RECOVERED","BPD"
"P41630","B18-43069","2018-10-19T00:00:00.000","RUGER","EC9","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42076","B18-45826","2018-11-06T00:00:00.000","MOSSBERG",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42366","B18-47443","2018-11-18T00:00:00.000","SMITH & WESSON","9MM","BLK","STOLEN LOCALLY","CONSTRUCTION SITE","NOT RECOVERED","BPD"
"P42764","B18-35218","2018-08-29T00:00:00.000","RUGER","SUPER REDHAWK",,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42765","B18-35218","2018-08-29T00:00:00.000","MAKAROV",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42766","B18-35218","2018-08-29T00:00:00.000","TAURUS",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42767","B18-35218","2018-08-29T00:00:00.000",,,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42768","B18-35218","2018-08-29T00:00:00.000","JENNINGS",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42769","B18-35218","2018-08-29T00:00:00.000","DUCKTOWN",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42770","B18-35218","2018-08-29T00:00:00.000","ROUGH RIDER",,"BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P42796","B18-49814","2018-12-06T00:00:00.000","BERSA","THUNDER","SIL","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P42983","B18-51060","2018-12-15T00:00:00.000","GLOCK 19","9MM","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P44782","B19-05974","2019-02-12T00:00:00.000","SMITH & WESSON","M&P BODYGUARD","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P45456","B19-09471","2019-03-07T00:00:00.000","SIG SAUER","P238","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P45457","B19-09471","2019-03-07T00:00:00.000","SIG SAUER","P238","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P45458","B19-09471","2019-03-07T00:00:00.000","SIG SAUER","P938","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P45459","B19-09471","2019-03-07T00:00:00.000","KIMBER","MICRO 9MM","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P45712","B19-11043","2019-03-17T00:00:00.000","SCCY","CPX1","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P46583","B19-15747","2019-04-18T00:00:00.000","SAVAGE",,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P46618","B19-15965","2019-04-20T00:00:00.000","SIG SAUER","P226","BLK","STOLEN LOCALLY","HIGHWAY/ROAD/ALLEY","RECOVERED LOCALLY","BPD"
"P48050","B19-23472","2019-06-09T00:00:00.000","GLOCK 26","9MM","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P48718","B19-25713","2019-06-24T00:00:00.000","TAURUS","G2C","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P49301","B19-28008","2019-07-08T00:00:00.000","RUGER","22 CHARGER","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P49932","B19-30187","2019-07-21T00:00:00.000","SIG SAUER","M400 5.56 AR-15",,"STOLEN LOCALLY","DEPARTMENT/DISCOUNT STORE","RECOVERED LOCALLY","BPD"
"P50684","B19-33453","2019-08-12T00:00:00.000","SMITH & WESSON","SD9VE","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P50716","B19-33628","2019-08-13T00:00:00.000","GLOCK","30","BLK","STOLEN LOCALLY","HOTEL/MOTEL","NOT RECOVERED","BPD"
"P51049","B19-35405","2019-08-24T00:00:00.000","SMITH AND WESSO","SHIELD","BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED OTHER","BPD"
"P51281","B19-36250","2019-08-29T00:00:00.000","GLOCK","22 GEN 2","BLK","STOLEN LOCALLY","OTHER/UNKNOWN","RECOVERED OTHER","BPD"
"P51591","B19-37230","2019-09-06T00:00:00.000","RUGER","LCP .380",,"STOLEN LOCALLY","AUTO DEALERSHIP","RECOVERED OTHER","BPD"
"P52162","B19-40491","2019-09-24T00:00:00.000","RUGER",,"BLK","STOLEN LOCALLY","RESIDENCE","RECOVERED LOCALLY","BPD"
"P52315","B19-41287","2019-09-29T00:00:00.000","GLOCK","G23 40 CALIBER","BLK","STOLEN LOCALLY","HIGHWAY/ROAD/ALLEY","RECOVERED OTHER","BPD"
"P52316","B19-41312","2019-09-30T00:00:00.000",,,,"STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P52545","B19-42321","2019-10-06T00:00:00.000","SPRINGFIELD",,"GRY","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P52950","B19-43960","2019-10-17T00:00:00.000","GLOCK","31",,"STOLEN LOCALLY","HOTEL/MOTEL","NOT RECOVERED","BPD"
"P53254","B19-45151","2019-10-25T00:00:00.000","ROCK ISLAND","ARMORY .38","BLK","STOLEN LOCALLY","RESIDENCE","NOT RECOVERED","BPD"
"P53755","B19-47314","2019-11-09T00:00:00.000","GLOCK","43","BLK","STOLEN LOCALLY","CONSTRUCTION SITE","NOT RECOVERED","BPD"
"P53834","B19-47581","2019-11-12T00:00:00.000","RUGER","P90","BLK","STOLEN LOCALLY","RESTAURANT","NOT RECOVERED","BPD"
"P53999","B19-48407","2019-11-18T00:00:00.000","ROCK ISLAND","1911","BLK","STOLEN LOCALLY","SERVICE/GAS STATION","NOT RECOVERED","BPD"
"P54164","B19-49004","2019-11-22T00:00:00.000","WALTHER",,,"STOLEN LOCALLY","SPECIALITY STORE","RECOVERED LOCALLY","BPD"
"P54195","B19-49049","2019-11-22T00:00:00.000","TAURUS","PT111",,"STOLEN LOCALLY","BAR/NIGHTCLUB","NOT RECOVERED","BPD"
"P54244","B19-49004","2019-11-22T00:00:00.000","COBRA","380","BLK","STOLEN LOCALLY","SPECIALITY STORE","RECOVERED LOCALLY","BPD"
"P54328","B19-49004","2019-11-22T00:00:00.000","PW ARMS","MAKAROV",,"STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P54329","B19-49004","2019-11-22T00:00:00.000","CENTURY ARMS","CANIK TP9V2",,"STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P54330","B19-49004","2019-11-22T00:00:00.000","HIPOINT","MOD C9",,"STOLEN LOCALLY","SPECIALITY STORE","NOT RECOVERED","BPD"
"P54331","B19-49004","2019-11-22T00:00:00.000","EAA","WINDICATOR",,"STOLEN LOCALLY","SPECIALITY STORE","RECOVERED OTHER","BPD"
