"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-00690","2016-01-06T15:51:42.000","January","Wednesday","DISTURBANCE NP","1309 S PALMER AVE","LB314","BPD","REPORT","POINT (-86.529229 39.152035)"
"B16-00735","2016-01-06T22:47:46.000","January","Wednesday","DISTURBANCE IP","909 N ILLINOIS ST","LB517","BPD","NO REPORT","POINT (-86.551395 39.174575)"
"B16-00756","2016-01-07T02:32:45.000","January","Thursday","DISTURBANCE IP","S WALNUT ST & E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.533629 39.166582)"
"B16-00770","2016-01-07T08:41:43.000","January","Thursday","NOISE","1049 S BASSWOOD CIR","LB415","BPD","NO REPORT","POINT (-86.569893 39.152267)"
"B16-00778","2016-01-07T09:17:47.000","January","Thursday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-00815","2016-01-07T15:56:33.000","January","Thursday","DISTURBANCE IP","101 W 2ND ST","LB410","BPD","NO REPORT","POINT (-86.533648 39.161363)"
"B16-00817","2016-01-07T15:58:29.000","January","Thursday","VANDALISM NP","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-00864","2016-01-07T22:50:18.000","January","Thursday","NOISE","320 S DUNN ST","LB104","BPD","NO REPORT","POINT (-86.528455 39.163828)"
"B16-00914","2016-01-08T12:24:04.000","January","Friday","DISTURBANCE IP","1965 S WALNUT ST","LB315","BPD","REPORT","POINT (-86.531138 39.1419)"
"B16-00959","2016-01-08T17:43:09.000","January","Friday","DISTURBANCE IP","475 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.53484 39.170292)"
"B16-00980","2016-01-08T18:49:14.000","January","Friday","NOISE","913 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534767 39.175359)"
"B16-00974","2016-01-08T18:50:17.000","January","Friday","DISTURBANCE IP","1323 W 13TH ST","LB517","BPD","REPORT","POINT (-86.550456 39.174991)"
"B16-01020","2016-01-09T01:04:31.000","January","Saturday","VANDALISM IP","111 E 10TH ST","LB213","BPD","REPORT","POINT (-86.533091 39.17165)"
"B16-01024","2016-01-09T01:54:36.000","January","Saturday","DISTURBANCE IP","205 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531848 39.16655)"
"B16-01030","2016-01-09T02:40:19.000","January","Saturday","DISTURBANCE IP","215 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533611 39.16769)"
"B16-01066","2016-01-09T10:38:41.000","January","Saturday","VANDALISM NP","400 E 2ND ST","LB301","BPD","REPORT","POINT (-86.529724 39.161348)"
"B16-01154","2016-01-10T00:25:11.000","January","Sunday","NOISE","1627 S DORCHESTER DR","LB317","BPD","NO REPORT","POINT (-86.512506 39.149572)"
"B16-01156","2016-01-10T01:08:28.000","January","Sunday","NOISE","513 E 14TH ST","LB214","BPD","NO REPORT","POINT (-86.527913 39.176128)"
"B16-01159","2016-01-10T02:07:49.000","January","Sunday","NOISE","418 E 16TH ST","LB213","BPD","NO REPORT","POINT (-86.528794 39.177779)"
"B16-01160","2016-01-10T02:39:56.000","January","Sunday","DISTURBANCE IP","105 W 7TH ST","LB101","BPD","NO REPORT","POINT (-86.533976 39.168541)"
"B16-01162","2016-01-10T02:56:21.000","January","Sunday","DISTURBANCE IP","3200 E LONGVIEW AVE","LB221","BPD","NO REPORT","POINT (-86.493604 39.16691)"
"B16-01164","2016-01-10T03:00:22.000","January","Sunday","NOISE","959 E MILLER DR","LB316","BPD","NO REPORT","POINT (-86.521507 39.146859)"
"B16-01163","2016-01-10T03:17:36.000","January","Sunday","DISTURBANCE IP","215 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533611 39.16769)"
"B16-01168","2016-01-10T03:53:31.000","January","Sunday","NOISE","405 E 17TH ST","LB212","BPD","NO REPORT","POINT (-86.5302 39.178965)"
"B16-01218","2016-01-10T16:08:34.000","January","Sunday","DISTURBANCE IP","S WASHINGTON ST & E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.532335 39.16656)"
"B16-01222","2016-01-10T16:10:19.000","January","Sunday","NOISE","3277 S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.528399 39.126728)"
"B16-01224","2016-01-10T16:38:39.000","January","Sunday","DISTURBANCE IP","3127 S ACADIA CT","LB329","BPD","NO REPORT","POINT (-86.51834 39.13463)"
"B16-01226","2016-01-10T16:42:47.000","January","Sunday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-01236","2016-01-10T17:58:23.000","January","Sunday","DISTURBANCE IP","120 E MILLER DR","LB315","BPD","NO REPORT","POINT (-86.529838 39.146891)"
"B16-01245","2016-01-10T18:54:19.000","January","Sunday","NOISE","541 W TERRY LN","LB513","BPD","NO REPORT","POINT (-86.539094 39.180072)"
"B16-01267","2016-01-10T21:55:34.000","January","Sunday","DISTURBANCE IP","710 N COLLEGE AVE","LB519","BPD","REPORT","POINT (-86.534805 39.173391)"
"B16-01284","2016-01-11T06:48:03.000","January","Monday","DISTURBANCE IP","919 S ROGERS ST","LB412","BPD","NO REPORT","POINT (-86.538685 39.1573)"
"B16-01327","2016-01-11T15:11:27.000","January","Monday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-01333","2016-01-11T15:34:49.000","January","Monday","DISTURBANCE IP","300 S COLLEGE MALL RD","LB305","BPD","NO REPORT","POINT (-86.498201 39.163663)"
"B16-01337","2016-01-11T16:31:52.000","January","Monday","DISTURBANCE IP","833 S COLLEGE MALL RD","LB310","BPD","NO REPORT","POINT (-86.497786 39.157981)"
"B16-01360","2016-01-11T19:09:21.000","January","Monday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-01367","2016-01-11T20:30:45.000","January","Monday","DISTURBANCE NP","W KIRKWOOD AVE & N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536053 39.166585)"
"B16-01374","2016-01-11T21:41:51.000","January","Monday","DISTURBANCE IP","520 E GRAHAM PL","LB327","BPD","NO REPORT","POINT (-86.528784 39.138106)"
"B16-01390","2016-01-12T00:34:44.000","January","Tuesday","DISTURBANCE IP","528 S COLLEGE AVE","LB410","BPD","NO REPORT","POINT (-86.534959 39.160262)"
"B16-01396","2016-01-12T01:55:24.000","January","Tuesday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-01397","2016-01-12T02:30:33.000","January","Tuesday","NOISE","615 W 15TH ST","LB518","BPD","NO REPORT","POINT (-86.540654 39.176608)"
"B16-01405","2016-01-12T06:53:30.000","January","Tuesday","DISTURBANCE IP","2349 S BRANDON CT","LB326","BPD","NO REPORT","POINT (-86.525635 39.138207)"
"B16-01414","2016-01-12T08:48:55.000","January","Tuesday","VANDALISM NP","911 E UNIVERSITY ST","LB302","BPD","REPORT","POINT (-86.521731 39.160183)"
"B16-01432","2016-01-12T11:56:47.000","January","Tuesday","DISTURBANCE IP","520 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533653 39.160543)"
"B16-01451","2016-01-12T14:35:13.000","January","Tuesday","VANDALISM NP","612 S STATE ROAD 446","LB307","BPD","REPORT","POINT (-86.471592 39.16027)"
"B16-01462","2016-01-12T15:41:23.000","January","Tuesday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-01465","2016-01-12T16:06:31.000","January","Tuesday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","REPORT","POINT (-86.531064 39.166547)"
"B16-01487","2016-01-12T18:27:32.000","January","Tuesday","DISTURBANCE NP","301 W 17TH ST","LB519","BPD","NO REPORT","POINT (-86.536299 39.178995)"
"B16-01510","2016-01-12T22:25:55.000","January","Tuesday","NOISE","219 E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.531581 39.168525)"
"B16-01509","2016-01-12T22:28:40.000","January","Tuesday","DISTURBANCE IP","454 S WESTPLEX AVE","LB406","BPD","NO REPORT","POINT (-86.553885 39.163181)"
"B16-01511","2016-01-12T22:58:47.000","January","Tuesday","DISTURBANCE IP","454 S WESTPLEX AVE","LB406","BPD","NO REPORT","POINT (-86.553885 39.163181)"
"B16-01517","2016-01-12T23:27:27.000","January","Tuesday","NOISE","701 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534801 39.173592)"
"B16-01527","2016-01-13T00:26:22.000","January","Wednesday","NOISE","504 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568209 39.160749)"
"B16-01532","2016-01-13T03:11:58.000","January","Wednesday","VANDALISM NP","322 S GRANT ST","LB104","BPD","REPORT","POINT (-86.529839 39.163814)"
"B16-01600","2016-01-13T17:22:28.000","January","Wednesday","VANDALISM NP","411 E SOUTHERN DR","LB315","BPD","REPORT","POINT (-86.529555 39.149728)"
"B16-01637","2016-01-13T22:48:44.000","January","Wednesday","NOISE","563 W HOOSIER COURT AVE","LB513","BPD","NO REPORT","POINT (-86.53955 39.184117)"
"B16-01636","2016-01-13T23:05:07.000","January","Wednesday","VANDALISM NP","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-01680","2016-01-14T11:53:19.000","January","Thursday","DISTURBANCE IP","2850 E 3RD ST","LB305","BPD","NO REPORT","POINT (-86.495565 39.164232)"
"B16-01682","2016-01-14T12:01:13.000","January","Thursday","DISTURBANCE IP","3292 E BRAESIDE DR","LB221","BPD","NO REPORT",
"B16-01696","2016-01-14T13:12:49.000","January","Thursday","DISTURBANCE IP","703 W GOURLEY PIKE","LB513","BPD","REPORT","POINT (-86.540628 39.18507)"
"B16-01703","2016-01-14T13:36:47.000","January","Thursday","DISTURBANCE IP","1310 W 11TH ST","LB517","BPD","NO REPORT","POINT (-86.549995 39.173244)"
"B16-01710","2016-01-14T14:09:43.000","January","Thursday","DISTURBANCE IP","120 E MILLER DR","LB315","BPD","NO REPORT","POINT (-86.529838 39.146891)"
"B16-01718","2016-01-14T14:43:01.000","January","Thursday","DISTURBANCE IP","2304 S WINSLOW CT","LB326","BPD","NO REPORT","POINT (-86.524159 39.137687)"
"B16-01806","2016-01-14T23:26:46.000","January","Thursday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-01810","2016-01-15T00:36:32.000","January","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-01813","2016-01-15T01:21:54.000","January","Friday","NOISE","1308 E ATWATER AVE","LB303","BPD","REPORT","POINT (-86.517113 39.163061)"
"B16-01820","2016-01-15T03:56:21.000","January","Friday","NOISE","3530 S KENNEDY DR","LB336","BPD","NO REPORT","POINT (-86.528489 39.123968)"
"B16-01822","2016-01-15T05:01:17.000","January","Friday","NOISE","523 E SMITH AVE","LB104","BPD","NO REPORT","POINT (-86.528021 39.162787)"
"B16-01832","2016-01-15T07:21:01.000","January","Friday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-01848","2016-01-15T10:17:01.000","January","Friday","PANHANDLING","2300 N WALNUT ST","LB209","BPD","NO REPORT","POINT (-86.534089 39.187597)"
"B16-01889","2016-01-15T13:46:48.000","January","Friday","VANDALISM NP","1016 S FIELDCREST CT","LB309","BPD","REPORT","POINT (-86.485672 39.156437)"
"B16-01935","2016-01-15T18:10:23.000","January","Friday","NOISE","1024 N JACKSON ST","LB518","BPD","NO REPORT","POINT (-86.539685 39.177608)"
"B16-01944","2016-01-15T19:11:37.000","January","Friday","VANDALISM NP","122 E RIDGEVIEW DR","LB328","BPD","REPORT","POINT (-86.529751 39.131852)"
"B16-01966","2016-01-15T21:43:41.000","January","Friday","NOISE","931 S MAXWELL TER","LB312","BPD","NO REPORT","POINT (-86.511745 39.156592)"
"B16-01977","2016-01-15T23:25:09.000","January","Friday","NOISE","219 E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.531581 39.168525)"
"B16-01974","2016-01-15T23:29:22.000","January","Friday","NOISE","S BALLANTINE RD & E ATWATER AVE","LIU14","BPD","NO REPORT","POINT (-86.519126 39.163082)"
"B16-01976","2016-01-15T23:33:58.000","January","Friday","NOISE","415 E 10TH ST","LB213","BPD","NO REPORT","POINT (-86.528628 39.171664)"
"B16-01980","2016-01-16T00:12:51.000","January","Saturday","NOISE","108 E SOUTHERN DR","LB315","BPD","REPORT","POINT (-86.532988 39.149735)"
"B16-01984","2016-01-16T01:14:00.000","January","Saturday","DISTURBANCE IP","1764 N WASHINGTON ST","LB212","BPD","NO REPORT","POINT (-86.532428 39.182022)"
"B16-01986","2016-01-16T01:31:29.000","January","Saturday","NOISE","421 E 19TH ST","LB212","BPD","NO REPORT","POINT (-86.528626 39.180972)"
"B16-01987","2016-01-16T01:32:31.000","January","Saturday","NOISE","946 S MAXWELL TER","LB312","BPD","NO REPORT","POINT (-86.511848 39.156226)"
"B16-02040","2016-01-16T12:07:48.000","January","Saturday","NOISE","501 S VILLAGE CT","LB402","BPD","NO REPORT","POINT (-86.590958 39.162304)"
"B16-02061","2016-01-16T16:00:55.000","January","Saturday","VANDALISM NP","3502 N STONEYCREST RD","LB507","BPD","REPORT","POINT (-86.544623 39.199233)"
"B16-02079","2016-01-16T19:11:36.000","January","Saturday","DISTURBANCE IP","2901 W JULIES WAY","LB415","BPD","NO REPORT","POINT (-86.57107 39.15411)"
"B16-02080","2016-01-16T19:52:56.000","January","Saturday","PANHANDLING","1000 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534744 39.176307)"
"B16-02090","2016-01-16T20:51:11.000","January","Saturday","NOISE","2423 S BRITTANY LN","LB326","BPD","NO REPORT","POINT (-86.52242 39.13739)"
"B16-02103","2016-01-16T22:06:42.000","January","Saturday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-02104","2016-01-16T22:40:14.000","January","Saturday","NOISE","2423 S BRITTANY LN","LB326","BPD","NO REPORT","POINT (-86.52242 39.13739)"
"B16-02117","2016-01-16T23:54:24.000","January","Saturday","NOISE","433 W AMARYLLIS DR","LB513","BPD","NO REPORT","POINT (-86.5387 39.183226)"
"B16-02118","2016-01-17T00:04:49.000","January","Sunday","NOISE","525 S PATTERSON DR","LB406","BPD","NO REPORT","POINT (-86.550545 39.162681)"
"B16-02123","2016-01-17T01:46:51.000","January","Sunday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-02127","2016-01-17T01:52:45.000","January","Sunday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-02125","2016-01-17T02:06:57.000","January","Sunday","VANDALISM NP","259 E VARSITY LN","LB212","BPD","REPORT","POINT (-86.530888 39.183563)"
"B16-02142","2016-01-17T07:52:52.000","January","Sunday","DISTURBANCE IP","815 S ROGERS ST","LB412","BPD","NO REPORT","POINT (-86.538678 39.158208)"
"B16-02165","2016-01-17T14:33:21.000","January","Sunday","VANDALISM NP","3939 W ROLL AVE","LB416","BPD","REPORT","POINT (-86.582154 39.147198)"
"B16-02180","2016-01-17T17:27:07.000","January","Sunday","NOISE","912 S COPPER BEECH WAY","LB415","BPD","NO REPORT","POINT (-86.57039 39.15652)"
"B16-02220","2016-01-17T23:32:54.000","January","Sunday","NOISE","541 W TERRY LN","LB513","BPD","NO REPORT","POINT (-86.539094 39.180072)"
"B16-02221","2016-01-17T23:40:05.000","January","Sunday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-02223","2016-01-18T00:25:10.000","January","Monday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-02231","2016-01-18T02:25:42.000","January","Monday","DISTURBANCE IP","426 E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.528419 39.167531)"
"B16-02232","2016-01-18T03:11:17.000","January","Monday","NOISE","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-02241","2016-01-18T08:18:21.000","January","Monday","VANDALISM NP","1105 S FAIRVIEW ST","LB412","BPD","NO REPORT","POINT (-86.541084 39.154814)"
"B16-02248","2016-01-18T09:56:21.000","January","Monday","PANHANDLING","2300 N WALNUT ST","LB209","BPD","NO REPORT","POINT (-86.534089 39.187597)"
"B16-02257","2016-01-18T10:50:37.000","January","Monday","VANDALISM NP","2381 S BRANDON CT","LB326","BPD","REPORT","POINT (-86.525577 39.138571)"
"B16-02285","2016-01-18T14:46:53.000","January","Monday","DISTURBANCE IP","3281 S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.528461 39.126694)"
"B16-02310","2016-01-18T18:02:29.000","January","Monday","DISTURBANCE IP","405 E 17TH ST","LB212","BPD","NO REPORT","POINT (-86.5302 39.178965)"
"B16-02314","2016-01-18T18:40:06.000","January","Monday","VANDALISM NP","3068 E 3RD ST","LB305","BPD","REPORT","POINT (-86.492549 39.164235)"
"B16-02316","2016-01-18T18:53:43.000","January","Monday","DISTURBANCE IP","511 N FESS AVE","LB215","BPD","REPORT","POINT (-86.525803 39.171127)"
"B16-02324","2016-01-18T20:01:31.000","January","Monday","DISTURBANCE IP","502 E KIRKWOOD AVE","LB104","BPD","REPORT","POINT (-86.52803 39.166534)"
"B16-02325","2016-01-18T20:15:37.000","January","Monday","DISTURBANCE IP","502 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.52803 39.166534)"
"B16-02333","2016-01-18T20:55:44.000","January","Monday","DISTURBANCE IP","1280 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534706 39.178554)"
"B16-02338","2016-01-18T21:10:33.000","January","Monday","NOISE","3112 E BRAESIDE DR","LB221","BPD","NO REPORT","POINT (-86.49437 39.16827)"
"B16-02350","2016-01-19T00:29:43.000","January","Tuesday","DISTURBANCE IP","1800 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534173 39.183387)"
"B16-02353","2016-01-19T00:49:13.000","January","Tuesday","NOISE","3277 E BRAESIDE DR","LB221","BPD","NO REPORT",
"B16-02357","2016-01-19T01:17:48.000","January","Tuesday","NOISE","3288 S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.528356 39.126751)"
"B16-02366","2016-01-19T07:22:39.000","January","Tuesday","VANDALISM NP","205 E 6TH ST","LB102","BPD","REPORT","POINT (-86.532277 39.167548)"
"B16-02386","2016-01-19T10:52:56.000","January","Tuesday","DISTURBANCE IP","1480 N ARLINGTON PARK DR","LB514","BPD","NO REPORT","POINT (-86.554095 39.180078)"
"B16-02390","2016-01-19T12:14:28.000","January","Tuesday","DISTURBANCE IP","349 S WALNUT ST","LB104","BPD","REPORT","POINT (-86.533637 39.163071)"
"B16-02414","2016-01-19T15:43:50.000","January","Tuesday","DISTURBANCE IP","301 S WALNUT ST","LB104","BPD","NO REPORT","POINT (-86.533637 39.164394)"
"B16-02436","2016-01-19T18:06:03.000","January","Tuesday","DISTURBANCE IP","411 E SOUTHERN DR","LB315","BPD","NO REPORT","POINT (-86.529555 39.149728)"
"B16-02438","2016-01-19T18:16:21.000","January","Tuesday","DISTURBANCE IP","322 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529839 39.163814)"
"B16-02470","2016-01-19T22:10:04.000","January","Tuesday","NOISE","329 W 1ST ST","LB409","BPD","NO REPORT","POINT (-86.537678 39.159399)"
