"service_request_id","requested_datetime","updated_datetime","closed_date","status_description","source","service_name","description","agency_responsible","address","city","state","zip","lat","long","geocoded_column"
"45275","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CONCERNED ABOUT WATER RUN OFF FROM NEW CHURCH BEING BUILT",,"420 W WESTWOOD","Bloomington","IN",,,,
"45280","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM WATER IS STANDING IN HIS YARD",,"714 W 8th ST","Bloomington","IN","47404","39.16971207","-86.54180145","POINT (-86.54180145 39.16971207)"
"45287","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"419 S Highland AVE","Bloomington","IN","47401","39.16241074","-86.51750183","POINT (-86.51750183 39.16241074)"
"45288","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1230 W 7th ST","Bloomington","IN","47404","39.16879654","-86.54940796","POINT (-86.54940796 39.16879654)"
"45303","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM GRATE IS BROKEN",,"2600 S Rogers ST","Bloomington","IN","47403","39.13820267","-86.53870392","POINT (-86.53870392 39.13820267)"
"45307","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"1128 S Madison ST","Bloomington","IN","47403","39.15420151","-86.53773499","POINT (-86.53773499 39.15420151)"
"45310","2002-05-13T05:00:00.000","2016-09-11T22:02:05.000","2002-05-13T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"3216 E Winston ST","Bloomington","IN","47401","39.14371872","-86.49177551","POINT (-86.49177551 39.14371872)"
"45329","2002-05-10T05:00:00.000","2016-09-11T22:02:05.000","2002-05-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Mr. Kugh called re. 3259 Southern Oaks Dr. Drainage pipe runs 1/2 to 3/4 way across this lot. He would like to know why it wasn't taken further. He is going to build and wants matter cleared up before he starts construction.",,"3259 S Southern Oaks DR","Bloomington","IN","47401","39.13231659","-86.50331116","POINT (-86.50331116 39.13231659)"
"45523","2002-04-25T05:00:00.000","2016-09-11T22:02:05.000","2002-04-25T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1710 S HIGH","Bloomington","IN",,,,
"45662","2002-04-15T05:00:00.000","2016-09-11T22:02:05.000","2002-04-15T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","YARD IS WASHING OUT AROUND DRAIN",,"854 W HICKORY","Bloomington","IN",,,,
"45663","2002-04-15T05:00:00.000","2016-09-11T22:02:05.000","2002-04-15T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"1025 E SOUTHDOWNS","Bloomington","IN",,,,
"45664","2002-04-15T05:00:00.000","2016-09-11T22:02:05.000","2002-04-15T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"325 N Clark ST","Bloomington","IN","47408","39.16903687","-86.50521851","POINT (-86.50521851 39.16903687)"
"45717","2002-04-10T05:00:00.000","2016-09-11T22:02:05.000","2002-04-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WATER DRAINAGE IS COMMING TOWARD THEIR PROPERTY",,"1517 E University ST","Bloomington","IN","47401","39.16037750","-86.51458740","POINT (-86.5145874 39.1603775)"
"45718","2002-04-10T05:00:00.000","2016-09-11T22:02:05.000","2002-04-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"211 N KIMBLE","Bloomington","IN",,,,
"45719","2002-04-10T05:00:00.000","2016-09-11T22:02:05.000","2002-04-10T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","WATER RUN OFF FROM THE STREET IS GOING INTO HER BASEMENT IN THE HOUSE",,"1212 S Henderson ST","Bloomington","IN","47401","39.15257645","-86.52745056","POINT (-86.52745056 39.15257645)"
"45797","2002-04-08T05:00:00.000","2016-09-11T22:02:05.000","2002-04-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM INLET CAVED IN AT NW CORNER OF 8TH AND FESS",,"E 8TH","Bloomington","IN",,,,
"45804","2002-04-08T05:00:00.000","2016-09-11T22:02:05.000","2002-04-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","AT CORNER OF MONOR AND HILLSIDE THERE IS A BROKEN STORM GRATE",,"S MONON","Bloomington","IN",,,,
"46211","2002-02-21T05:00:00.000","2020-10-05T14:42:52.000","2002-02-21T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Amy called. Her #is 334-0600. She wanted an explanation of the stormwater rate adjustment for the above-listed property.",,"416 E 16th ST","Bloomington","IN","47408","39.17761612","-86.52891541","POINT (-86.52891541 39.17761612)"
"46212","2002-02-21T05:00:00.000","2016-09-11T22:02:05.000","2002-02-21T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Ms. Meeker called and requested an explanation of stormwater charges for the above-referenced property. Her # is 825-7441.",,"3650 S Leonard Springs RD","Bloomington","IN","47403","39.12669754","-86.58356476","POINT (-86.58356476 39.12669754)"
"46213","2002-02-21T05:00:00.000","2016-09-11T22:02:05.000","2002-02-21T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Lisa called and requested an explanation of stormwater charges for the Anbro Electric property at 1107 W. 3rd St. Her # is 336-4992.",,"1107 W 3rd ST","Bloomington","IN","47403","39.16406631","-86.54703522","POINT (-86.54703522 39.16406631)"
"46229","2002-02-19T05:00:00.000","2016-09-11T22:02:05.000","2002-02-19T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Customer would like for someone to contact him concerning the new way stormwater is calculated.",,"833 S College Mall RD","Bloomington","IN","47401","39.15738297","-86.49727631","POINT (-86.49727631 39.15738297)"
"46249","2002-02-18T05:00:00.000","2016-09-11T22:02:05.000","2002-02-18T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Customer called concerning increase in stormwater charge. Used to be 2.35 is now 19.56. He would like for someone to call him and explain the way stormwater charges are calculated..",,"225 N Smith RD","Bloomington","IN","47408","39.16781235","-86.48184967","POINT (-86.48184967 39.16781235)"
"46320","2002-02-12T05:00:00.000","2016-09-11T22:02:05.000","2002-02-12T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CITIZEN SAYS THERE IS A CLOGGED STORM DRAIN AT THE CORNER OF FESS AND 10TH STREET",,"N FESS","Bloomington","IN",,,,
"46531","2002-01-18T05:00:00.000","2016-09-11T22:02:05.000","2002-01-18T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","BROKEN STORM GRATE",,"7TH","Bloomington","IN",,,,
"46893","2001-11-30T05:00:00.000","2016-09-11T22:02:05.000","2001-11-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"E 3RD","Bloomington","IN",,,,
"46894","2001-11-30T05:00:00.000","2016-09-11T22:02:05.000","2001-11-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","UN-CLOGGED STORM DRAIN",,"E 7TH","Bloomington","IN",,,,
"46897","2001-11-30T05:00:00.000","2016-09-11T22:02:05.000","2001-11-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"1300 E 3rd ST","Bloomington","IN",,,,
"46900","2001-11-30T05:00:00.000","2016-09-11T22:02:05.000","2001-11-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","UN-CLOG THE STORM DRAIN",,"E SMITH","Bloomington","IN",,,,
"46902","2001-11-30T05:00:00.000","2016-09-11T22:02:05.000","2001-11-30T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","CLOGGED STORM DRAIN",,"114 E 19th ST","Bloomington","IN","47408","39.18113708","-86.53236389","POINT (-86.53236389 39.18113708)"
"47121","2001-11-09T05:00:00.000","2016-09-11T22:02:05.000","2001-11-09T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","MUD AND WATR IN YARD, DITCH IS OVERFLOWING. CUSTOMR WANTS THIS REPAIRED NOW.",,"920 E BALLANTINE","Bloomington","IN",,,,
"47124","2001-11-09T05:00:00.000","2016-09-11T22:02:05.000","2001-11-09T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","SERVICE LINE IS LEAKING",,"2550 S ROUNDHILL","Bloomington","IN",,,,
"47131","2001-11-09T05:00:00.000","2016-09-11T22:02:05.000","2001-11-09T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAIN IS CLOGGED",,"4100 E Saratoga DR","Bloomington","IN","47408","39.16505051","-86.47867584","POINT (-86.47867584 39.16505051)"
"47161","2001-11-08T05:00:00.000","2016-09-11T22:02:05.000","2001-11-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","FLOODING IN YARD, WASHING GRAVEL FROM THE DRIVE",,"723 W Allen ST","Bloomington","IN","47403","39.15545273","-86.54228210","POINT (-86.5422821 39.15545273)"
"47163","2001-11-08T05:00:00.000","2016-09-11T22:02:05.000","2001-11-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","IS THERE A STORM RUN OFF SYSTEM IN CUSTOMERS AREA?",,"1218 S Fess AVE","Bloomington","IN","47401","39.15258026","-86.52617645","POINT (-86.52617645 39.15258026)"
"47165","2001-11-08T05:00:00.000","2016-09-11T22:02:05.000","2001-11-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","LEAVES ARE CLOGGING THE STORM DRAIN UNDER THE DRIVE WAY",,"1326 S Nancy ST","Bloomington","IN","47401","39.15164566","-86.51130676","POINT (-86.51130676 39.15164566)"
"47167","2001-11-08T05:00:00.000","2016-09-11T22:02:05.000","2001-11-08T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM DRAINAGE PROBLEMS",,"1201 W 3rd ST","Bloomington","IN","47403","39.16408157","-86.54856110","POINT (-86.5485611 39.16408157)"
"47372","2001-10-23T05:00:00.000","2016-09-11T22:02:05.000","2001-10-23T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM HAS NO GRATE ON IT",,"W 10TH","Bloomington","IN",,,,
"47384","2001-10-23T05:00:00.000","2016-09-11T22:02:05.000","2001-10-23T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","Ms. Friley called today to complain that her property had considerable stormwater damage due to developments causing excess drainage to her property.",,"1620 S Weimer RD","Bloomington","IN","47403","39.14743042","-86.56436157","POINT (-86.56436157 39.14743042)"
"47451","2001-10-18T05:00:00.000","2016-09-11T22:02:05.000","2001-10-18T05:00:00.000","closed","Phone Call","Sidewalk Snow Removal","STORM GRATE FELL IN AND STICKS ARE IN GRATE",,"1111 S GRANT","Bloomington","IN",,,,
