"street_id","street_status","dir","street_name","suffix","post_dir","name_type","start_date"
"2493","current","E","Austin","LANE",,"STREET","2002-07-08T00:00:00.000"
"141","current","S","Auto Mall","ROAD",,"STREET","2000-01-01T00:00:00.000"
"143","current","W","Autumn","CIRCLE",,"STREET","2000-01-01T00:00:00.000"
"142","current","S","Autumn","COURT",,"STREET","2000-01-01T00:00:00.000"
"144","current","E","Autumn","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"145","current","S","Autumn","LANE",,"STREET","2000-01-01T00:00:00.000"
"5640","current","S","Avis","CIRCLE",,"HISTORIC","2018-05-30T00:00:00.000"
"146","current","S","Axsom Branch","ROAD",,"STREET","2000-01-01T00:00:00.000"
"147","current","E","Azalea","LANE",,"STREET","2000-01-01T00:00:00.000"
"148","current","S","Azalea","LANE",,"STREET","2000-01-01T00:00:00.000"
"149","current","S","B","STREET",,"STREET","2000-01-01T00:00:00.000"
"150","current","E","Baby Creek","ROAD",,"STREET","2000-01-01T00:00:00.000"
"151","current","S","Bainbridge","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"152","current","S","Bakersfield","ROAD",,"STREET","2000-01-01T00:00:00.000"
"153","current","E","Bald Eagle","LANE",,"STREET","2000-01-01T00:00:00.000"
"2473","current","S","Baldwin","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"154","current","E","Balfour","STREET",,"STREET","2000-01-01T00:00:00.000"
"155","current","S","Ballantine","ROAD",,"STREET","2000-01-01T00:00:00.000"
"156","current","W","Bank","ROAD",,"STREET","2000-01-01T00:00:00.000"
"157","current","N","Bankers","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"158","current","S","Banta","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"160","current","N","Barbara","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"159","current","N","Barbara","STREET",,"STREET","2000-01-01T00:00:00.000"
"161","current","W","Barge","LANE",,"STREET","2000-01-01T00:00:00.000"
"163","current","S","Barger","LANE",,"STREET","2000-01-01T00:00:00.000"
"164","current","S","Barnes","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"165","current","N","Barr","ROAD",,"STREET","2000-01-01T00:00:00.000"
"166","current","E","Barrington","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"167","retired",,"Barry","DRIVE",,"HISTORIC","2001-01-01T00:00:00.000"
"168","retired",,"Bartlettsville","ROAD",,"HISTORIC","2001-01-01T00:00:00.000"
"5814","current","E","Barton Woods","LANE",,"STREET","2022-07-08T00:00:00.000"
"2653","current","S","Basswood","CIRCLE",,"STREET","2004-05-05T00:00:00.000"
"169","current","S","Basswood","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"170","retired","S","Basswood North","CIRCLE",,"HISTORIC","2001-01-01T00:00:00.000"
