"case_number","date_time","third_party_reason_intiated","terminated","how_terminated","damage_to_city_property","officer_injured","suspect_injured","traffic_offense","gender","race","stop_sticks","age","vehicle","condition_of_supect","offender_status","initial_reason_for_pursuit"
"B21-41399","2021-11-15T18:43:41.000","false","true","CRASHED","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","22","VAN","NORMAL","ARRESTEE","THEFT"
"B21-43181","2021-12-01T02:08:11.000","true","false","SURRENDERED","false","false","false","SPEED","M","W","true","30","VAN","NORMAL","ARRESTEE","TRAFFIC STOP"
"B21-44853","2021-12-13T21:10:27.000","false","true","CRASHED","false","false","false","RESISTING LAW ENFORCEMENT","M","I","false","14","CAR","NORMAL","JUVENILE REFERRAL","VEHICLE THEFT"
"B21-45608","2021-12-20T14:18:30.000","false","false","SURRENDERED","false","false","false","FAILED TO YEILD","M","W","false","38","CAR","NORMAL",,"TRAFFIC STOP"
"B21-45915","2021-12-23T14:41:07.000","false","true","CRASHED","false","false","false","FAILED TO YEILD","M","W","false","44","CAR","NORMAL","ARRESTEE","WANTED ON WARRANT"
"B21-46459","2021-12-29T14:40:49.000","false","true","CRASHED","false","false","false","FAILED TO YEILD","M","W","false","32","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B21-46603","2021-12-30T18:00:45.000","false","false","CRASHED","false","false","false","NO VISIBLE PLATE",,,"false",,"SUV",,,"TRAFFIC STOP"
"B22-01611","2022-01-15T16:48:53.000","false","false","CRASHED","false","true","false","RESISTING LAW ENFORCEMENT","F","W","false","28","CAR","NORMAL","ARRESTED","EXPIRED PLATE"
"B22-01643","2202-01-15T23:04:17.000","false","false","CRASHED","false","false","false","RESISTING LAW ENFORCEMENT","M","W","false","20","CAR","NORMAL","ARRESTED","SUSPECT VEHILCE IN SHOTS FIRE CALL"
"B22-03821","2022-02-03T20:01:12.000","true","true","CRASHED","false","false","false","UNKNOWN","M","W","true","28","TRUCK","UNKNOWN","INVOLVED","TRAFFIC STOP"
"B22-05811","2022-02-21T13:49:36.000","false","true","PIT","true","false","false","LSA","M","W","true","37","TRUCK","INTOXICATED","ARRESTED","ACCIDENT"
"B22-09450","2022-03-20T20:53:31.000","false","true","SURRENDERED","true","false","false","RESISTING LAW ENFORCEMENT","F","W","false","36","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-13348","2022-04-16T18:44:17.000","false","true","SURRENDERED","false","false","false","FALSE AND FICTITOUS PLATES","M","W","true","51","TRUCK","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-15368","2022-04-28T19:29:01.000","false","false","SURRENDERED","false","false","false","SPEED","M","W","false","33","VAN","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-17799","2022-05-15T01:46:52.000","false","false","CRASHED","false","false","false","SPEED","M","W","false","18","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-18642","2022-05-21T01:59:24.000","true","true","SURRENDERED","true","false","false","INPROPER LANE USAGE","M","B","false","36","CAR","INTOXICATED","ARRESTED","TRAFFIC STOP"
"B22-18950","2022-05-23T11:59:10.000","true","true","OFFICER","false","false","false","SPEED","M","B","false","31","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-19738","2022-05-28T17:57:39.000","false","false","CRASHED","false","false","true","FAILED TO YEILD","M","W","false","23","MOTORCYLCE","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-19695","2022-06-02T01:54:16.000","true","false","SURRENDERED","false","false","false","FAILED TO YEILD","M","W","false","23","CAR","NORMAL","CITED","TRAFFIC STOP"
"B22-19911","2022-05-30T01:07:43.000","false","true","PIT","true","false","false","FAILED TO YEILD","F","W","false","19","SUV","NORMAL","ARRESTED","SUSPECT VEHILCE IN SHOTS FIRE CALL"
"B22-23348","2022-06-22T01:43:31.000","false","false","SURRENDERED","false","false","false","HEADLIGHT NOT WORKING PROPERLY","M","W","false","71","CAR","INTOXICATED","ARRESTED","TRAFFIC STOP"
"B22-23978","2022-06-26T01:47:40.000","false","false","SURRENDERED","false","false","false","FAILED TO STOP","M","B","false","31","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"M22-17852","2022-07-24T02:04:25.000","true","false","CRASHED","false","false","false","SPEED","M","W","false","22","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-29301","2022-07-30T22:59:55.000","true","true","SURRENDERED","false","false","false","SPEED","M","B","false","27","CAR","NORMAL","ARRESTED","TRAFFIC STOP"
"B22-30309","2022-08-06T00:52:13.000","false","true","BY OFFICER","false","false","false","SPEED","M","B","false","20","MOTORCYLCE","NORMAL","ARRESTED","TRAFFIC STOP"
