"location","period","year","month","visitors"
"Beaconsfield","2006-12","2006","12","730"
"Elmira","2006-12","2006","12","0"
"Eptek","2006-12","2006","12","467"
"Green Park","2006-12","2006","12","0"
"Orwell","2006-12","2006","12","250"
"Acadian","2007-01","2007","1","122"
"Basin Head","2007-01","2007","1","0"
"Beaconsfield","2007-01","2007","1","320"
"Elmira","2007-01","2007","1","0"
"Eptek","2007-01","2007","1","651"
"Green Park","2007-01","2007","1","0"
"Orwell","2007-01","2007","1","87"
"Acadian","2007-02","2007","2","256"
"Basin Head","2007-02","2007","2","0"
"Beaconsfield","2007-02","2007","2","328"
"Elmira","2007-02","2007","2","0"
"Eptek","2007-02","2007","2","431"
"Green Park","2007-02","2007","2","0"
"Orwell","2007-02","2007","2","170"
"Acadian","2007-03","2007","3","269"
"Basin Head","2007-03","2007","3","0"
"Beaconsfield","2007-03","2007","3","270"
"Elmira","2007-03","2007","3","0"
"Eptek","2007-03","2007","3","742"
"Green Park","2007-03","2007","3","0"
"Orwell","2007-03","2007","3","202"
"Acadian","2007-04","2007","4","279"
"Basin Head","2007-04","2007","4","0"
"Beaconsfield","2007-04","2007","4","222"
"Elmira","2007-04","2007","4","0"
"Eptek","2007-04","2007","4","595"
"Green Park","2007-04","2007","4","0"
"Orwell","2007-04","2007","4","107"
"Acadian","2007-05","2007","5","272"
"Basin Head","2007-05","2007","5","57"
"Beaconsfield","2007-05","2007","5","476"
"Elmira","2007-05","2007","5","73"
"Eptek","2007-05","2007","5","562"
"Green Park","2007-05","2007","5","61"
"Orwell","2007-05","2007","5","198"
"Acadian","2007-06","2007","6","547"
"Basin Head","2007-06","2007","6","1521"
"Beaconsfield","2007-06","2007","6","806"
"Elmira","2007-06","2007","6","644"
"Eptek","2007-06","2007","6","1031"
"Green Park","2007-06","2007","6","396"
"Orwell","2007-06","2007","6","1433"
"Acadian","2007-07","2007","7","1767"
"Basin Head","2007-07","2007","7","4524"
"Beaconsfield","2007-07","2007","7","1613"
"Elmira","2007-07","2007","7","2996"
"Eptek","2007-07","2007","7","3023"
"Green Park","2007-07","2007","7","1485"
"Orwell","2007-07","2007","7","2653"
"Acadian","2007-08","2007","8","2036"
"Basin Head","2007-08","2007","8","5030"
"Beaconsfield","2007-08","2007","8","2061"
"Elmira","2007-08","2007","8","3231"
"Eptek","2007-08","2007","8","2519"
"Green Park","2007-08","2007","8","3120"
"Orwell","2007-08","2007","8","3213"
"Acadian","2007-09","2007","9","843"
"Basin Head","2007-09","2007","9","2065"
"Beaconsfield","2007-09","2007","9","791"
"Elmira","2007-09","2007","9","1197"
"Eptek","2007-09","2007","9","1228"
"Green Park","2007-09","2007","9","818"
"Orwell","2007-09","2007","9","1070"
"Acadian","2007-10","2007","10","196"
"Basin Head","2007-10","2007","10","0"
"Beaconsfield","2007-10","2007","10","492"
"Elmira","2007-10","2007","10","971"
"Eptek","2007-10","2007","10","827"
"Green Park","2007-10","2007","10","0"
"Orwell","2007-10","2007","10","498"
"Acadian","2007-11","2007","11","214"
"Basin Head","2007-11","2007","11","0"
"Beaconsfield","2007-11","2007","11","393"
"Elmira","2007-11","2007","11","0"
"Eptek","2007-11","2007","11","748"
"Green Park","2007-11","2007","11","0"
"Orwell","2007-11","2007","11","96"
"Acadian","2007-12","2007","12","160"
"Basin Head","2007-12","2007","12","0"
"Beaconsfield","2007-12","2007","12","388"
"Elmira","2007-12","2007","12","0"
"Eptek","2007-12","2007","12","370"
"Green Park","2007-12","2007","12","0"
"Orwell","2007-12","2007","12","226"
"Acadian","2008-01","2008","1","32"
"Basin Head","2008-01","2008","1","0"
"Beaconsfield","2008-01","2008","1","192"
"Elmira","2008-01","2008","1","0"
"Eptek","2008-01","2008","1","517"
"Green Park","2008-01","2008","1","0"
"Orwell","2008-01","2008","1","62"
"Acadian","2008-02","2008","2","213"
"Basin Head","2008-02","2008","2","0"
"Beaconsfield","2008-02","2008","2","306"
"Elmira","2008-02","2008","2","0"
"Eptek","2008-02","2008","2","761"
"Green Park","2008-02","2008","2","0"
"Orwell","2008-02","2008","2","85"
"Acadian","2008-03","2008","3","340"
"Basin Head","2008-03","2008","3","0"
"Beaconsfield","2008-03","2008","3","232"
"Elmira","2008-03","2008","3","0"
"Eptek","2008-03","2008","3","639"
"Green Park","2008-03","2008","3","0"
"Orwell","2008-03","2008","3","238"
"Acadian","2008-04","2008","4","311"
"Basin Head","2008-04","2008","4","0"
"Beaconsfield","2008-04","2008","4","492"
"Elmira","2008-04","2008","4","0"
"Eptek","2008-04","2008","4","591"
"Green Park","2008-04","2008","4","0"
"Orwell","2008-04","2008","4","70"
"Acadian","2008-05","2008","5","244"
"Basin Head","2008-05","2008","5","220"
"Beaconsfield","2008-05","2008","5","453"
"Elmira","2008-05","2008","5","108"
"Eptek","2008-05","2008","5","898"
"Green Park","2008-05","2008","5","6"
"Orwell","2008-05","2008","5","195"
"Acadian","2008-06","2008","6","813"
"Basin Head","2008-06","2008","6","1144"
"Beaconsfield","2008-06","2008","6","839"
"Elmira","2008-06","2008","6","575"
"Eptek","2008-06","2008","6","624"
"Green Park","2008-06","2008","6","418"
"Orwell","2008-06","2008","6","1409"
"Acadian","2008-07","2008","7","2408"
"Basin Head","2008-07","2008","7","4483"
"Beaconsfield","2008-07","2008","7","2006"
"Elmira","2008-07","2008","7","1863"
"Eptek","2008-07","2008","7","1892"
"Green Park","2008-07","2008","7","1581"
"Orwell","2008-07","2008","7","2687"
"Acadian","2008-08","2008","8","2081"
"Basin Head","2008-08","2008","8","4524"
"Beaconsfield","2008-08","2008","8","2264"
"Elmira","2008-08","2008","8","2315"
"Eptek","2008-08","2008","8","2001"
"Green Park","2008-08","2008","8","2520"
"Orwell","2008-08","2008","8","2950"
"Acadian","2008-09","2008","9","1257"
"Basin Head","2008-09","2008","9","1336"
"Beaconsfield","2008-09","2008","9","1236"
"Elmira","2008-09","2008","9","522"
"Eptek","2008-09","2008","9","684"
"Green Park","2008-09","2008","9","545"
"Orwell","2008-09","2008","9","1201"
"Acadian","2008-10","2008","10","466"
"Basin Head","2008-10","2008","10","0"
"Beaconsfield","2008-10","2008","10","836"
"Elmira","2008-10","2008","10","1139"
"Eptek","2008-10","2008","10","717"
"Green Park","2008-10","2008","10","0"
"Orwell","2008-10","2008","10","281"
"Acadian","2008-11","2008","11","368"
"Basin Head","2008-11","2008","11","0"
"Beaconsfield","2008-11","2008","11","312"
"Elmira","2008-11","2008","11","0"
"Eptek","2008-11","2008","11","584"
"Green Park","2008-11","2008","11","0"
"Orwell","2008-11","2008","11","52"
"Acadian","2008-12","2008","12","229"
"Basin Head","2008-12","2008","12","0"
"Beaconsfield","2008-12","2008","12","681"
"Elmira","2008-12","2008","12","0"
"Eptek","2008-12","2008","12","348"
"Green Park","2008-12","2008","12","0"
"Orwell","2008-12","2008","12","221"
"Acadian","2009-01","2009","1","25"
"Basin Head","2009-01","2009","1","0"
"Beaconsfield","2009-01","2009","1","396"
"Elmira","2009-01","2009","1","0"
"Eptek","2009-01","2009","1","371"
"Green Park","2009-01","2009","1","0"
"Orwell","2009-01","2009","1","147"
"Acadian","2009-02","2009","2","127"
"Basin Head","2009-02","2009","2","0"
"Beaconsfield","2009-02","2009","2","391"
"Elmira","2009-02","2009","2","0"
"Eptek","2009-02","2009","2","829"
"Green Park","2009-02","2009","2","0"
"Orwell","2009-02","2009","2","192"
"Acadian","2009-03","2009","3","148"
"Basin Head","2009-03","2009","3","0"
"Beaconsfield","2009-03","2009","3","237"
"Elmira","2009-03","2009","3","0"
"Eptek","2009-03","2009","3","708"
"Green Park","2009-03","2009","3","0"
"Orwell","2009-03","2009","3","192"
"Acadian","2009-04","2009","4","250"
"Basin Head","2009-04","2009","4","0"
"Beaconsfield","2009-04","2009","4","329"
"Elmira","2009-04","2009","4","0"
"Eptek","2009-04","2009","4","543"
"Green Park","2009-04","2009","4","0"
"Orwell","2009-04","2009","4","227"
"Acadian","2009-05","2009","5","259"
"Basin Head","2009-05","2009","5","128"
"Beaconsfield","2009-05","2009","5","573"
"Elmira","2009-05","2009","5","78"
"Eptek","2009-05","2009","5","899"
"Green Park","2009-05","2009","5","60"
"Orwell","2009-05","2009","5","387"
"Acadian","2009-06","2009","6","586"
"Basin Head","2009-06","2009","6","1264"
"Beaconsfield","2009-06","2009","6","975"
"Elmira","2009-06","2009","6","685"
"Eptek","2009-06","2009","6","652"
"Green Park","2009-06","2009","6","440"
"Orwell","2009-06","2009","6","1024"
"Acadian","2009-07","2009","7","1637"
"Basin Head","2009-07","2009","7","4195"
"Beaconsfield","2009-07","2009","7","1902"
"Elmira","2009-07","2009","7","2177"
"Eptek","2009-07","2009","7","1522"
"Green Park","2009-07","2009","7","1387"
"Orwell","2009-07","2009","7","2612"
"Acadian","2009-08","2009","8","1533"
"Basin Head","2009-08","2009","8","4240"
"Beaconsfield","2009-08","2009","8","1797"
"Elmira","2009-08","2009","8","2302"
"Eptek","2009-08","2009","8","2246"
"Green Park","2009-08","2009","8","2376"
"Orwell","2009-08","2009","8","2417"
"Acadian","2009-09","2009","9","404"
"Basin Head","2009-09","2009","9","1780"
"Beaconsfield","2009-09","2009","9","1004"
"Elmira","2009-09","2009","9","591"
"Eptek","2009-09","2009","9","1078"
"Green Park","2009-09","2009","9","393"
"Orwell","2009-09","2009","9","1007"
"Acadian","2009-10","2009","10","343"
"Basin Head","2009-10","2009","10","0"
"Beaconsfield","2009-10","2009","10","904"
"Elmira","2009-10","2009","10","778"
"Eptek","2009-10","2009","10","734"
"Green Park","2009-10","2009","10","0"
"Orwell","2009-10","2009","10","756"
"Acadian","2009-11","2009","11","95"
"Basin Head","2009-11","2009","11","0"
"Beaconsfield","2009-11","2009","11","327"
"Elmira","2009-11","2009","11","0"
"Eptek","2009-11","2009","11","742"
"Green Park","2009-11","2009","11","0"
"Orwell","2009-11","2009","11","89"
"Acadian","2009-12","2009","12","143"
"Basin Head","2009-12","2009","12","0"
"Beaconsfield","2009-12","2009","12","403"
"Elmira","2009-12","2009","12","0"
"Eptek","2009-12","2009","12","292"
"Green Park","2009-12","2009","12","0"
"Orwell","2009-12","2009","12","160"
"Acadian","2010-01","2010","1","101"
"Basin Head","2010-01","2010","1","0"
"Beaconsfield","2010-01","2010","1","884"
"Elmira","2010-01","2010","1","0"
"Eptek","2010-01","2010","1","854"
"Green Park","2010-01","2010","1","0"
"Orwell","2010-01","2010","1","119"
"Acadian","2010-02","2010","2","73"
"Basin Head","2010-02","2010","2","0"
"Beaconsfield","2010-02","2010","2","445"
"Elmira","2010-02","2010","2","0"
"Eptek","2010-02","2010","2","789"
"Green Park","2010-02","2010","2","0"
"Orwell","2010-02","2010","2","318"
"Acadian","2010-03","2010","3","192"
"Basin Head","2010-03","2010","3","0"
"Beaconsfield","2010-03","2010","3","306"
"Elmira","2010-03","2010","3","0"
"Eptek","2010-03","2010","3","529"
"Green Park","2010-03","2010","3","0"
"Orwell","2010-03","2010","3","276"
"Acadian","2010-04","2010","4","34"
"Basin Head","2010-04","2010","4","0"
"Beaconsfield","2010-04","2010","4","472"
"Elmira","2010-04","2010","4","0"
"Eptek","2010-04","2010","4","691"
"Green Park","2010-04","2010","4","0"
"Orwell","2010-04","2010","4","75"
"Acadian","2010-05","2010","5","396"
"Basin Head","2010-05","2010","5","152"
"Beaconsfield","2010-05","2010","5","723"
"Elmira","2010-05","2010","5","81"
"Eptek","2010-05","2010","5","853"
"Green Park","2010-05","2010","5","49"
"Orwell","2010-05","2010","5","273"
"Acadian","2010-06","2010","6","549"
"Basin Head","2010-06","2010","6","1421"
"Beaconsfield","2010-06","2010","6","1138"
"Elmira","2010-06","2010","6","380"
"Eptek","2010-06","2010","6","710"
"Green Park","2010-06","2010","6","499"
"Orwell","2010-06","2010","6","1073"
"Acadian","2010-07","2010","7","1683"
"Basin Head","2010-07","2010","7","4652"
"Beaconsfield","2010-07","2010","7","2245"
"Elmira","2010-07","2010","7","2778"
"Eptek","2010-07","2010","7","3233"
"Green Park","2010-07","2010","7","1223"
"Orwell","2010-07","2010","7","2408"
"Acadian","2010-08","2010","8","1755"
"Basin Head","2010-08","2010","8","8339"
"Beaconsfield","2010-08","2010","8","2504"
"Elmira","2010-08","2010","8","2528"
"Eptek","2010-08","2010","8","3602"
"Green Park","2010-08","2010","8","2130"
"Orwell","2010-08","2010","8","3255"
"Acadian","2010-09","2010","9","566"
"Basin Head","2010-09","2010","9","1391"
"Beaconsfield","2010-09","2010","9","1272"
"Elmira","2010-09","2010","9","430"
"Eptek","2010-09","2010","9","1187"
"Green Park","2010-09","2010","9","745"
"Orwell","2010-09","2010","9","953"
"Acadian","2010-10","2010","10","356"
"Basin Head","2010-10","2010","10","21"
"Beaconsfield","2010-10","2010","10","1185"
"Elmira","2010-10","2010","10","874"
"Eptek","2010-10","2010","10","743"
"Green Park","2010-10","2010","10","0"
"Orwell","2010-10","2010","10","676"
"Acadian","2010-11","2010","11","173"
"Basin Head","2010-11","2010","11","0"
"Beaconsfield","2010-11","2010","11","585"
"Elmira","2010-11","2010","11","0"
"Eptek","2010-11","2010","11","742"
"Green Park","2010-11","2010","11","0"
"Orwell","2010-11","2010","11","156"
"Acadian","2010-12","2010","12","293"
"Basin Head","2010-12","2010","12","0"
"Beaconsfield","2010-12","2010","12","295"
"Elmira","2010-12","2010","12","0"
"Eptek","2010-12","2010","12","362"
"Green Park","2010-12","2010","12","0"
"Orwell","2010-12","2010","12","318"
"Acadian","2011-01","2011","1","132"
"Basin Head","2011-01","2011","1","0"
"Beaconsfield","2011-01","2011","1","435"
"Elmira","2011-01","2011","1","0"
"Eptek","2011-01","2011","1","402"
"Green Park","2011-01","2011","1","0"
"Orwell","2011-01","2011","1","103"
"Acadian","2011-02","2011","2","51"
"Basin Head","2011-02","2011","2","0"
"Beaconsfield","2011-02","2011","2","213"
"Elmira","2011-02","2011","2","0"
"Eptek","2011-02","2011","2","534"
"Green Park","2011-02","2011","2","0"
"Orwell","2011-02","2011","2","135"
"Acadian","2011-03","2011","3","143"
"Basin Head","2011-03","2011","3","0"
"Beaconsfield","2011-03","2011","3","355"
"Elmira","2011-03","2011","3","0"
"Eptek","2011-03","2011","3","798"
"Green Park","2011-03","2011","3","0"
"Orwell","2011-03","2011","3","209"
"Acadian","2011-04","2011","4","132"
"Basin Head","2011-04","2011","4","0"
"Beaconsfield","2011-04","2011","4","289"
"Elmira","2011-04","2011","4","0"
"Eptek","2011-04","2011","4","916"
"Green Park","2011-04","2011","4","0"
"Orwell","2011-04","2011","4","63"
"Acadian","2011-05","2011","5","281"
"Basin Head","2011-05","2011","5","122"
"Beaconsfield","2011-05","2011","5","600"
"Elmira","2011-05","2011","5","105"
"Eptek","2011-05","2011","5","773"
"Green Park","2011-05","2011","5","52"
"Orwell","2011-05","2011","5","86"
"Acadian","2011-06","2011","6","446"
"Basin Head","2011-06","2011","6","1203"
"Beaconsfield","2011-06","2011","6","1342"
"Elmira","2011-06","2011","6","586"
"Eptek","2011-06","2011","6","984"
"Green Park","2011-06","2011","6","331"
"Orwell","2011-06","2011","6","938"
"Acadian","2011-07","2011","7","1717"
"Basin Head","2011-07","2011","7","6010"
"Beaconsfield","2011-07","2011","7","2374"
"Elmira","2011-07","2011","7","3034"
"Eptek","2011-07","2011","7","4541"
"Green Park","2011-07","2011","7","1136"
"Orwell","2011-07","2011","7","2701"
"Acadian","2011-08","2011","8","1613"
"Basin Head","2011-08","2011","8","6487"
"Beaconsfield","2011-08","2011","8","2937"
"Elmira","2011-08","2011","8","2575"
"Eptek","2011-08","2011","8","3850"
"Green Park","2011-08","2011","8","2507"
"Orwell","2011-08","2011","8","2621"
"Acadian","2011-09","2011","9","491"
"Basin Head","2011-09","2011","9","1696"
"Beaconsfield","2011-09","2011","9","1303"
"Elmira","2011-09","2011","9","705"
"Eptek","2011-09","2011","9","1285"
"Green Park","2011-09","2011","9","260"
"Orwell","2011-09","2011","9","1056"
"Acadian","2011-10","2011","10","151"
"Basin Head","2011-10","2011","10","0"
"Beaconsfield","2011-10","2011","10","939"
"Elmira","2011-10","2011","10","507"
"Eptek","2011-10","2011","10","645"
"Green Park","2011-10","2011","10","0"
"Orwell","2011-10","2011","10","208"
"Acadian","2011-11","2011","11","160"
"Basin Head","2011-11","2011","11","0"
"Beaconsfield","2011-11","2011","11","359"
"Elmira","2011-11","2011","11","0"
"Eptek","2011-11","2011","11","1012"
"Green Park","2011-11","2011","11","0"
"Orwell","2011-11","2011","11","125"
"Acadian","2011-12","2011","12","276"
"Basin Head","2011-12","2011","12","0"
"Beaconsfield","2011-12","2011","12","532"
"Elmira","2011-12","2011","12","0"
"Eptek","2011-12","2011","12","361"
"Green Park","2011-12","2011","12","0"
"Orwell","2011-12","2011","12","90"
"Acadian","2012-01","2012","1","75"
"Basin Head","2012-01","2012","1","0"
"Beaconsfield","2012-01","2012","1","339"
"Elmira","2012-01","2012","1","0"
"Eptek","2012-01","2012","1","520"
"Green Park","2012-01","2012","1","0"
"Orwell","2012-01","2012","1","165"
"Acadian","2012-02","2012","2","134"
"Basin Head","2012-02","2012","2","0"
"Beaconsfield","2012-02","2012","2","111"
"Elmira","2012-02","2012","2","0"
"Eptek","2012-02","2012","2","745"
"Green Park","2012-02","2012","2","0"
"Orwell","2012-02","2012","2","152"
"Acadian","2012-03","2012","3","111"
"Basin Head","2012-03","2012","3","0"
"Beaconsfield","2012-03","2012","3","215"
"Elmira","2012-03","2012","3","0"
"Eptek","2012-03","2012","3","787"
"Green Park","2012-03","2012","3","0"
"Orwell","2012-03","2012","3","245"
"Acadian","2012-04","2012","4","232"
"Basin Head","2012-04","2012","4","0"
"Beaconsfield","2012-04","2012","4","349"
"Elmira","2012-04","2012","4","0"
"Eptek","2012-04","2012","4","832"
"Green Park","2012-04","2012","4","0"
"Orwell","2012-04","2012","4","152"
"Acadian","2012-05","2012","5","267"
"Basin Head","2012-05","2012","5","184"
"Beaconsfield","2012-05","2012","5","794"
"Elmira","2012-05","2012","5","31"
"Eptek","2012-05","2012","5","586"
