"fiscal_year","license_class","license_class_number","license_class_description","number_of_licenses"
"2011-2012","CLASS 5 - Car, light truck","5","Car, light truck","88180"
"2011-2012","CLASS 6 - Motorcycle","6","Motorcycle","9636"
"2011-2012","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","3029"
"2011-2012","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2011-2012","CLASS 9 - Farm Tractor","9","Farm Tractor","44"
"2012-2013","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4209"
"2012-2013","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1043"
"2012-2013","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","5277"
"2012-2013","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2800"
"2012-2013","CLASS 5 - Car, light truck","5","Car, light truck","90437"
"2012-2013","CLASS 6 - Motorcycle","6","Motorcycle","10139"
"2012-2013","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2943"
"2012-2013","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2012-2013","CLASS 9 - Farm Tractor","9","Farm Tractor","27"
"2013-2014","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4201"
"2013-2014","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1029"
"2013-2014","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4989"
"2013-2014","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2738"
"2013-2014","CLASS 5 - Car, light truck","5","Car, light truck","91197"
"2013-2014","CLASS 6 - Motorcycle","6","Motorcycle","10453"
"2013-2014","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2839"
"2013-2014","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","4"
"2013-2014","CLASS 9 - Farm Tractor","9","Farm Tractor","33"
"2014-2015","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4147"
"2014-2015","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1044"
"2014-2015","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4621"
"2014-2015","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2645"
"2014-2015","CLASS 5 - Car, light truck","5","Car, light truck","91210"
"2014-2015","CLASS 6 - Motorcycle","6","Motorcycle","10600"
"2014-2015","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","2900"
"2014-2015","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","3"
"2014-2015","CLASS 9 - Farm Tractor","9","Farm Tractor","34"
"2015-2016","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4167"
"2015-2016","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1089"
"2015-2016","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4438"
"2015-2016","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2514"
"2015-2016","CLASS 5 - Car, light truck","5","Car, light truck","92146"
"2015-2016","CLASS 6 - Motorcycle","6","Motorcycle","10901"
"2015-2016","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","3011"
"2015-2016","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","3"
"2015-2016","CLASS 9 - Farm Tractor","9","Farm Tractor","35"
"2016-2017","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4334"
"2016-2017","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1105"
"2016-2017","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4255"
"2016-2017","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2443"
"2016-2017","CLASS 5 - Car, light truck","5","Car, light truck","94391"
"2016-2017","CLASS 6 - Motorcycle","6","Motorcycle","11173"
"2016-2017","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","3062"
"2016-2017","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","2"
"2016-2017","CLASS 9 - Farm Tractor","9","Farm Tractor","37"
"2017-2018","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4266"
"2017-2018","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1128"
"2017-2018","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4144"
"2017-2018","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2379"
"2017-2018","CLASS 5 - Car, light truck","5","Car, light truck","96142"
"2017-2018","CLASS 6 - Motorcycle","6","Motorcycle","11356"
"2017-2018","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","3176"
"2017-2018","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","3"
"2017-2018","CLASS 9 - Farm Tractor","9","Farm Tractor","27"
"2018-2019","CLASS 1 - Tractor Trailers","1","Tractor Trailers","4361"
"2018-2019","CLASS 2 - Bus for more than 24 passengers including School Bus","2","Bus for more than 24 passengers including School Bus","1136"
"2018-2019","CLASS 3 - Trucks over 14,000 kgs","3","Trucks over 14,000 kgs","4092"
"2018-2019","CLASS 4 - Ambulance, Bus, Taxi for less than 24 passengers","4","Ambulance, Bus, Taxi for less than 24 passengers","2401"
"2018-2019","CLASS 5 - Car, light truck","5","Car, light truck","98485"
"2018-2019","CLASS 6 - Motorcycle","6","Motorcycle","11658"
"2018-2019","CLASS 7 - Beginner's Instruction Permit","7","Beginner's Instruction Permit","3326"
"2018-2019","CLASS 8 - Moped or motor-assisted pedal bicycle","8","Moped or motor-assisted pedal bicycle","3"
"2018-2019","CLASS 9 - Farm Tractor","9","Farm Tractor","25"
