"alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript"
"04:22:51","2017-02-23T00:00:00.000","17-0054006","10","41406","55",,"BOND","ST",,,,,,"Hartford","CT","06114","41.744562","-72.675088","N","B","1","1","111","Building fire"
"17:21:27","2018-07-18T00:00:00.000","18-0199072","16","05409","15",,"WOODSTOCK","ST",,,,,,"Hartford","CT","06112","41.7994","-72.6906","N","A","1","1","111","Building fire"
"12:53:22","2016-01-14T00:00:00.000","16-0014029","09","37475","84",,"AMHERST","ST",,,,,,"Hartford","CT","06114","41.727338","-72.695013","N","A","1","1","111","Building fire"
"12:54:58","2017-02-24T00:00:00.000","17-0055048","08","34044","45",,"ALLEN","PL",,,,,,"Hartford","CT","06106","41.7522","-72.6855","N","D","1","1","118","Trash or rubbish fire, contained"
"18:07:38","2017-02-24T00:00:00.000","17-0055082","10","42043","300",,"MAXIM","RD",,,,,,"Hartford","CT","06114","41.7463","-72.6483","N","D","1","1","118","Trash or rubbish fire, contained"
"18:11:07","2016-01-17T00:00:00.000","16-0017041","10","30977","16",,"COWLES","ST",,,,,,"Hartford","CT","06114","41.733026","-72.677163","N","D","1","1","111","Building fire"
"14:46:16","2016-01-16T00:00:00.000","16-0016032","11","09383","62",,"KENYON","ST",,,,,,"Hartford","CT","06105","41.768424","-72.710259","N","C","1","1","111","Building fire"
"12:56:48","2016-01-20T00:00:00.000","16-0020021","05","19893","166",,"COLLINS","ST",,,,,,"Hartford","CT","06105","41.772611","-72.690611","N","C","1","1","113","Cooking fire, confined to container"
"07:00:00","2016-01-21T00:00:00.000","16-0021014","07","06774","110",,"CLARK","ST",,,,,,"Hartford","CT","06120","41.7878","-72.67754","N","C","1","1","118","Trash or rubbish fire, contained"
"19:12:18","2016-01-21T00:00:00.000","16-0021053","05","16833","10",,"WOODSIDE","CIR",,,,,,"Hartford","CT","06105","41.7756","-72.703767","N","D","1","3","116","Fuel burner/boiler malfunction, fire confined"
"20:19:20","2017-02-24T00:00:00.000","17-0055086","15","39108","452",,"HILLSIDE","AV",,,,,,"Hartford","CT","06106","41.73836","-72.69734","N","D","1","1","111","Building fire"
"21:12:05","2016-01-21T00:00:00.000","16-0021061","14","13553","390",,"WOODLAND","ST",,,,,,"Hartford","CT","06112","41.779612","-72.697532","N","D","1","1","111","Building fire"
"09:23:14","2016-01-22T00:00:00.000","16-0022018","14","13664","1125",,"ALBANY","AV",,,,,,"Hartford","CT","06112","41.781714","-72.695252","N","A","1","1","111","Building fire"
"16:43:33","2016-01-24T00:00:00.000","16-0024039","08",,"186",,"PUTNAM","ST",,,,,,"Hartford","CT","06106","41.760545","-72.690645","N","C","1","1","111","Building fire"
