"month_reported","state","make","model","color","year","last_inspection_month","number_of_trips","multiple_tnps"
"2022-06","IL","Toyota","4runner","White","2021","2021-08","210","false"
"2022-06","IL","Nissan","Versa","Blue","2018","2020-11","14","false"
"2022-06","IL","Toyota","Prius","White","2015","2022-05","0","false"
"2022-06","NJ","Hyundai","Kona","Black","2021","2021-10","135","false"
"2022-06","IN","Jeep","Renegade","Silver","2018","2021-12","1","false"
"2022-06","IL","Ford","Fusion Hybrid","Silver","2011","2022-02","96","false"
"2022-06","IL","Chevrolet","Malibu","Black","2015","2022-06","139","false"
"2022-06","IL","Toyota","Camry","Silver","2007","2022-04","0","false"
"2022-06","IL","Hyundai","Elantra","Black","2019","2021-07","99","false"
"2022-06","IL","Gmc","Yukon","Green","2007","2021-08","313","false"
"2022-06","IL","Toyota","Sienna","Blue","2012","2022-01","14","false"
"2022-06","IL","Kia","Sportage","Silver","2014","2021-07","105","false"
"2022-06","IL","Bmw","6 Series","White","2018","2021-09","2","false"
"2022-06","IL","Ford","Fusion","Silver","2013","2021-10","0","false"
"2022-06","IL","Kia","Sorento","Silver","2012","2021-07","62","false"
"2022-06","IL","Nissan","Sentra","Red","2019","2022-01","0","true"
"2022-06","IL","Chrysler","200","White","2015","2021-12","0","false"
"2022-06","IL","Acura","Mdx","Black","2019","2022-06","80","true"
"2022-06","IL","Toyota","C-Hr","Blue","2020","2022-06","7","false"
"2022-06","IL","Toyota","Sienna","Silver","2014","2022-02","428","false"
"2022-06","IL","Honda","Accord","Black","2019","2022-05","0","false"
"2022-06","IL","Volkswagen","Passat","Silver","2013","2022-05","61","false"
"2022-06","IL","Lexus","Gx","Silver","2019","2021-11","0","false"
"2022-06","IL","Toyota","Prius","Black","2016","2021-08","159","false"
"2022-06","IL","Toyota","Rav4","Black","2015","2022-01","8","true"
"2022-06","IL","Mitsubishi","Outlander","Silver","2017","2022-03","45","false"
"2022-06","IL","Honda","Civic","Black","2021","2022-04","235","false"
"2022-06","IL","Ford","C-Max","Black","2013","2022-05","608","true"
"2022-06","IL","Toyota","Camry","Gray","2019","2021-11","81","false"
"2022-06","IL","Toyota","Camry","Gray","2011","2022-06","179","false"
"2022-06","IL","Kia","Sorento","Purple","2011","2021-09","0","false"
"2022-06","IL","Honda","Accord","Gray","2012","2021-12","0","false"
"2022-06","IL","Kia","K5","Gold","2022","2021-09","0","false"
"2022-06","IL","Toyota","Rav4","Black","2014","2021-09","0","false"
"2022-06","IL","Toyota","Camry","Purple","2014","2022-06","0","false"
"2022-06","IL","Honda","Pilot","Black","2019","2021-08","0","false"
"2022-06","IL","Kia","Forte","Black","2022","2022-05","14","true"
"2022-06","IL","Kia","Optima Hybrid","Burgundy","2018","2021-09","0","false"
"2022-06","IL","Toyota","Corolla","White","2019","2022-06","896","true"
"2022-06","IL","Chevrolet","Malibu","Blue","2019","2021-07","14","false"
"2022-06","IL","Kia","Forte","Blue","2015","2022-02","0","true"
"2022-06","PA","Mazda","Cx-5","Red","2018","2022-04","7","false"
"2022-06","IL","Toyota","Camry Hybrid","Silver","2007","2021-11","193","false"
"2022-06","IL","Jeep","Renegade","Black","2020","2021-09","0","false"
"2022-06","IL","Fiat","500x","Black","2016","2021-09","143","false"
"2022-06","IL","Honda","Hr-V","Silver","2018","2022-03","0","false"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2022-06","83","false"
"2022-06","IL","Kia","K5","Silver","2021","2022-03","0","false"
"2022-06","IL","Toyota","Camry","Gray","2007","2021-10","270","false"
"2022-06","IL","Toyota","Corolla","Black","2017","2021-11","37","false"
"2022-06","IL","Toyota","Camry Hybrid","Silver","2022","2022-04","24","true"
"2022-06","IL","Chevrolet","Traverse","White","2018","2022-05","181","false"
"2022-06","IL","Bmw","3-Series","Black","2016","2022-06","1","false"
"2022-06","IL","Toyota","Camry","Black","2013","2021-07","123","false"
"2022-06","IL","Hyundai","Elantra","Black","2013","2021-10","819","true"
"2022-06","IL","Mercury","Milan","Silver","2010","2022-06","0","false"
"2022-06","IL","Ford","F-150","Red","2019","2022-02","13","false"
"2022-06","IL","Volvo","Xc70","Silver","2012","2022-06","0","false"
"2022-06","IL","Nissan","Altima","Silver","2012","2021-07","9","false"
"2022-06","IL","Toyota","Camry","Silver","2016","2022-06","8","false"
"2022-06","IL","Lexus","Rx L","Black","2018","2021-09","724","false"
"2022-06","IL","Toyota","Rav4","Silver","2017","2022-04","29","false"
"2022-06","IL","Ford","Taurus","Gray","2015","2021-11","20","false"
"2022-06","IL","Nissan","Rogue Sport","Black","2021","2021-07","0","false"
"2022-06","IN","Toyota","Prius V","Silver","2012","2022-06","0","false"
"2022-06","IL","Toyota","Camry","Black","2015","2022-01","104","false"
"2022-06","IL","Chevrolet","Equinox","Gray","2021","2022-06","231","false"
"2022-06","IL","Toyota","Rav4 Hybrid","Silver","2018","2022-01","70","false"
"2022-06","IL","Toyota","Camry","Black","2018","2021-09","0","false"
"2022-06","IL","Ford","C-Max Energi","Silver","2013","2022-03","874","false"
