"rpmainid","stop_date","stop_time","day_of_the_week","age","race","sex","street_number","street_name","police_beat"
"81343","2021-12-08T00:00:00.000","1134","Wed","48","Black","Female","7500","N RIDGE BLVD",
"81345","2021-12-08T00:00:00.000","1232","Wed","60","White","Male","300","SHERIDAN RD",
"81351","2021-12-08T00:00:00.000","922","Wed","45","White","Female",,"N SHERIDAN RD/W JARVIS AV",
"81335","2021-12-08T00:00:00.000","916","Wed","26","White","Male","500","SHERIDAN RD",
"81355","2021-12-08T00:00:00.000","1017","Wed","32","Asian","Female","700","RIDGE AV/MADISON ST","72"
"81359","2021-12-08T00:00:00.000","1852","Wed","54","Black","Female",,"MAIN/MCCORMICK",
"81338","2021-12-08T00:00:00.000","1125","Wed","41","Black","Male","100","RIDGE AV",
"81346","2021-12-08T00:00:00.000","1240","Wed","22","White","Female","1400","W HOWARD ST",
"81356","2021-12-08T00:00:00.000","1109","Wed","47","Asian","Female","100","SHERIDAN RD","72"
"81347","2021-12-08T00:00:00.000","1214","Wed","41","White","Male","1800","MAPLE AV/CLARK ST","76"
"81352","2021-12-08T00:00:00.000","933","Wed","58","White","Male","500","CHICAGO AV/SOUTH BL","72"
"81384","2021-12-08T00:00:00.000","2225","Wed","30","Black","Female","800","DODGE AV","71"
"81330","2021-12-08T00:00:00.000","816","Wed","49",,"Male","800","CHICAGO AV","72"
"81331","2021-12-08T00:00:00.000","845","Wed","46","Asian","Male","500","SHERIDAN RD",
"81333","2021-12-07T00:00:00.000","1612","Tue","17","White","Female","7600","N SHERIDAN RD",
"81329","2021-12-07T00:00:00.000","1628","Tue","41","White","Male","500","SHERIDAN RD",
"81328","2021-12-07T00:00:00.000","1540","Tue","24","White","Male","400","SHERIDAN RD",
"81332","2021-12-07T00:00:00.000","1559","Tue","26","Black","Male","400","SHERIDAN RD",
"81334","2021-12-07T00:00:00.000","1641","Tue","22","White","Male","500","SHERIDAN RD",
"81326","2021-12-07T00:00:00.000","846","Tue","25","White","Male","700","LAKE ST/SHERMAN AV","73"
"81321","2021-12-06T00:00:00.000","1612","Mon","24","White","Female","1200","GREENWOOD ST/RIDGE AV","73"
"81323","2021-12-06T00:00:00.000","1446","Mon","40","Hispanic","Male","600","SHERIDAN RD/KEENEY ST","72"
"81324","2021-12-06T00:00:00.000","1518","Mon","54","Asian","Male","200","SOUTH BL/MICHIGAN AV","72"
"81312","2021-12-06T00:00:00.000","837","Mon","31","Hispanic","Male","800","DODGE AV/WASHINGTON ST","71"
"81319","2021-12-06T00:00:00.000","1415","Mon","65","White","Male","700","GROVE ST/SHERMAN AV","73"
"81325","2021-12-06T00:00:00.000","1555","Mon","57","White","Male","900","RIDGE AV/MAIN ST","72"
"81322","2021-12-06T00:00:00.000","1656","Mon","52","White","Male","2600","CRAWFORD AV/CENTRAL ST","75"
"81318","2021-12-06T00:00:00.000","1210","Mon","32","Black","Female","1300","HOWARD ST/ASBURY AV",
"81327","2021-12-06T00:00:00.000","1433","Mon","20","White","Female","500","SHERIDAN RD/SHERIDAN SQ","72"
"81320","2021-12-06T00:00:00.000","1459","Mon","58","White","Female",,"N SHERIDAN RD/W JARVIS AV",
"81317","2021-12-05T00:00:00.000","1806","Sun","16","Asian","Male","1700","ASHLAND AV/CHURCH ST","74"
"81316","2021-12-04T00:00:00.000","1720","Sat","35","Black","Male","900","DODGE AV","74"
"81311","2021-12-04T00:00:00.000","1126","Sat","39","Asian","Male","600","KEENEY ST/CHICAGO AV","72"
"81314","2021-12-04T00:00:00.000","1048","Sat","39","White","Male","1900","EMERSON ST/DODGE AV","77"
"81315","2021-12-04T00:00:00.000","1711","Sat","60","White","Female","1900","WASHINGTON ST/DODGE AV","71"
"81313","2021-12-03T00:00:00.000","2104","Fri","32","Black","Female","2100","GREEN BAY RD/SIMPSON ST","76"
"81309","2021-12-03T00:00:00.000","1550","Fri","57","White","Male",,"SOUTH BL/HINMAN AV",
"81307","2021-12-03T00:00:00.000","823","Fri","46","White","Male","3300","GOLF RD",
"81308","2021-12-03T00:00:00.000","832","Fri","64","Black","Male","3300","GOLF RD",
"81310","2021-12-03T00:00:00.000","1640","Fri","38","Asian","Female","1900","GREEN BAY RD/ASBURY AV","77"
"81306","2021-12-02T00:00:00.000","2313","Thu","32","White","Male","1900","ASBURY AV/EMERSON ST","77"
"81305","2021-12-02T00:00:00.000","1828","Thu","22","Black","Female","1400","SOUTH BL/WESLEY AV","71"
"81304","2021-12-02T00:00:00.000","1308","Thu","24","Black","Female","2200","JACKSON AV/PAYNE ST","77"
"81296","2021-12-01T00:00:00.000","2346","Wed","21","Black","Male","2000","GREEN BAY RD","77"
"81298","2021-12-01T00:00:00.000","1347","Wed","74","White","Female","2300","GREEN BAY RD/MCCORMICK BL","75"
"81295","2021-12-01T00:00:00.000","2029","Wed","21","Hispanic","Male",,"GOLF RD/KEDVALE AV",
"81290","2021-12-01T00:00:00.000","828","Wed","16","White","Male","700","RIDGE AV","71"
"81297","2021-12-01T00:00:00.000","1523","Wed","24","White","Female","7500","N SHERIDAN RD",
"81294","2021-12-01T00:00:00.000","1352","Wed","36","White","Female","2200","GREEN BAY RD",
"81289","2021-12-01T00:00:00.000","708","Wed","24","Hispanic","Female","500","RIDGE AV",
"81291","2021-12-01T00:00:00.000","1215","Wed","54","Hispanic","Female","1400","ASBURY AV",
"81299","2021-12-01T00:00:00.000","1402","Wed","21","Asian","Male","2000","GREEN BAY RD",
"81303","2021-12-01T00:00:00.000","1813","Wed","36","White","Female","100","CHICAGO AV/HOWARD ST",
"81293","2021-12-01T00:00:00.000","1331","Wed","33","White","Male","1900","GREEN BAY RD/ASBURY AV","77"
"81301","2021-12-01T00:00:00.000","1540","Wed","21","Hispanic","Male","7700","N SHERIDAN RD",
"81292","2021-12-01T00:00:00.000","1318","Wed","74","White","Male","1300","EMERSON ST",
"81300","2021-12-01T00:00:00.000","1506","Wed","32","Hispanic","Male","500","SHERIDAN RD",
"81302","2021-12-01T00:00:00.000","1619","Wed","30","White","Female","800","MAIN ST","72"
"81267","2021-11-30T00:00:00.000","730","Tue","33","Black","Female","1000","MAIN ST",
"81266","2021-11-30T00:00:00.000","717","Tue","58","White","Female","500","RIDGE AV",
"81287","2021-11-30T00:00:00.000","1218","Tue","54","White","Male","1600","OAK AV/DAVIS ST","73"
"81282","2021-11-30T00:00:00.000","1117","Tue","85","White","Female","2100","SIMPSON ST",
"81284","2021-11-30T00:00:00.000","1144","Tue","43","White","Male","1600","MCCORMICK BL/GREEN BAY RD","75"
"81286","2021-11-30T00:00:00.000","1206","Tue","77","White","Male","1900","ASBURY AV","77"
"81280","2021-11-30T00:00:00.000","1102","Tue","20","White","Female","2400","ASBURY AV/LINCOLN ST","75"
"81278","2021-11-30T00:00:00.000","1031","Tue","20","White","Female","1300","ASBURY AV",
"81276","2021-11-30T00:00:00.000","1033","Tue","46","White","Female","1300","FOSTER ST/GREEN BAY RD","77"
"81285","2021-11-30T00:00:00.000","1151","Tue","41","Black","Male","1200","EMERSON ST",
"81272","2021-11-30T00:00:00.000","841","Tue","35","White","Female","1500","PAYNE ST/JACKSON AV","77"
"81277","2021-11-30T00:00:00.000","925","Tue","35","Black","Male","1300","EMERSON ST/ASBURY AV","77"
"81273","2021-11-30T00:00:00.000","850","Tue","35","White","Female","1900","ASBURY AV",
"81271","2021-11-30T00:00:00.000","740","Tue","32","Hispanic","Male","1100","LEE ST",
"81279","2021-11-30T00:00:00.000","1050","Tue","60","White","Male","2400","ASBURY AV/LINCOLN ST","75"
"81288","2021-11-30T00:00:00.000","1957","Tue","20","Hispanic","Male","700","DODGE AV",
"81283","2021-11-30T00:00:00.000","1126","Tue","54","White","Female","1900","ASBURY AV",
"81275","2021-11-30T00:00:00.000","658","Tue","67","Black","Male","700","RIDGE AV",
"81281","2021-11-30T00:00:00.000","1101","Tue","61","White","Female","1400","PAYNE ST",
"81274","2021-11-30T00:00:00.000","856","Tue","54","Asian","Male","2000","GREEN BAY RD","76"
"81270","2021-11-29T00:00:00.000","2248","Mon","36","Hispanic","Male","1900","GREEN BAY RD","76"
"81269","2021-11-29T00:00:00.000","1720","Mon","39","White","Female","1100","CHURCH ST","76"
"81268","2021-11-29T00:00:00.000","1046","Mon","42","White","Female","1700","CHICAGO AV",
"81262","2021-11-29T00:00:00.000","1024","Mon","46","White","Female","100","CUSTER AV/HOWARD ST","78"
"81250","2021-11-28T00:00:00.000","1134","Sun","51","Hispanic","Male","500","WESLEY AV/OAKTON ST","71"
"81251","2021-11-28T00:00:00.000","1214","Sun","32","Black","Male","1100","WASHINGTON ST/RIDGE AV","72"
"81257","2021-11-28T00:00:00.000","1144","Sun","30","Black","Female",,"N WESTERN AV/W HOWARD ST",
"81234","2021-11-28T00:00:00.000","1051","Sun","30","Hispanic","Male",,"RIDGE AV/AUSTIN ST","78"
"81232","2021-11-28T00:00:00.000","1946","Sun","61","Black","Male","1900","GREEN BAY RD/EMERSON ST","77"
"81259","2021-11-28T00:00:00.000","1019","Sun","42","White","Male","1000","CHICAGO AV/LEE ST","72"
"81258","2021-11-28T00:00:00.000","1336","Sun","60","Black","Male","600","ASBURY AV/CLEVELAND ST","71"
"81249","2021-11-28T00:00:00.000","1206","Sun","42","Hispanic","Male","100","ASBURY AV/HOWARD ST","71"
"81226","2021-11-28T00:00:00.000","939","Sun","62","White","Female","1600","CHURCH ST/FLORENCE AV","77"
"81231","2021-11-28T00:00:00.000","1647","Sun","25","Black","Female","1100","MAIN ST/RIDGE AV","72"
"81225","2021-11-28T00:00:00.000","1124","Sun","52","Black","Male",,"W HOWARD ST/N WESTERN AV",
"81229","2021-11-28T00:00:00.000","1243","Sun","75","White","Male","900","DAVIS ST/BENSON AV","73"
"81230","2021-11-28T00:00:00.000","1626","Sun","23","Hispanic","Female","1200","RIDGE AV","73"
"81228","2021-11-28T00:00:00.000","1040","Sun","68","Black","Male","1600","OAKTON ST/FLORENCE AV","71"
"81227","2021-11-28T00:00:00.000","956","Sun","27","Black","Female","600","RIDGE AV/REBA PL","71"
"81221","2021-11-27T00:00:00.000","1529","Sat","67","White","Female","1900","CENTRAL ST",
"81222","2021-11-27T00:00:00.000","1605","Sat","32","Black","Male","1900","HARRISON ST",
"81223","2021-11-27T00:00:00.000","1640","Sat","29","Black","Female","1500","RIDGE AV",
"81219","2021-11-27T00:00:00.000","1128","Sat","49","Asian","Male","1100","GREENLEAF ST",
"81218","2021-11-27T00:00:00.000","1116","Sat","53","White","Female","1200","HINMAN AV",
"81220","2021-11-27T00:00:00.000","1516","Sat","18","Black","Male","1900","HARRISON ST",
"81224","2021-11-27T00:00:00.000","1749","Sat","30","Black","Female",,"W HOWARD ST/N WESTERN AV",
"81247","2021-11-27T00:00:00.000","1618","Sat","37","White","Male","1800","RIDGE AV/CLARK ST",
"81244","2021-11-27T00:00:00.000","1540","Sat","20","Asian","Female","1900","HARRISON ST",
"81261","2021-11-27T00:00:00.000","1801","Sat","31","White","Male","200","ASBURY AV/BRUMMEL ST",
"81243","2021-11-27T00:00:00.000","1051","Sat","29","Asian","Male","1400","ASBURY AV",
"81260","2021-11-27T00:00:00.000","1624","Sat","56","Asian","Male","2100","CENTRAL ST",
"81233","2021-11-27T00:00:00.000","1149","Sat","33","Hispanic","Female","1100","MAIN ST",
"81236","2021-11-27T00:00:00.000","1516","Sat","56","White","Male","1800","CHURCH ST/DARROW AV",
"81256","2021-11-27T00:00:00.000","1551","Sat","35","White","Male","2600","GREEN BAY RD",
"81246","2021-11-27T00:00:00.000","1825","Sat","60","Hispanic","Male","2000","BRIDGE ST/MCCORMICK BL",
"81255","2021-11-26T00:00:00.000","744","Fri","49","Hispanic","Male","2700","W HOWARD ST",
"81263","2021-11-26T00:00:00.000","1544","Fri","26","White","Male","600","SHERIDAN RD/KEENEY ST","72"
"81265","2021-11-26T00:00:00.000","1308","Fri","85","White","Female","1900","RIDGE AV/EMERSON ST","77"
"81248","2021-11-26T00:00:00.000","1011","Fri","36","White","Female",,"CHURCH/MCCORMICK",
"81254","2021-11-26T00:00:00.000","737","Fri","46","Hispanic","Male","2700","W HOWARD ST",
"81242","2021-11-26T00:00:00.000","705","Fri","52","Hispanic","Male","2400","HOWARD ST",
"81264","2021-11-26T00:00:00.000","1047","Fri","58","Black","Female","1500","SHERMAN AV/GROVE ST","73"
"81253","2021-11-26T00:00:00.000","723","Fri","66","Asian","Male","7500","N ROCKWELL ST",
"81212","2021-11-26T00:00:00.000","930","Fri","32","Black","Male","1400","CHICAGO AV/GREENWOOD ST","73"
"81214","2021-11-26T00:00:00.000","1140","Fri","57","White","Male","2500","GROSS POINT RD/HARRISON ST","75"
"81217","2021-11-26T00:00:00.000","1315","Fri","61","White","Female","1400","RIDGE AV","74"
"81211","2021-11-26T00:00:00.000","642","Fri","57","Black","Male","7500","N CLARK ST",
"81216","2021-11-26T00:00:00.000","1300","Fri","38","White","Male","1800","RIDGE AV/CLARK ST","76"
"81213","2021-11-26T00:00:00.000","939","Fri","63","White","Male","700","CUSTER AV/MADISON ST","72"
"81215","2021-11-26T00:00:00.000","1150","Fri","65","White","Male","2400","CRAWFORD AV/COLFAX ST","75"
"81252","2021-11-25T00:00:00.000","7","Thu","23","Black","Male","1600","FOSTER ST/ASHLAND AV","77"
"81235","2021-11-24T00:00:00.000","830","Wed","33","Asian","Male","2400","ASBURY AV",
"81237","2021-11-24T00:00:00.000","729","Wed","19","White","Male","1200","LINCOLN ST",
"81245","2021-11-24T00:00:00.000","846","Wed","22","Black","Male","1200","LINCOLN ST",
"81239","2021-11-24T00:00:00.000","915","Wed","54","White","Male","1300","HOWARD ST/ASBURY AV",
"81240","2021-11-24T00:00:00.000","1238","Wed","72","White","Female","1200","GROVE ST","74"
"81207","2021-11-24T00:00:00.000","810","Wed","71","White","Male","1200","LINCOLN ST",
"81241","2021-11-24T00:00:00.000","739","Wed","33","White","Male","1200","LINCOLN ST",
"81209","2021-11-24T00:00:00.000","1158","Wed","21","Black","Female","500","RIDGE AV","78"
"81210","2021-11-24T00:00:00.000","1225","Wed","40","White","Male","1500","ASBURY AV",
"81205","2021-11-24T00:00:00.000","751","Wed","60","White","Female","1200","LINCOLN ST",
"81206","2021-11-24T00:00:00.000","802","Wed","58","White","Female","2400","ASBURY AV",
"81208","2021-11-24T00:00:00.000","949","Wed","50","Black","Male","800","HOWARD ST/ELMWOOD AV",
"81202","2021-11-23T00:00:00.000","738","Tue","59","Black","Male","2100","GREENWOOD ST/GREY AV",
"81204","2021-11-23T00:00:00.000","1031","Tue","76","Black","Male","1400","LAKE ST/WESLEY AV",
"81203","2021-11-23T00:00:00.000","1015","Tue","30","White","Male","600","SOUTH BL/CHICAGO AV","72"
"81197","2021-11-23T00:00:00.000","758","Tue","51","White","Female","2100","GREENWOOD ST/GREY AV",
"81238","2021-11-23T00:00:00.000","2329","Tue","23","Black","Female",,"MC CORMICK BL/CHURCH ST",
"81198","2021-11-23T00:00:00.000","823","Tue","57","White","Male","1300","HARTREY AV",
"81196","2021-11-23T00:00:00.000","759","Tue","39","White","Male","400","SHERIDAN RD/SOUTH AV",
"81200","2021-11-23T00:00:00.000","1006","Tue","46","White","Male","900","HOWARD ST/RIDGE AV",
"81183","2021-11-22T00:00:00.000","720","Mon","82","Black","Male","1900","EMERSON ST",
"81201","2021-11-22T00:00:00.000","2050","Mon",,"White","Male","600","WASHINGTON ST/CHICAGO AV","72"
"81194","2021-11-22T00:00:00.000","2038","Mon","57","Black","Male","900","CHICAGO AV","72"
"81191","2021-11-22T00:00:00.000","745","Mon","23","White","Female","100","MAIN ST/SHERIDAN RD","72"
"81184","2021-11-22T00:00:00.000","1033","Mon","54","White","Female","1400","CHICAGO AV/GREENWOOD ST","73"
"81195","2021-11-22T00:00:00.000","2129","Mon","36","White","Female","1000","DAVIS ST/MAPLE AV","73"
"81199","2021-11-22T00:00:00.000","1824","Mon",,"White","Male","1400","CHICAGO AV","73"
"81193","2021-11-22T00:00:00.000","2000","Mon","29","White","Female","1400","HOWARD ST","71"
"81182","2021-11-21T00:00:00.000","2101","Sun","41","White","Male","600","CHICAGO AV","72"
"81189","2021-11-21T00:00:00.000","1305","Sun","36","White","Male","700","LAKE ST/SHERMAN AV","73"
"81178","2021-11-21T00:00:00.000","1816","Sun","56","Black","Male","100","CHICAGO AV","78"
"81179","2021-11-21T00:00:00.000","1858","Sun","60","White","Male","600","CHICAGO AV","72"
"81181","2021-11-21T00:00:00.000","2023","Sun","50","White","Male","700","CHICAGO AV/MADISON ST","72"
"81180","2021-11-21T00:00:00.000","1913","Sun","64","White","Male","900","CHICAGO AV/MAIN ST","72"
"81188","2021-11-21T00:00:00.000","1843","Sun","29","White","Female","100","CHICAGO AV","78"
"81187","2021-11-20T00:00:00.000","1827","Sat","47","White","Male","1300","GROVE ST/ASBURY AV","74"
"81177","2021-11-20T00:00:00.000","1759","Sat","21","Black","Female","500","DODGE AV/SOUTH BL","71"
"81174","2021-11-20T00:00:00.000","1110","Sat","29","White","Male","500","MAIN ST","72"
"81175","2021-11-20T00:00:00.000","1709","Sat","33","Black","Male","1400","HOWARD ST","71"
"81192","2021-11-20T00:00:00.000","38","Sat","44","White","Female","2300","EMERSON ST/FOSTER ST","77"
"81190","2021-11-20T00:00:00.000","1739","Sat","36","Black","Male","2100","BRUMMEL ST/GREY AV","71"
"81185","2021-11-20T00:00:00.000","237","Sat","25","Black","Male","1600","SIMPSON ST/ASHLAND AV","77"
"81186","2021-11-20T00:00:00.000","1902","Sat","46","Black","Male","700","UNIVERSITY PL/","76"
"81173","2021-11-20T00:00:00.000","28","Sat","45","Black","Female",,"HOWARD/MCCORMICK",
"81172","2021-11-19T00:00:00.000","1554","Fri","36","Black","Male","1400","SIMPSON ST/GREEN BAY RD","76"
"81170","2021-11-19T00:00:00.000","1131","Fri","25","Asian","Male","1300","LINCOLN ST",
"81176","2021-11-19T00:00:00.000","2210","Fri","18","White","Male","500","ASBURY AV/OAKTON ST","78"
"81169","2021-11-19T00:00:00.000","707","Fri","27","White","Female","600","ARNOLD PL/SHERIDAN RD","72"
"81171","2021-11-19T00:00:00.000","1141","Fri","59","Hispanic","Male","1200","LINCOLN ST",
"81156","2021-11-19T00:00:00.000","744","Fri","25","Black","Female","1400","HARTREY AV",
"81165","2021-11-19T00:00:00.000","805","Fri","34","Hispanic","Female","2100","GREENWOOD ST",
"81168","2021-11-19T00:00:00.000","1108","Fri","41","Hispanic","Male","1400","ASBURY AV",
"81163","2021-11-19T00:00:00.000","200","Fri","36","White","Male","2500","OAKTON ST","71"
"81158","2021-11-19T00:00:00.000","816","Fri","58","White","Male","1400","HARTREY AV",
"81157","2021-11-19T00:00:00.000","800","Fri","28","Black","Male","900","HOWARD ST/RIDGE AV",
"81164","2021-11-19T00:00:00.000","659","Fri","30","White","Male","600","SHERIDAN RD/KEENEY ST","72"
"81167","2021-11-19T00:00:00.000","1026","Fri","26","Black","Female","1200","RIDGE AV",
"81166","2021-11-19T00:00:00.000","1050","Fri","62","Asian","Male","1100","EMERSON ST","76"
"81141","2021-11-18T00:00:00.000","653","Thu","31","Black","Male","1500","ASBURY AV",
"81151","2021-11-18T00:00:00.000","1121","Thu","62","White","Male","1900","LAKE ST/DODGE AV","74"
"81142","2021-11-18T00:00:00.000","814","Thu","55","Black","Female","2300","PRAIRIE AV",
"81162","2021-11-18T00:00:00.000","1627","Thu","36","Black","Male","600","SHERIDAN RD",
