"citation_number","citation_dates","citation_time","day_of_the_week","age","race","sex","tract"
"SE606391","2021-12-09T00:00:00.000","950","Thu","38","Black","Female",
"SE606398","2021-12-09T00:00:00.000","1214","Thu","46","White","Male",
"SE606374","2021-12-08T00:00:00.000","1123","Wed","41","Black","Male",
"SE606385","2021-12-08T00:00:00.000","1305","Wed","83","White","Female",
"SE606373","2021-12-08T00:00:00.000","1122","Wed","36","White","Male",
"SE606376","2021-12-08T00:00:00.000","1133","Wed","48","Black","Female",
"SE606359","2021-12-08T00:00:00.000","843","Wed","46","Asian","Male",
"SE606387","2021-12-08T00:00:00.000","1715","Wed","23","White","Male",
"SE606380","2021-12-08T00:00:00.000","1230","Wed","60","White","Male",
"SE606371","2021-12-08T00:00:00.000","1122","Wed","36","White","Male",
"SE606370","2021-12-08T00:00:00.000","1109","Wed","47","Asian","Female",
"SE606358","2021-12-08T00:00:00.000","843","Wed","46","Asian","Male",
"SE606363","2021-12-08T00:00:00.000","1012","Wed","37","White","Female",
"SE606372","2021-12-08T00:00:00.000","1122","Wed","36","White","Male",
"SE606377","2021-12-08T00:00:00.000","1205","Wed","31","White","Female",
"SE606375","2021-12-08T00:00:00.000","1123","Wed","41","Black","Male",
"SE606360","2021-12-08T00:00:00.000","913","Wed","26","White","Male",
"SE606379","2021-12-08T00:00:00.000","1229","Wed","72","White","Female",
"SE606364","2021-12-08T00:00:00.000","1018","Wed","32","Asian","Female",
"SE606386","2021-12-08T00:00:00.000","1325","Wed","50","Black","Female",
"SE606362","2021-12-08T00:00:00.000","1006","Wed","33","White","Male",
"SE606366","2021-12-08T00:00:00.000","1037","Wed","40","Black","Female",
"SE606378","2021-12-08T00:00:00.000","1215","Wed","41","White","Male",
"SE606381","2021-12-08T00:00:00.000","1239","Wed","22","White","Female",
"SE606361","2021-12-08T00:00:00.000","924","Wed","45","White","Female",
"SE606382","2021-12-08T00:00:00.000","1239","Wed","22","White","Female",
"SE606384","2021-12-08T00:00:00.000","1255","Wed","55","White","Female",
"SE606383","2021-12-08T00:00:00.000","1245","Wed","37","White","Male",
"SE606369","2021-12-08T00:00:00.000","1058","Wed","36","White","Male",
"SE606368","2021-12-08T00:00:00.000","1047","Wed","36","White","Female",
"SE606367","2021-12-08T00:00:00.000","1033","Wed","47","White","Male",
"SE606388","2021-12-08T00:00:00.000","1715","Wed","23","White","Male",
"SE606354","2021-12-07T00:00:00.000","1610","Tue","17","White","Female",
"SE606355","2021-12-07T00:00:00.000","1610","Tue","17","White","Female",
"SE606357","2021-12-07T00:00:00.000","1639","Tue","22","White","Male",
"SE606351","2021-12-07T00:00:00.000","1538","Tue","24","White","Male",
"SE606353","2021-12-07T00:00:00.000","1557","Tue","26","Black","Male",
"SE606356","2021-12-07T00:00:00.000","1627","Tue","41","White","Male",
"SE606352","2021-12-07T00:00:00.000","1557","Tue","26","Black","Male",
"SE606344","2021-12-06T00:00:00.000","1435","Mon","20","White","Female",
"SE606347","2021-12-06T00:00:00.000","1520","Mon","54","Asian","Male",
"SE606346","2021-12-06T00:00:00.000","1501","Mon","58","White","Female",
"SE606349","2021-12-06T00:00:00.000","1614","Mon","24","White","Female",
"SE606350","2021-12-06T00:00:00.000","1701","Mon","52","White","Male",
"SE606345","2021-12-06T00:00:00.000","1447","Mon","40","White","Male",
"SE606341","2021-12-03T00:00:00.000","820","Fri","64","Black","Male",
"SE606339","2021-12-03T00:00:00.000","820","Fri","46","White","Male",
"SE606340","2021-12-03T00:00:00.000","820","Fri","46","White","Male",
"SE606343","2021-12-03T00:00:00.000","1642","Fri","38","Asian","Female",
"SE606342","2021-12-03T00:00:00.000","820","Fri","64","Black","Male",
"JV04111","2021-12-02T00:00:00.000","238","Thu","15","Black","Male",
"JV04110","2021-12-02T00:00:00.000","238","Thu","15","Black","Male",
"JV00107","2021-12-02T00:00:00.000","238","Thu","14","White","Male","77"
"JV00108","2021-12-02T00:00:00.000","1438","Thu","14","Black","Male",
"EV74544","2021-12-02T00:00:00.000","1940","Thu","35","Black","Female","72"
"JV04112","2021-12-02T00:00:00.000","238","Thu","16","Black","Male",
"SE606337","2021-12-01T00:00:00.000","2030","Wed","21","White","Male",
"SE606322","2021-12-01T00:00:00.000","1347","Wed","74","White","Female",
"SE606321","2021-12-01T00:00:00.000","1347","Wed","74","White","Female",
"SE606325","2021-12-01T00:00:00.000","1400","Wed","21","Asian","Male",
"SE606312","2021-12-01T00:00:00.000","829","Wed","16","White","Male",
"SE606320","2021-12-01T00:00:00.000","1331","Wed","33","White","Male",
"SE606315","2021-12-01T00:00:00.000","1211","Wed","54","White","Female",
"SE606326","2021-12-01T00:00:00.000","1505","Wed","32","White","Male",
"SE606310","2021-12-01T00:00:00.000","708","Wed","24","White","Female",
"SE606334","2021-12-01T00:00:00.000","1616","Wed","30","White","Female",
"SE606311","2021-12-01T00:00:00.000","708","Wed","24","White","Female",
"SE606319","2021-12-01T00:00:00.000","1331","Wed","33","White","Male",
"SE606327","2021-12-01T00:00:00.000","1505","Wed","32","White","Male",
"SE606318","2021-12-01T00:00:00.000","1331","Wed","33","White","Male",
"SE606331","2021-12-01T00:00:00.000","1540","Wed","21","White","Male",
"SE606332","2021-12-01T00:00:00.000","1540","Wed","21","White","Male",
"SE606316","2021-12-01T00:00:00.000","1211","Wed","54","White","Female",
"SE606328","2021-12-01T00:00:00.000","1520","Wed","24","White","Female",
"SE606338","2021-12-01T00:00:00.000","2030","Wed","21","White","Male",
"SE606333","2021-12-01T00:00:00.000","1540","Wed","21","White","Male",
"SE606323","2021-12-01T00:00:00.000","1349","Wed","36","White","Female",
"SE606313","2021-12-01T00:00:00.000","829","Wed","16","White","Male",
"SE606324","2021-12-01T00:00:00.000","1400","Wed","21","Asian","Male",
"SE606317","2021-12-01T00:00:00.000","1315","Wed","74","White","Male",
"SE606330","2021-12-01T00:00:00.000","1540","Wed","21","White","Male",
"SE606329","2021-12-01T00:00:00.000","1520","Wed","24","White","Female",
"SE606335","2021-12-01T00:00:00.000","1616","Wed","30","White","Female",
"SE606297","2021-11-30T00:00:00.000","737","Tue","32","White","Male",
"SE606294","2021-11-30T00:00:00.000","658","Tue","67","Black","Male",
"SE606296","2021-11-30T00:00:00.000","727","Tue","33","Black","Female",
"SE606309","2021-11-30T00:00:00.000","1957","Tue","20","White","Male",
"EV90563","2021-11-30T00:00:00.000","945","Tue","41","White","Male","71"
"SE606299","2021-11-30T00:00:00.000","841","Tue","35","White","Female",
"SE606301","2021-11-30T00:00:00.000","856","Tue","54","Asian","Male",
"SE606307","2021-11-30T00:00:00.000","1148","Tue","41","Black","Male",
"SE606303","2021-11-30T00:00:00.000","1050","Tue","60","White","Male",
"SE606295","2021-11-30T00:00:00.000","716","Tue","58","White","Female",
"SE606302","2021-11-30T00:00:00.000","1029","Tue","20","White","Female",
"SE606308","2021-11-30T00:00:00.000","1514","Tue","23","White","Female",
"SE606306","2021-11-30T00:00:00.000","1123","Tue","54","White","Female",
"SE606305","2021-11-30T00:00:00.000","1115","Tue","85","White","Female",
"SE606298","2021-11-30T00:00:00.000","841","Tue","35","White","Female",
"SE606300","2021-11-30T00:00:00.000","847","Tue","35","White","Female",
"SE606304","2021-11-30T00:00:00.000","1057","Tue","61","White","Female",
"EV89754","2021-11-29T00:00:00.000","1735","Mon","47","White","Male",
"SE606293","2021-11-29T00:00:00.000","1043","Mon","42","White","Female",
"SE606287","2021-11-28T00:00:00.000","1211","Sun","42","White","Male",
"SE606291","2021-11-28T00:00:00.000","1245","Sun","75","White","Male",
"SE606282","2021-11-28T00:00:00.000","1058","Sun","30","White","Male",
"EV86558","2021-11-28T00:00:00.000","1410","Sun","31","Asian","Male","71"
"SE606284","2021-11-28T00:00:00.000","1058","Sun","30","White","Male",
"SE606281","2021-11-28T00:00:00.000","1058","Sun","30","White","Male",
"SE606289","2021-11-28T00:00:00.000","1245","Sun","75","White","Male",
"SE606283","2021-11-28T00:00:00.000","1058","Sun","30","White","Male",
"SE606285","2021-11-28T00:00:00.000","1125","Sun","52","Black","Male",
"SE606292","2021-11-28T00:00:00.000","1552","Sun","22","White","Female",
"SE606286","2021-11-28T00:00:00.000","1211","Sun","42","White","Male",
"SE606290","2021-11-28T00:00:00.000","1245","Sun","75","White","Male",
"SE606288","2021-11-28T00:00:00.000","1211","Sun","42","White","Male",
"SE606274","2021-11-27T00:00:00.000","1751","Sat","30","Black","Female",
"SE606272","2021-11-27T00:00:00.000","1621","Sat","56","Asian","Male",
"SE606276","2021-11-27T00:00:00.000","1839","Sat","60","White","Male",
"SE606262","2021-11-27T00:00:00.000","1513","Sat","18","Black","Male",
"SE606265","2021-11-27T00:00:00.000","1538","Sat","45","Asian","Male",
"SE606267","2021-11-27T00:00:00.000","1547","Sat","35","White","Male",
"SE606278","2021-11-27T00:00:00.000","1839","Sat","60","White","Male",
"EV68116","2021-11-27T00:00:00.000","1205","Sat","67","Unknown","Male","71"
"SE606275","2021-11-27T00:00:00.000","1839","Sat","60","White","Male",
"SE606259","2021-11-27T00:00:00.000","1115","Sat","53","White","Female",
"SE606268","2021-11-27T00:00:00.000","1602","Sat","32","Black","Male",
"SE606261","2021-11-27T00:00:00.000","1148","Sat","33","White","Female",
"SE606264","2021-11-27T00:00:00.000","1525","Sat","67","White","Female",
"SE606273","2021-11-27T00:00:00.000","1638","Sat","29","Black","Female",
"SE606258","2021-11-27T00:00:00.000","1049","Sat","29","Asian","Male",
"SE606271","2021-11-27T00:00:00.000","1619","Sat","37","White","Male",
"SE606263","2021-11-27T00:00:00.000","1513","Sat","18","Black","Male",
"SE606277","2021-11-27T00:00:00.000","1839","Sat","60","White","Male",
"SE606269","2021-11-27T00:00:00.000","1602","Sat","32","Black","Male",
"SE606266","2021-11-27T00:00:00.000","1538","Sat","20","Asian","Female",
"SE606260","2021-11-27T00:00:00.000","1128","Sat","49","Asian","Male",
"SE606247","2021-11-26T00:00:00.000","742","Fri","49","White","Male",
"SE606244","2021-11-26T00:00:00.000","704","Fri","69","White","Male",
"SE606250","2021-11-26T00:00:00.000","1018","Fri","36","White","Female",
"SE606252","2021-11-26T00:00:00.000","1048","Fri","58","Black","Female",
"SE606242","2021-11-26T00:00:00.000","640","Fri","57","Black","Male",
"SE606248","2021-11-26T00:00:00.000","930","Fri","32","Black","Male",
"SE606246","2021-11-26T00:00:00.000","734","Fri","46","White","Male",
"SE606251","2021-11-26T00:00:00.000","1018","Fri","36","White","Female",
"SE606256","2021-11-26T00:00:00.000","1321","Fri","61","White","Female",
"SE606253","2021-11-26T00:00:00.000","1048","Fri","58","Black","Female",
"SE606254","2021-11-26T00:00:00.000","1309","Fri","85","White","Female",
"SE606241","2021-11-26T00:00:00.000","640","Fri","57","Black","Male",
"SE606257","2021-11-26T00:00:00.000","1321","Fri","61","White","Female",
"SE606245","2021-11-26T00:00:00.000","722","Fri","66","Asian","Male",
"SE606243","2021-11-26T00:00:00.000","704","Fri","52","White","Male",
"SE606249","2021-11-26T00:00:00.000","930","Fri","32","Black","Male",
"SE606255","2021-11-26T00:00:00.000","1309","Fri","85","White","Female",
"YK007984","2021-11-25T00:00:00.000","1600","Thu","67","Black","Male",
"YK007985","2021-11-25T00:00:00.000","1600","Thu","67","Black","Male",
"YH120313","2021-11-25T00:00:00.000","1516","Thu","23","Black","Male",
"YH120314","2021-11-25T00:00:00.000","1516","Thu","23","Black","Male",
"YK007983","2021-11-25T00:00:00.000","1600","Thu","67","Black","Male",
"YH120312","2021-11-25T00:00:00.000","1516","Thu","23","Black","Male",
"YK018147","2021-11-25T00:00:00.000","1516","Thu","58","Black","Female",
"SE606239","2021-11-24T00:00:00.000","1221","Wed","40","White","Male",
"SE606237","2021-11-24T00:00:00.000","855","Wed","30","White","Male",
"SE606232","2021-11-24T00:00:00.000","807","Wed","71","White","Male",
"SE606229","2021-11-24T00:00:00.000","737","Wed","33","White","Male",
"SE606236","2021-11-24T00:00:00.000","855","Wed","30","White","Male",
"SE606228","2021-11-24T00:00:00.000","727","Wed","19","White","Male",
"SE606231","2021-11-24T00:00:00.000","759","Wed","58","White","Female",
"SE606235","2021-11-24T00:00:00.000","845","Wed","22","Black","Male",
"SE606233","2021-11-24T00:00:00.000","826","Wed","33","Asian","Male",
"SE606234","2021-11-24T00:00:00.000","845","Wed","22","Black","Male",
"SE606240","2021-11-24T00:00:00.000","1235","Wed","72","White","Female",
"SE606238","2021-11-24T00:00:00.000","1156","Wed","21","Black","Female",
"SE606230","2021-11-24T00:00:00.000","749","Wed","60","White","Female",
"YK018504","2021-11-23T00:00:00.000","1015","Tue","30","White","Male",
"YK018260","2021-11-23T00:00:00.000","2320","Tue","33","Unknown","Male",
"YH120617","2021-11-23T00:00:00.000","2320","Tue","33","Unknown","Male",
"SE606227","2021-11-23T00:00:00.000","1042","Tue","76","Black","Male",
"SE606224","2021-11-23T00:00:00.000","758","Tue","51","White","Female",
"SE606222","2021-11-23T00:00:00.000","741","Tue","59","Black","Male",
"EV87865","2021-11-23T00:00:00.000","1545","Tue","52","Black","Male","74"
"SE606225","2021-11-23T00:00:00.000","825","Tue","57","White","Male",
"YH120616","2021-11-23T00:00:00.000","2320","Tue","33","Unknown","Male",
"SE606226","2021-11-23T00:00:00.000","1042","Tue","76","Black","Male",
"YK018864","2021-11-23T00:00:00.000","2339","Tue","23",,"Female",
"YH120619","2021-11-23T00:00:00.000","2320","Tue","33","Unknown","Male",
"SE606223","2021-11-23T00:00:00.000","759","Tue","39","White","Male",
"YH120618","2021-11-23T00:00:00.000","2320","Tue","33","Unknown","Male",
"YK018863","2021-11-23T00:00:00.000","2339","Tue","23",,"Female",
"SE606218","2021-11-22T00:00:00.000","732","Mon","29","Black","Male",
"EV88912","2021-11-22T00:00:00.000","2038","Mon","57","Black","Male","72"
"SE606215","2021-11-22T00:00:00.000","718","Mon","82","Black","Male",
"SE606217","2021-11-22T00:00:00.000","834","Mon","57","Black","Male",
"SE606221","2021-11-22T00:00:00.000","732","Mon","29","Black","Male",
"YK007938","2021-11-22T00:00:00.000","1824","Mon","37","White","Male",
"SE606216","2021-11-22T00:00:00.000","743","Mon","23","White","Female",
"YK007939","2021-11-22T00:00:00.000","1824","Mon","37","White","Male",
"YK018241","2021-11-22T00:00:00.000","2129","Mon","36","White","Female",
"SE606220","2021-11-22T00:00:00.000","732","Mon","29","Black","Male",
"EV88913","2021-11-22T00:00:00.000","2050","Mon","63","White","Male","72"
"SE606219","2021-11-22T00:00:00.000","732","Mon","29","Black","Male",
"EV87466","2021-11-22T00:00:00.000","1306","Mon","55","Asian","Male",
"YK018240","2021-11-22T00:00:00.000","2000","Mon","29","White","Female",
"YK018501","2021-11-21T00:00:00.000","1915","Sun","64","White","Male",
"YK018500","2021-11-21T00:00:00.000","1915","Sun","64","White","Male",
"EV90561","2021-11-21T00:00:00.000","1850","Sun","60","White","Male",
"SE606214","2021-11-21T00:00:00.000","1305","Sun","36","White","Male",
"EV90562","2021-11-21T00:00:00.000","2100","Sun","38","White","Male",
"YK018503","2021-11-21T00:00:00.000","1915","Sun","64","White","Male",
"EV90560","2021-11-21T00:00:00.000","1815","Sun","56","Black","Male","72"
"SE606201","2021-11-19T00:00:00.000","743","Fri","25","Black","Female",
"SE606208","2021-11-19T00:00:00.000","1024","Fri","26","Black","Female",
"SE606207","2021-11-19T00:00:00.000","1024","Fri","26","Black","Female",
"SE606206","2021-11-19T00:00:00.000","1024","Fri","26","Black","Female",
"SE606210","2021-11-19T00:00:00.000","1107","Fri","41","White","Male",
"SE606213","2021-11-19T00:00:00.000","1138","Fri","59","White","Male",
"SE606211","2021-11-19T00:00:00.000","1128","Fri","25","Asian","Male",
"SE606212","2021-11-19T00:00:00.000","1138","Fri","59","White","Male",
"YK018620","2021-11-19T00:00:00.000","1234","Fri","22",,"Male",
"SE606205","2021-11-19T00:00:00.000","813","Fri","58","White","Male",
"YK018498","2021-11-19T00:00:00.000","800","Fri","28","Black","Male",
"SE606203","2021-11-19T00:00:00.000","743","Fri","25","Black","Female",
"YK018621","2021-11-19T00:00:00.000","1234","Fri","22",,"Male",
"YK018497","2021-11-19T00:00:00.000","800","Fri","28","Black","Male",
"SE606204","2021-11-19T00:00:00.000","802","Fri","34","White","Female",
"SE606202","2021-11-19T00:00:00.000","743","Fri","25","Black","Female",
"SE606189","2021-11-18T00:00:00.000","1140","Thu","53","Asian","Female",
"SE606184","2021-11-18T00:00:00.000","752","Thu","56","Black","Male",
"SE606192","2021-11-18T00:00:00.000","1514","Thu","20","White","Male",
"SE606195","2021-11-18T00:00:00.000","1547","Thu","30","White","Male",
"SE606187","2021-11-18T00:00:00.000","1118","Thu","51","White","Female",
"SE606190","2021-11-18T00:00:00.000","1159","Thu","33","White","Female",
"SE606188","2021-11-18T00:00:00.000","1140","Thu","53","Asian","Female",
"SE606186","2021-11-18T00:00:00.000","812","Thu","55","Black","Female",
"SE606182","2021-11-18T00:00:00.000","648","Thu","31","Black","Male",
"SE606185","2021-11-18T00:00:00.000","804","Thu","26","White","Male",
"SE606191","2021-11-18T00:00:00.000","1514","Thu","20","White","Male",
"SE606183","2021-11-18T00:00:00.000","648","Thu","31","Black","Male",
"SE606196","2021-11-18T00:00:00.000","1547","Thu","30","White","Male",
"SE606193","2021-11-18T00:00:00.000","1514","Thu","20","White","Male",
"SE606194","2021-11-18T00:00:00.000","1532","Thu","37","Black","Female",
"YK018072","2021-11-18T00:00:00.000","1717","Thu","28",,"Male","72"
"SE606199","2021-11-18T00:00:00.000","1627","Thu","36","Black","Male",
"SE606198","2021-11-18T00:00:00.000","1607","Thu","18","White","Male",
"YK018073","2021-11-18T00:00:00.000","1717","Thu","28",,"Male","72"
"SE606180","2021-11-17T00:00:00.000","1825","Wed","47","White","Female",
"EV88911","2021-11-17T00:00:00.000","1725","Wed","42","Black","Male","78"
"SE606181","2021-11-17T00:00:00.000","1850","Wed","44","Asian","Female",
"SE606177","2021-11-16T00:00:00.000","1301","Tue","35","Black","Female",
"SE606163","2021-11-16T00:00:00.000","1005","Tue","48","White","Female",
"SE606164","2021-11-16T00:00:00.000","1107","Tue","35","White","Female",
"SE606160","2021-11-16T00:00:00.000","942","Tue","21","White","Male",
"SE606156","2021-11-16T00:00:00.000","849","Tue","39","White","Female",
"SE606168","2021-11-16T00:00:00.000","1136","Tue","28","Black","Female",
"SE606167","2021-11-16T00:00:00.000","1132","Tue","20","White","Male",
"SE606173","2021-11-16T00:00:00.000","1227","Tue","64","White","Male",
"SE606176","2021-11-16T00:00:00.000","1152","Tue","71","White","Male",
"SE606161","2021-11-16T00:00:00.000","942","Tue","21","White","Male",
"SE606157","2021-11-16T00:00:00.000","849","Tue","39","White","Female",
"SE606170","2021-11-16T00:00:00.000","1153","Tue","40","White","Female",
"SE606171","2021-11-16T00:00:00.000","1157","Tue","38","Black","Male",
"SE606159","2021-11-16T00:00:00.000","927","Tue","31","White","Male",
"SE606162","2021-11-16T00:00:00.000","953","Tue","32","White","Female",
"SE606179","2021-11-16T00:00:00.000","1335","Tue","68","Black","Female",
"SE606165","2021-11-16T00:00:00.000","1110","Tue","61","White","Female",
"SE606175","2021-11-16T00:00:00.000","1152","Tue","71","White","Male",
"SE606166","2021-11-16T00:00:00.000","1117","Tue","29","White","Male",
"SE606172","2021-11-16T00:00:00.000","1216","Tue","45","Black","Female",
"SE606169","2021-11-16T00:00:00.000","1153","Tue","40","White","Female",
"SE606178","2021-11-16T00:00:00.000","1319","Tue","17","White","Male",
"SE606174","2021-11-16T00:00:00.000","1227","Tue","64","White","Male",
"SE606158","2021-11-16T00:00:00.000","909","Tue","31","White","Male",
"SE606147","2021-11-15T00:00:00.000","1507","Mon","49","White","Female",
"SE606131","2021-11-15T00:00:00.000","706","Mon","38","Black","Female",
"SE606155","2021-11-15T00:00:00.000","1651","Mon","61","White","Male",
"SE606136","2021-11-15T00:00:00.000","810","Mon","32","White","Male",
"SE606153","2021-11-15T00:00:00.000","1612","Mon","25","Black","Female",
"SE606140","2021-11-15T00:00:00.000","822","Mon","16","White","Female",
"SE606133","2021-11-15T00:00:00.000","719","Mon","38","White","Male",
"SE606145","2021-11-15T00:00:00.000","1104","Mon","16","White","Male",
"SE606132","2021-11-15T00:00:00.000","713","Mon","30","White","Male",
"SE606139","2021-11-15T00:00:00.000","822","Mon","16","White","Female",
"SE606141","2021-11-15T00:00:00.000","838","Mon","41","White","Female",
"SE606150","2021-11-15T00:00:00.000","1540","Mon","47","Black","Female",
"SE606151","2021-11-15T00:00:00.000","1555","Mon","56","White","Male",
"SE606130","2021-11-15T00:00:00.000","652","Mon","52","White","Male",
"JV01760","2021-11-15T00:00:00.000","830","Mon","13","Black","Male","71"
"SE606138","2021-11-15T00:00:00.000","822","Mon","16","White","Female",
"SE606148","2021-11-15T00:00:00.000","1523","Mon","49","White","Male",
"SE606149","2021-11-15T00:00:00.000","1523","Mon","49","White","Male",
"SE606134","2021-11-15T00:00:00.000","745","Mon","30","White","Male",
"SE606135","2021-11-15T00:00:00.000","802","Mon","27","White","Female",
"SE606279","2021-11-15T00:00:00.000","1446","Mon","49","Unknown","Female","78"
"SE606280","2021-11-15T00:00:00.000","1446","Mon","49","Unknown","Female",
"SE606137","2021-11-15T00:00:00.000","821","Mon","48","White","Female",
"SE606143","2021-11-15T00:00:00.000","838","Mon","41","White","Female",
"SE606154","2021-11-15T00:00:00.000","1636","Mon","32","White","Male",
"SE606144","2021-11-15T00:00:00.000","1039","Mon","20","White","Male",
"SE606152","2021-11-15T00:00:00.000","1612","Mon","25","Black","Female",
"SE606129","2021-11-15T00:00:00.000","652","Mon","30","Black","Female",
"SE606146","2021-11-15T00:00:00.000","1507","Mon","49","White","Female",
"SE606142","2021-11-15T00:00:00.000","838","Mon","41","White","Female",
"SE606128","2021-11-15T00:00:00.000","639","Mon","55","Asian","Female",
"YK007937","2021-11-14T00:00:00.000","1615","Sun","34","Black","Female","78"
"SE606124","2021-11-13T00:00:00.000","1505","Sat","52","Black","Male",
"SE606125","2021-11-13T00:00:00.000","1505","Sat","52","Black","Male",
"SE606123","2021-11-13T00:00:00.000","1505","Sat","52","Black","Male",
"SE606126","2021-11-13T00:00:00.000","1505","Sat","52","Black","Male",
"SE606127","2021-11-13T00:00:00.000","1505","Sat","52","Black","Male",
"SE606121","2021-11-13T00:00:00.000","1054","Sat","71","White","Male",
"SE606119","2021-11-13T00:00:00.000","1012","Sat","46","White","Male",
"SE606122","2021-11-13T00:00:00.000","1105","Sat","85","White","Male",
"SE606120","2021-11-13T00:00:00.000","1028","Sat","84","White","Male",
"SE606113","2021-11-12T00:00:00.000","1044","Fri","36","White","Male",
"SE606109","2021-11-12T00:00:00.000","830","Fri","46","White","Male",
"SE606114","2021-11-12T00:00:00.000","1044","Fri","36","White","Male",
"SE606105","2021-11-12T00:00:00.000","650","Fri","52","White","Male",
"SE606118","2021-11-12T00:00:00.000","2023","Fri","25","Asian","Male",
"EV17067","2021-11-12T00:00:00.000","2331","Fri","21","White","Male","76"
