"day_of_the_week","race","sex","date"
"Mon","Black","Male","2020-12-28T17:39:13.000"
"Mon","White","Female","2020-12-28T17:32:35.000"
"Mon",,,"2020-12-28T17:29:28.000"
"Mon",,,"2020-12-28T17:26:00.000"
"Mon","White","Female","2020-12-28T16:01:00.000"
"Mon","White","Male","2020-12-28T15:02:00.000"
"Mon","Unknown","Female","2020-12-28T14:45:37.000"
"Mon","Black","Male","2020-12-28T13:01:00.000"
"Mon","Black","Female","2020-12-28T13:00:10.000"
"Mon","White","Female","2020-12-28T12:35:00.000"
"Mon","White","Female","2020-12-28T12:09:51.000"
"Mon","White","Male","2020-12-28T12:00:51.000"
"Mon","White","Female","2020-12-28T11:32:34.000"
"Mon","White","Female","2020-12-28T11:30:16.000"
"Mon","Black","Female","2020-12-28T10:43:31.000"
"Mon","White","Male","2020-12-28T10:43:07.000"
"Mon","White","Male","2020-12-28T10:38:48.000"
"Mon","White","Female","2020-12-28T10:22:02.000"
"Mon","White","Male","2020-12-28T10:20:42.000"
"Mon","White","Male","2020-12-28T10:14:02.000"
"Mon","White","Female","2020-12-28T10:13:56.000"
"Mon","White","Female","2020-12-28T10:09:20.000"
"Mon","White","Male","2020-12-28T09:57:00.000"
"Mon",,,"2020-12-28T09:08:53.000"
"Mon","Black","Female","2020-12-28T08:08:00.000"
"Mon","Black","Female","2020-12-28T07:51:25.000"
"Mon","White","Male","2020-12-28T05:27:00.000"
"Mon","White","Male","2020-12-28T02:53:58.000"
"Sun","Unknown","Female","2020-12-27T19:59:25.000"
"Sun","Unknown","Female","2020-12-27T19:24:00.000"
"Sun","Black","Female","2020-12-27T17:47:00.000"
"Sun","White","Male","2020-12-27T16:26:57.000"
"Sun","White","Female","2020-12-27T14:02:36.000"
"Sun","Unknown","Male","2020-12-27T13:49:58.000"
"Sun","White","Female","2020-12-27T12:06:20.000"
"Sun","Black","Female","2020-12-27T09:18:15.000"
"Sun",,,"2020-12-27T09:13:00.000"
"Sun",,"Male","2020-12-27T09:04:12.000"
"Sun","White","Female","2020-12-27T04:11:48.000"
"Sat","Black","Female","2020-12-26T21:11:36.000"
"Sat","White","Female","2020-12-26T19:21:18.000"
"Sat","White","Male","2020-12-26T19:17:58.000"
"Sat","White","Female","2020-12-26T16:53:18.000"
"Sat","White","Male","2020-12-26T16:50:33.000"
"Sat",,,"2020-12-26T16:37:18.000"
"Sat","Black","Female","2020-12-26T16:15:22.000"
"Sat","Black","Female","2020-12-26T16:10:34.000"
"Sat","Black","Female","2020-12-26T14:54:48.000"
"Sat","White","Female","2020-12-26T14:13:12.000"
"Sat","White","Female","2020-12-26T13:06:15.000"
"Sat","Black","Male","2020-12-26T11:16:01.000"
"Sat","White","Female","2020-12-26T11:09:00.000"
"Sat","Black","Female","2020-12-26T10:59:07.000"
"Sat","White","Male","2020-12-26T10:47:28.000"
"Sat","Black","Female","2020-12-26T10:29:28.000"
"Sat","White","Female","2020-12-26T09:50:05.000"
"Sat",,,"2020-12-26T02:59:16.000"
"Sat","Black","Female","2020-12-26T02:39:47.000"
"Sat","Black","Male","2020-12-26T00:38:42.000"
"Fri",,,"2020-12-25T22:40:15.000"
"Fri","White","Female","2020-12-25T14:03:59.000"
"Fri","White","Male","2020-12-25T12:57:41.000"
"Fri","Unknown","Male","2020-12-25T12:23:24.000"
"Fri",,,"2020-12-25T10:42:58.000"
"Fri","White","Male","2020-12-25T10:42:58.000"
"Fri","White","Female","2020-12-25T10:42:58.000"
"Fri","Black","Female","2020-12-25T04:23:50.000"
"Thu","White","Female","2020-12-24T20:05:42.000"
"Thu","Black","Male","2020-12-24T20:05:42.000"
"Thu","White","Male","2020-12-24T18:18:40.000"
"Thu","White","Male","2020-12-24T15:40:10.000"
"Thu","White","Female","2020-12-24T15:17:22.000"
"Thu","Asian","Male","2020-12-24T14:40:24.000"
"Thu","Black","Female","2020-12-24T14:38:51.000"
"Thu","White","Male","2020-12-24T14:36:00.000"
"Thu","Unknown","Female","2020-12-24T14:30:25.000"
"Thu","Black","Female","2020-12-24T13:39:35.000"
"Thu","White","Female","2020-12-24T12:42:02.000"
"Thu","White","Male","2020-12-24T12:38:29.000"
"Thu","White","Female","2020-12-24T12:33:32.000"
"Thu","White","Male","2020-12-24T12:27:55.000"
"Thu","White","Female","2020-12-24T11:57:00.000"
"Thu","White","Female","2020-12-24T11:12:27.000"
"Thu","White","Female","2020-12-24T10:55:54.000"
"Thu","White","Male","2020-12-24T10:45:42.000"
"Thu","White","Male","2020-12-24T09:15:56.000"
"Thu","White","Male","2020-12-24T09:04:41.000"
"Thu","White","Male","2020-12-24T08:34:49.000"
"Thu","White","Female","2020-12-24T08:31:00.000"
"Thu","White","Female","2020-12-24T06:22:00.000"
"Wed","White","Male","2020-12-23T22:52:15.000"
"Wed","Black","Male","2020-12-23T19:40:31.000"
"Wed","Black","Female","2020-12-23T19:31:26.000"
"Wed","Unknown","Male","2020-12-23T18:59:18.000"
"Wed","Black","Female","2020-12-23T18:37:35.000"
"Wed","Black","Male","2020-12-23T18:35:37.000"
"Wed","White","Female","2020-12-23T17:50:51.000"
"Wed","White","Male","2020-12-23T17:41:00.000"
"Wed","White","Female","2020-12-23T17:41:00.000"
"Wed","White","Female","2020-12-23T17:41:00.000"
"Wed",,,"2020-12-23T17:41:00.000"
"Wed","Unknown","Male","2020-12-23T16:59:17.000"
"Wed",,,"2020-12-23T16:41:54.000"
"Wed",,,"2020-12-23T16:13:28.000"
"Wed","Black","Female","2020-12-23T15:22:01.000"
"Wed","White","Female","2020-12-23T15:09:00.000"
"Wed","White","Female","2020-12-23T14:36:10.000"
"Wed","White","Male","2020-12-23T14:07:13.000"
"Wed","White","Male","2020-12-23T13:57:02.000"
"Wed","White","Female","2020-12-23T13:51:02.000"
"Wed","Unknown","Male","2020-12-23T13:48:49.000"
"Wed","Unknown","Female","2020-12-23T13:19:05.000"
"Wed","White","Female","2020-12-23T13:05:30.000"
"Wed","Asian","Female","2020-12-23T12:34:08.000"
"Wed","White","Female","2020-12-23T12:30:13.000"
"Wed","White","Female","2020-12-23T12:21:17.000"
"Wed","White","Female","2020-12-23T12:03:45.000"
"Wed","White","Male","2020-12-23T11:38:50.000"
"Wed",,,"2020-12-23T10:52:00.000"
"Wed","White","Male","2020-12-23T10:38:19.000"
"Wed","White","Male","2020-12-23T10:38:13.000"
"Wed","White","Male","2020-12-23T10:17:00.000"
"Wed","White","Female","2020-12-23T09:28:25.000"
"Wed","Black","Male","2020-12-23T09:24:35.000"
"Wed","White","Male","2020-12-23T09:21:57.000"
"Wed",,,"2020-12-23T08:51:23.000"
"Wed","White","Male","2020-12-23T08:00:35.000"
"Wed","Black","Male","2020-12-23T07:13:18.000"
"Wed","White","Female","2020-12-23T07:13:18.000"
"Wed","Black","Male","2020-12-23T07:13:18.000"
"Wed","Black","Male","2020-12-23T07:13:18.000"
"Wed","White","Male","2020-12-23T07:13:18.000"
"Wed","Black","Female","2020-12-23T07:05:50.000"
"Wed",,,"2020-12-23T06:41:21.000"
"Wed","Black","Male","2020-12-23T02:15:00.000"
"Wed","White","Male","2020-12-23T02:15:00.000"
"Tue","Asian","Male","2020-12-22T19:20:37.000"
"Tue","White","Female","2020-12-22T17:57:36.000"
"Tue",,,"2020-12-22T17:50:00.000"
"Tue","Unknown","Female","2020-12-22T16:37:00.000"
"Tue","Black","Male","2020-12-22T16:35:27.000"
"Tue","Unknown","Female","2020-12-22T15:57:38.000"
"Tue","White","Male","2020-12-22T15:45:58.000"
"Tue","White","Female","2020-12-22T15:43:46.000"
"Tue","White","Female","2020-12-22T15:39:41.000"
"Tue","Black","Male","2020-12-22T15:28:00.000"
"Tue","White","Female","2020-12-22T15:24:06.000"
"Tue","Black","Female","2020-12-22T15:20:59.000"
"Tue","White","Male","2020-12-22T15:19:27.000"
"Tue","Unknown","Male","2020-12-22T15:08:00.000"
"Tue","Black","Male","2020-12-22T15:03:50.000"
"Tue","Black","Female","2020-12-22T15:01:00.000"
"Tue","Black","Female","2020-12-22T15:01:00.000"
"Tue","Unknown","Male","2020-12-22T14:47:04.000"
"Tue","Black","Female","2020-12-22T14:41:13.000"
"Tue","Unknown","Female","2020-12-22T14:37:00.000"
"Tue","Black","Male","2020-12-22T13:47:52.000"
"Tue","White","Male","2020-12-22T13:20:15.000"
"Tue","White","Female","2020-12-22T13:04:12.000"
"Tue","Unknown","Male","2020-12-22T12:57:02.000"
"Tue","Black","Female","2020-12-22T12:44:18.000"
"Tue","White","Male","2020-12-22T12:25:33.000"
"Tue","White","Female","2020-12-22T12:02:29.000"
"Tue","White","Male","2020-12-22T11:37:46.000"
"Tue","White","Male","2020-12-22T11:37:24.000"
"Tue","White","Male","2020-12-22T11:28:04.000"
"Tue","White","Female","2020-12-22T11:16:35.000"
"Tue","White","Male","2020-12-22T11:06:10.000"
"Tue",,,"2020-12-22T10:34:33.000"
"Tue","White","Female","2020-12-22T10:23:56.000"
"Tue","White","Male","2020-12-22T10:23:45.000"
"Tue","White","Female","2020-12-22T10:01:05.000"
"Tue","White","Male","2020-12-22T09:57:44.000"
"Tue","White","Male","2020-12-22T09:53:45.000"
"Tue","Black","Male","2020-12-22T09:42:13.000"
"Tue","White","Female","2020-12-22T09:40:15.000"
"Tue","White","Male","2020-12-22T09:28:39.000"
"Tue","White","Male","2020-12-22T09:11:01.000"
"Tue","White","Female","2020-12-22T08:57:08.000"
"Tue","White","Male","2020-12-22T08:40:54.000"
"Tue",,"Female","2020-12-22T08:24:00.000"
"Tue",,,"2020-12-22T04:54:28.000"
"Mon",,,"2020-12-21T22:36:06.000"
"Mon",,,"2020-12-21T22:36:06.000"
"Mon","Black","Male","2020-12-21T21:49:57.000"
"Mon","Black","Female","2020-12-21T21:32:51.000"
"Mon","White","Male","2020-12-21T21:05:12.000"
"Mon","Asian","Female","2020-12-21T19:05:26.000"
"Mon","White","Female","2020-12-21T18:20:56.000"
"Mon","Black","Male","2020-12-21T16:45:00.000"
"Mon",,,"2020-12-21T15:04:00.000"
"Mon","White","Female","2020-12-21T15:00:00.000"
"Mon","White","Male","2020-12-21T14:53:45.000"
"Mon","White","Male","2020-12-21T14:32:46.000"
"Mon","Unknown","Male","2020-12-21T14:30:00.000"
"Mon","White","Male","2020-12-21T14:21:43.000"
"Mon","White","Male","2020-12-21T13:40:08.000"
"Mon","White","Male","2020-12-21T13:26:47.000"
"Mon","White","Female","2020-12-21T12:50:42.000"
"Mon","White","Male","2020-12-21T12:46:00.000"
"Mon",,,"2020-12-21T11:48:44.000"
"Mon","White","Female","2020-12-21T11:34:00.000"
"Mon","Unknown","Female","2020-12-21T11:21:16.000"
"Mon","White","Female","2020-12-21T11:13:27.000"
"Mon","White","Male","2020-12-21T11:12:31.000"
"Mon","White","Male","2020-12-21T11:01:35.000"
"Mon","White","Female","2020-12-21T11:01:10.000"
"Mon","White","Male","2020-12-21T10:48:00.000"
"Mon","White","Female","2020-12-21T10:30:00.000"
"Mon","White","Male","2020-12-21T10:08:13.000"
"Mon","Black","Female","2020-12-21T10:00:00.000"
"Mon","White","Female","2020-12-21T09:23:00.000"
"Mon","White","Female","2020-12-21T09:14:00.000"
"Mon","White","Male","2020-12-21T09:10:00.000"
"Mon","Black","Female","2020-12-21T08:50:00.000"
"Mon","White","Male","2020-12-21T07:03:36.000"
"Mon","White","Male","2020-12-21T00:10:20.000"
"Sun","White","Female","2020-12-20T21:52:51.000"
"Sun","White","Male","2020-12-20T15:03:49.000"
"Sun","Black","Female","2020-12-20T12:03:17.000"
"Sun","White","Male","2020-12-20T11:26:51.000"
"Sun","Asian","Male","2020-12-20T09:42:00.000"
"Sun","Asian","Male","2020-12-20T05:50:09.000"
"Sat",,,"2020-12-19T21:31:38.000"
"Sat","White","Female","2020-12-19T18:58:08.000"
"Sat","White","Male","2020-12-19T18:58:08.000"
"Sat","White","Female","2020-12-19T18:06:48.000"
"Sat","White","Female","2020-12-19T17:49:05.000"
"Sat",,,"2020-12-19T16:39:53.000"
"Sat","White","Male","2020-12-19T15:32:22.000"
"Sat","White","Female","2020-12-19T15:01:53.000"
"Sat","Black","Female","2020-12-19T13:44:40.000"
"Sat","Black","Male","2020-12-19T13:30:00.000"
"Sat","White","Male","2020-12-19T13:14:00.000"
"Sat","White","Female","2020-12-19T12:02:55.000"
"Sat","White","Male","2020-12-19T11:51:59.000"
"Sat","White","Male","2020-12-19T11:16:00.000"
"Sat","White","Female","2020-12-19T11:16:00.000"
"Sat",,,"2020-12-19T09:38:39.000"
"Sat","White","Female","2020-12-19T09:32:00.000"
"Sat","Black","Male","2020-12-19T08:31:06.000"
"Sat",,,"2020-12-19T08:27:42.000"
"Sat","White","Male","2020-12-19T08:22:00.000"
"Sat","White","Female","2020-12-19T07:41:00.000"
"Sat","Black","Female","2020-12-19T07:34:00.000"
"Sat","White","Male","2020-12-19T06:56:21.000"
"Sat","White","Female","2020-12-19T03:07:52.000"
"Fri",,,"2020-12-18T23:43:02.000"
"Fri","Black","Female","2020-12-18T23:20:13.000"
"Fri","Unknown","Female","2020-12-18T21:06:15.000"
"Fri","Black","Female","2020-12-18T20:41:50.000"
"Fri","Unknown","Female","2020-12-18T19:35:38.000"
"Fri","Unknown","Male","2020-12-18T19:22:43.000"
"Fri","Black","Male","2020-12-18T18:54:39.000"
"Fri","Black","Female","2020-12-18T18:46:36.000"
"Fri","Black","Male","2020-12-18T18:45:37.000"
"Fri",,,"2020-12-18T17:30:17.000"
"Fri","Unknown","Female","2020-12-18T16:58:25.000"
"Fri","White","Female","2020-12-18T16:50:00.000"
"Fri",,,"2020-12-18T16:49:41.000"
"Fri","White","Male","2020-12-18T16:35:33.000"
"Fri","White","Male","2020-12-18T16:22:18.000"
"Fri","White","Female","2020-12-18T16:14:46.000"
"Fri","White","Female","2020-12-18T16:01:00.000"
"Fri","White","Female","2020-12-18T15:35:08.000"
"Fri","White","Female","2020-12-18T15:28:12.000"
"Fri","White","Female","2020-12-18T15:25:54.000"
"Fri","White","Female","2020-12-18T15:21:45.000"
"Fri","Unknown","Male","2020-12-18T14:54:24.000"
"Fri","White","Female","2020-12-18T14:41:23.000"
"Fri","Unknown","Female","2020-12-18T14:17:56.000"
"Fri","White","Female","2020-12-18T13:57:33.000"
"Fri","White","Female","2020-12-18T13:36:38.000"
"Fri","White","Male","2020-12-18T13:06:19.000"
"Fri","White","Male","2020-12-18T11:45:00.000"
"Fri","Asian","Male","2020-12-18T11:09:49.000"
"Fri","Black","Female","2020-12-18T10:51:00.000"
"Fri","White","Male","2020-12-18T10:38:53.000"
"Fri","Black","Male","2020-12-18T10:37:21.000"
"Fri","White","Male","2020-12-18T10:35:57.000"
"Fri","Black","Female","2020-12-18T10:29:00.000"
"Fri","White","Female","2020-12-18T10:10:00.000"
"Fri","Black","Male","2020-12-18T10:01:09.000"
"Fri","White","Female","2020-12-18T09:16:00.000"
"Fri","White","Male","2020-12-18T09:07:08.000"
"Fri","Black","Male","2020-12-18T09:04:00.000"
"Fri","Black","Female","2020-12-18T08:49:35.000"
"Fri","White","Female","2020-12-18T08:36:00.000"
"Fri","White","Male","2020-12-18T08:10:00.000"
"Fri",,,"2020-12-18T07:35:12.000"
"Fri",,,"2020-12-18T02:19:44.000"
"Fri","White","Female","2020-12-18T00:00:59.000"
"Thu","White","Male","2020-12-17T22:33:32.000"
"Thu","Asian","Male","2020-12-17T21:00:30.000"
"Thu",,,"2020-12-17T20:50:35.000"
"Thu",,,"2020-12-17T18:31:55.000"
"Thu","Unknown","Female","2020-12-17T17:30:32.000"
"Thu","Black","Female","2020-12-17T16:35:00.000"
"Thu","White","Male","2020-12-17T16:13:00.000"
"Thu","White","Male","2020-12-17T14:22:10.000"
"Thu","Unknown","Male","2020-12-17T14:20:59.000"
"Thu","Black","Female","2020-12-17T13:42:44.000"
"Thu",,"Female","2020-12-17T13:39:13.000"
"Thu","Black","Male","2020-12-17T11:19:52.000"
"Thu","White","Male","2020-12-17T11:14:52.000"
"Thu","White","Male","2020-12-17T11:09:12.000"
"Thu","White","Male","2020-12-17T10:40:48.000"
"Thu","White","Female","2020-12-17T10:38:48.000"
"Thu","White","Male","2020-12-17T10:22:00.000"
"Thu","Unknown","Female","2020-12-17T09:48:00.000"
"Thu","White","Male","2020-12-17T09:44:24.000"
"Thu","Unknown","Male","2020-12-17T09:43:49.000"
"Thu","White","Female","2020-12-17T09:37:50.000"
"Thu","Unknown","Male","2020-12-17T09:19:00.000"
"Thu","Black","Female","2020-12-17T09:08:50.000"
"Thu","White","Female","2020-12-17T07:02:00.000"
"Thu",,"Female","2020-12-17T00:05:44.000"
"Wed","Black","Male","2020-12-16T22:03:34.000"
"Wed","Black","Female","2020-12-16T21:41:39.000"
"Wed","Black","Female","2020-12-16T20:29:32.000"
"Wed",,,"2020-12-16T18:18:33.000"
"Wed","White","Female","2020-12-16T17:49:00.000"
"Wed","Black","Female","2020-12-16T16:19:41.000"
"Wed","Unknown","Male","2020-12-16T16:12:00.000"
"Wed","White","Male","2020-12-16T16:06:33.000"
"Wed","Unknown","Male","2020-12-16T15:24:00.000"
"Wed","White","Female","2020-12-16T15:12:00.000"
"Wed","Black","Female","2020-12-16T15:02:11.000"
"Wed","White","Female","2020-12-16T14:47:00.000"
"Wed","White","Male","2020-12-16T14:07:34.000"
"Wed",,,"2020-12-16T13:51:57.000"
"Wed","White","Male","2020-12-16T13:18:44.000"
"Wed","White","Male","2020-12-16T12:48:31.000"
"Wed","Unknown","Female","2020-12-16T12:47:58.000"
"Wed","Unknown","Male","2020-12-16T12:14:36.000"
"Wed",,,"2020-12-16T11:45:49.000"
"Wed","White","Female","2020-12-16T11:42:17.000"
"Wed","White","Female","2020-12-16T11:20:55.000"
"Wed","Black","Female","2020-12-16T11:16:53.000"
"Wed","White","Male","2020-12-16T10:49:03.000"
"Wed","Black","Female","2020-12-16T10:17:34.000"
"Wed","White","Male","2020-12-16T09:37:04.000"
"Wed",,,"2020-12-16T08:32:46.000"
"Wed","White","Female","2020-12-16T08:14:36.000"
"Wed","White","Female","2020-12-16T08:07:41.000"
"Wed","Black","Male","2020-12-16T06:58:35.000"
"Tue","Black","Male","2020-12-15T23:30:09.000"
"Tue","Black","Female","2020-12-15T22:06:00.000"
"Tue","Asian","Male","2020-12-15T19:06:08.000"
"Tue","Black","Female","2020-12-15T17:55:46.000"
"Tue","White","Female","2020-12-15T17:41:14.000"
"Tue","Black","Female","2020-12-15T17:21:08.000"
"Tue","Black","Female","2020-12-15T17:18:11.000"
"Tue","Unknown","Female","2020-12-15T17:05:34.000"
"Tue","White","Male","2020-12-15T16:44:45.000"
"Tue","Black","Male","2020-12-15T16:08:22.000"
"Tue","Black","Female","2020-12-15T15:59:00.000"
"Tue","White","Male","2020-12-15T15:30:05.000"
"Tue","White","Female","2020-12-15T15:15:40.000"
"Tue","Black","Male","2020-12-15T14:33:21.000"
"Tue","White","Male","2020-12-15T13:58:21.000"
"Tue","Black","Male","2020-12-15T13:42:07.000"
"Tue","White","Female","2020-12-15T13:39:11.000"
"Tue","White","Female","2020-12-15T13:03:05.000"
"Tue","White","Male","2020-12-15T12:32:26.000"
"Tue","White","Female","2020-12-15T10:38:58.000"
"Tue","White","Male","2020-12-15T10:34:56.000"
"Tue","White","Female","2020-12-15T10:11:59.000"
"Tue","White","Female","2020-12-15T09:59:03.000"
"Tue",,,"2020-12-15T09:53:05.000"
"Tue","White","Female","2020-12-15T09:41:00.000"
"Tue","Black","Female","2020-12-15T09:15:03.000"
"Tue","White","Female","2020-12-15T09:12:00.000"
"Tue","Unknown","Female","2020-12-15T09:08:42.000"
"Tue","White","Female","2020-12-15T08:53:00.000"
"Tue","White","Female","2020-12-15T08:48:07.000"
"Tue","Black","Male","2020-12-15T08:43:47.000"
"Tue","Black","Female","2020-12-15T08:39:27.000"
"Mon","White","Female","2020-12-14T23:48:28.000"
"Mon","Black","Female","2020-12-14T22:12:16.000"
"Mon","Black","Female","2020-12-14T21:32:17.000"
"Mon","White","Male","2020-12-14T21:18:40.000"
"Mon","Asian","Male","2020-12-14T19:07:47.000"
"Mon",,,"2020-12-14T18:28:10.000"
"Mon",,,"2020-12-14T16:20:32.000"
"Mon","Unknown","Male","2020-12-14T14:56:51.000"
"Mon","White","Male","2020-12-14T14:18:04.000"
"Mon","White","Female","2020-12-14T14:12:24.000"
"Mon","White","Female","2020-12-14T14:12:24.000"
"Mon",,,"2020-12-14T13:17:59.000"
"Mon","White","Male","2020-12-14T13:17:52.000"
"Mon","White","Male","2020-12-14T13:02:06.000"
"Mon","Black","Female","2020-12-14T12:51:45.000"
"Mon","Unknown","Male","2020-12-14T12:41:00.000"
"Mon","White","Female","2020-12-14T12:23:46.000"
"Mon","Black","Female","2020-12-14T12:10:02.000"
"Mon",,,"2020-12-14T10:16:05.000"
"Mon",,"Male","2020-12-14T09:55:46.000"
"Mon","White","Male","2020-12-14T09:53:00.000"
"Mon","Black","Female","2020-12-14T09:47:03.000"
"Mon","White","Male","2020-12-14T09:14:00.000"
"Mon","Black","Female","2020-12-14T08:50:33.000"
"Mon","White","Male","2020-12-14T08:33:11.000"
"Mon","White","Male","2020-12-14T07:21:56.000"
"Sun",,,"2020-12-13T20:36:47.000"
"Sun","White","Male","2020-12-13T14:49:00.000"
"Sun","White","Female","2020-12-13T12:36:14.000"
"Sun","White","Male","2020-12-13T12:32:13.000"
"Sun",,,"2020-12-13T02:16:00.000"
"Sat","White","Male","2020-12-12T19:09:09.000"
"Sat","White","Female","2020-12-12T17:40:36.000"
"Sat","White","Male","2020-12-12T16:11:35.000"
"Sat","Asian","Female","2020-12-12T15:42:32.000"
"Sat","White","Male","2020-12-12T15:20:03.000"
"Sat","Asian","Female","2020-12-12T15:16:53.000"
"Sat","White","Male","2020-12-12T15:03:30.000"
"Sat","White","Male","2020-12-12T15:01:29.000"
"Sat","Unknown","Male","2020-12-12T14:48:05.000"
"Sat","White","Male","2020-12-12T14:48:05.000"
"Sat","Asian","Female","2020-12-12T14:48:05.000"
"Sat","Unknown","Male","2020-12-12T14:48:05.000"
"Sat","Unknown","Female","2020-12-12T14:48:05.000"
"Sat","Unknown","Female","2020-12-12T14:48:05.000"
"Sat","White","Male","2020-12-12T14:46:07.000"
"Sat","Asian","Male","2020-12-12T14:43:40.000"
"Sat","White","Female","2020-12-12T13:59:00.000"
"Sat","Unknown","Male","2020-12-12T13:47:23.000"
"Sat","White","Male","2020-12-12T12:59:40.000"
"Sat","Black","Female","2020-12-12T12:50:14.000"
"Sat","Black","Male","2020-12-12T12:50:00.000"
"Sat","White","Male","2020-12-12T12:40:01.000"
"Sat",,"Female","2020-12-12T11:44:49.000"
"Sat","Unknown","Male","2020-12-12T11:34:42.000"
"Sat","Black","Male","2020-12-12T11:14:05.000"
"Sat","White","Male","2020-12-12T10:15:00.000"
"Sat","White","Female","2020-12-12T10:02:59.000"
"Sat","White","Female","2020-12-12T09:03:44.000"
"Sat","Unknown","Male","2020-12-12T08:55:35.000"
"Sat","Unknown","Female","2020-12-12T08:38:17.000"
"Sat","Unknown","Female","2020-12-12T08:31:36.000"
"Sat","White","Female","2020-12-12T08:21:00.000"
"Sat","White","Female","2020-12-12T08:12:21.000"
"Sat","White","Female","2020-12-12T08:00:00.000"
"Sat","White","Male","2020-12-12T07:50:25.000"
"Sat","Unknown","Male","2020-12-12T07:42:54.000"
"Sat","Unknown","Female","2020-12-12T07:42:11.000"
"Sat","Unknown","Female","2020-12-12T07:41:15.000"
"Sat","Unknown","Male","2020-12-12T06:39:00.000"
"Sat","White","Female","2020-12-12T06:39:00.000"
"Sat","White","Male","2020-12-12T06:39:00.000"
"Sat","Unknown","Male","2020-12-12T06:38:58.000"
"Sat","Unknown","Female","2020-12-12T06:38:00.000"
"Sat","White","Male","2020-12-12T06:38:00.000"
"Sat","Unknown","Male","2020-12-12T06:38:00.000"
"Sat","Unknown","Male","2020-12-12T06:38:00.000"
"Sat","Unknown","Female","2020-12-12T06:38:00.000"
"Sat","Unknown","Male","2020-12-12T06:38:00.000"
