"date","week","month","year","railroad","state","placed","filled","unfilledlte10days","unfilledgt10days","total","geocoded_column"
"2022-09-07T00:00:00.000","36","9","2022","CSX","WY","0","0","0","0","0","POINT (-107.55145 42.999627)"
"2022-09-07T00:00:00.000","36","9","2022","UP","IL","371","52","64","252","316","POINT (-89.148632 40.124144)"
"2022-09-07T00:00:00.000","36","9","2022","CP","NE","0","0","0","0","0","POINT (-99.810595 41.527099)"
"2022-09-07T00:00:00.000","36","9","2022","CN","VA","0","0","0","0","0","POINT (-78.666382 37.510861)"
"2022-09-07T00:00:00.000","36","9","2022","CP","CO","0","0","0","0","0","POINT (-105.547832 38.998552)"
"2022-09-07T00:00:00.000","36","9","2022","CN","ND","0","0","0","0","0","POINT (-100.46931 47.446305)"
"2022-09-07T00:00:00.000","36","9","2022","CP","AZ","0","0","0","0","0","POINT (-111.664616 34.293239)"
"2022-09-07T00:00:00.000","36","9","2022","NS","OR","0","0","0","0","0","POINT (-120.605279 43.940449)"
"2022-09-07T00:00:00.000","36","9","2022","CN","SC","0","0","0","0","0","POINT (-80.864614 33.878572)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MN","0","0","0","0","0","POINT (-94.198308 46.349153)"
"2022-09-07T00:00:00.000","36","9","2022","CP","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","OH","2","2","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","UP","CA","114","54","4","105","109","POINT (-119.662127 37.211164)"
"2022-09-07T00:00:00.000","36","9","2022","CN","TX","0","0","0","0","0","POINT (-99.317341 31.447238)"
"2022-09-07T00:00:00.000","36","9","2022","UP","NV","0","0","0","0","0","POINT (-114.916992 39.283294)"
"2022-09-07T00:00:00.000","36","9","2022","CP","TN","0","0","0","0","0","POINT (-86.343226 35.842998)"
"2022-09-07T00:00:00.000","36","9","2022","NS","SD","0","0","0","0","0","POINT (-100.230491 44.43614)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","CT","0","0","0","0","0","POINT (-72.738288 41.575155)"
"2022-09-07T00:00:00.000","36","9","2022","CN","LA","0","0","0","0","0","POINT (-91.840238 30.921314)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","TX","0","0","0","0","0","POINT (-99.317341 31.447238)"
"2022-09-07T00:00:00.000","36","9","2022","NS","WA","0","0","0","0","0","POINT (-120.592492 47.411715)"
"2022-09-07T00:00:00.000","36","9","2022","CN","DE","0","0","0","0","0","POINT (-75.452394 38.994926)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","MN","5","272","10","2","12","POINT (-94.198308 46.349153)"
"2022-09-07T00:00:00.000","36","9","2022","NS","NV","0","0","0","0","0","POINT (-114.916992 39.283294)"
"2022-09-07T00:00:00.000","36","9","2022","NS","AL","0","0","0","0","0","POINT (-86.844516 32.756889)"
"2022-09-07T00:00:00.000","36","9","2022","CP","KS","0","0","0","0","0","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","VA","0","0","0","0","0","POINT (-78.666382 37.510861)"
"2022-09-07T00:00:00.000","36","9","2022","CP","NC","0","0","0","0","0","POINT (-79.130883 35.52603)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MD","0","0","0","0","0","POINT (-76.687282 38.946466)"
