"date","week","month","year","railroad","commodity","mph"
"2022-08-10T00:00:00.000","32","8","2022","CP","Crude Oil","23.5"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Grain","18.8"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Grain","25.1"
"2022-08-10T00:00:00.000","32","8","2022","CP","Automotive","26.6"
"2022-08-10T00:00:00.000","32","8","2022","CN","Intermodal","25.6"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Intermodal","32.7"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","System","25.2"
"2022-08-10T00:00:00.000","32","8","2022","UP","System","23.7"
"2022-08-10T00:00:00.000","32","8","2022","UP","Ethanol","20.6"
"2022-08-10T00:00:00.000","32","8","2022","UP","Coal","25.3"
"2022-08-10T00:00:00.000","32","8","2022","UP","Crude Oil","21.9"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Grain","23.6"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Manifest","26.2"
"2022-08-10T00:00:00.000","32","8","2022","UP","Grain","22.9"
"2022-08-10T00:00:00.000","32","8","2022","NS","Grain","14.5"
"2022-08-10T00:00:00.000","32","8","2022","UP","Intermodal","29.3"
"2022-08-10T00:00:00.000","32","8","2022","CP","Coal","24.9"
"2022-08-10T00:00:00.000","32","8","2022","CP","Grain","29.7"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Crude Oil","26.2"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Ethanol","24"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Intermodal","30.7"
"2022-08-10T00:00:00.000","32","8","2022","NS","Automotive","19.2"
"2022-08-10T00:00:00.000","32","8","2022","CN","Manifest","21"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Manifest","21.7"
"2022-08-10T00:00:00.000","32","8","2022","CSX","System","22.4"
"2022-08-10T00:00:00.000","32","8","2022","NS","Ethanol","16.5"
"2022-08-10T00:00:00.000","32","8","2022","KCS","System","26.8"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Automotive","19.3"
"2022-08-03T00:00:00.000","31","7","2022","NS","Automotive","18"
"2022-08-03T00:00:00.000","31","7","2022","NS","Intermodal","24.6"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Grain","23.7"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Crude Oil","26.3"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Coal","24.2"
"2022-08-03T00:00:00.000","31","7","2022","CN","Ethanol","24.2"
"2022-08-03T00:00:00.000","31","7","2022","NS","Coal","16.8"
"2022-08-03T00:00:00.000","31","7","2022","UP","Manifest","21.3"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Intermodal","33.2"
"2022-08-03T00:00:00.000","31","7","2022","UP","Crude Oil","21.2"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Ethanol","19.1"
"2022-08-03T00:00:00.000","31","7","2022","CP","Crude Oil","21.6"
"2022-08-03T00:00:00.000","31","7","2022","CP","Grain","24.5"
"2022-08-03T00:00:00.000","31","7","2022","CP","Intermodal","28.3"
"2022-08-03T00:00:00.000","31","7","2022","CP","Coal","25.2"
"2022-08-03T00:00:00.000","31","7","2022","CN","Crude Oil","22.1"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Manifest","19"
"2022-08-03T00:00:00.000","31","7","2022","UP","Automotive","25.1"
"2022-08-03T00:00:00.000","31","7","2022","UP","Intermodal","29.2"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Grain","19.4"
"2022-08-03T00:00:00.000","31","7","2022","UP","Ethanol","19.8"
"2022-08-03T00:00:00.000","31","7","2022","UP","Coal","24"
"2022-08-03T00:00:00.000","31","7","2022","NS","Grain","17"
"2022-08-03T00:00:00.000","31","7","2022","UP","System","23.4"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Automotive","25.2"
"2022-08-03T00:00:00.000","31","7","2022","CN","Grain","23.8"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Manifest","26"
"2022-08-03T00:00:00.000","31","7","2022","BNSF","Ethanol","23.6"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Crude Oil","28.8"
"2022-08-03T00:00:00.000","31","7","2022","CSX","System","21.3"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Coal","26.4"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Automotive","18.1"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Intermodal","28.6"
"2022-08-03T00:00:00.000","31","7","2022","CP","System","25"
"2022-08-03T00:00:00.000","31","7","2022","CSX","Automotive",
"2022-08-03T00:00:00.000","31","7","2022","UP","Grain","20.8"
"2022-08-03T00:00:00.000","31","7","2022","CN","Intermodal","28.4"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Grain","25.6"
"2022-08-03T00:00:00.000","31","7","2022","KCS","Ethanol",
"2022-08-03T00:00:00.000","31","7","2022","CN","Manifest","23.1"
"2022-08-03T00:00:00.000","31","7","2022","CN","System","24"
